Trap,Region,Transect,Habitat,DeciduousForest,EvergreenForest,Grassland,MixedForest,ShrubScrub,BarrenLand,Building,Pavement,CultivatedCrops,TrapNights,Cx.sal,Ae.albo,Ae.cin,Ae.vex,Ps.fer,Cx.err,Ps.col,Ae.tris,Cx.pip/q,Ae.can,Coq,An.quad,An.cruc,An.punc,Ae.hen,Ae.atl,Ae.dup,Ps.cyan,Ps.how,Ae.jap,Ae.inf,Ps.cil,Ur.saph
DU1.1,Durham,DU1,Field,125.3924543,2321.10047,28733.56166,0.332846826,0,0,191.5265624,0,0,10,19,0,1,16,1,372,104,0,2,0,0,2,0,1,0,1,0,0,0,0,0,4,0
DU1.2,Durham,DU1,NearField,13.96360377,10517.14202,13264.02174,7499.490976,0,0,78.79295712,0,0,11,0,3,2,6,0,643,5,0,0,0,0,1,0,5,0,5,0,0,0,1,2,1,0
DU1.3,Durham,DU1,Edge,4.97839633,11350.70573,10478.23791,8448.913937,0,0,67.26815781,0,0,11,3,3,3,13,3,208,7,0,0,0,0,1,0,1,1,13,1,0,0,1,0,0,0
DU1.4,Durham,DU1,NearForest,0,12404.39716,9783.622619,9131.959707,0,0,53.39431068,0,0,10,4,15,6,6,14,9,0,2,0,7,0,0,0,0,0,13,1,0,0,2,0,0,0
DU1.5,Durham,DU1,Forest,1204.513041,21905.71706,1024.527667,7238.963746,0,0,0,0,0,11,7,31,40,9,490,259,0,5,0,46,0,0,0,3,1,268,26,1,0,0,0,0,1
DU2.1,Durham,DU2,Field,4034.203236,4893.341934,20430.41363,51.63713069,0,1697.296299,267.3017379,0,0,9,8,0,1,19,0,106,39,0,2,0,0,3,0,2,0,0,0,0,0,4,0,2,0
DU2.2,Durham,DU2,NearField,10415.39326,4611.797496,10992.58546,3682.080216,0,1425.008343,335.2567335,0,0,11,5,3,1,26,0,153,5,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0
DU2.3,Durham,DU2,Edge,11737.5973,4313.478965,10115.76842,3732.160571,0,1259.327296,301.6564327,0,0,11,7,9,2,10,4,194,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DU2.4,Durham,DU2,NearForest,13180.50917,4149.411334,8997.386489,3752.474022,0,1097.157733,282.464119,0,0,11,4,30,0,11,6,158,1,1,0,2,0,1,0,7,2,2,1,0,0,0,0,0,4
DU2.5,Durham,DU2,Forest,23534.7454,5329.781027,162.2266425,2194.507352,0,0,152.8921788,0,0,11,1,15,1,10,9,53,2,1,0,3,0,1,0,5,1,0,2,0,0,0,0,0,0
DU3.1,Durham,DU3,Field,0,6177.625112,21435.06024,1638.185317,55.69653328,1616.914106,451.4262632,0,0,11,11,2,2,20,0,66,121,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0
DU3.2,Durham,DU3,NearField,5496.164382,2801.191802,18409.07905,4243.47754,0,0,420.7955711,0,0,11,3,6,2,10,0,43,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DU3.3,Durham,DU3,Edge,6668.123363,2786.97642,17030.71675,0,0,0,448.2816763,4437.668752,0,11,9,7,1,6,0,63,18,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
DU3.4,Durham,DU3,NearForest,0,10631.24622,15524.83593,4631.321483,0,0,609.9972645,14.33435376,0,11,5,12,2,23,0,119,10,0,2,0,1,1,0,2,1,0,0,0,0,0,1,0,0
DU3.5,Durham,DU3,Forest,0,21661.16393,4167.544368,4233.505529,0,0,754.8307491,619.8902138,0,11,2,34,6,18,20,265,1,2,0,11,0,0,0,7,1,1,1,0,0,0,0,0,0
