t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	99.6	0.4	100
0.07	0	100	0	100
0.08	0.2	99.8	0.2	99.8
0.09	0	100	0	100
0.1	0.2	99.4	0.6	99.8
0.11	0	100	0	100
0.12	0.2	99.8	0.2	99.8
0.13	0	99.4	0.6	100
0.14	0	100	0	100
0.15	0.2	98.8	1.2	99.8
0.16	0	98.4	1.6	100
0.17	0	99.2	0.8	100
0.18	0	100	0	100
0.19	0.2	95.2	4.8	99.8
0.2	0	96.4	3.6	100
0.21	0.4	93.8	6.2	99.6
0.22	0.4	94	6	99.6
0.23	0.2	87.8	12.2	99.8
0.24	1.2	84.8	15.2	98.8
0.25	0.2	85.6	14.4	99.8
0.26	1	78.2	21.8	99
0.27	1.6	70.4	29.6	98.4
0.28	0.4	66.4	33.6	99.6
0.29	1	68.8	31.2	99
0.3	1.2	61.6	38.4	98.8
0.31	0.8	60.6	39.4	99.2
0.32	1	58	42	99
0.33	1.4	45	55	98.6
0.34	0.4	46.4	53.6	99.6
0.35	1.8	43.6	56.4	98.2
0.36	0.8	33.4	66.6	99.2
0.37	1.2	34.4	65.6	98.8
0.38	2	30.4	69.6	98
0.39	2.6	28.4	71.6	97.4
0.4	2	28.2	71.8	98
0.41	2.4	22.2	77.8	97.6
0.42	1.8	20.2	79.8	98.2
0.43	2.6	15	85	97.4
0.44	3	12	88	97
0.45	3.2	11.8	88.2	96.8
0.46	3	13	87	97
0.47	2.6	7	93	97.4
0.48	4	8.2	91.8	96
0.49	3.6	6.6	93.4	96.4
0.5	1.8	5.6	94.4	98.2
0.51	2.8	5	95	97.2
0.52	3	4.4	95.6	97
0.53	2.8	3.2	96.8	97.2
0.54	3.6	2	98	96.4
0.55	2.4	2.6	97.4	97.6
0.56	3	2.6	97.4	97
0.57	2	2.6	97.4	98
0.58	2.6	1	99	97.4
0.59	2.4	1.6	98.4	97.6
0.6	2.4	2	98	97.6
0.61	3	1.4	98.6	97
0.62	3.2	0.6	99.4	96.8
0.63	3.2	0.2	99.8	96.8
0.64	2.6	0.2	99.8	97.4
0.65	2.2	0.4	99.6	97.8
0.66	2.8	0.2	99.8	97.2
0.67	3	0.6	99.4	97
0.68	3.8	0	100	96.2
0.69	2.6	0	100	97.4
0.7	3	0	100	97
0.71	2.4	0.2	99.8	97.6
0.72	1.8	0	100	98.2
0.73	2.8	0	100	97.2
0.74	2.8	0	100	97.2
0.75	2.6	0	100	97.4
0.76	2.4	0	100	97.6
0.77	2.4	0	100	97.6
0.78	3.6	0	100	96.4
0.79	1.6	0	100	98.4
0.8	5.8	0	100	94.2
0.81	2.4	0	100	97.6
0.82	2	0	100	98
0.83	2.6	0	100	97.4
0.84	3.4	0	100	96.6
0.85	3	0	100	97
0.86	3.2	0	100	96.8
0.87	3.4	0	100	96.6
0.88	3.6	0	100	96.4
0.89	3	0	100	97
0.9	1.4	0	100	98.6
0.91	3.2	0	100	96.8
0.92	1.8	0	100	98.2
0.93	3	0	100	97
0.94	1.6	0	100	98.4
0.95	2.2	0	100	97.8
0.96	3.6	0	100	96.4
0.97	2.6	0	100	97.4
0.98	2.6	0	100	97.4
0.99	2.6	0	100	97.4
1	2.8	0	100	97.2
1.01	4.8	0	100	95.2
1.02	3.4	0	100	96.6
1.03	2.2	0	100	97.8
1.04	2.6	0	100	97.4
1.05	3	0	100	97
1.06	4.4	0	100	95.6
1.07	3.6	0	100	96.4
1.08	3	0	100	97
1.09	3.4	0	100	96.6
1.1	2	0	100	98
1.11	3.2	0	100	96.8
1.12	2.6	0	100	97.4
1.13	3.4	0	100	96.6
1.14	3.2	0	100	96.8
1.15	3.2	0	100	96.8
1.16	4.4	0	100	95.6
1.17	2	0	100	98
1.18	3.6	0	100	96.4
1.19	1.6	0	100	98.4
1.2	4.6	0	100	95.4
1.21	3.6	0	100	96.4
1.22	2.2	0	100	97.8
1.23	3	0	100	97
1.24	3.2	0	100	96.8
1.25	2.8	0	100	97.2
1.26	2.4	0	100	97.6
1.27	3.2	0	100	96.8
1.28	1.6	0	100	98.4
1.29	4.6	0	100	95.4
1.3	2.8	0	100	97.2
1.31	3.2	0	100	96.8
1.32	2.2	0	100	97.8
1.33	1.2	0	100	98.8
1.34	2.4	0	100	97.6
1.35	3	0	100	97
1.36	3	0	100	97
1.37	2	0	100	98
1.38	4	0	100	96
1.39	3	0	100	97
1.4	2.2	0	100	97.8
1.41	2.6	0	100	97.4
1.42	4.4	0	100	95.6
1.43	2.6	0	100	97.4
1.44	3	0	100	97
1.45	3	0	100	97
1.46	2.4	0	100	97.6
1.47	3.6	0	100	96.4
1.48	3	0	100	97
1.49	3	0	100	97
1.5	2.8	0	100	97.2
1.51	3.6	0	100	96.4
1.52	2	0	100	98
1.53	2.4	0	100	97.6
1.54	1.8	0	100	98.2
1.55	3.2	0	100	96.8
1.56	2.8	0	100	97.2
1.57	3	0	100	97
1.58	2.8	0	100	97.2
1.59	3	0	100	97
1.6	1.8	0	100	98.2
1.61	3.4	0	100	96.6
1.62	2.2	0	100	97.8
1.63	3	0	100	97
1.64	5	0	100	95
1.65	4.8	0	100	95.2
1.66	3	0	100	97
1.67	2.4	0	100	97.6
1.68	4	0	100	96
1.69	2.2	0	100	97.8
1.7	4	0	100	96
1.71	1.8	0	100	98.2
1.72	3.8	0	100	96.2
1.73	2	0	100	98
1.74	4.2	0	100	95.8
1.75	3.8	0	100	96.2
1.76	2.6	0	100	97.4
1.77	3.6	0	100	96.4
1.78	2.4	0	100	97.6
1.79	2.4	0	100	97.6
1.8	2.2	0	100	97.8
1.81	1.8	0	100	98.2
1.82	3	0	100	97
1.83	2.2	0	100	97.8
1.84	4.6	0	100	95.4
1.85	3	0	100	97
1.86	2.8	0	100	97.2
1.87	3	0	100	97
1.88	2.6	0	100	97.4
1.89	2.2	0	100	97.8
1.9	3.4	0	100	96.6
1.91	2.2	0	100	97.8
1.92	2.6	0	100	97.4
1.93	2	0	100	98
1.94	2.6	0	100	97.4
1.95	4.6	0	100	95.4
1.96	3.2	0	100	96.8
1.97	3.6	0	100	96.4
1.98	3.8	0	100	96.2
1.99	1.8	0	100	98.2
2	2.8	0	100	97.2
2.01	3	0	100	97
2.02	1	0	100	99
2.03	1.2	0	100	98.8
2.04	2.8	0	100	97.2
2.05	2.4	0	100	97.6
2.06	3.6	0	100	96.4
2.07	2.6	0	100	97.4
2.08	3.2	0	100	96.8
2.09	4.4	0	100	95.6
2.1	3.4	0	100	96.6
2.11	2.6	0	100	97.4
2.12	3	0	100	97
2.13	3.2	0	100	96.8
2.14	3.6	0	100	96.4
2.15	3.4	0	100	96.6
2.16	3.4	0	100	96.6
2.17	2.8	0	100	97.2
2.18	3	0	100	97
2.19	2.6	0	100	97.4
2.2	2.2	0	100	97.8
2.21	2	0	100	98
2.22	3	0	100	97
2.23	3.2	0	100	96.8
2.24	2.6	0	100	97.4
2.25	2.4	0	100	97.6
2.26	2.2	0	100	97.8
2.27	2.6	0	100	97.4
2.28	4	0	100	96
2.29	4	0	100	96
2.3	3	0	100	97
2.31	1.8	0	100	98.2
2.32	5	0	100	95
2.33	4	0	100	96
2.34	3	0	100	97
2.35	2.2	0	100	97.8
2.36	2	0	100	98
2.37	3.6	0	100	96.4
2.38	1.8	0	100	98.2
2.39	2	0	100	98
2.4	2	0	100	98
2.41	2.4	0	100	97.6
2.42	1.4	0	100	98.6
2.43	2.6	0	100	97.4
2.44	2.4	0	100	97.6
2.45	3.4	0	100	96.6
2.46	3	0	100	97
2.47	3.2	0	100	96.8
2.48	2.6	0	100	97.4
2.49	2.4	0	100	97.6
2.5	3	0	100	97
2.51	3.6	0	100	96.4
2.52	2	0	100	98
2.53	4.2	0	100	95.8
2.54	2.2	0	100	97.8
2.55	3.6	0	100	96.4
2.56	3	0	100	97
2.57	3.2	0	100	96.8
2.58	2.2	0	100	97.8
2.59	3.8	0	100	96.2
2.6	3.8	0	100	96.2
2.61	3.8	0	100	96.2
2.62	3.2	0	100	96.8
2.63	2.4	0	100	97.6
2.64	3.2	0	100	96.8
2.65	2	0	100	98
2.66	1.8	0	100	98.2
2.67	3.2	0	100	96.8
2.68	3.2	0	100	96.8
2.69	3.6	0	100	96.4
2.7	2.4	0	100	97.6
2.71	3.4	0	100	96.6
2.72	2	0	100	98
2.73	4.8	0	100	95.2
2.74	2.6	0	100	97.4
2.75	0.4	0	100	99.6
2.76	2.6	0	100	97.4
2.77	2.2	0	100	97.8
2.78	2.6	0	100	97.4
2.79	4.6	0	100	95.4
2.8	2.6	0	100	97.4
2.81	2.8	0	100	97.2
2.82	4	0	100	96
2.83	3.2	0	100	96.8
2.84	3	0	100	97
2.85	2.8	0	100	97.2
2.86	3.6	0	100	96.4
2.87	1.6	0	100	98.4
2.88	3.8	0	100	96.2
2.89	2.2	0	100	97.8
2.9	1.6	0	100	98.4
2.91	3.6	0	100	96.4
2.92	1.8	0	100	98.2
2.93	2.6	0	100	97.4
2.94	2.4	0	100	97.6
2.95	3.6	0	100	96.4
2.96	2.6	0	100	97.4
2.97	1.4	0	100	98.6
2.98	3.2	0	100	96.8
2.99	3.4	0	100	96.6
3	2.6	0	100	97.4
