t	FPR	FNR	TRP	TNR
0.01	0.2	100	0	99.8
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	100	0	100
0.07	0	99.8	0.2	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0	100	0	100
0.11	0	99.8	0.2	100
0.12	0.2	98.4	1.6	99.8
0.13	0	100	0	100
0.14	0	98.6	1.4	100
0.15	0	96.6	3.4	100
0.16	0.6	91.2	8.8	99.4
0.17	0.2	94.8	5.2	99.8
0.18	0.2	86.8	13.2	99.8
0.19	1	83.4	16.6	99
0.2	1.4	72.6	27.4	98.6
0.21	0.2	76	24	99.8
0.22	0.8	63	37	99.2
0.23	0.8	65	35	99.2
0.24	0.6	58.2	41.8	99.4
0.25	2.2	53.8	46.2	97.8
0.26	1	46.6	53.4	99
0.27	1	48.2	51.8	99
0.28	2.2	33.6	66.4	97.8
0.29	2.4	32	68	97.6
0.3	1.6	22.6	77.4	98.4
0.31	1.6	25	75	98.4
0.32	3.8	22.2	77.8	96.2
0.33	3	19.2	80.8	97
0.34	2.2	16.2	83.8	97.8
0.35	2.6	10.2	89.8	97.4
0.36	1.8	8.8	91.2	98.2
0.37	2.6	8.4	91.6	97.4
0.38	3	6.2	93.8	97
0.39	2.8	5	95	97.2
0.4	3	5.4	94.6	97
0.41	2.2	6	94	97.8
0.42	1.6	2.4	97.6	98.4
0.43	2.2	2.2	97.8	97.8
0.44	2.8	1	99	97.2
0.45	4.4	1.6	98.4	95.6
0.46	1.8	1	99	98.2
0.47	3.6	0.4	99.6	96.4
0.48	2.4	0.6	99.4	97.6
0.49	3.6	0.8	99.2	96.4
0.5	2.6	0.2	99.8	97.4
0.51	3.2	0	100	96.8
0.52	3	0	100	97
0.53	2.6	0.2	99.8	97.4
0.54	3.4	0	100	96.6
0.55	3.4	0	100	96.6
0.56	3.8	0.2	99.8	96.2
0.57	2.6	0	100	97.4
0.58	4	0	100	96
0.59	2.8	0	100	97.2
0.6	4	0	100	96
0.61	1.8	0	100	98.2
0.62	4.4	0	100	95.6
0.63	3	0	100	97
0.64	3.2	0	100	96.8
0.65	1.8	0	100	98.2
0.66	2.4	0	100	97.6
0.67	3.2	0	100	96.8
0.68	3.2	0	100	96.8
0.69	3	0	100	97
0.7	2.4	0	100	97.6
0.71	3.4	0	100	96.6
0.72	2.4	0	100	97.6
0.73	4.8	0	100	95.2
0.74	3.8	0	100	96.2
0.75	2.8	0	100	97.2
0.76	3.4	0	100	96.6
0.77	2.8	0	100	97.2
0.78	3.4	0	100	96.6
0.79	2.2	0	100	97.8
0.8	2.4	0	100	97.6
0.81	1.8	0	100	98.2
0.82	3.2	0	100	96.8
0.83	3.4	0	100	96.6
0.84	2.4	0	100	97.6
0.85	3.6	0	100	96.4
0.86	3.6	0	100	96.4
0.87	3.2	0	100	96.8
0.88	2.4	0	100	97.6
0.89	3	0	100	97
0.9	1.4	0	100	98.6
0.91	4.2	0	100	95.8
0.92	4.6	0	100	95.4
0.93	1.6	0	100	98.4
0.94	2.6	0	100	97.4
0.95	3.8	0	100	96.2
0.96	2.8	0	100	97.2
0.97	4	0	100	96
0.98	5.6	0	100	94.4
0.99	2.6	0	100	97.4
1	2.2	0	100	97.8
1.01	3	0	100	97
1.02	3.6	0	100	96.4
1.03	1.2	0	100	98.8
1.04	2.6	0	100	97.4
1.05	4.2	0	100	95.8
1.06	3.6	0	100	96.4
1.07	1.8	0	100	98.2
1.08	1.2	0	100	98.8
1.09	3.8	0	100	96.2
1.1	3	0	100	97
1.11	3.4	0	100	96.6
1.12	2.8	0	100	97.2
1.13	1.6	0	100	98.4
1.14	3	0	100	97
1.15	2.8	0	100	97.2
1.16	3	0	100	97
1.17	2.6	0	100	97.4
1.18	2.6	0	100	97.4
1.19	3.2	0	100	96.8
1.2	3.2	0	100	96.8
1.21	2.8	0	100	97.2
1.22	3	0	100	97
1.23	2.2	0	100	97.8
1.24	3.6	0	100	96.4
1.25	3.2	0	100	96.8
1.26	3.2	0	100	96.8
1.27	3.6	0	100	96.4
1.28	4.6	0	100	95.4
1.29	1.8	0	100	98.2
1.3	3.6	0	100	96.4
1.31	2.8	0	100	97.2
1.32	4	0	100	96
1.33	3	0	100	97
1.34	4	0	100	96
1.35	3.2	0	100	96.8
1.36	2.6	0	100	97.4
1.37	2.6	0	100	97.4
1.38	2.2	0	100	97.8
1.39	3.4	0	100	96.6
1.4	4.2	0	100	95.8
1.41	2.2	0	100	97.8
1.42	3.2	0	100	96.8
1.43	3.2	0	100	96.8
1.44	3.6	0	100	96.4
1.45	2.2	0	100	97.8
1.46	3	0	100	97
1.47	3	0	100	97
1.48	3	0	100	97
1.49	2	0	100	98
1.5	3.2	0	100	96.8
1.51	3.4	0	100	96.6
1.52	2.4	0	100	97.6
1.53	3	0	100	97
1.54	3.4	0	100	96.6
1.55	2	0	100	98
1.56	2.8	0	100	97.2
1.57	2	0	100	98
1.58	3.4	0	100	96.6
1.59	2.6	0	100	97.4
1.6	2.2	0	100	97.8
1.61	3.6	0	100	96.4
1.62	2.6	0	100	97.4
1.63	2.6	0	100	97.4
1.64	3.4	0	100	96.6
1.65	4.4	0	100	95.6
1.66	3.4	0	100	96.6
1.67	3.4	0	100	96.6
1.68	2.6	0	100	97.4
1.69	2	0	100	98
1.7	2.6	0	100	97.4
1.71	2.6	0	100	97.4
1.72	3	0	100	97
1.73	2.8	0	100	97.2
1.74	4.2	0	100	95.8
1.75	3.8	0	100	96.2
1.76	3.4	0	100	96.6
1.77	2	0	100	98
1.78	1.4	0	100	98.6
1.79	3	0	100	97
1.8	2.6	0	100	97.4
1.81	3.6	0	100	96.4
1.82	2.4	0	100	97.6
1.83	3.4	0	100	96.6
1.84	2.6	0	100	97.4
1.85	4	0	100	96
1.86	3.6	0	100	96.4
1.87	2	0	100	98
1.88	4.6	0	100	95.4
1.89	2	0	100	98
1.9	3.4	0	100	96.6
1.91	3.8	0	100	96.2
1.92	3.8	0	100	96.2
1.93	3	0	100	97
1.94	2.2	0	100	97.8
1.95	4.6	0	100	95.4
1.96	1.6	0	100	98.4
1.97	3.8	0	100	96.2
1.98	3.8	0	100	96.2
1.99	2.4	0	100	97.6
2	3	0	100	97
2.01	4.2	0	100	95.8
2.02	2.6	0	100	97.4
2.03	3.4	0	100	96.6
2.04	3.4	0	100	96.6
2.05	3.6	0	100	96.4
2.06	3.2	0	100	96.8
2.07	2.4	0	100	97.6
2.08	1.4	0	100	98.6
2.09	3.4	0	100	96.6
2.1	3.4	0	100	96.6
2.11	2.4	0	100	97.6
2.12	3.2	0	100	96.8
2.13	1.8	0	100	98.2
2.14	2.2	0	100	97.8
2.15	2.6	0	100	97.4
2.16	3.6	0	100	96.4
2.17	2.2	0	100	97.8
2.18	3.2	0	100	96.8
2.19	2.4	0	100	97.6
2.2	3	0	100	97
2.21	2.2	0	100	97.8
2.22	3.2	0	100	96.8
2.23	3.2	0	100	96.8
2.24	2	0	100	98
2.25	2.8	0	100	97.2
2.26	3.4	0	100	96.6
2.27	2.4	0	100	97.6
2.28	2.8	0	100	97.2
2.29	1.4	0	100	98.6
2.3	2	0	100	98
2.31	2.6	0	100	97.4
2.32	3.2	0	100	96.8
2.33	4.8	0	100	95.2
2.34	3.4	0	100	96.6
2.35	2	0	100	98
2.36	2.2	0	100	97.8
2.37	3.4	0	100	96.6
2.38	2.4	0	100	97.6
2.39	2.8	0	100	97.2
2.4	3.6	0	100	96.4
2.41	2	0	100	98
2.42	1.6	0	100	98.4
2.43	1.4	0	100	98.6
2.44	2.4	0	100	97.6
2.45	2.6	0	100	97.4
2.46	2.8	0	100	97.2
2.47	2.6	0	100	97.4
2.48	4.4	0	100	95.6
2.49	3.4	0	100	96.6
2.5	2.2	0	100	97.8
2.51	2	0	100	98
2.52	1	0	100	99
2.53	1.8	0	100	98.2
2.54	2.2	0	100	97.8
2.55	3.4	0	100	96.6
2.56	1.8	0	100	98.2
2.57	4.4	0	100	95.6
2.58	2.8	0	100	97.2
2.59	1.6	0	100	98.4
2.6	3.2	0	100	96.8
2.61	2	0	100	98
2.62	2.2	0	100	97.8
2.63	4.4	0	100	95.6
2.64	2	0	100	98
2.65	2.8	0	100	97.2
2.66	3.4	0	100	96.6
2.67	1.8	0	100	98.2
2.68	2	0	100	98
2.69	3.6	0	100	96.4
2.7	2.2	0	100	97.8
2.71	4.8	0	100	95.2
2.72	2.4	0	100	97.6
2.73	2.4	0	100	97.6
2.74	2.4	0	100	97.6
2.75	3.4	0	100	96.6
2.76	3	0	100	97
2.77	3.4	0	100	96.6
2.78	1.4	0	100	98.6
2.79	3	0	100	97
2.8	3.2	0	100	96.8
2.81	2.2	0	100	97.8
2.82	2	0	100	98
2.83	3.2	0	100	96.8
2.84	2.6	0	100	97.4
2.85	2.6	0	100	97.4
2.86	3.2	0	100	96.8
2.87	1.8	0	100	98.2
2.88	2.6	0	100	97.4
2.89	3	0	100	97
2.9	2.6	0	100	97.4
2.91	2.6	0	100	97.4
2.92	2.8	0	100	97.2
2.93	3.4	0	100	96.6
2.94	3.4	0	100	96.6
2.95	3	0	100	97
2.96	2	0	100	98
2.97	2.8	0	100	97.2
2.98	2.2	0	100	97.8
2.99	2.4	0	100	97.6
3	3.6	0	100	96.4
