t	FPR	FNR	TRP	TNR
1	100	0	100	0
1.01	100	0	100	0
1.02	100	0	100	0
1.03	100	0	100	0
1.04	100	0	100	0
1.05	100	0	100	0
1.06	100	0	100	0
1.07	100	0	100	0
1.08	100	0	100	0
1.09	100	0	100	0
1.1	100	0	100	0
1.11	100	0	100	0
1.12	100	0	100	0
1.13	100	0	100	0
1.14	100	0	100	0
1.15	100	0	100	0
1.16	100	0	100	0
1.17	100	0	100	0
1.18	100	0	100	0
1.19	100	0	100	0
1.2	100	0	100	0
1.21	100	0	100	0
1.22	100	0	100	0
1.23	100	0	100	0
1.24	100	0	100	0
1.25	100	0	100	0
1.26	100	0	100	0
1.27	100	0	100	0
1.28	100	0	100	0
1.29	100	0	100	0
1.3	100	0	100	0
1.31	100	0	100	0
1.32	100	0	100	0
1.33	100	0	100	0
1.34	100	0	100	0
1.35	100	0	100	0
1.36	100	0	100	0
1.37	100	0	100	0
1.38	100	0	100	0
1.39	100	0	100	0
1.4	100	0	100	0
1.41	100	0	100	0
1.42	100	0	100	0
1.43	100	0	100	0
1.44	100	0	100	0
1.45	100	0	100	0
1.46	100	0	100	0
1.47	100	0	100	0
1.48	100	0	100	0
1.49	100	0	100	0
1.5	100	0	100	0
1.51	100	0	100	0
1.52	100	0	100	0
1.53	100	0	100	0
1.54	100	0	100	0
1.55	100	0	100	0
1.56	100	0	100	0
1.57	100	0	100	0
1.58	100	0	100	0
1.59	100	0	100	0
1.6	100	0	100	0
1.61	100	0	100	0
1.62	100	0	100	0
1.63	100	0	100	0
1.64	100	0	100	0
1.65	100	0	100	0
1.66	100	0	100	0
1.67	100	0	100	0
1.68	100	0	100	0
1.69	100	0	100	0
1.7	99.8	0	100	0.2
1.71	100	0	100	0
1.72	100	0	100	0
1.73	100	0	100	0
1.74	100	0	100	0
1.75	100	0	100	0
1.76	100	0	100	0
1.77	100	0	100	0
1.78	100	0	100	0
1.79	100	0	100	0
1.8	100	0	100	0
1.81	100	0	100	0
1.82	100	0	100	0
1.83	100	0	100	0
1.84	100	0	100	0
1.85	100	0	100	0
1.86	100	0	100	0
1.87	99.8	0	100	0.2
1.88	100	0	100	0
1.89	100	0	100	0
1.9	100	0	100	0
1.91	100	0	100	0
1.92	99.8	0	100	0.2
1.93	100	0	100	0
1.94	100	0	100	0
1.95	99.8	0	100	0.2
1.96	100	0	100	0
1.97	99.8	0	100	0.2
1.98	100	0	100	0
1.99	99.8	0	100	0.2
2	99.6	0	100	0.4
2.01	99.8	0	100	0.2
2.02	99.4	0	100	0.6
2.03	100	0	100	0
2.04	100	0	100	0
2.05	99.6	0	100	0.4
2.06	99.6	0	100	0.4
2.07	99.8	0	100	0.2
2.08	99.4	0	100	0.6
2.09	99.2	0	100	0.8
2.1	99.8	0	100	0.2
2.11	99.8	0	100	0.2
2.12	99.2	0	100	0.8
2.13	99.4	0	100	0.6
2.14	100	0	100	0
2.15	99	0	100	1
2.16	99	0	100	1
2.17	99.4	0	100	0.6
2.18	98.8	0	100	1.2
2.19	99.2	0	100	0.8
2.2	98.4	0	100	1.6
2.21	99.4	0	100	0.6
2.22	98.2	0	100	1.8
2.23	98.8	0	100	1.2
2.24	99	0	100	1
2.25	99.4	0	100	0.6
2.26	99.2	0	100	0.8
2.27	99.2	0	100	0.8
2.28	98.6	0	100	1.4
2.29	99	0	100	1
2.3	98.8	0	100	1.2
2.31	98	0	100	2
2.32	99.2	0	100	0.8
2.33	99.4	0	100	0.6
2.34	98	0	100	2
2.35	98.6	0	100	1.4
2.36	98	0	100	2
2.37	99.6	0	100	0.4
2.38	97.6	0	100	2.4
2.39	98.4	0	100	1.6
2.4	97.8	0	100	2.2
2.41	97.4	0	100	2.6
2.42	98.4	0	100	1.6
2.43	97.4	0	100	2.6
2.44	98.8	0	100	1.2
2.45	97.2	0	100	2.8
2.46	98.2	0	100	1.8
2.47	97.2	0	100	2.8
2.48	97.2	0	100	2.8
2.49	97.8	0	100	2.2
2.5	96.6	0	100	3.4
2.51	98	0	100	2
2.52	97.8	0	100	2.2
2.53	97.2	0	100	2.8
2.54	96	0	100	4
2.55	97.4	0	100	2.6
2.56	96	0	100	4
2.57	96.8	0	100	3.2
2.58	97.2	0	100	2.8
2.59	96	0	100	4
2.6	96	0	100	4
2.61	97.2	0	100	2.8
2.62	97.2	0	100	2.8
2.63	96	0	100	4
2.64	96.6	0	100	3.4
2.65	95.2	0	100	4.8
2.66	94.4	0	100	5.6
2.67	96	0	100	4
2.68	95.6	0	100	4.4
2.69	94.4	0	100	5.6
2.7	95.4	0	100	4.6
2.71	94.8	0	100	5.2
2.72	93.4	0	100	6.6
2.73	93	0	100	7
2.74	94.6	0	100	5.4
2.75	92.6	0	100	7.4
2.76	93.2	0	100	6.8
2.77	93.4	0	100	6.6
2.78	94.4	0	100	5.6
2.79	94	0	100	6
2.8	93.6	0	100	6.4
2.81	94.4	0	100	5.6
2.82	91.6	0	100	8.4
2.83	92.6	0	100	7.4
2.84	93.6	0	100	6.4
2.85	91	0	100	9
2.86	92	0	100	8
2.87	92	0	100	8
2.88	94.8	0	100	5.2
2.89	93.2	0	100	6.8
2.9	93	0	100	7
2.91	92.6	0	100	7.4
2.92	91	0	100	9
2.93	89.8	0	100	10.2
2.94	89.6	0	100	10.4
2.95	92	0	100	8
2.96	90.4	0	100	9.6
2.97	90.4	0	100	9.6
2.98	88.4	0	100	11.6
2.99	89.4	0	100	10.6
3	92.2	0	100	7.8
