t	FPR	FNR	TRP	TNR
1	97	0	100	3
1.01	96.2	0	100	3.8
1.02	96.8	0	100	3.2
1.03	97.8	0	100	2.2
1.04	95.2	0	100	4.8
1.05	96.2	0	100	3.8
1.06	97	0	100	3
1.07	95.8	0	100	4.2
1.08	94.2	0	100	5.8
1.09	94.2	0	100	5.8
1.1	95.4	0	100	4.6
1.11	96.2	0	100	3.8
1.12	94	0	100	6
1.13	92.8	0	100	7.2
1.14	91.2	0	100	8.8
1.15	91	0	100	9
1.16	93.4	0	100	6.6
1.17	93.4	0	100	6.6
1.18	90.8	0	100	9.2
1.19	92.2	0	100	7.8
1.2	91.8	0	100	8.2
1.21	88	0	100	12
1.22	91.8	0	100	8.2
1.23	86.8	0	100	13.2
1.24	90	0	100	10
1.25	90.2	0	100	9.8
1.26	87.8	0	100	12.2
1.27	86.8	0	100	13.2
1.28	86.2	0	100	13.8
1.29	85	0	100	15
1.3	86.6	0	100	13.4
1.31	84	0	100	16
1.32	83.8	0	100	16.2
1.33	86.4	0	100	13.6
1.34	83.8	0	100	16.2
1.35	83.4	0	100	16.6
1.36	83.2	0	100	16.8
1.37	83	0	100	17
1.38	80	0	100	20
1.39	80.6	0	100	19.4
1.4	79.8	0	100	20.2
1.41	79.8	0	100	20.2
1.42	80.2	0	100	19.8
1.43	77.4	0	100	22.6
1.44	77.6	0	100	22.4
1.45	77.6	0	100	22.4
1.46	77.6	0	100	22.4
1.47	81.4	0	100	18.6
1.48	75.8	0	100	24.2
1.49	73.4	0	100	26.6
1.5	73.4	0	100	26.6
1.51	75	0.2	99.8	25
1.52	70.2	0	100	29.8
1.53	73.2	0	100	26.8
1.54	72.6	0.2	99.8	27.4
1.55	69.4	0	100	30.6
1.56	71	0	100	29
1.57	70.8	0	100	29.2
1.58	70.2	0	100	29.8
1.59	67.6	0.2	99.8	32.4
1.6	70.4	0.2	99.8	29.6
1.61	71.2	0	100	28.8
1.62	68.2	0	100	31.8
1.63	67.2	0.2	99.8	32.8
1.64	70.2	0.2	99.8	29.8
1.65	66.2	0.4	99.6	33.8
1.66	67.4	0.4	99.6	32.6
1.67	63.8	0.2	99.8	36.2
1.68	65.2	0.6	99.4	34.8
1.69	70.6	0.4	99.6	29.4
1.7	64.6	0.2	99.8	35.4
1.71	62.8	0.2	99.8	37.2
1.72	60.8	0	100	39.2
1.73	64	0.2	99.8	36
1.74	56.8	0.2	99.8	43.2
1.75	58.4	0	100	41.6
1.76	60.6	0	100	39.4
1.77	57.4	0.4	99.6	42.6
1.78	55	0.4	99.6	45
1.79	56	1	99	44
1.8	60.4	1.2	98.8	39.6
1.81	60.6	1	99	39.4
1.82	58	0.6	99.4	42
1.83	50.6	1.6	98.4	49.4
1.84	56.4	1	99	43.6
1.85	57.8	0.8	99.2	42.2
1.86	50.6	0.8	99.2	49.4
1.87	55.2	1.2	98.8	44.8
1.88	47.4	2.2	97.8	52.6
1.89	53	1	99	47
1.9	55	2.4	97.6	45
1.91	55.6	1	99	44.4
1.92	51	1.8	98.2	49
1.93	51.6	2.2	97.8	48.4
1.94	52	1.8	98.2	48
1.95	52.8	1.8	98.2	47.2
1.96	50.6	1.8	98.2	49.4
1.97	42.8	1.6	98.4	57.2
1.98	52.4	1.8	98.2	47.6
1.99	48.4	2	98	51.6
2	47.6	2	98	52.4
2.01	47.2	2.2	97.8	52.8
2.02	47	1.4	98.6	53
2.03	45	3.2	96.8	55
2.04	49.6	2.8	97.2	50.4
2.05	41	4.4	95.6	59
2.06	44.6	3.6	96.4	55.4
2.07	46.8	2	98	53.2
2.08	49	2	98	51
2.09	42.2	3.4	96.6	57.8
2.1	44.8	3.4	96.6	55.2
2.11	42.6	2.6	97.4	57.4
2.12	45	4.4	95.6	55
2.13	42.2	5.8	94.2	57.8
2.14	38.6	3.8	96.2	61.4
2.15	37.4	5.6	94.4	62.6
2.16	35.8	4.2	95.8	64.2
2.17	40.8	1.6	98.4	59.2
2.18	39.2	6.4	93.6	60.8
2.19	39	6.2	93.8	61
2.2	42.6	6.2	93.8	57.4
2.21	36.8	4	96	63.2
2.22	41.4	2.8	97.2	58.6
2.23	39.4	5.8	94.2	60.6
2.24	37	5.8	94.2	63
2.25	39.6	5.6	94.4	60.4
2.26	39.8	6.6	93.4	60.2
2.27	33.4	6	94	66.6
2.28	33.6	8	92	66.4
2.29	36.4	5.2	94.8	63.6
2.3	35.6	9	91	64.4
2.31	31.8	6.4	93.6	68.2
2.32	33	9	91	67
2.33	31.2	6.6	93.4	68.8
2.34	32.4	8.6	91.4	67.6
2.35	35	10.4	89.6	65
2.36	32.8	9.4	90.6	67.2
2.37	29.8	7.8	92.2	70.2
2.38	32.8	10.2	89.8	67.2
2.39	33.8	12	88	66.2
2.4	29.4	9	91	70.6
2.41	34.2	10	90	65.8
2.42	36.2	10	90	63.8
2.43	27.6	12.4	87.6	72.4
2.44	30.6	10.6	89.4	69.4
2.45	32.2	11.4	88.6	67.8
2.46	27.4	12.2	87.8	72.6
2.47	28.6	16.2	83.8	71.4
2.48	29.4	10.2	89.8	70.6
2.49	29.6	13.2	86.8	70.4
2.5	25.8	16.4	83.6	74.2
2.51	32.2	14.2	85.8	67.8
2.52	30.2	13.2	86.8	69.8
2.53	28	13.2	86.8	72
2.54	31	14	86	69
2.55	30.6	14.2	85.8	69.4
2.56	28.8	14	86	71.2
2.57	31	15	85	69
2.58	25	17	83	75
2.59	24.4	14.8	85.2	75.6
2.6	24.8	16.2	83.8	75.2
2.61	21	18	82	79
2.62	25.6	18.2	81.8	74.4
2.63	28.2	20	80	71.8
2.64	24.4	20.2	79.8	75.6
2.65	23	19.4	80.6	77
2.66	24.2	17.4	82.6	75.8
2.67	24.6	21.4	78.6	75.4
2.68	23.2	21.4	78.6	76.8
2.69	23.6	20.6	79.4	76.4
2.7	21.4	16.8	83.2	78.6
2.71	25	17.2	82.8	75
2.72	23.6	20.8	79.2	76.4
2.73	21.6	24	76	78.4
2.74	23.2	21.8	78.2	76.8
2.75	20.4	22.8	77.2	79.6
2.76	23.4	21.6	78.4	76.6
2.77	25.6	20	80	74.4
2.78	24.6	24.8	75.2	75.4
2.79	22.8	22.6	77.4	77.2
2.8	15.4	26.2	73.8	84.6
2.81	17.8	33.2	66.8	82.2
2.82	18.2	25.6	74.4	81.8
2.83	23.6	24.8	75.2	76.4
2.84	21.8	23.8	76.2	78.2
2.85	20.6	27.6	72.4	79.4
