t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	100	0	100
0.05	0.2	100	0	99.8
0.06	0	100	0	100
0.07	0	100	0	100
0.08	0	100	0	100
0.09	0.2	100	0	99.8
0.1	0	100	0	100
0.11	0	100	0	100
0.12	0	100	0	100
0.13	0	100	0	100
0.14	0	100	0	100
0.15	0	100	0	100
0.16	0	99.8	0.2	100
0.17	0	100	0	100
0.18	0	100	0	100
0.19	0	100	0	100
0.2	0	100	0	100
0.21	0.2	99.6	0.4	99.8
0.22	0	99.8	0.2	100
0.23	0	100	0	100
0.24	0	100	0	100
0.25	0	99.8	0.2	100
0.26	0	100	0	100
0.27	0	100	0	100
0.28	0	100	0	100
0.29	0	100	0	100
0.3	0	100	0	100
0.31	0.2	98.8	1.2	99.8
0.32	0.2	98	2	99.8
0.33	0	99.4	0.6	100
0.34	0	96.8	3.2	100
0.35	0	98.4	1.6	100
0.36	0.2	96.6	3.4	99.8
0.37	0.2	98.2	1.8	99.8
0.38	0.4	93.2	6.8	99.6
0.39	0.2	97.8	2.2	99.8
0.4	0.2	98.4	1.6	99.8
0.41	0.2	89.8	10.2	99.8
0.42	0	95	5	100
0.43	0	96.6	3.4	100
0.44	0.4	90.6	9.4	99.6
0.45	0.4	90	10	99.6
0.46	0.4	90	10	99.6
0.47	0.4	86.6	13.4	99.6
0.48	1.2	80.4	19.6	98.8
0.49	0.8	71.2	28.8	99.2
0.5	0.4	75.8	24.2	99.6
0.51	0.4	76.2	23.8	99.6
0.52	0.6	77.8	22.2	99.4
0.53	1.2	69.4	30.6	98.8
0.54	0.8	65.8	34.2	99.2
0.55	1	62	38	99
0.56	1.4	63.2	36.8	98.6
0.57	0.6	54.6	45.4	99.4
0.58	0.8	56.6	43.4	99.2
0.59	1.8	55.2	44.8	98.2
0.6	0.6	53	47	99.4
0.61	1.6	44	56	98.4
0.62	1.8	42.2	57.8	98.2
0.63	1.2	42.8	57.2	98.8
0.64	1.4	38.4	61.6	98.6
0.65	2.4	40.4	59.6	97.6
0.66	2	37.4	62.6	98
0.67	1.2	34.4	65.6	98.8
0.68	2.6	34.4	65.6	97.4
0.69	2.6	29.4	70.6	97.4
0.7	3.2	29.4	70.6	96.8
0.71	2.2	29.4	70.6	97.8
0.72	2.2	22.8	77.2	97.8
0.73	2.2	24.2	75.8	97.8
0.74	1.8	23.6	76.4	98.2
0.75	1.4	27	73	98.6
0.76	1.6	19.4	80.6	98.4
0.77	1.4	17.4	82.6	98.6
0.78	1.8	19	81	98.2
0.79	3.2	14.2	85.8	96.8
0.8	2.6	14	86	97.4
0.81	2.8	12.6	87.4	97.2
0.82	1.8	17	83	98.2
0.83	4	9.8	90.2	96
0.84	2.2	11.4	88.6	97.8
0.85	3.4	8.8	91.2	96.6
0.86	2.8	9	91	97.2
0.87	3.2	9.2	90.8	96.8
0.88	3.4	7.8	92.2	96.6
0.89	3.8	9.2	90.8	96.2
0.9	3.4	7	93	96.6
0.91	3.2	8	92	96.8
0.92	2.4	6	94	97.6
0.93	2.4	4.2	95.8	97.6
0.94	2.6	4.2	95.8	97.4
0.95	3.4	5.8	94.2	96.6
0.96	2.2	3.2	96.8	97.8
0.97	2	3.6	96.4	98
0.98	4.2	2.8	97.2	95.8
0.99	2.2	2.4	97.6	97.8
1	2.2	3.2	96.8	97.8
1.01	3	4.2	95.8	97
1.02	2.4	1.6	98.4	97.6
1.03	3.6	2.6	97.4	96.4
1.04	1.2	1.4	98.6	98.8
1.05	2.8	1.4	98.6	97.2
1.06	3.6	1.4	98.6	96.4
1.07	3.2	1.4	98.6	96.8
1.08	3.4	1.4	98.6	96.6
1.09	2.6	1.4	98.6	97.4
1.1	2.4	0.8	99.2	97.6
1.11	2.8	1.6	98.4	97.2
1.12	3.8	0.6	99.4	96.2
1.13	3	0.8	99.2	97
1.14	1.6	1.4	98.6	98.4
1.15	3	0.4	99.6	97
1.16	2.6	0.2	99.8	97.4
1.17	2.2	0.2	99.8	97.8
1.18	3	0.6	99.4	97
1.19	3.6	0.6	99.4	96.4
1.2	2.8	0	100	97.2
1.21	1.8	0.8	99.2	98.2
1.22	2.8	0.6	99.4	97.2
1.23	4.6	0.2	99.8	95.4
1.24	3.8	0.2	99.8	96.2
1.25	2.2	0	100	97.8
1.26	3.6	0	100	96.4
1.27	2	0.8	99.2	98
1.28	2	0	100	98
1.29	3.8	0	100	96.2
1.3	3.4	0	100	96.6
1.31	3.8	0.2	99.8	96.2
1.32	2.2	0	100	97.8
1.33	1.6	0	100	98.4
1.34	3.8	0	100	96.2
1.35	4.6	0	100	95.4
1.36	2.2	0	100	97.8
1.37	2.2	0.2	99.8	97.8
1.38	1.4	0	100	98.6
1.39	3.2	0	100	96.8
1.4	2.8	0	100	97.2
1.41	4.8	0	100	95.2
1.42	3.4	0	100	96.6
1.43	3.2	0	100	96.8
1.44	3.2	0	100	96.8
1.45	2.8	0	100	97.2
1.46	2.4	0	100	97.6
1.47	3.8	0	100	96.2
1.48	2	0	100	98
1.49	3	0	100	97
1.5	2.4	0	100	97.6
1.51	3.6	0	100	96.4
1.52	3.2	0	100	96.8
1.53	2.8	0	100	97.2
1.54	3.4	0	100	96.6
1.55	3	0	100	97
1.56	2.4	0	100	97.6
1.57	3.4	0	100	96.6
1.58	2.8	0	100	97.2
1.59	3.8	0	100	96.2
1.6	4	0	100	96
1.61	2.2	0	100	97.8
1.62	3.8	0	100	96.2
1.63	2.4	0	100	97.6
1.64	4.4	0	100	95.6
1.65	2	0	100	98
1.66	4	0	100	96
1.67	3.4	0	100	96.6
1.68	3	0	100	97
1.69	3	0	100	97
1.7	0.8	0	100	99.2
1.71	2.8	0	100	97.2
1.72	2.4	0	100	97.6
1.73	3	0	100	97
1.74	2.2	0	100	97.8
1.75	2.6	0	100	97.4
1.76	3.2	0	100	96.8
1.77	3.4	0	100	96.6
1.78	1.8	0	100	98.2
1.79	3.2	0	100	96.8
1.8	3.2	0	100	96.8
1.81	2.4	0	100	97.6
1.82	3.2	0	100	96.8
1.83	2.8	0	100	97.2
1.84	3.8	0	100	96.2
1.85	1	0	100	99
1.86	2.8	0	100	97.2
1.87	3.6	0	100	96.4
1.88	3.6	0	100	96.4
1.89	2.8	0	100	97.2
1.9	2.6	0	100	97.4
1.91	2.2	0	100	97.8
1.92	3.2	0	100	96.8
1.93	3.4	0	100	96.6
1.94	2.2	0	100	97.8
1.95	2.2	0	100	97.8
1.96	2.8	0	100	97.2
1.97	4.2	0	100	95.8
1.98	2.4	0	100	97.6
1.99	4	0	100	96
2	3.6	0	100	96.4
2.01	3.8	0	100	96.2
2.02	1.8	0	100	98.2
2.03	2	0	100	98
2.04	2.8	0	100	97.2
2.05	2.8	0	100	97.2
2.06	3	0	100	97
2.07	2.4	0	100	97.6
2.08	3	0	100	97
2.09	2.8	0	100	97.2
2.1	3	0	100	97
2.11	3.2	0	100	96.8
2.12	2.2	0	100	97.8
2.13	2	0	100	98
2.14	3.2	0	100	96.8
2.15	3.2	0	100	96.8
2.16	1.2	0	100	98.8
2.17	1.8	0	100	98.2
2.18	3	0	100	97
2.19	1.4	0	100	98.6
2.2	2.2	0	100	97.8
2.21	2.4	0	100	97.6
2.22	2.4	0	100	97.6
2.23	2.2	0	100	97.8
2.24	3	0	100	97
2.25	3.4	0	100	96.6
2.26	2.6	0	100	97.4
2.27	1.6	0	100	98.4
2.28	2.4	0	100	97.6
2.29	4.4	0	100	95.6
2.3	2	0	100	98
2.31	3.2	0	100	96.8
2.32	2.8	0	100	97.2
2.33	1.4	0	100	98.6
2.34	3.6	0	100	96.4
2.35	3.4	0	100	96.6
2.36	2.8	0	100	97.2
2.37	3.4	0	100	96.6
2.38	1.4	0	100	98.6
2.39	2.4	0	100	97.6
2.4	3.2	0	100	96.8
2.41	3.4	0	100	96.6
2.42	2.4	0	100	97.6
2.43	2.4	0	100	97.6
2.44	3.8	0	100	96.2
2.45	3.2	0	100	96.8
2.46	2.6	0	100	97.4
2.47	3.2	0	100	96.8
2.48	1	0	100	99
2.49	2	0	100	98
2.5	2.8	0	100	97.2
2.51	2.4	0	100	97.6
2.52	2.4	0	100	97.6
2.53	2.6	0	100	97.4
2.54	4.2	0	100	95.8
2.55	2	0	100	98
2.56	3.8	0	100	96.2
2.57	3.4	0	100	96.6
2.58	2.6	0	100	97.4
2.59	1.6	0	100	98.4
2.6	1.6	0	100	98.4
2.61	1.8	0	100	98.2
2.62	2	0	100	98
2.63	3.2	0	100	96.8
2.64	3.6	0	100	96.4
2.65	4.4	0	100	95.6
2.66	2.2	0	100	97.8
2.67	2.6	0	100	97.4
2.68	2.4	0	100	97.6
2.69	3.6	0	100	96.4
2.7	2.8	0	100	97.2
2.71	2.6	0	100	97.4
2.72	2.2	0	100	97.8
2.73	3.6	0	100	96.4
2.74	3.4	0	100	96.6
2.75	2.2	0	100	97.8
2.76	3.2	0	100	96.8
2.77	2.2	0	100	97.8
2.78	2.4	0	100	97.6
2.79	4.6	0	100	95.4
2.8	0.8	0	100	99.2
2.81	3.2	0	100	96.8
2.82	2.6	0	100	97.4
2.83	1.8	0	100	98.2
2.84	3.8	0	100	96.2
2.85	4.8	0	100	95.2
2.86	1.4	0	100	98.6
2.87	2.4	0	100	97.6
2.88	3.8	0	100	96.2
2.89	3.6	0	100	96.4
2.9	1.4	0	100	98.6
2.91	2.6	0	100	97.4
2.92	2.8	0	100	97.2
2.93	2.8	0	100	97.2
2.94	4	0	100	96
2.95	3.4	0	100	96.6
2.96	1.4	0	100	98.6
2.97	3.2	0	100	96.8
2.98	1.6	0	100	98.4
2.99	2.8	0	100	97.2
3	3	0	100	97
