t	FPR	FNR	TRP	TNR
1	2.4	0	100	97.6
1.01	3.4	0	100	96.6
1.02	2.6	0	100	97.4
1.03	2.6	0	100	97.4
1.04	2.6	0	100	97.4
1.05	2.2	0	100	97.8
1.06	3.6	0	100	96.4
1.07	3.6	0	100	96.4
1.08	2.4	0	100	97.6
1.09	1.8	0	100	98.2
1.1	3.4	0	100	96.6
1.11	2.4	0	100	97.6
1.12	2	0	100	98
1.13	3.4	0	100	96.6
1.14	3	0	100	97
1.15	1.6	0	100	98.4
1.16	3.8	0	100	96.2
1.17	3.8	0	100	96.2
1.18	3.4	0	100	96.6
1.19	4.4	0	100	95.6
1.2	2	0	100	98
1.21	3	0	100	97
1.22	2.6	0	100	97.4
1.23	3.4	0	100	96.6
1.24	2.8	0	100	97.2
1.25	2.8	0	100	97.2
1.26	2.4	0	100	97.6
1.27	2.4	0	100	97.6
1.28	4.2	0	100	95.8
1.29	3	0	100	97
1.3	2	0	100	98
1.31	2.8	0	100	97.2
1.32	3.4	0	100	96.6
1.33	2.2	0	100	97.8
1.34	3	0	100	97
1.35	1.4	0	100	98.6
1.36	2.4	0	100	97.6
1.37	3.8	0	100	96.2
1.38	3	0	100	97
1.39	3.2	0	100	96.8
1.4	3.4	0	100	96.6
1.41	2	0	100	98
1.42	3	0	100	97
1.43	3.8	0	100	96.2
1.44	3.6	0	100	96.4
1.45	3.4	0	100	96.6
1.46	2.8	0	100	97.2
1.47	4	0	100	96
1.48	4.2	0	100	95.8
1.49	2	0	100	98
1.5	3	0	100	97
1.51	3	0	100	97
1.52	3	0	100	97
1.53	3.6	0	100	96.4
1.54	2.4	0	100	97.6
1.55	3.2	0	100	96.8
1.56	2	0	100	98
1.57	2.6	0	100	97.4
1.58	2.4	0	100	97.6
1.59	2.4	0	100	97.6
1.6	3	0	100	97
1.61	3.2	0	100	96.8
1.62	3.2	0	100	96.8
1.63	2.6	0	100	97.4
1.64	2.2	0	100	97.8
1.65	2.8	0	100	97.2
1.66	3	0	100	97
1.67	3.8	0	100	96.2
1.68	2.6	0	100	97.4
1.69	3	0	100	97
1.7	2.4	0	100	97.6
1.71	1.8	0	100	98.2
1.72	2.8	0	100	97.2
1.73	2.8	0	100	97.2
1.74	2.6	0	100	97.4
1.75	2.4	0	100	97.6
1.76	2.4	0	100	97.6
1.77	3.6	0	100	96.4
1.78	1.6	0	100	98.4
1.79	5.8	0	100	94.2
1.8	2.4	0	100	97.6
1.81	2	0	100	98
1.82	2.6	0	100	97.4
1.83	3.4	0	100	96.6
1.84	3	0	100	97
1.85	3.2	0	100	96.8
1.86	3.4	0	100	96.6
1.87	3.6	0	100	96.4
1.88	3	0	100	97
1.89	1.4	0	100	98.6
1.9	3.2	0	100	96.8
1.91	1.8	0	100	98.2
1.92	3	0	100	97
1.93	1.6	0	100	98.4
1.94	2.2	0	100	97.8
1.95	3.6	0	100	96.4
1.96	2.6	0	100	97.4
1.97	2.6	0	100	97.4
1.98	2.6	0	100	97.4
1.99	2.8	0	100	97.2
2	4.8	0	100	95.2
2.01	3.4	0	100	96.6
2.02	2.2	0	100	97.8
2.03	2.6	0	100	97.4
2.04	3	0	100	97
2.05	4.4	0	100	95.6
2.06	3.6	0	100	96.4
2.07	3	0	100	97
2.08	3.4	0	100	96.6
2.09	2	0	100	98
2.1	3.2	0	100	96.8
2.11	2.6	0	100	97.4
2.12	3.4	0	100	96.6
2.13	3.2	0	100	96.8
2.14	3.2	0	100	96.8
2.15	4.4	0	100	95.6
2.16	2	0	100	98
2.17	3.6	0	100	96.4
2.18	1.6	0	100	98.4
2.19	4.6	0	100	95.4
2.2	3.6	0	100	96.4
2.21	2.2	0	100	97.8
2.22	3	0	100	97
2.23	3.2	0	100	96.8
2.24	2.8	0	100	97.2
2.25	2.4	0	100	97.6
2.26	3.2	0	100	96.8
2.27	1.6	0	100	98.4
2.28	4.6	0	100	95.4
2.29	2.8	0	100	97.2
2.3	3.2	0	100	96.8
2.31	2.2	0	100	97.8
2.32	1.2	0	100	98.8
2.33	2.4	0	100	97.6
2.34	3	0	100	97
2.35	3	0	100	97
2.36	2	0	100	98
2.37	4	0	100	96
2.38	3	0	100	97
2.39	2.2	0	100	97.8
2.4	2.6	0	100	97.4
2.41	4.4	0	100	95.6
2.42	2.6	0	100	97.4
2.43	3	0	100	97
2.44	3	0	100	97
2.45	2.4	0	100	97.6
2.46	3.6	0	100	96.4
2.47	3	0	100	97
2.48	3	0	100	97
2.49	2.8	0	100	97.2
2.5	3.6	0	100	96.4
2.51	2	0.2	99.8	98
2.52	2.4	0	100	97.6
2.53	1.8	0	100	98.2
2.54	3.2	0	100	96.8
2.55	2.8	0	100	97.2
2.56	3	0	100	97
2.57	2.8	0	100	97.2
2.58	3	0.2	99.8	97
2.59	1.8	0	100	98.2
2.6	3.4	0	100	96.6
2.61	2.2	0	100	97.8
2.62	3	0	100	97
2.63	5	0	100	95
2.64	4.8	0	100	95.2
2.65	3	0	100	97
2.66	2.4	0	100	97.6
2.67	4	0	100	96
2.68	2.2	0.4	99.6	97.8
2.69	4	0	100	96
2.7	1.8	0	100	98.2
2.71	3.8	0	100	96.2
2.72	2	0.2	99.8	98
2.73	4.2	0	100	95.8
2.74	3.8	0	100	96.2
2.75	2.6	0	100	97.4
2.76	3.6	0	100	96.4
2.77	2.6	0	100	97.4
2.78	2.4	0	100	97.6
2.79	2.2	0	100	97.8
2.8	1.8	0.2	99.8	98.2
2.81	3	0.2	99.8	97
2.82	2.2	0.2	99.8	97.8
2.83	4.6	0.6	99.4	95.4
2.84	3	0	100	97
2.85	2.8	0	100	97.2
2.86	3	0	100	97
2.87	2.6	0	100	97.4
2.88	2.2	0	100	97.8
2.89	3.4	0	100	96.6
2.9	2.2	0.4	99.6	97.8
2.91	2.6	0.2	99.8	97.4
2.92	2	0.4	99.6	98
2.93	2.6	0.4	99.6	97.4
2.94	4.6	0.6	99.4	95.4
2.95	3.2	0	100	96.8
2.96	3.6	0	100	96.4
2.97	3.8	0.4	99.6	96.2
2.98	1.8	0	100	98.2
2.99	2.8	0.4	99.6	97.2
3	3	0.2	99.8	97
