t	FPR	FNR	TRP	TNR
1	1.4	0	100	98.6
1.01	1.8	0	100	98.2
1.02	3.6	0	100	96.4
1.03	1.8	0	100	98.2
1.04	3.4	0	100	96.6
1.05	2.4	0	100	97.6
1.06	3.2	0	100	96.8
1.07	3	0	100	97
1.08	3	0	100	97
1.09	2.6	0	100	97.4
1.1	1	0	100	99
1.11	4.6	0	100	95.4
1.12	2.4	0	100	97.6
1.13	2.8	0	100	97.2
1.14	3	0	100	97
1.15	4.4	0	100	95.6
1.16	3.2	0	100	96.8
1.17	3.4	0	100	96.6
1.18	2.8	0	100	97.2
1.19	3	0	100	97
1.2	3.6	0	100	96.4
1.21	1.6	0	100	98.4
1.22	2.8	0	100	97.2
1.23	2.6	0	100	97.4
1.24	3.4	0	100	96.6
1.25	4.8	0	100	95.2
1.26	2.8	0	100	97.2
1.27	2.2	0	100	97.8
1.28	3.2	0	100	96.8
1.29	2.4	0	100	97.6
1.3	3.4	0	100	96.6
1.31	2.2	0	100	97.8
1.32	2.8	0	100	97.2
1.33	2.4	0	100	97.6
1.34	2	0	100	98
1.35	1.8	0	100	98.2
1.36	2.2	0	100	97.8
1.37	2.8	0	100	97.2
1.38	2.8	0	100	97.2
1.39	3.2	0	100	96.8
1.4	2.8	0	100	97.2
1.41	1.4	0	100	98.6
1.42	1.8	0	100	98.2
1.43	3	0	100	97
1.44	3.6	0	100	96.4
1.45	2.8	0	100	97.2
1.46	2.2	0	100	97.8
1.47	1.4	0	100	98.6
1.48	2.2	0	100	97.8
1.49	2.6	0	100	97.4
1.5	2.8	0	100	97.2
1.51	2.8	0	100	97.2
1.52	2	0	100	98
1.53	1.6	0	100	98.4
1.54	4.4	0	100	95.6
1.55	1.8	0	100	98.2
1.56	2	0	100	98
1.57	1.8	0	100	98.2
1.58	2	0	100	98
1.59	3.2	0	100	96.8
1.6	2.8	0	100	97.2
1.61	2.4	0	100	97.6
1.62	2.8	0	100	97.2
1.63	2	0	100	98
1.64	3	0	100	97
1.65	1.4	0	100	98.6
1.66	4.6	0	100	95.4
1.67	2.4	0	100	97.6
1.68	3.2	0	100	96.8
1.69	1.6	0	100	98.4
1.7	2.8	0	100	97.2
1.71	3.4	0	100	96.6
1.72	2.4	0	100	97.6
1.73	2.8	0	100	97.2
1.74	2.4	0	100	97.6
1.75	3	0	100	97
1.76	4.4	0	100	95.6
1.77	1.6	0	100	98.4
1.78	2.2	0	100	97.8
1.79	1.4	0	100	98.6
1.8	3.2	0	100	96.8
1.81	2.4	0	100	97.6
1.82	1.4	0	100	98.6
1.83	1.6	0	100	98.4
1.84	3.8	0	100	96.2
1.85	3	0	100	97
1.86	4	0	100	96
1.87	4.4	0	100	95.6
1.88	2.6	0	100	97.4
1.89	2.8	0	100	97.2
1.9	2.4	0	100	97.6
1.91	4.2	0	100	95.8
1.92	3.4	0	100	96.6
1.93	2.8	0	100	97.2
1.94	3.8	0	100	96.2
1.95	4	0	100	96
1.96	1.4	0	100	98.6
1.97	2	0	100	98
1.98	1.6	0	100	98.4
1.99	3.4	0	100	96.6
2	3.4	0	100	96.6
2.01	5	0	100	95
2.02	3.8	0	100	96.2
2.03	3	0	100	97
2.04	3.2	0	100	96.8
2.05	2.8	0	100	97.2
2.06	4.6	0	100	95.4
2.07	3.8	0	100	96.2
2.08	1.8	0	100	98.2
2.09	3	0	100	97
2.1	2.8	0	100	97.2
2.11	2.2	0	100	97.8
2.12	2.6	0	100	97.4
2.13	2.8	0	100	97.2
2.14	0.4	0	100	99.6
2.15	3	0	100	97
2.16	3.6	0	100	96.4
2.17	3	0	100	97
2.18	2.4	0	100	97.6
2.19	2.4	0	100	97.6
2.2	4.2	0	100	95.8
2.21	3.6	0	100	96.4
2.22	3	0	100	97
2.23	3.6	0	100	96.4
2.24	4.2	0	100	95.8
2.25	2.4	0	100	97.6
2.26	3.6	0	100	96.4
2.27	2.8	0	100	97.2
2.28	2.2	0	100	97.8
2.29	4.2	0	100	95.8
2.3	4	0	100	96
2.31	3.2	0	100	96.8
2.32	2.8	0	100	97.2
2.33	2.2	0	100	97.8
2.34	4.2	0	100	95.8
2.35	2.4	0	100	97.6
2.36	3.4	0	100	96.6
2.37	2.4	0	100	97.6
2.38	4	0	100	96
2.39	2	0	100	98
2.4	3.8	0	100	96.2
2.41	3	0	100	97
2.42	3.4	0	100	96.6
2.43	1.8	0	100	98.2
2.44	1.6	0	100	98.4
2.45	2.8	0	100	97.2
2.46	2.4	0	100	97.6
2.47	2.6	0	100	97.4
2.48	2.4	0	100	97.6
2.49	1.4	0	100	98.6
2.5	4.4	0	100	95.6
2.51	2.4	0	100	97.6
2.52	3.8	0	100	96.2
2.53	1.6	0	100	98.4
2.54	3.2	0	100	96.8
2.55	2.6	0	100	97.4
2.56	4.6	0	100	95.4
2.57	3.4	0	100	96.6
2.58	2.4	0	100	97.6
2.59	3	0	100	97
2.6	2.6	0	100	97.4
2.61	2	0	100	98
2.62	2.6	0	100	97.4
2.63	2.4	0	100	97.6
2.64	1.8	0	100	98.2
2.65	2.6	0	100	97.4
2.66	2.8	0	100	97.2
2.67	3	0	100	97
2.68	3.8	0	100	96.2
2.69	3	0	100	97
2.7	2.6	0	100	97.4
2.71	4	0	100	96
2.72	2.6	0	100	97.4
2.73	3.8	0	100	96.2
2.74	2.6	0	100	97.4
2.75	3	0	100	97
2.76	2.6	0	100	97.4
2.77	1.6	0	100	98.4
2.78	2.6	0	100	97.4
2.79	2.4	0	100	97.6
2.8	3.2	0	100	96.8
2.81	3	0	100	97
2.82	2.2	0	100	97.8
2.83	1.8	0	100	98.2
2.84	4.2	0	100	95.8
2.85	3.8	0	100	96.2
2.86	3.4	0	100	96.6
2.87	2.4	0	100	97.6
2.88	2.8	0	100	97.2
2.89	3	0	100	97
2.9	3.4	0	100	96.6
2.91	3.8	0	100	96.2
2.92	2.6	0	100	97.4
2.93	4.4	0	100	95.6
2.94	3.6	0	100	96.4
2.95	4.8	0	100	95.2
2.96	3.4	0	100	96.6
2.97	3.4	0	100	96.6
2.98	4.6	0	100	95.4
2.99	2.2	0	100	97.8
3	3	0	100	97
