t	FPR	FNR	TRP	TNR
1	4.4	0	100	95.6
1.01	2.4	0	100	97.6
1.02	4.4	0	100	95.6
1.03	3.4	0	100	96.6
1.04	3	0	100	97
1.05	2.4	0	100	97.6
1.06	3.6	0	100	96.4
1.07	3.4	0	100	96.6
1.08	3	0	100	97
1.09	3.2	0	100	96.8
1.1	2	0	100	98
1.11	3.2	0	100	96.8
1.12	3.4	0	100	96.6
1.13	1.4	0	100	98.6
1.14	3.4	0	100	96.6
1.15	2.2	0	100	97.8
1.16	3.2	0	100	96.8
1.17	2.8	0	100	97.2
1.18	1.4	0	100	98.6
1.19	2.2	0	100	97.8
1.2	2.8	0	100	97.2
1.21	2.8	0	100	97.2
1.22	1.4	0	100	98.6
1.23	4.6	0	100	95.4
1.24	2.4	0	100	97.6
1.25	3.4	0	100	96.6
1.26	2.2	0	100	97.8
1.27	2.2	0	100	97.8
1.28	1.4	0	100	98.6
1.29	2.4	0	100	97.6
1.3	3.8	0	100	96.2
1.31	2.8	0	100	97.2
1.32	3.4	0	100	96.6
1.33	2.8	0	100	97.2
1.34	3.4	0	100	96.6
1.35	4.4	0	100	95.6
1.36	1.8	0	100	98.2
1.37	3.8	0	100	96.2
1.38	2.6	0	100	97.4
1.39	5.4	0	100	94.6
1.4	3.8	0	100	96.2
1.41	3.2	0	100	96.8
1.42	2.8	0	100	97.2
1.43	3.2	0.2	99.8	96.8
1.44	3.8	0	100	96.2
1.45	3	0	100	97
1.46	3.8	0	100	96.2
1.47	2.6	0	100	97.4
1.48	3	0	100	97
1.49	2	0	100	98
1.5	3.6	0	100	96.4
1.51	1.8	0.2	99.8	98.2
1.52	3.4	0	100	96.6
1.53	3	0	100	97
1.54	2.2	0.2	99.8	97.8
1.55	2.6	0	100	97.4
1.56	3.2	0.2	99.8	96.8
1.57	3	0	100	97
1.58	2.6	0	100	97.4
1.59	1.8	0.2	99.8	98.2
1.6	2.6	0.4	99.6	97.4
1.61	2	0	100	98
1.62	2.6	0	100	97.4
1.63	2.6	0.2	99.8	97.4
1.64	2	0.2	99.8	98
1.65	4	0.4	99.6	96
1.66	2.4	0	100	97.6
1.67	2.4	0.2	99.8	97.6
1.68	1.8	0.6	99.4	98.2
1.69	2.8	0.4	99.6	97.2
1.7	3.4	0.2	99.8	96.6
1.71	2.6	0.6	99.4	97.4
1.72	2	0.6	99.4	98
1.73	3.4	0.6	99.4	96.6
1.74	2.8	0.2	99.8	97.2
1.75	3.2	0.4	99.6	96.8
1.76	3.2	0	100	96.8
1.77	4.2	0.4	99.6	95.8
1.78	3.2	0.6	99.4	96.8
1.79	3.4	0.8	99.2	96.6
1.8	2	1.8	98.2	98
1.81	2.4	2	98	97.6
1.82	3	1.2	98.8	97
1.83	2.6	1.8	98.2	97.4
1.84	2.4	1.2	98.8	97.6
1.85	3.4	0.8	99.2	96.6
1.86	3.4	1.2	98.8	96.6
1.87	1	1.8	98.2	99
1.88	3	2	98	97
1.89	2.8	1.2	98.8	97.2
1.9	3.6	3	97	96.4
1.91	2.4	1.8	98.2	97.6
1.92	2.6	2.4	97.6	97.4
1.93	1.8	2.8	97.2	98.2
1.94	3.4	2.2	97.8	96.6
1.95	2.6	3	97	97.4
1.96	5.2	1.4	98.6	94.8
1.97	3.2	2	98	96.8
1.98	2.8	2.4	97.6	97.2
1.99	2	2.8	97.2	98
2	3.2	2.2	97.8	96.8
2.01	2.2	3	97	97.8
2.02	3.2	2.2	97.8	96.8
2.03	2.2	4.2	95.8	97.8
2.04	2.6	3.8	96.2	97.4
2.05	2.6	4.8	95.2	97.4
2.06	4	4	96	96
2.07	2.8	2.6	97.4	97.2
2.08	1.8	3	97	98.2
2.09	2.4	4.6	95.4	97.6
