t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	99.8	0.2	100
0.07	0	100	0	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0.2	99.8	0.2	99.8
0.11	0	99.8	0.2	100
0.12	0	100	0	100
0.13	0	100	0	100
0.14	0	100	0	100
0.15	0.2	100	0	99.8
0.16	0	100	0	100
0.17	0.6	100	0	99.4
0.18	0.4	100	0	99.6
0.19	0	99.8	0.2	100
0.2	0.2	100	0	99.8
0.21	0.4	99.8	0.2	99.6
0.22	0.2	99.8	0.2	99.8
0.23	0.4	100	0	99.6
0.24	0.8	100	0	99.2
0.25	0.2	100	0	99.8
0.26	0.4	99.8	0.2	99.6
0.27	0.4	100	0	99.6
0.28	0	99	1	100
0.29	1	99.8	0.2	99
0.3	0.8	99.8	0.2	99.2
0.31	0	99.8	0.2	100
0.32	1	99.8	0.2	99
0.33	0.8	98.8	1.2	99.2
0.34	0.2	99.4	0.6	99.8
0.35	0.2	99.2	0.8	99.8
0.36	0.2	99.4	0.6	99.8
0.37	0.4	98.8	1.2	99.6
0.38	0.8	99.4	0.6	99.2
0.39	1.6	99.6	0.4	98.4
0.4	0.8	99	1	99.2
0.41	1.2	99	1	98.8
0.42	0.2	97.6	2.4	99.8
0.43	2.4	98.8	1.2	97.6
0.44	2	99.2	0.8	98
0.45	2.8	98.6	1.4	97.2
0.46	2	99	1	98
0.47	1.8	98.2	1.8	98.2
0.48	3	96.8	3.2	97
0.49	3.6	98.4	1.6	96.4
0.5	2	98.2	1.8	98
0.51	3.4	98.4	1.6	96.6
0.52	3.6	96.4	3.6	96.4
0.53	3.8	97	3	96.2
0.54	5.4	97.6	2.4	94.6
0.55	3.6	95.8	4.2	96.4
0.56	2.2	93.6	6.4	97.8
0.57	3	94.4	5.6	97
0.58	4.2	95	5	95.8
0.59	5.2	93.8	6.2	94.8
0.6	6	94.8	5.2	94
0.61	7	93	7	93
0.62	7.8	94	6	92.2
0.63	7.6	93	7	92.4
0.64	8.6	93.4	6.6	91.4
0.65	7.8	91.6	8.4	92.2
0.66	8.2	88.8	11.2	91.8
0.67	10.2	88.4	11.6	89.8
0.68	16	92.8	7.2	84
0.69	15.8	88	12	84.2
0.7	11	86.4	13.6	89
0.71	13.2	89.8	10.2	86.8
0.72	9.6	79	21	90.4
0.73	17.2	87.2	12.8	82.8
0.74	17.6	84.6	15.4	82.4
0.75	17.2	78	22	82.8
0.76	11.2	73.8	26.2	88.8
0.77	20	84.6	15.4	80
0.78	17.2	78	22	82.8
0.79	20.2	74	26	79.8
0.8	22.8	74.4	25.6	77.2
0.81	16.4	59.8	40.2	83.6
0.82	18.8	70	30	81.2
0.83	24.6	73.2	26.8	75.4
0.84	24	74.2	25.8	76
0.85	24.8	63.6	36.4	75.2
0.86	32.2	74.8	25.2	67.8
0.87	27.8	66.2	33.8	72.2
0.88	30.2	61.8	38.2	69.8
0.89	28	54.4	45.6	72
0.9	22.2	49.2	50.8	77.8
0.91	31.4	49.8	50.2	68.6
0.92	31.4	49.8	50.2	68.6
0.93	38	57.4	42.6	62
0.94	31	45.4	54.6	69
0.95	30.6	42	58	69.4
0.96	41.4	47	53	58.6
0.97	29.6	33.4	66.6	70.4
0.98	40.8	46.4	53.6	59.2
0.99	37.4	34.4	65.6	62.6
1	41.8	36.4	63.6	58.2
1.01	40	30	70	60
1.02	40	30.8	69.2	60
1.03	49.6	39.2	60.8	50.4
1.04	44.2	23.8	76.2	55.8
1.05	40.8	24.2	75.8	59.2
1.06	49	22.2	77.8	51
1.07	51.2	22.6	77.4	48.8
1.08	49.8	19.4	80.6	50.2
1.09	57	24.2	75.8	43
1.1	57.8	12.8	87.2	42.2
1.11	55.6	14.8	85.2	44.4
1.12	62.2	21.8	78.2	37.8
1.13	50.6	9	91	49.4
1.14	61.2	12.6	87.4	38.8
1.15	70.2	12.8	87.2	29.8
1.16	65.4	16.4	83.6	34.6
1.17	64.2	8.6	91.4	35.8
1.18	70	11.2	88.8	30
1.19	78.6	8	92	21.4
1.2	73.8	9.4	90.6	26.2
1.21	78.2	4.6	95.4	21.8
1.22	68.4	4.4	95.6	31.6
1.23	80	6.8	93.2	20
1.24	82.8	3.6	96.4	17.2
1.25	89.8	4	96	10.2
1.26	81.6	6	94	18.4
1.27	84.6	1	99	15.4
1.28	91	3	97	9
1.29	90.8	1.4	98.6	9.2
1.3	93	1.2	98.8	7
1.31	96.8	4	96	3.2
1.32	96.6	1.4	98.6	3.4
1.33	97.2	0.2	99.8	2.8
1.34	100	0	100	0
1.35	97	0.6	99.4	3
1.36	100	0	100	0
1.37	99.6	0.8	99.2	0.4
1.38	100	0	100	0
1.39	98.4	0.6	99.4	1.6
1.4	98.4	0	100	1.6
1.41	99.4	0.4	99.6	0.6
1.42	100	0	100	0
1.43	100	0	100	0
1.44	97.8	0	100	2.2
1.45	100	0	100	0
1.46	100	0	100	0
1.47	100	0	100	0
1.48	100	0	100	0
1.49	100	0	100	0
1.5	100	0	100	0
1.51	100	0	100	0
1.52	100	0	100	0
1.53	100	0	100	0
1.54	100	0	100	0
1.55	98.8	0	100	1.2
1.56	100	0	100	0
1.57	100	0	100	0
1.58	100	0	100	0
1.59	100	0	100	0
1.6	100	0	100	0
1.61	100	0	100	0
1.62	100	0	100	0
1.63	100	0	100	0
1.64	100	0	100	0
1.65	100	0	100	0
1.66	100	0	100	0
1.67	100	0	100	0
1.68	100	0	100	0
1.69	100	0	100	0
1.7	100	0	100	0
1.71	100	0	100	0
1.72	100	0	100	0
1.73	100	0	100	0
1.74	100	0	100	0
1.75	100	0	100	0
1.76	100	0	100	0
1.77	100	0	100	0
1.78	100	0	100	0
1.79	100	0	100	0
1.8	100	0	100	0
1.81	100	0	100	0
1.82	100	0	100	0
1.83	100	0	100	0
1.84	100	0	100	0
1.85	100	0	100	0
1.86	100	0	100	0
1.87	100	0	100	0
1.88	100	0	100	0
1.89	100	0	100	0
1.9	100	0	100	0
1.91	100	0	100	0
1.92	100	0	100	0
1.93	100	0	100	0
1.94	100	0	100	0
1.95	100	0	100	0
1.96	100	0	100	0
1.97	100	0	100	0
1.98	100	0	100	0
1.99	100	0	100	0
2	100	0	100	0
2.01	100	0	100	0
2.02	100	0	100	0
2.03	100	0	100	0
2.04	100	0	100	0
2.05	100	0	100	0
2.06	100	0	100	0
2.07	100	0	100	0
2.08	100	0	100	0
2.09	100	0	100	0
2.1	100	0	100	0
2.11	100	0	100	0
2.12	100	0	100	0
2.13	100	0	100	0
2.14	100	0	100	0
2.15	100	0	100	0
2.16	100	0	100	0
2.17	100	0	100	0
2.18	100	0	100	0
2.19	100	0	100	0
2.2	100	0	100	0
2.21	100	0	100	0
2.22	100	0	100	0
2.23	100	0	100	0
2.24	100	0	100	0
2.25	100	0	100	0
2.26	100	0	100	0
2.27	100	0	100	0
2.28	100	0	100	0
2.29	100	0	100	0
2.3	100	0	100	0
2.31	100	0	100	0
2.32	100	0	100	0
2.33	100	0	100	0
2.34	100	0	100	0
2.35	100	0	100	0
2.36	100	0	100	0
2.37	100	0	100	0
2.38	100	0	100	0
2.39	100	0	100	0
2.4	100	0	100	0
2.41	100	0	100	0
2.42	100	0	100	0
2.43	100	0	100	0
2.44	100	0	100	0
2.45	100	0	100	0
2.46	100	0	100	0
2.47	100	0	100	0
2.48	100	0	100	0
2.49	100	0	100	0
2.5	100	0	100	0
2.51	100	0	100	0
2.52	100	0	100	0
2.53	100	0	100	0
2.54	100	0	100	0
2.55	100	0	100	0
2.56	100	0	100	0
2.57	100	0	100	0
2.58	100	0	100	0
2.59	100	0	100	0
2.6	100	0	100	0
2.61	100	0	100	0
2.62	100	0	100	0
2.63	100	0	100	0
2.64	100	0	100	0
2.65	100	0	100	0
2.66	100	0	100	0
2.67	100	0	100	0
2.68	100	0	100	0
2.69	100	0	100	0
2.7	100	0	100	0
2.71	100	0	100	0
2.72	100	0	100	0
2.73	100	0	100	0
2.74	100	0	100	0
2.75	100	0	100	0
2.76	100	0	100	0
2.77	100	0	100	0
2.78	100	0	100	0
2.79	100	0	100	0
2.8	100	0	100	0
2.81	100	0	100	0
2.82	100	0	100	0
2.83	100	0	100	0
2.84	100	0	100	0
2.85	100	0	100	0
2.86	100	0	100	0
2.87	100	0	100	0
2.88	100	0	100	0
2.89	100	0	100	0
2.9	100	0	100	0
2.91	100	0	100	0
2.92	100	0	100	0
2.93	100	0	100	0
2.94	100	0	100	0
2.95	100	0	100	0
2.96	100	0	100	0
2.97	100	0	100	0
2.98	100	0	100	0
2.99	100	0	100	0
3	100	0	100	0
