t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	99.8	0.2	100
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	100	0	100
0.07	0	100	0	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0	100	0	100
0.11	0.2	100	0	99.8
0.12	0.2	100	0	99.8
0.13	0	99.8	0.2	100
0.14	0.2	100	0	99.8
0.15	0	100	0	100
0.16	0	100	0	100
0.17	0.2	100	0	99.8
0.18	1	100	0	99
0.19	0.2	99.8	0.2	99.8
0.2	0.6	100	0	99.4
0.21	0.6	100	0	99.4
0.22	0.4	100	0	99.6
0.23	0.2	99.6	0.4	99.8
0.24	0.6	100	0	99.4
0.25	0.4	100	0	99.6
0.26	0.2	99.2	0.8	99.8
0.27	1	99.8	0.2	99
0.28	1	99.4	0.6	99
0.29	0.6	99.2	0.8	99.4
0.3	1	99.6	0.4	99
0.31	0.8	99.6	0.4	99.2
0.32	1.8	98.8	1.2	98.2
0.33	0.4	97.8	2.2	99.6
0.34	1.6	98.6	1.4	98.4
0.35	0.8	97.8	2.2	99.2
0.36	0.6	97.2	2.8	99.4
0.37	2	97.8	2.2	98
0.38	2	98.2	1.8	98
0.39	2.6	97.6	2.4	97.4
0.4	2.6	95.2	4.8	97.4
0.41	3	96.4	3.6	97
0.42	3.8	97	3	96.2
0.43	3.6	98	2	96.4
0.44	5.6	95.4	4.6	94.4
0.45	3.2	94.6	5.4	96.8
0.46	4	95.4	4.6	96
0.47	5	95	5	95
0.48	5.6	92.8	7.2	94.4
0.49	9.4	96.2	3.8	90.6
0.5	3.4	90.8	9.2	96.6
0.51	5.8	90.4	9.6	94.2
0.52	7.8	90	10	92.2
0.53	9.8	86.2	13.8	90.2
0.54	7	85.6	14.4	93
0.55	7.8	84.4	15.6	92.2
0.56	7.2	79.8	20.2	92.8
0.57	13.6	86	14	86.4
0.58	14.6	81.4	18.6	85.4
0.59	11.8	81.6	18.4	88.2
0.6	12	75.6	24.4	88
0.61	19.8	80.6	19.4	80.2
0.62	13	63.6	36.4	87
0.63	20.2	73	27	79.8
0.64	16.6	68.2	31.8	83.4
0.65	18	61.6	38.4	82
0.66	16.8	53.6	46.4	83.2
0.67	30.6	70.4	29.6	69.4
0.68	24.6	65	35	75.4
0.69	34	67.2	32.8	66
0.7	24.8	53.2	46.8	75.2
0.71	25	49	51	75
0.72	26.6	49.6	50.4	73.4
0.73	30.8	42.8	57.2	69.2
0.74	38	43.8	56.2	62
0.75	32	41.8	58.2	68
0.76	42.6	50	50	57.4
0.77	41.4	38.4	61.6	58.6
0.78	35.8	30.6	69.4	64.2
0.79	46.8	30.4	69.6	53.2
0.8	39.2	24.8	75.2	60.8
0.81	47.6	27.4	72.6	52.4
0.82	50.2	26.4	73.6	49.8
0.83	53.8	26.2	73.8	46.2
0.84	54.4	24.2	75.8	45.6
0.85	60	17.4	82.6	40
0.86	57.2	17.6	82.4	42.8
0.87	65	19	81	35
0.88	63.2	18.8	81.2	36.8
0.89	59.8	9.4	90.6	40.2
0.9	64.2	6.4	93.6	35.8
0.91	75.6	13.8	86.2	24.4
0.92	69.2	8.4	91.6	30.8
0.93	79.4	6.2	93.8	20.6
0.94	76.8	10.2	89.8	23.2
0.95	74.4	5.8	94.2	25.6
0.96	78.8	2.8	97.2	21.2
0.97	91	5.4	94.6	9
0.98	79.8	3.6	96.4	20.2
0.99	92	2.6	97.4	8
1	88.4	1.8	98.2	11.6
1.01	94	3.4	96.6	6
1.02	96	1.4	98.6	4
1.03	91.6	0.6	99.4	8.4
1.04	92.6	2	98	7.4
1.05	96.2	0.4	99.6	3.8
1.06	96	1	99	4
1.07	99	0	100	1
1.08	98.6	0.6	99.4	1.4
1.09	99.8	0	100	0.2
1.1	99.6	0	100	0.4
1.11	99.8	0	100	0.2
1.12	99	0	100	1
1.13	100	0	100	0
1.14	100	0	100	0
1.15	100	0	100	0
1.16	100	0	100	0
1.17	100	0	100	0
1.18	100	0	100	0
1.19	100	0	100	0
1.2	100	0	100	0
1.21	100	0	100	0
1.22	100	0	100	0
1.23	100	0	100	0
1.24	100	0	100	0
1.25	100	0	100	0
1.26	100	0	100	0
1.27	100	0	100	0
1.28	100	0	100	0
1.29	100	0	100	0
1.3	100	0	100	0
1.31	100	0	100	0
1.32	100	0	100	0
1.33	100	0	100	0
1.34	100	0	100	0
1.35	100	0	100	0
1.36	100	0	100	0
1.37	100	0	100	0
1.38	100	0	100	0
1.39	100	0	100	0
1.4	100	0	100	0
1.41	100	0	100	0
1.42	100	0	100	0
1.43	100	0	100	0
1.44	100	0	100	0
1.45	100	0	100	0
1.46	100	0	100	0
1.47	100	0	100	0
1.48	100	0	100	0
1.49	100	0	100	0
1.5	100	0	100	0
1.51	100	0	100	0
1.52	100	0	100	0
1.53	100	0	100	0
1.54	100	0	100	0
1.55	100	0	100	0
1.56	100	0	100	0
1.57	100	0	100	0
1.58	100	0	100	0
1.59	100	0	100	0
1.6	100	0	100	0
1.61	100	0	100	0
1.62	100	0	100	0
1.63	100	0	100	0
1.64	100	0	100	0
1.65	100	0	100	0
1.66	100	0	100	0
1.67	100	0	100	0
1.68	100	0	100	0
1.69	100	0	100	0
1.7	100	0	100	0
1.71	100	0	100	0
1.72	100	0	100	0
1.73	100	0	100	0
1.74	100	0	100	0
1.75	100	0	100	0
1.76	100	0	100	0
1.77	100	0	100	0
1.78	100	0	100	0
1.79	100	0	100	0
1.8	100	0	100	0
1.81	100	0	100	0
1.82	100	0	100	0
1.83	100	0	100	0
1.84	100	0	100	0
1.85	100	0	100	0
1.86	100	0	100	0
1.87	100	0	100	0
1.88	100	0	100	0
1.89	100	0	100	0
1.9	100	0	100	0
1.91	100	0	100	0
1.92	100	0	100	0
1.93	100	0	100	0
1.94	100	0	100	0
1.95	100	0	100	0
1.96	100	0	100	0
1.97	100	0	100	0
1.98	100	0	100	0
1.99	100	0	100	0
2	100	0	100	0
2.01	100	0	100	0
2.02	100	0	100	0
2.03	100	0	100	0
2.04	100	0	100	0
2.05	100	0	100	0
2.06	100	0	100	0
2.07	100	0	100	0
2.08	100	0	100	0
2.09	100	0	100	0
2.1	100	0	100	0
2.11	100	0	100	0
2.12	100	0	100	0
2.13	100	0	100	0
2.14	100	0	100	0
2.15	100	0	100	0
2.16	100	0	100	0
2.17	100	0	100	0
2.18	100	0	100	0
2.19	100	0	100	0
2.2	100	0	100	0
2.21	100	0	100	0
2.22	100	0	100	0
2.23	100	0	100	0
2.24	100	0	100	0
2.25	100	0	100	0
2.26	100	0	100	0
2.27	100	0	100	0
2.28	100	0	100	0
2.29	100	0	100	0
2.3	100	0	100	0
2.31	100	0	100	0
2.32	100	0	100	0
2.33	100	0	100	0
2.34	100	0	100	0
2.35	100	0	100	0
2.36	100	0	100	0
2.37	100	0	100	0
2.38	100	0	100	0
2.39	100	0	100	0
2.4	100	0	100	0
2.41	100	0	100	0
2.42	100	0	100	0
2.43	100	0	100	0
2.44	100	0	100	0
2.45	100	0	100	0
2.46	100	0	100	0
2.47	100	0	100	0
2.48	100	0	100	0
2.49	100	0	100	0
2.5	100	0	100	0
2.51	100	0	100	0
2.52	100	0	100	0
2.53	100	0	100	0
2.54	100	0	100	0
2.55	100	0	100	0
2.56	100	0	100	0
2.57	100	0	100	0
2.58	100	0	100	0
2.59	100	0	100	0
2.6	100	0	100	0
2.61	100	0	100	0
2.62	100	0	100	0
2.63	100	0	100	0
2.64	100	0	100	0
2.65	100	0	100	0
2.66	100	0	100	0
2.67	100	0	100	0
2.68	100	0	100	0
2.69	100	0	100	0
2.7	100	0	100	0
2.71	100	0	100	0
2.72	100	0	100	0
2.73	100	0	100	0
2.74	100	0	100	0
2.75	100	0	100	0
2.76	100	0	100	0
2.77	100	0	100	0
2.78	100	0	100	0
2.79	100	0	100	0
2.8	100	0	100	0
2.81	100	0	100	0
2.82	100	0	100	0
2.83	100	0	100	0
2.84	100	0	100	0
2.85	100	0	100	0
2.86	100	0	100	0
2.87	100	0	100	0
2.88	100	0	100	0
2.89	100	0	100	0
2.9	100	0	100	0
2.91	100	0	100	0
2.92	100	0	100	0
2.93	100	0	100	0
2.94	100	0	100	0
2.95	100	0	100	0
2.96	100	0	100	0
2.97	100	0	100	0
2.98	100	0	100	0
2.99	100	0	100	0
3	100	0	100	0
