t	FPR	FNR	TRP	TNR
1	0	100	0	100
1.01	0	100	0	100
1.02	0	100	0	100
1.03	0	100	0	100
1.04	0	100	0	100
1.05	0	100	0	100
1.06	0	100	0	100
1.07	0	100	0	100
1.08	0	100	0	100
1.09	0	100	0	100
1.1	0	100	0	100
1.11	0	100	0	100
1.12	0	100	0	100
1.13	0	100	0	100
1.14	0	100	0	100
1.15	0	100	0	100
1.16	0	100	0	100
1.17	0	100	0	100
1.18	0	100	0	100
1.19	0	100	0	100
1.2	0	100	0	100
1.21	0	100	0	100
1.22	0	100	0	100
1.23	0	100	0	100
1.24	0	100	0	100
1.25	0	100	0	100
1.26	0	100	0	100
1.27	0	100	0	100
1.28	0	100	0	100
1.29	0	100	0	100
1.3	0	100	0	100
1.31	0	100	0	100
1.32	0	100	0	100
1.33	0	100	0	100
1.34	0	100	0	100
1.35	0	100	0	100
1.36	0	100	0	100
1.37	0	100	0	100
1.38	0	100	0	100
1.39	0	100	0	100
1.4	0	100	0	100
1.41	0	100	0	100
1.42	0	100	0	100
1.43	0	100	0	100
1.44	0	100	0	100
1.45	0	100	0	100
1.46	0	100	0	100
1.47	0	100	0	100
1.48	0	100	0	100
1.49	0	100	0	100
1.5	0	100	0	100
1.51	0	100	0	100
1.52	0	100	0	100
1.53	0	100	0	100
1.54	0	100	0	100
1.55	0	100	0	100
1.56	0	100	0	100
1.57	0	100	0	100
1.58	0	100	0	100
1.59	0	100	0	100
1.6	0	100	0	100
1.61	0	100	0	100
1.62	0	100	0	100
1.63	0	100	0	100
1.64	0	100	0	100
1.65	0	100	0	100
1.66	0	100	0	100
1.67	0	100	0	100
1.68	0	100	0	100
1.69	0	100	0	100
1.7	0	100	0	100
1.71	0	100	0	100
1.72	0	100	0	100
1.73	0	100	0	100
1.74	0	100	0	100
1.75	0	100	0	100
1.76	0	100	0	100
1.77	0	100	0	100
1.78	0	100	0	100
1.79	0	100	0	100
1.8	0	100	0	100
1.81	0	100	0	100
1.82	0	100	0	100
1.83	0	100	0	100
1.84	0	100	0	100
1.85	0	100	0	100
1.86	0	100	0	100
1.87	0	100	0	100
1.88	0	100	0	100
1.89	0	100	0	100
1.9	0	100	0	100
1.91	0	100	0	100
1.92	0	100	0	100
1.93	0	100	0	100
1.94	0	100	0	100
1.95	0	100	0	100
1.96	0	100	0	100
1.97	0	100	0	100
1.98	0	100	0	100
1.99	0	100	0	100
2	0	100	0	100
2.01	0	100	0	100
2.02	0	100	0	100
2.03	0	100	0	100
2.04	0	100	0	100
2.05	0	100	0	100
2.06	0	100	0	100
2.07	0	100	0	100
2.08	0	100	0	100
2.09	0	100	0	100
2.1	0	100	0	100
2.11	0	100	0	100
2.12	0	100	0	100
2.13	0	100	0	100
2.14	0	100	0	100
2.15	0	100	0	100
2.16	0	100	0	100
2.17	0	100	0	100
2.18	0	100	0	100
2.19	0	100	0	100
2.2	0	100	0	100
2.21	0	100	0	100
2.22	0	100	0	100
2.23	0	100	0	100
2.24	0	100	0	100
2.25	0	100	0	100
2.26	0	100	0	100
2.27	0	100	0	100
2.28	0	100	0	100
2.29	0	100	0	100
2.3	0	100	0	100
2.31	0	100	0	100
2.32	0	100	0	100
2.33	0	100	0	100
2.34	0	100	0	100
2.35	0	100	0	100
2.36	0	100	0	100
2.37	0	100	0	100
2.38	0	100	0	100
2.39	0	100	0	100
2.4	0	100	0	100
2.41	0	100	0	100
2.42	0	100	0	100
2.43	0	100	0	100
2.44	0	100	0	100
2.45	0	100	0	100
2.46	0	100	0	100
2.47	0	100	0	100
2.48	0	100	0	100
2.49	0	100	0	100
2.5	0	100	0	100
2.51	0	100	0	100
2.52	0	100	0	100
2.53	0	100	0	100
2.54	0	100	0	100
2.55	0	100	0	100
2.56	0	100	0	100
2.57	0	100	0	100
2.58	0	100	0	100
2.59	0	100	0	100
2.6	0	100	0	100
2.61	0	100	0	100
2.62	0	100	0	100
2.63	0	100	0	100
2.64	0	100	0	100
2.65	0	100	0	100
2.66	0	100	0	100
2.67	0	100	0	100
2.68	0	100	0	100
2.69	0	100	0	100
2.7	0	100	0	100
2.71	0	100	0	100
2.72	0	100	0	100
2.73	0	100	0	100
2.74	0	100	0	100
2.75	0	100	0	100
2.76	0	100	0	100
2.77	0	100	0	100
2.78	0	100	0	100
2.79	0	100	0	100
2.8	0	100	0	100
2.81	0	100	0	100
2.82	0	100	0	100
2.83	0	100	0	100
2.84	0	100	0	100
2.85	0	100	0	100
2.86	0	100	0	100
2.87	0	100	0	100
2.88	0	100	0	100
2.89	0	100	0	100
2.9	0	100	0	100
2.91	0	100	0	100
2.92	0	100	0	100
2.93	0	100	0	100
2.94	0	100	0	100
2.95	0	100	0	100
2.96	0	100	0	100
2.97	0	100	0	100
2.98	0	100	0	100
2.99	0	100	0	100
3	0	100	0	100
