t	FPR	FNR	TRP	TNR
1	69	9.2	90.8	31
1.01	68.8	7.6	92.4	31.2
1.02	71.4	12.6	87.4	28.6
1.03	72.2	15.4	84.6	27.8
1.04	64.8	16.6	83.4	35.2
1.05	64	11.8	88.2	36
1.06	56.8	16	84	43.2
1.07	56.6	16.4	83.6	43.4
1.08	51.6	13.6	86.4	48.4
1.09	56	25.8	74.2	44
1.1	63	31.4	68.6	37
1.11	61.4	30.2	69.8	38.6
1.12	52.6	24	76	47.4
1.13	47.2	24.6	75.4	52.8
1.14	35.4	18.6	81.4	64.6
1.15	44.6	28.4	71.6	55.4
1.16	43.4	25	75	56.6
1.17	48.4	32.6	67.4	51.6
1.18	51	41.6	58.4	49
1.19	43.6	34.8	65.2	56.4
1.2	46	42.2	57.8	54
1.21	38.4	36.2	63.8	61.6
1.22	41.8	47.6	52.4	58.2
1.23	45.4	43	57	54.6
1.24	41.4	39.6	60.4	58.6
1.25	41.6	46.4	53.6	58.4
1.26	46	52.4	47.6	54
1.27	38.4	43.2	56.8	61.6
1.28	34.8	42.4	57.6	65.2
1.29	37.4	45	55	62.6
1.3	32.2	50	50	67.8
1.31	30.4	47.2	52.8	69.6
1.32	30.8	52.8	47.2	69.2
1.33	41.6	63.2	36.8	58.4
1.34	32.2	55.2	44.8	67.8
1.35	29.4	54	46	70.6
1.36	39.4	65.4	34.6	60.6
1.37	26.4	55.4	44.6	73.6
1.38	23.8	56.6	43.4	76.2
1.39	25.6	53	47	74.4
1.4	31.6	59.6	40.4	68.4
1.41	24	62.2	37.8	76
1.42	25.2	64	36	74.8
1.43	25.6	63.2	36.8	74.4
1.44	28.6	61.4	38.6	71.4
1.45	27.4	67.8	32.2	72.6
1.46	24.8	70.6	29.4	75.2
1.47	31	75.6	24.4	69
1.48	17.8	57.2	42.8	82.2
1.49	29.4	69.2	30.8	70.6
1.5	22.6	69.2	30.8	77.4
1.51	22.2	74	26	77.8
1.52	21.6	72.4	27.6	78.4
1.53	14.8	71.6	28.4	85.2
1.54	15.8	64	36	84.2
1.55	22.6	70.6	29.4	77.4
1.56	19.2	71.4	28.6	80.8
1.57	18.2	69.2	30.8	81.8
1.58	15.8	66	34	84.2
1.59	20	75.6	24.4	80
1.6	18.8	77.6	22.4	81.2
1.61	16	79.2	20.8	84
1.62	21.4	78.4	21.6	78.6
1.63	17.6	77	23	82.4
1.64	19.6	79.6	20.4	80.4
1.65	17.4	79.2	20.8	82.6
1.66	19.4	81.4	18.6	80.6
1.67	15	77.6	22.4	85
1.68	15.8	82	18	84.2
1.69	19	79.8	20.2	81
1.7	11.8	79.8	20.2	88.2
1.71	14	82.6	17.4	86
1.72	17.2	81.2	18.8	82.8
1.73	16.2	86.2	13.8	83.8
1.74	18	83.8	16.2	82
1.75	16	84.2	15.8	84
1.76	11.8	80.4	19.6	88.2
1.77	18.6	86.6	13.4	81.4
1.78	15.6	83.6	16.4	84.4
1.79	14.4	88.4	11.6	85.6
1.8	15.6	83.4	16.6	84.4
1.81	15.6	89.8	10.2	84.4
1.82	11	83.2	16.8	89
1.83	15	88.2	11.8	85
1.84	12	84	16	88
1.85	13.4	87.4	12.6	86.6
1.86	17.8	89	11	82.2
1.87	9.8	84	16	90.2
1.88	23.8	96.2	3.8	76.2
1.89	12.2	89	11	87.8
1.9	18.2	92.4	7.6	81.8
1.91	13.2	89	11	86.8
1.92	10	86.6	13.4	90
1.93	10.2	89.8	10.2	89.8
1.94	8.2	81.4	18.6	91.8
1.95	10.6	91.2	8.8	89.4
1.96	10.4	87.4	12.6	89.6
1.97	14	91.8	8.2	86
1.98	20	93.6	6.4	80
1.99	10	93.2	6.8	90
2	10.4	92	8	89.6
2.01	9.4	91.6	8.4	90.6
2.02	5.4	85.6	14.4	94.6
2.03	9.2	89.6	10.4	90.8
2.04	5.4	86	14	94.6
2.05	6.8	87.6	12.4	93.2
2.06	9	92.4	7.6	91
2.07	13.8	93.8	6.2	86.2
2.08	7.2	91.6	8.4	92.8
2.09	8.4	91.8	8.2	91.6
2.1	8.4	94.6	5.4	91.6
2.11	11.4	95	5	88.6
2.12	8	92.2	7.8	92
2.13	8.8	96	4	91.2
2.14	10.6	96.6	3.4	89.4
2.15	11.4	94	6	88.6
2.16	8.6	94.4	5.6	91.4
2.17	11	95.8	4.2	89
2.18	8.6	92.8	7.2	91.4
2.19	11.4	95.2	4.8	88.6
2.2	12.4	96.6	3.4	87.6
2.21	6.4	93.6	6.4	93.6
2.22	12	96.8	3.2	88
2.23	9.2	91	9	90.8
2.24	5.8	91.2	8.8	94.2
2.25	6.6	93.4	6.6	93.4
2.26	6.4	96.4	3.6	93.6
2.27	7.2	91.8	8.2	92.8
2.28	6.6	91.2	8.8	93.4
2.29	4.6	94.8	5.2	95.4
2.3	9.4	95.4	4.6	90.6
2.31	6	94.4	5.6	94
2.32	10.4	97	3	89.6
2.33	7.6	97	3	92.4
2.34	8.2	97	3	91.8
2.35	10.6	95.8	4.2	89.4
2.36	4.4	91.8	8.2	95.6
2.37	4.6	92.2	7.8	95.4
2.38	7.8	95.4	4.6	92.2
2.39	4.4	95.4	4.6	95.6
2.4	4	95.6	4.4	96
2.41	4.4	93.6	6.4	95.6
2.42	4	95.6	4.4	96
2.43	5.2	95.4	4.6	94.8
2.44	9	97	3	91
2.45	3.2	97.2	2.8	96.8
2.46	7.4	98	2	92.6
2.47	7.6	96.8	3.2	92.4
2.48	7.4	96	4	92.6
2.49	4.8	96	4	95.2
2.5	4.2	94.2	5.8	95.8
2.51	4.6	94.8	5.2	95.4
2.52	7.2	96.6	3.4	92.8
2.53	4.8	95.8	4.2	95.2
2.54	5	96	4	95
2.55	6.4	95	5	93.6
2.56	10.2	97.8	2.2	89.8
2.57	2.4	93.4	6.6	97.6
2.58	4.6	95.8	4.2	95.4
2.59	4	96.8	3.2	96
2.6	3	96.6	3.4	97
2.61	4.2	96.6	3.4	95.8
2.62	4	96.8	3.2	96
2.63	3.2	95.6	4.4	96.8
2.64	5.8	97	3	94.2
2.65	8.2	98	2	91.8
2.66	5.4	97.2	2.8	94.6
2.67	4	96.6	3.4	96
2.68	6	96.8	3.2	94
2.69	5.6	98	2	94.4
2.7	4.2	97	3	95.8
2.71	2.8	96.4	3.6	97.2
2.72	2.8	96.8	3.2	97.2
2.73	5.4	96.4	3.6	94.6
2.74	4.6	98.4	1.6	95.4
2.75	5.2	98	2	94.8
2.76	4	98	2	96
2.77	3.4	96.8	3.2	96.6
2.78	4.4	97.4	2.6	95.6
2.79	4.2	98	2	95.8
2.8	5	96.4	3.6	95
2.81	4.6	97.4	2.6	95.4
2.82	4.8	98.6	1.4	95.2
2.83	2.6	96.6	3.4	97.4
2.84	2.6	97.6	2.4	97.4
2.85	5	98.8	1.2	95
2.86	2.4	96.2	3.8	97.6
2.87	4.4	98.6	1.4	95.6
2.88	3	97.6	2.4	97
2.89	1.4	96.2	3.8	98.6
2.9	3.4	97	3	96.6
2.91	3.2	97.8	2.2	96.8
2.92	3	97.4	2.6	97
2.93	2.8	97.2	2.8	97.2
