t	FPR	FNR	TRP	TNR
1	3.2	0	100	96.8
1.01	2.2	0	100	97.8
1.02	1.8	0	100	98.2
1.03	1.4	0	100	98.6
1.04	1.4	0	100	98.6
1.05	1	0	100	99
1.06	1.4	0	100	98.6
1.07	2.6	0	100	97.4
1.08	3.2	0	100	96.8
1.09	3.4	0	100	96.6
1.1	3	0	100	97
1.11	2.8	0	100	97.2
1.12	3.6	0	100	96.4
1.13	1.6	0	100	98.4
1.14	1.4	0	100	98.6
1.15	2.4	0	100	97.6
1.16	1.8	0	100	98.2
1.17	3.4	0	100	96.6
1.18	2.6	0	100	97.4
1.19	3.8	0	100	96.2
1.2	2.8	0	100	97.2
1.21	2.2	0	100	97.8
1.22	3.6	0	100	96.4
1.23	2.2	0	100	97.8
1.24	1.4	0	100	98.6
1.25	2.4	0	100	97.6
1.26	1.6	0	100	98.4
1.27	3.8	0	100	96.2
1.28	2	0	100	98
1.29	2.8	0	100	97.2
1.3	3.6	0	100	96.4
1.31	4	0	100	96
1.32	1.4	0	100	98.6
1.33	2.4	0	100	97.6
1.34	2.4	0	100	97.6
1.35	1.8	0	100	98.2
1.36	2	0	100	98
1.37	2.2	0	100	97.8
1.38	3.2	0	100	96.8
1.39	2.2	0	100	97.8
1.4	1.2	0	100	98.8
1.41	3	0	100	97
1.42	3.8	0	100	96.2
1.43	1.4	0	100	98.6
1.44	3.2	0	100	96.8
1.45	2	0	100	98
1.46	2.2	0	100	97.8
1.47	2.8	0	100	97.2
1.48	2.6	0	100	97.4
1.49	2	0	100	98
1.5	3	0	100	97
1.51	2.2	0	100	97.8
1.52	1.8	0	100	98.2
1.53	2.6	0	100	97.4
1.54	2.2	0	100	97.8
1.55	2.2	0	100	97.8
1.56	1	0	100	99
1.57	2	0	100	98
1.58	2.8	0	100	97.2
1.59	3.2	0	100	96.8
1.6	3	0	100	97
1.61	3.2	0	100	96.8
1.62	1.8	0	100	98.2
1.63	2	0	100	98
1.64	1.4	0	100	98.6
1.65	1.8	0	100	98.2
1.66	2	0	100	98
1.67	2.4	0	100	97.6
1.68	2.8	0	100	97.2
1.69	1.6	0	100	98.4
1.7	2	0	100	98
1.71	2.4	0	100	97.6
1.72	2.2	0	100	97.8
1.73	2.6	0	100	97.4
1.74	1.6	0	100	98.4
1.75	2	0	100	98
1.76	2.4	0	100	97.6
1.77	2.8	0	100	97.2
1.78	2.8	0	100	97.2
1.79	3	0	100	97
1.8	1	0	100	99
1.81	3.8	0	100	96.2
1.82	3	0	100	97
1.83	1.6	0	100	98.4
1.84	2.2	0	100	97.8
1.85	2.6	0	100	97.4
1.86	3.8	0	100	96.2
1.87	2.8	0	100	97.2
1.88	3	0	100	97
1.89	2.4	0	100	97.6
1.9	2.6	0	100	97.4
1.91	2.2	0	100	97.8
1.92	3.4	0	100	96.6
1.93	1.8	0	100	98.2
1.94	2	0	100	98
1.95	1.6	0	100	98.4
1.96	3	0	100	97
1.97	1.8	0	100	98.2
1.98	2.6	0	100	97.4
1.99	2.6	0	100	97.4
2	2.6	0.2	99.8	97.4
2.01	4	0	100	96
2.02	3.4	0	100	96.6
2.03	3.4	0	100	96.6
2.04	2.2	0	100	97.8
2.05	1.6	0.2	99.8	98.4
2.06	2.8	0	100	97.2
2.07	3	0	100	97
2.08	3.2	0	100	96.8
2.09	2.4	0	100	97.6
2.1	2	0	100	98
2.11	1.6	0	100	98.4
2.12	4	0	100	96
2.13	1.4	0.2	99.8	98.6
2.14	3.2	0	100	96.8
2.15	2.4	0.2	99.8	97.6
2.16	3.4	0	100	96.6
2.17	2.4	0	100	97.6
2.18	2.2	0	100	97.8
2.19	1.6	0	100	98.4
2.2	2.8	0	100	97.2
2.21	2.8	0	100	97.2
2.22	2.4	0	100	97.6
2.23	3	0.2	99.8	97
2.24	2.2	0	100	97.8
2.25	2.2	0	100	97.8
2.26	2.2	0.4	99.6	97.8
2.27	2	0.2	99.8	98
2.28	1.4	0.2	99.8	98.6
2.29	2.2	0.2	99.8	97.8
2.3	2.4	0.2	99.8	97.6
2.31	1.8	0.6	99.4	98.2
2.32	2.6	0.2	99.8	97.4
2.33	3.4	0	100	96.6
2.34	2.8	0.4	99.6	97.2
2.35	2	0.2	99.8	98
2.36	2.2	0	100	97.8
2.37	3	0.4	99.6	97
2.38	2	0.6	99.4	98
2.39	1.8	0.2	99.8	98.2
2.4	2.6	0.2	99.8	97.4
2.41	2.4	0.2	99.8	97.6
2.42	2	1.2	98.8	98
2.43	2.2	0.4	99.6	97.8
2.44	3	0	100	97
2.45	3.4	0.4	99.6	96.6
2.46	3	1	99	97
2.47	2.4	0.8	99.2	97.6
2.48	2.6	0.8	99.2	97.4
2.49	3.8	1.4	98.6	96.2
2.5	2.2	0.8	99.2	97.8
2.51	2	0	100	98
2.52	1.6	0.8	99.2	98.4
2.53	2.8	1.2	98.8	97.2
2.54	2.4	1	99	97.6
2.55	2.4	1	99	97.6
2.56	1.8	1.4	98.6	98.2
2.57	1.6	0.8	99.2	98.4
2.58	3	1.2	98.8	97
2.59	2.4	0.2	99.8	97.6
2.6	1.8	2	98	98.2
2.61	2	2.2	97.8	98
2.62	2.6	2.4	97.6	97.4
2.63	3.4	2	98	96.6
2.64	2.4	1	99	97.6
2.65	2.8	1.8	98.2	97.2
2.66	1.6	2.4	97.6	98.4
2.67	1.2	1.6	98.4	98.8
2.68	2.6	2.4	97.6	97.4
2.69	1.8	3.2	96.8	98.2
2.7	2.6	3	97	97.4
2.71	2.2	3.2	96.8	97.8
2.72	1.2	2.8	97.2	98.8
2.73	2.4	2.6	97.4	97.6
2.74	1.8	2.4	97.6	98.2
2.75	3.2	1.6	98.4	96.8
2.76	1.8	2.4	97.6	98.2
2.77	3.6	2.2	97.8	96.4
2.78	1.8	2.4	97.6	98.2
2.79	1.8	3.4	96.6	98.2
2.8	3.4	3.4	96.6	96.6
2.81	2	2.6	97.4	98
2.82	1.6	3.8	96.2	98.4
2.83	1.8	5	95	98.2
2.84	1.4	4	96	98.6
2.85	1.8	3	97	98.2
2.86	2.4	4.4	95.6	97.6
2.87	2.2	3.2	96.8	97.8
2.88	2.8	5.6	94.4	97.2
2.89	3.4	3.8	96.2	96.6
2.9	2.6	6	94	97.4
2.91	2	3.8	96.2	98
2.92	1.2	5	95	98.8
2.93	2	4.8	95.2	98
2.94	2.6	5.6	94.4	97.4
2.95	2.6	4	96	97.4
2.96	3	8.6	91.4	97
2.97	4	8.2	91.8	96
2.98	1.8	7	93	98.2
2.99	1.8	7.8	92.2	98.2
3	2.4	6	94	97.6
