t	FPR	FNR	TRP	TNR
1	1.6	0	100	98.4
1.01	4	0	100	96
1.02	3.6	0	100	96.4
1.03	1.6	0	100	98.4
1.04	2.2	0	100	97.8
1.05	1.6	0	100	98.4
1.06	2.4	0	100	97.6
1.07	3.8	0	100	96.2
1.08	2.4	0	100	97.6
1.09	2.2	0	100	97.8
1.1	3.4	0	100	96.6
1.11	3.2	0	100	96.8
1.12	2.6	0	100	97.4
1.13	2.4	0	100	97.6
1.14	2.4	0	100	97.6
1.15	2	0	100	98
1.16	2	0	100	98
1.17	1.6	0	100	98.4
1.18	2	0	100	98
1.19	2.6	0	100	97.4
1.2	2.4	0	100	97.6
1.21	2.6	0	100	97.4
1.22	1.8	0	100	98.2
1.23	3.4	0	100	96.6
1.24	3	0	100	97
1.25	2.2	0	100	97.8
1.26	1.6	0	100	98.4
1.27	2.6	0	100	97.4
1.28	2	0	100	98
1.29	2.6	0	100	97.4
1.3	1.2	0	100	98.8
1.31	2.8	0	100	97.2
1.32	1.8	0	100	98.2
1.33	3.2	0	100	96.8
1.34	2.6	0	100	97.4
1.35	1.6	0	100	98.4
1.36	2	0	100	98
1.37	2	0	100	98
1.38	1.6	0	100	98.4
1.39	2.4	0	100	97.6
1.4	3	0	100	97
1.41	3.6	0	100	96.4
1.42	0.8	0	100	99.2
1.43	1.6	0	100	98.4
1.44	2.4	0	100	97.6
1.45	2.2	0	100	97.8
1.46	2.8	0	100	97.2
1.47	2	0	100	98
1.48	3	0	100	97
1.49	3	0	100	97
1.5	1.8	0	100	98.2
1.51	1.6	0	100	98.4
1.52	1.8	0	100	98.2
1.53	3.4	0	100	96.6
1.54	2.6	0	100	97.4
1.55	2.2	0	100	97.8
1.56	2	0	100	98
1.57	2.8	0	100	97.2
1.58	1.8	0	100	98.2
1.59	2.8	0	100	97.2
1.6	2.4	0	100	97.6
1.61	1.4	0	100	98.6
1.62	1.6	0	100	98.4
1.63	2	0	100	98
1.64	2.4	0	100	97.6
1.65	2.4	0	100	97.6
1.66	2.6	0	100	97.4
1.67	1.6	0	100	98.4
1.68	3	0	100	97
1.69	3.2	0	100	96.8
1.7	2.4	0	100	97.6
1.71	2.4	0	100	97.6
1.72	2	0	100	98
1.73	2.2	0	100	97.8
1.74	2.4	0	100	97.6
1.75	4.2	0	100	95.8
1.76	1.4	0	100	98.6
1.77	2.8	0	100	97.2
1.78	1.6	0	100	98.4
1.79	4.6	0	100	95.4
1.8	2	0	100	98
1.81	2.4	0	100	97.6
1.82	2.4	0	100	97.6
1.83	1.6	0	100	98.4
1.84	2	0	100	98
1.85	1.6	0	100	98.4
1.86	2	0	100	98
1.87	1.8	0	100	98.2
1.88	2.2	0	100	97.8
1.89	3	0	100	97
1.9	2.4	0	100	97.6
1.91	3.6	0	100	96.4
1.92	2.6	0	100	97.4
1.93	2.6	0	100	97.4
1.94	1.4	0	100	98.6
1.95	3.4	0	100	96.6
1.96	3.4	0	100	96.6
1.97	3.8	0	100	96.2
1.98	2	0	100	98
1.99	2	0	100	98
2	3.4	0	100	96.6
2.01	4	0	100	96
2.02	2	0	100	98
2.03	2.6	0	100	97.4
2.04	3.4	0	100	96.6
2.05	3.6	0	100	96.4
2.06	3.2	0	100	96.8
2.07	1.4	0	100	98.6
2.08	2.6	0	100	97.4
2.09	2.2	0	100	97.8
2.1	3.2	0	100	96.8
2.11	3	0	100	97
2.12	2.6	0	100	97.4
2.13	1.2	0	100	98.8
2.14	2.2	0.2	99.8	97.8
2.15	1.6	0	100	98.4
2.16	2.8	0	100	97.2
2.17	2.8	0	100	97.2
2.18	3.4	0	100	96.6
2.19	3.6	0	100	96.4
2.2	3.2	0	100	96.8
2.21	2.4	0	100	97.6
2.22	3.4	0	100	96.6
2.23	2.6	0	100	97.4
2.24	3	0	100	97
2.25	2.4	0	100	97.6
2.26	2.8	0.2	99.8	97.2
2.27	1.8	0	100	98.2
2.28	3	0	100	97
2.29	1.8	0	100	98.2
2.3	3	0	100	97
2.31	2	0	100	98
2.32	2.2	0	100	97.8
2.33	3.8	0	100	96.2
2.34	2.4	0	100	97.6
2.35	2.6	0	100	97.4
2.36	2.4	0	100	97.6
2.37	3.4	0	100	96.6
2.38	2.6	0	100	97.4
2.39	1.8	0.2	99.8	98.2
2.4	2.4	0	100	97.6
2.41	1.2	0	100	98.8
2.42	2	0.2	99.8	98
2.43	2.2	0	100	97.8
2.44	4.2	0	100	95.8
2.45	2.2	0	100	97.8
2.46	2.2	0.4	99.6	97.8
2.47	2.2	0.2	99.8	97.8
2.48	2.4	0.2	99.8	97.6
2.49	2.2	0.2	99.8	97.8
2.5	1.2	0.2	99.8	98.8
2.51	2.2	0	100	97.8
2.52	3.2	0.4	99.6	96.8
2.53	2.8	0	100	97.2
2.54	1.8	0.8	99.2	98.2
2.55	2.2	0.2	99.8	97.8
2.56	3.6	0.2	99.8	96.4
2.57	2.4	0.2	99.8	97.6
2.58	1.8	0.2	99.8	98.2
2.59	2.4	0.4	99.6	97.6
2.6	1.8	0.2	99.8	98.2
2.61	2.4	0.2	99.8	97.6
2.62	3	0.6	99.4	97
2.63	2.6	0.2	99.8	97.4
2.64	2.6	0.2	99.8	97.4
2.65	1.8	0.4	99.6	98.2
2.66	1.8	0.8	99.2	98.2
2.67	3.2	0.4	99.6	96.8
2.68	2.4	0.4	99.6	97.6
2.69	2.8	0.6	99.4	97.2
2.7	3.6	0.4	99.6	96.4
2.71	1	0.6	99.4	99
