t	FPR	FNR	TRP	TNR
1	2	0.8	99.2	98
1.01	0.8	0.6	99.4	99.2
1.02	2	1	99	98
1.03	1.2	1.4	98.6	98.8
1.04	1.6	2.8	97.2	98.4
1.05	0.2	1	99	99.8
1.06	2	2.4	97.6	98
1.07	0.8	3	97	99.2
1.08	1.8	2.2	97.8	98.2
1.09	1.2	1.6	98.4	98.8
1.1	2.4	2.4	97.6	97.6
1.11	1.8	2.4	97.6	98.2
1.12	1.6	3.2	96.8	98.4
1.13	1	3.6	96.4	99
1.14	1.2	3.4	96.6	98.8
1.15	1.8	6.4	93.6	98.2
1.16	1.2	3.2	96.8	98.8
1.17	1.2	6.4	93.6	98.8
1.18	0.8	5.8	94.2	99.2
1.19	1.2	8.2	91.8	98.8
1.2	1.8	6.4	93.6	98.2
1.21	1.8	7.6	92.4	98.2
1.22	0.8	6.4	93.6	99.2
1.23	1.4	8.8	91.2	98.6
1.24	2.2	6.2	93.8	97.8
1.25	1.2	8.6	91.4	98.8
1.26	1.8	9.4	90.6	98.2
1.27	1.4	10.2	89.8	98.6
1.28	1	9.2	90.8	99
1.29	0.8	12.8	87.2	99.2
1.3	0.8	13.4	86.6	99.2
1.31	1.6	17	83	98.4
1.32	0.4	15.2	84.8	99.6
1.33	0.8	14.6	85.4	99.2
1.34	0.6	16	84	99.4
1.35	1.8	17	83	98.2
1.36	1.6	16.6	83.4	98.4
1.37	1	18.6	81.4	99
1.38	1.2	20	80	98.8
1.39	1	17.4	82.6	99
1.4	1.2	21	79	98.8
1.41	0.6	24.4	75.6	99.4
1.42	1.4	20.4	79.6	98.6
1.43	1	20.4	79.6	99
1.44	1.2	21	79	98.8
1.45	1.2	22.8	77.2	98.8
1.46	0.6	24.8	75.2	99.4
1.47	0.6	30.6	69.4	99.4
1.48	1.6	24.4	75.6	98.4
1.49	0.4	26.4	73.6	99.6
1.5	1.2	28	72	98.8
1.51	1.6	31.4	68.6	98.4
1.52	1.2	29.4	70.6	98.8
1.53	1	32.6	67.4	99
1.54	2	29.6	70.4	98
