t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	100	0	100
0.07	0	100	0	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0	100	0	100
0.11	0	100	0	100
0.12	0	100	0	100
0.13	0	100	0	100
0.14	0	100	0	100
0.15	0	100	0	100
0.16	0	100	0	100
0.17	0	100	0	100
0.18	0	100	0	100
0.19	0	100	0	100
0.2	0	100	0	100
0.21	0	100	0	100
0.22	0	100	0	100
0.23	0	100	0	100
0.24	0	100	0	100
0.25	0	100	0	100
0.26	0	100	0	100
0.27	0	100	0	100
0.28	0	100	0	100
0.29	0	100	0	100
0.3	0	100	0	100
0.31	0	100	0	100
0.32	0	100	0	100
0.33	0	100	0	100
0.34	0	100	0	100
0.35	0	100	0	100
0.36	0	100	0	100
0.37	0	100	0	100
0.38	0	100	0	100
0.39	0	100	0	100
0.4	0	100	0	100
0.41	0	100	0	100
0.42	0	100	0	100
0.43	0	100	0	100
0.44	0	100	0	100
0.45	0	100	0	100
0.46	0	100	0	100
0.47	0	100	0	100
0.48	0	97.8	2.2	100
0.49	0	98.6	1.4	100
0.5	0	97.6	2.4	100
0.51	0	97.6	2.4	100
0.52	0	98	2	100
0.53	0	97.6	2.4	100
0.54	0	97.8	2.2	100
0.55	0	95.4	4.6	100
0.56	0.2	96.2	3.8	99.8
0.57	0.2	96.6	3.4	99.8
0.58	0	93.6	6.4	100
0.59	0	94.4	5.6	100
0.6	0.2	96.6	3.4	99.8
0.61	0	96.8	3.2	100
0.62	0	94.6	5.4	100
0.63	0.2	93.6	6.4	99.8
0.64	0	95	5	100
0.65	0	95.4	4.6	100
0.66	0.2	93.6	6.4	99.8
0.67	0	91.4	8.6	100
0.68	0	91.6	8.4	100
0.69	0	95	5	100
0.7	0	89.6	10.4	100
0.71	0	91.4	8.6	100
0.72	0	89.6	10.4	100
0.73	0	91.6	8.4	100
0.74	0	91.2	8.8	100
0.75	0.2	90.2	9.8	99.8
0.76	0	88.6	11.4	100
0.77	0	85.8	14.2	100
0.78	0.2	85.6	14.4	99.8
0.79	0	84.4	15.6	100
0.8	0	85.6	14.4	100
0.81	0	83.4	16.6	100
0.82	0	84.8	15.2	100
0.83	0	81.8	18.2	100
0.84	0	83	17	100
0.85	0	79.8	20.2	100
0.86	0	81.2	18.8	100
0.87	0.2	80.6	19.4	99.8
0.88	0	78.6	21.4	100
0.89	0	75.8	24.2	100
0.9	0.2	75.6	24.4	99.8
0.91	0	75.6	24.4	100
0.92	0	73	27	100
0.93	0	73.4	26.6	100
0.94	0	73.2	26.8	100
0.95	0	70.6	29.4	100
0.96	0	69.8	30.2	100
0.97	0	68	32	100
0.98	0	67.8	32.2	100
0.99	0.2	67	33	99.8
1	0	68.8	31.2	100
1.01	0	67.6	32.4	100
1.02	0	65.4	34.6	100
1.03	0	61.6	38.4	100
1.04	0.2	60.4	39.6	99.8
1.05	0	58.2	41.8	100
1.06	0	56.2	43.8	100
1.07	0	61.2	38.8	100
1.08	0.2	56.4	43.6	99.8
1.09	0	56	44	100
1.1	0	54.6	45.4	100
1.11	0	53.2	46.8	100
1.12	0	52.2	47.8	100
1.13	0	47	53	100
1.14	0	49	51	100
1.15	0	45	55	100
1.16	0	41.2	58.8	100
1.17	0	45.6	54.4	100
1.18	0	41.8	58.2	100
1.19	0	37.4	62.6	100
1.2	0	41.6	58.4	100
1.21	0	42.4	57.6	100
1.22	0	38.6	61.4	100
1.23	0	41	59	100
1.24	0	34.6	65.4	100
1.25	0	37	63	100
1.26	0	36.8	63.2	100
1.27	0	35.2	64.8	100
1.28	0	34.2	65.8	100
1.29	0	30.8	69.2	100
1.3	0	31.2	68.8	100
1.31	0	31.8	68.2	100
1.32	0	28.6	71.4	100
1.33	0	27.2	72.8	100
1.34	0	31	69	100
1.35	0	25.4	74.6	100
1.36	0	23.8	76.2	100
1.37	0	25.6	74.4	100
1.38	0	25	75	100
1.39	0	24.2	75.8	100
1.4	0	22.4	77.6	100
1.41	0	19	81	100
1.42	0	19.6	80.4	100
1.43	0	21	79	100
1.44	0	14.6	85.4	100
1.45	0	16	84	100
1.46	0.2	17.2	82.8	99.8
1.47	0	14	86	100
1.48	0	17.2	82.8	100
1.49	0	14	86	100
1.5	0	14.4	85.6	100
1.51	0	11.4	88.6	100
1.52	0	15	85	100
1.53	0	15	85	100
1.54	0	13	87	100
1.55	0	10.8	89.2	100
1.56	0	9.6	90.4	100
1.57	0	11.6	88.4	100
1.58	0	8.4	91.6	100
1.59	0	9.6	90.4	100
1.6	0	9	91	100
1.61	0	7.2	92.8	100
1.62	0	7.2	92.8	100
1.63	0.2	8.6	91.4	99.8
1.64	0	9.8	90.2	100
1.65	0	6.4	93.6	100
1.66	0.2	7.6	92.4	99.8
1.67	0	6.4	93.6	100
1.68	0	7	93	100
1.69	0	6.8	93.2	100
1.7	0	4.8	95.2	100
1.71	0.2	5	95	99.8
1.72	0	5	95	100
1.73	0	4.8	95.2	100
1.74	0	3	97	100
1.75	0	5	95	100
1.76	0	3.4	96.6	100
1.77	0	4.2	95.8	100
1.78	0	2.4	97.6	100
1.79	0	2.2	97.8	100
1.8	0.2	3.6	96.4	99.8
1.81	0	3.2	96.8	100
1.82	0	2.4	97.6	100
1.83	0	4	96	100
1.84	0	2.2	97.8	100
1.85	0	3	97	100
1.86	0	2.4	97.6	100
1.87	0	1.8	98.2	100
1.88	0	2.6	97.4	100
1.89	0	2	98	100
1.9	0	1	99	100
1.91	0	2.4	97.6	100
1.92	0	1	99	100
1.93	0	1.4	98.6	100
1.94	0	0.4	99.6	100
1.95	0	2	98	100
1.96	0	1	99	100
1.97	0	0.4	99.6	100
1.98	0	0.8	99.2	100
1.99	0	1	99	100
2	0	0.4	99.6	100
2.01	0	0.6	99.4	100
2.02	0	0.6	99.4	100
2.03	0	0.8	99.2	100
2.04	0	1.6	98.4	100
2.05	0	1.2	98.8	100
2.06	0	0.6	99.4	100
2.07	0	0.2	99.8	100
2.08	0	0.4	99.6	100
2.09	0	0.6	99.4	100
2.1	0	0.4	99.6	100
2.11	0	1.4	98.6	100
2.12	0	0.4	99.6	100
2.13	0	0.4	99.6	100
2.14	0	0.2	99.8	100
2.15	0	0	100	100
2.16	0	0.4	99.6	100
2.17	0	0.2	99.8	100
2.18	0.2	0.2	99.8	99.8
2.19	0	0.6	99.4	100
2.2	0	0.6	99.4	100
2.21	0.2	0.2	99.8	99.8
2.22	0	0.4	99.6	100
2.23	0	0	100	100
2.24	0	0	100	100
2.25	0	0	100	100
2.26	0	0	100	100
2.27	0	0.4	99.6	100
2.28	0	0.2	99.8	100
2.29	0	0.4	99.6	100
2.3	0	0	100	100
2.31	0	0.2	99.8	100
2.32	0	0	100	100
2.33	0	0	100	100
2.34	0	0.2	99.8	100
2.35	0	0	100	100
2.36	0	0	100	100
2.37	0	0	100	100
2.38	0	0	100	100
2.39	0	0.2	99.8	100
2.4	0	0	100	100
2.41	0	0	100	100
2.42	0	0	100	100
2.43	0	0.4	99.6	100
2.44	0	0	100	100
2.45	0	0	100	100
2.46	0	0	100	100
2.47	0.2	0.2	99.8	99.8
2.48	0.2	0	100	99.8
2.49	0	0	100	100
2.5	0	0	100	100
2.51	0	0	100	100
2.52	0	0	100	100
2.53	0	0	100	100
2.54	0	0.4	99.6	100
2.55	0	0	100	100
2.56	0	0	100	100
2.57	0	0	100	100
2.58	0	0	100	100
2.59	0	0	100	100
2.6	0	0	100	100
2.61	0	0	100	100
2.62	0	0	100	100
2.63	0	0	100	100
2.64	0	0	100	100
2.65	0	0	100	100
2.66	0	0	100	100
2.67	0	0	100	100
2.68	0	0	100	100
2.69	0	0	100	100
2.7	0	0	100	100
2.71	0	0	100	100
2.72	0	0	100	100
2.73	0	0	100	100
2.74	0	0	100	100
2.75	0	0	100	100
2.76	0	0	100	100
2.77	0.2	0	100	99.8
2.78	0	0	100	100
2.79	0.2	0	100	99.8
2.8	0	0	100	100
2.81	0	0	100	100
2.82	0	0	100	100
2.83	0.2	0	100	99.8
2.84	0	0	100	100
2.85	0	0	100	100
2.86	0	0	100	100
2.87	0	0	100	100
2.88	0	0	100	100
2.89	0	0	100	100
2.9	0	0	100	100
2.91	0	0	100	100
2.92	0	0	100	100
2.93	0	0	100	100
2.94	0	0	100	100
2.95	0	0	100	100
2.96	0	0	100	100
2.97	0	0	100	100
2.98	0	0	100	100
2.99	0	0	100	100
3	0	0	100	100
