t	FPR	FNR	TRP	TNR
1	0.2	0.8	99.2	99.8
1.01	0	0.6	99.4	100
1.02	0.2	1	99	99.8
1.03	0.2	1.4	98.6	99.8
1.04	0	2.8	97.2	100
1.05	0	1	99	100
1.06	0	2.4	97.6	100
1.07	0	3	97	100
1.08	0	2.2	97.8	100
1.09	0	1.6	98.4	100
1.1	0	2.4	97.6	100
1.11	0.2	2.4	97.6	99.8
1.12	0	3.2	96.8	100
1.13	0	3.6	96.4	100
1.14	0	3.4	96.6	100
1.15	0	6.4	93.6	100
1.16	0	3.2	96.8	100
1.17	0	6.4	93.6	100
1.18	0	5.8	94.2	100
1.19	0	8.2	91.8	100
1.2	0	6.4	93.6	100
1.21	0.2	7.6	92.4	99.8
1.22	0	6.4	93.6	100
1.23	0	8.8	91.2	100
1.24	0	6.2	93.8	100
1.25	0.2	8.6	91.4	99.8
1.26	0	9.4	90.6	100
1.27	0	10.2	89.8	100
1.28	0	9.2	90.8	100
1.29	0	12.8	87.2	100
1.3	0	13.4	86.6	100
1.31	0.2	17	83	99.8
1.32	0	15.2	84.8	100
1.33	0	14.6	85.4	100
1.34	0	16	84	100
1.35	0	17	83	100
1.36	0	16.6	83.4	100
1.37	0	18.6	81.4	100
1.38	0	20	80	100
1.39	0	17.4	82.6	100
1.4	0	21	79	100
1.41	0	24.4	75.6	100
1.42	0	20.4	79.6	100
1.43	0	20.4	79.6	100
1.44	0	21	79	100
1.45	0	22.8	77.2	100
1.46	0	24.8	75.2	100
1.47	0	30.6	69.4	100
1.48	0	24.4	75.6	100
1.49	0	26.4	73.6	100
1.5	0	28	72	100
1.51	0	31.4	68.6	100
1.52	0	29.4	70.6	100
1.53	0	32.6	67.4	100
1.54	0	29.6	70.4	100
1.55	0.2	34.4	65.6	99.8
1.56	0.2	36.8	63.2	99.8
1.57	0	33.4	66.6	100
1.58	0	33.2	66.8	100
1.59	0.2	37.8	62.2	99.8
1.6	0	33.8	66.2	100
1.61	0	39.2	60.8	100
1.62	0.2	37.8	62.2	99.8
1.63	0	39.8	60.2	100
1.64	0	37.4	62.6	100
1.65	0.2	45	55	99.8
1.66	0	41.6	58.4	100
1.67	0	41.4	58.6	100
1.68	0	46.2	53.8	100
1.69	0	46	54	100
1.7	0	43.8	56.2	100
1.71	0	45.8	54.2	100
1.72	0	48.4	51.6	100
1.73	0	50	50	100
1.74	0.2	46	54	99.8
1.75	0	48.2	51.8	100
1.76	0	47	53	100
1.77	0.2	47.4	52.6	99.8
1.78	0	49.4	50.6	100
1.79	0	55	45	100
1.8	0	51.8	48.2	100
1.81	0	53	47	100
1.82	0	51	49	100
1.83	0	57.2	42.8	100
1.84	0	56	44	100
1.85	0	63.6	36.4	100
1.86	0.2	58.8	41.2	99.8
1.87	0	58.4	41.6	100
1.88	0	58	42	100
1.89	0.2	56.4	43.6	99.8
1.9	0	59.8	40.2	100
1.91	0	58.8	41.2	100
1.92	0	63.2	36.8	100
1.93	0	60.8	39.2	100
1.94	0	63.6	36.4	100
1.95	0	62.4	37.6	100
1.96	0	62.4	37.6	100
1.97	0	63.6	36.4	100
1.98	0.2	64.6	35.4	99.8
1.99	0	68.2	31.8	100
2	0	69.8	30.2	100
2.01	0	68	32	100
2.02	0	67.2	32.8	100
2.03	0.2	67.2	32.8	99.8
2.04	0	66.2	33.8	100
2.05	0	66.4	33.6	100
2.06	0	71.6	28.4	100
2.07	0.2	68	32	99.8
2.08	0	72	28	100
2.09	0	71	29	100
2.1	0	71.6	28.4	100
2.11	0	74	26	100
2.12	0	71.8	28.2	100
2.13	0	75.6	24.4	100
2.14	0	75	25	100
2.15	0	67.8	32.2	100
2.16	0	71.8	28.2	100
2.17	0	74.8	25.2	100
2.18	0	71.8	28.2	100
2.19	0	73.2	26.8	100
2.2	0	77.4	22.6	100
2.21	0	76.2	23.8	100
2.22	0	79.2	20.8	100
2.23	0	74	26	100
2.24	0	76.6	23.4	100
2.25	0	78.4	21.6	100
2.26	0	77.6	22.4	100
2.27	0	77	23	100
2.28	0	79.4	20.6	100
2.29	0	79.2	20.8	100
2.3	0	78.8	21.2	100
2.31	0	80.2	19.8	100
2.32	0	79.8	20.2	100
2.33	0	81.6	18.4	100
2.34	0	82.4	17.6	100
2.35	0	82.2	17.8	100
2.36	0	79.6	20.4	100
2.37	0	80.2	19.8	100
2.38	0	83.2	16.8	100
2.39	0	82.8	17.2	100
2.4	0	80.4	19.6	100
2.41	0	79.2	20.8	100
2.42	0	86.2	13.8	100
2.43	0	81.2	18.8	100
2.44	0	84.4	15.6	100
2.45	0.2	87.6	12.4	99.8
2.46	0	83.8	16.2	100
2.47	0	84.8	15.2	100
2.48	0	84.6	15.4	100
2.49	0	86.6	13.4	100
2.5	0	85.8	14.2	100
2.51	0	83.6	16.4	100
2.52	0	86	14	100
2.53	0	85.6	14.4	100
2.54	0	86.6	13.4	100
2.55	0	86.6	13.4	100
2.56	0	84.6	15.4	100
2.57	0	87.6	12.4	100
2.58	0	88.4	11.6	100
2.59	0	87	13	100
2.6	0	86	14	100
2.61	0	86.6	13.4	100
2.62	0.2	87	13	99.8
2.63	0	88	12	100
2.64	0	88.4	11.6	100
2.65	0.2	85.8	14.2	99.8
2.66	0	89.6	10.4	100
2.67	0	87.2	12.8	100
2.68	0	89.2	10.8	100
2.69	0	88.8	11.2	100
2.7	0.2	88.8	11.2	99.8
2.71	0	90.6	9.4	100
2.72	0	89.8	10.2	100
2.73	0	90.4	9.6	100
2.74	0	89.2	10.8	100
2.75	0	91	9	100
2.76	0	88.8	11.2	100
2.77	0	88.4	11.6	100
2.78	0	90.6	9.4	100
2.79	0.2	91.8	8.2	99.8
2.8	0	89.8	10.2	100
2.81	0	90.8	9.2	100
2.82	0	90.8	9.2	100
2.83	0	90	10	100
2.84	0	89.4	10.6	100
2.85	0	90.4	9.6	100
2.86	0	89.6	10.4	100
2.87	0	91.4	8.6	100
2.88	0	91.6	8.4	100
2.89	0	90.4	9.6	100
2.9	0	93.2	6.8	100
2.91	0	93.4	6.6	100
2.92	0	93.2	6.8	100
2.93	0	89	11	100
2.94	0	93	7	100
2.95	0	93	7	100
2.96	0	92	8	100
2.97	0	93.2	6.8	100
2.98	0	91.6	8.4	100
2.99	0	91.6	8.4	100
3	0	92.4	7.6	100
