t	FPR	FNR	TRP	TNR
0.01	4.4	96.4	3.6	95.6
0.02	3.2	95.2	4.8	96.8
0.03	5.4	93.4	6.6	94.6
0.04	3.4	93.4	6.6	96.6
0.05	6	95.6	4.4	94
0.06	5.6	91.8	8.2	94.4
0.07	5.4	93.8	6.2	94.6
0.08	5.2	93.6	6.4	94.8
0.09	5.2	91.2	8.8	94.8
0.1	6.2	90.2	9.8	93.8
0.11	3.4	93.2	6.8	96.6
0.12	3.8	88.4	11.6	96.2
0.13	4	86	14	96
0.14	4	86.4	13.6	96
0.15	3.4	84.8	15.2	96.6
0.16	4.6	83.2	16.8	95.4
0.17	7.2	84.8	15.2	92.8
0.18	5.2	82.4	17.6	94.8
0.19	6.4	79.6	20.4	93.6
0.2	5.2	77.8	22.2	94.8
0.21	4.6	74.4	25.6	95.4
0.22	5.4	74	26	94.6
0.23	4	74	26	96
0.24	4.2	71.2	28.8	95.8
0.25	5.2	67	33	94.8
0.26	5.8	66.8	33.2	94.2
0.27	6.8	65.2	34.8	93.2
0.28	5.4	59.4	40.6	94.6
0.29	4.2	59.8	40.2	95.8
0.3	4.2	52	48	95.8
0.31	4.2	54.8	45.2	95.8
0.32	6.2	51.8	48.2	93.8
0.33	4.4	52	48	95.6
0.34	5	47	53	95
0.35	4.6	46.2	53.8	95.4
0.36	5	38.8	61.2	95
0.37	4.4	41.2	58.8	95.6
0.38	4.8	40.6	59.4	95.2
0.39	5.6	37.6	62.4	94.4
0.4	5.4	33.8	66.2	94.6
0.41	5.8	30.6	69.4	94.2
0.42	5.4	28.4	71.6	94.6
0.43	6.2	26	74	93.8
0.44	3.8	24.6	75.4	96.2
0.45	6.2	25	75	93.8
0.46	5.4	21.8	78.2	94.6
0.47	5	21	79	95
0.48	4.6	15.6	84.4	95.4
0.49	4	17	83	96
0.5	6.4	14	86	93.6
0.51	7	12	88	93
0.52	5.8	11.6	88.4	94.2
0.53	4.2	12.6	87.4	95.8
0.54	5	8.2	91.8	95
0.55	5.2	9.8	90.2	94.8
0.56	5.6	8.4	91.6	94.4
0.57	4.2	7	93	95.8
0.58	5.4	7.2	92.8	94.6
0.59	5.4	6.4	93.6	94.6
0.6	5.2	6.8	93.2	94.8
0.61	3	4.2	95.8	97
0.62	4.2	2.8	97.2	95.8
0.63	5.8	4.6	95.4	94.2
0.64	7.4	3.6	96.4	92.6
0.65	5.2	1.2	98.8	94.8
0.66	5	2.6	97.4	95
0.67	5	1.8	98.2	95
0.68	4.4	2.8	97.2	95.6
0.69	3.6	0.8	99.2	96.4
0.7	4.6	1.8	98.2	95.4
0.71	4	1	99	96
0.72	5.2	0.4	99.6	94.8
0.73	6.6	0.8	99.2	93.4
0.74	5	0	100	95
0.75	4.6	0.4	99.6	95.4
0.76	4.6	0.4	99.6	95.4
0.77	3.4	0.2	99.8	96.6
0.78	3.6	0.8	99.2	96.4
0.79	4.2	0.2	99.8	95.8
0.8	5	0.2	99.8	95
0.81	6	0	100	94
0.82	4	0.2	99.8	96
0.83	5	0	100	95
0.84	6	0.2	99.8	94
0.85	4.6	0.2	99.8	95.4
0.86	5.2	0	100	94.8
0.87	6	0.2	99.8	94
0.88	2.6	0	100	97.4
0.89	5.4	0	100	94.6
0.9	5.6	0.2	99.8	94.4
0.91	4.4	0	100	95.6
0.92	5.4	0	100	94.6
0.93	3.8	0.2	99.8	96.2
0.94	6.6	0	100	93.4
0.95	6.4	0	100	93.6
0.96	4.4	0	100	95.6
0.97	4.4	0	100	95.6
0.98	4	0	100	96
0.99	5.8	0	100	94.2
1	5.4	0	100	94.6
1.01	3.8	0	100	96.2
1.02	4.8	0	100	95.2
1.03	6.8	0	100	93.2
1.04	5.2	0	100	94.8
1.05	5.6	0	100	94.4
1.06	5.6	0	100	94.4
1.07	3.4	0	100	96.6
1.08	6	0	100	94
1.09	4.8	0	100	95.2
1.1	5.8	0	100	94.2
1.11	4	0	100	96
1.12	4.4	0	100	95.6
1.13	4.4	0	100	95.6
1.14	4.2	0	100	95.8
1.15	6.2	0	100	93.8
1.16	3.4	0	100	96.6
1.17	5.4	0	100	94.6
1.18	5	0	100	95
1.19	4	0	100	96
1.2	4	0	100	96
1.21	5.6	0	100	94.4
1.22	4.2	0	100	95.8
1.23	4.8	0	100	95.2
1.24	5.6	0	100	94.4
1.25	5.6	0	100	94.4
1.26	4.2	0	100	95.8
1.27	5.4	0	100	94.6
1.28	5	0	100	95
1.29	6.2	0	100	93.8
1.3	3.2	0	100	96.8
1.31	3.8	0	100	96.2
1.32	5.6	0	100	94.4
1.33	5.6	0	100	94.4
1.34	4.8	0	100	95.2
1.35	5.6	0	100	94.4
1.36	3.6	0	100	96.4
1.37	4.2	0	100	95.8
1.38	6	0	100	94
1.39	6.8	0	100	93.2
1.4	5.6	0	100	94.4
1.41	5.2	0	100	94.8
1.42	4	0	100	96
1.43	6	0	100	94
1.44	5.4	0	100	94.6
1.45	4.6	0	100	95.4
1.46	5	0	100	95
1.47	5.4	0	100	94.6
1.48	4.6	0	100	95.4
1.49	5.2	0	100	94.8
1.5	4.2	0	100	95.8
1.51	3.8	0	100	96.2
1.52	5.2	0	100	94.8
1.53	4.2	0	100	95.8
1.54	4.8	0	100	95.2
1.55	5	0	100	95
1.56	6.4	0	100	93.6
1.57	4.2	0	100	95.8
1.58	4.2	0	100	95.8
1.59	6.2	0	100	93.8
1.6	5.6	0	100	94.4
1.61	5.2	0	100	94.8
1.62	4.6	0	100	95.4
1.63	5.2	0	100	94.8
1.64	4.4	0	100	95.6
1.65	4.2	0	100	95.8
1.66	3.4	0	100	96.6
1.67	6.4	0	100	93.6
1.68	5.4	0	100	94.6
1.69	6.4	0	100	93.6
1.7	3.8	0	100	96.2
1.71	3.6	0	100	96.4
1.72	5.8	0	100	94.2
1.73	3.2	0	100	96.8
1.74	3.6	0	100	96.4
1.75	5	0	100	95
1.76	5.4	0	100	94.6
1.77	6.6	0	100	93.4
1.78	4.2	0	100	95.8
1.79	5	0	100	95
1.8	4.2	0	100	95.8
1.81	4.4	0	100	95.6
1.82	5.6	0	100	94.4
1.83	4.8	0	100	95.2
1.84	6.4	0	100	93.6
1.85	3.8	0	100	96.2
1.86	4.4	0	100	95.6
1.87	6.2	0	100	93.8
1.88	4	0	100	96
1.89	4.2	0	100	95.8
1.9	4.4	0	100	95.6
1.91	5.6	0	100	94.4
1.92	4.4	0	100	95.6
1.93	4.2	0	100	95.8
1.94	4.8	0	100	95.2
1.95	5.2	0	100	94.8
1.96	5.6	0	100	94.4
1.97	4	0	100	96
1.98	5.4	0	100	94.6
1.99	3.6	0	100	96.4
2	4	0	100	96
2.01	3.8	0	100	96.2
2.02	4.4	0	100	95.6
2.03	4	0	100	96
2.04	5.6	0	100	94.4
2.05	4.2	0	100	95.8
2.06	5.4	0	100	94.6
2.07	4.4	0	100	95.6
2.08	4.6	0	100	95.4
2.09	6	0	100	94
2.1	5.8	0	100	94.2
2.11	5.6	0	100	94.4
2.12	4.6	0	100	95.4
2.13	5	0	100	95
2.14	3.2	0	100	96.8
2.15	5.6	0	100	94.4
2.16	6	0	100	94
2.17	4.6	0	100	95.4
2.18	4.8	0	100	95.2
2.19	5.2	0	100	94.8
2.2	4	0	100	96
2.21	4.8	0	100	95.2
2.22	4.8	0	100	95.2
2.23	3.2	0	100	96.8
2.24	4.2	0	100	95.8
2.25	3.6	0	100	96.4
2.26	4.6	0	100	95.4
2.27	4.8	0	100	95.2
2.28	3.6	0	100	96.4
2.29	4.2	0	100	95.8
2.3	3.6	0	100	96.4
2.31	4.8	0	100	95.2
2.32	5.8	0	100	94.2
2.33	6	0	100	94
2.34	3.6	0	100	96.4
2.35	6.4	0	100	93.6
2.36	3.2	0	100	96.8
2.37	3.4	0	100	96.6
2.38	5.2	0	100	94.8
2.39	6	0	100	94
2.4	4.6	0	100	95.4
2.41	5.6	0	100	94.4
2.42	3.4	0	100	96.6
2.43	5	0	100	95
2.44	6	0	100	94
2.45	6	0	100	94
2.46	6	0	100	94
2.47	3.6	0	100	96.4
2.48	4.8	0	100	95.2
2.49	6.6	0	100	93.4
2.5	5.2	0	100	94.8
2.51	6.4	0	100	93.6
2.52	6.6	0	100	93.4
2.53	2.4	0	100	97.6
2.54	6.8	0	100	93.2
2.55	5.2	0	100	94.8
2.56	6.2	0	100	93.8
2.57	4	0	100	96
2.58	6.4	0	100	93.6
2.59	4.8	0	100	95.2
2.6	6.2	0	100	93.8
2.61	3.2	0	100	96.8
2.62	4	0	100	96
2.63	3.2	0	100	96.8
2.64	4.4	0	100	95.6
2.65	4.2	0	100	95.8
2.66	5.4	0	100	94.6
2.67	4.8	0	100	95.2
2.68	4.2	0	100	95.8
2.69	6.6	0	100	93.4
2.7	5.2	0	100	94.8
2.71	5.4	0	100	94.6
2.72	5.4	0	100	94.6
2.73	4.6	0	100	95.4
2.74	4.8	0	100	95.2
2.75	4.6	0	100	95.4
2.76	4.6	0	100	95.4
2.77	6	0	100	94
2.78	4	0	100	96
2.79	6	0	100	94
2.8	6.2	0	100	93.8
2.81	4.6	0	100	95.4
2.82	5	0	100	95
2.83	5	0	100	95
2.84	5.8	0	100	94.2
2.85	4.2	0	100	95.8
2.86	6.4	0	100	93.6
2.87	5	0	100	95
2.88	5.2	0	100	94.8
2.89	4.8	0	100	95.2
2.9	3.8	0	100	96.2
2.91	3.2	0	100	96.8
2.92	4.8	0	100	95.2
2.93	4.8	0	100	95.2
2.94	5.6	0	100	94.4
2.95	4.2	0	100	95.8
2.96	5.6	0	100	94.4
2.97	6	0	100	94
2.98	4.2	0	100	95.8
2.99	3.4	0	100	96.6
3	5.6	0	100	94.4
