t	FPR	FNR	TRP	TNR
0.01	4.8	96.6	3.4	95.2
0.02	4.8	96	4	95.2
0.03	4.6	94.2	5.8	95.4
0.04	4.4	94.2	5.8	95.6
0.05	3.6	92.4	7.6	96.4
0.06	4.6	92.8	7.2	95.4
0.07	4.6	91	9	95.4
0.08	6.2	89.4	10.6	93.8
0.09	5	87.2	12.8	95
0.1	4.6	87	13	95.4
0.11	4.2	86.4	13.6	95.8
0.12	7.2	83.6	16.4	92.8
0.13	6.6	79.2	20.8	93.4
0.14	5.2	76.8	23.2	94.8
0.15	4.8	76.2	23.8	95.2
0.16	5	73.6	26.4	95
0.17	6.2	65.6	34.4	93.8
0.18	6.2	65.2	34.8	93.8
0.19	2.8	61.8	38.2	97.2
0.2	5.2	60.6	39.4	94.8
0.21	4.6	58.2	41.8	95.4
0.22	5.4	54.6	45.4	94.6
0.23	7.6	46.8	53.2	92.4
0.24	5.4	46.2	53.8	94.6
0.25	6.2	48.4	51.6	93.8
0.26	6.4	35.6	64.4	93.6
0.27	5	34.6	65.4	95
0.28	6.8	31.6	68.4	93.2
0.29	4.4	28.4	71.6	95.6
0.3	5.4	28.4	71.6	94.6
0.31	4.8	23.8	76.2	95.2
0.32	5	21.8	78.2	95
0.33	5.6	17.8	82.2	94.4
0.34	6.6	19.4	80.6	93.4
0.35	4.2	15.2	84.8	95.8
0.36	4.6	14.6	85.4	95.4
0.37	5.8	12.2	87.8	94.2
0.38	4.6	9.2	90.8	95.4
0.39	4	9.6	90.4	96
0.4	4.8	7.2	92.8	95.2
0.41	4	7	93	96
0.42	4.6	4.8	95.2	95.4
0.43	5	4.2	95.8	95
0.44	4.8	3.8	96.2	95.2
0.45	5	2.8	97.2	95
0.46	6	1.2	98.8	94
0.47	3.2	2.6	97.4	96.8
0.48	5.4	1	99	94.6
0.49	4.6	0.8	99.2	95.4
0.5	5	1.6	98.4	95
0.51	5	1	99	95
0.52	4.6	0.8	99.2	95.4
0.53	3.2	0.2	99.8	96.8
0.54	2.8	0	100	97.2
0.55	4.2	0.6	99.4	95.8
0.56	4.4	0.2	99.8	95.6
0.57	4	0	100	96
0.58	4.2	0.2	99.8	95.8
0.59	5.6	0	100	94.4
0.6	6.8	0.2	99.8	93.2
0.61	4	0	100	96
0.62	4.6	0.4	99.6	95.4
0.63	3.6	0	100	96.4
0.64	4.8	0	100	95.2
0.65	4.4	0	100	95.6
0.66	3.8	0	100	96.2
0.67	3.6	0	100	96.4
0.68	5	0	100	95
0.69	6	0	100	94
0.7	4	0	100	96
0.71	4.8	0	100	95.2
0.72	5.2	0	100	94.8
0.73	5.6	0	100	94.4
0.74	5.2	0	100	94.8
0.75	6.4	0	100	93.6
0.76	5.4	0	100	94.6
0.77	4.6	0	100	95.4
0.78	4.6	0	100	95.4
0.79	4.8	0	100	95.2
0.8	5.6	0	100	94.4
0.81	4.8	0	100	95.2
0.82	6.2	0	100	93.8
0.83	3.6	0	100	96.4
0.84	4.8	0	100	95.2
0.85	5	0	100	95
0.86	5.6	0	100	94.4
0.87	4.6	0	100	95.4
0.88	5.2	0	100	94.8
0.89	5.4	0	100	94.6
0.9	5.2	0	100	94.8
0.91	4.8	0	100	95.2
0.92	4.2	0	100	95.8
0.93	5.2	0	100	94.8
0.94	4	0	100	96
0.95	5.4	0	100	94.6
0.96	4.2	0	100	95.8
0.97	4.6	0	100	95.4
0.98	6.2	0	100	93.8
0.99	5.4	0	100	94.6
1	6.8	0	100	93.2
1.01	4.6	0	100	95.4
1.02	6.6	0	100	93.4
1.03	5.4	0	100	94.6
1.04	6	0	100	94
1.05	4.6	0	100	95.4
1.06	5.6	0	100	94.4
1.07	6.6	0	100	93.4
1.08	4.4	0	100	95.6
1.09	4	0	100	96
1.1	5.2	0	100	94.8
1.11	5.8	0	100	94.2
1.12	5.2	0	100	94.8
1.13	6	0	100	94
1.14	3.8	0	100	96.2
1.15	4.2	0	100	95.8
1.16	5.4	0	100	94.6
1.17	5.2	0	100	94.8
1.18	4.6	0	100	95.4
1.19	3.8	0	100	96.2
1.2	5.6	0	100	94.4
1.21	10	0	100	90
1.22	5.4	0	100	94.6
1.23	5.6	0	100	94.4
1.24	5.6	0	100	94.4
1.25	5.8	0	100	94.2
1.26	4.2	0	100	95.8
1.27	5.2	0	100	94.8
1.28	4.6	0	100	95.4
1.29	4.2	0	100	95.8
1.3	4.4	0	100	95.6
1.31	4.6	0	100	95.4
1.32	4.6	0	100	95.4
1.33	5.6	0	100	94.4
1.34	5.2	0	100	94.8
1.35	5.4	0	100	94.6
1.36	5.2	0	100	94.8
1.37	5.8	0	100	94.2
1.38	6.8	0	100	93.2
1.39	4.6	0	100	95.4
1.4	5.6	0	100	94.4
1.41	4.8	0	100	95.2
1.42	5.4	0	100	94.6
1.43	3.8	0	100	96.2
1.44	6.2	0	100	93.8
1.45	4	0	100	96
1.46	6.4	0	100	93.6
1.47	5.4	0	100	94.6
1.48	4	0	100	96
1.49	4.4	0	100	95.6
1.5	4.2	0	100	95.8
1.51	6.6	0	100	93.4
1.52	4	0	100	96
1.53	4	0	100	96
1.54	2.6	0	100	97.4
1.55	6.2	0	100	93.8
1.56	5.4	0	100	94.6
1.57	5	0	100	95
1.58	3.2	0	100	96.8
1.59	3.8	0	100	96.2
1.6	6.4	0	100	93.6
1.61	6.6	0	100	93.4
1.62	4.8	0	100	95.2
1.63	6.2	0	100	93.8
1.64	6.8	0	100	93.2
1.65	5	0	100	95
1.66	5.2	0	100	94.8
1.67	5	0	100	95
1.68	5.2	0	100	94.8
1.69	5.2	0	100	94.8
1.7	4.2	0	100	95.8
1.71	4.8	0	100	95.2
1.72	6	0	100	94
1.73	3.4	0	100	96.6
1.74	7.6	0	100	92.4
1.75	5	0	100	95
1.76	7	0	100	93
1.77	5	0	100	95
1.78	6	0	100	94
1.79	4.4	0	100	95.6
1.8	6.2	0	100	93.8
1.81	5	0	100	95
1.82	3.8	0	100	96.2
1.83	6	0	100	94
1.84	4.2	0	100	95.8
1.85	5	0	100	95
1.86	4.8	0	100	95.2
1.87	4.8	0	100	95.2
1.88	2.8	0	100	97.2
1.89	4.8	0	100	95.2
1.9	5.6	0	100	94.4
1.91	7	0	100	93
1.92	3.8	0	100	96.2
1.93	3.6	0	100	96.4
1.94	6.4	0	100	93.6
1.95	5.2	0	100	94.8
1.96	5.4	0	100	94.6
1.97	6.6	0	100	93.4
1.98	5.8	0	100	94.2
1.99	4.4	0	100	95.6
2	6.4	0	100	93.6
2.01	3.6	0	100	96.4
2.02	5.2	0	100	94.8
2.03	4.6	0	100	95.4
2.04	5.8	0	100	94.2
2.05	6.6	0	100	93.4
2.06	5.6	0	100	94.4
2.07	5.8	0	100	94.2
2.08	4.2	0	100	95.8
2.09	3.4	0	100	96.6
2.1	5.6	0	100	94.4
2.11	3	0	100	97
2.12	5.4	0	100	94.6
2.13	4.6	0	100	95.4
2.14	5.4	0	100	94.6
2.15	5	0	100	95
2.16	5.4	0	100	94.6
2.17	5	0	100	95
2.18	5.8	0	100	94.2
2.19	4.6	0	100	95.4
2.2	6.8	0	100	93.2
2.21	6.8	0	100	93.2
2.22	5.6	0	100	94.4
2.23	4.6	0	100	95.4
2.24	4.8	0	100	95.2
2.25	5.8	0	100	94.2
2.26	5.2	0	100	94.8
2.27	4.4	0	100	95.6
2.28	5.8	0	100	94.2
2.29	4.8	0	100	95.2
2.3	5	0	100	95
2.31	6	0	100	94
2.32	5.2	0	100	94.8
2.33	5.2	0	100	94.8
2.34	6.8	0	100	93.2
2.35	6.6	0	100	93.4
2.36	5.4	0	100	94.6
2.37	5.8	0	100	94.2
2.38	5.6	0	100	94.4
2.39	5.2	0	100	94.8
2.4	5.2	0	100	94.8
2.41	4.8	0	100	95.2
2.42	4.2	0	100	95.8
2.43	5	0	100	95
2.44	4.2	0	100	95.8
2.45	5	0	100	95
2.46	6	0	100	94
2.47	7	0	100	93
2.48	5.4	0	100	94.6
2.49	4.8	0	100	95.2
2.5	4.6	0	100	95.4
2.51	6	0	100	94
2.52	5.4	0	100	94.6
2.53	4.6	0	100	95.4
2.54	5.6	0	100	94.4
2.55	4.2	0	100	95.8
2.56	5	0	100	95
2.57	5	0	100	95
2.58	4.8	0	100	95.2
2.59	6.4	0	100	93.6
2.6	3.6	0	100	96.4
2.61	6.6	0	100	93.4
2.62	4.8	0	100	95.2
2.63	5.8	0	100	94.2
2.64	4.8	0	100	95.2
2.65	4.4	0	100	95.6
2.66	4.8	0	100	95.2
2.67	5	0	100	95
2.68	4.4	0	100	95.6
2.69	4	0	100	96
2.7	5.4	0	100	94.6
2.71	4.2	0	100	95.8
2.72	5	0	100	95
2.73	5.2	0	100	94.8
2.74	4.2	0	100	95.8
2.75	2.8	0	100	97.2
2.76	3.6	0	100	96.4
2.77	3.6	0	100	96.4
2.78	5.8	0	100	94.2
2.79	5	0	100	95
2.8	5.6	0	100	94.4
2.81	6.2	0	100	93.8
2.82	4.6	0	100	95.4
2.83	5.8	0	100	94.2
2.84	8	0	100	92
2.85	4.2	0	100	95.8
2.86	5.6	0	100	94.4
2.87	5.8	0	100	94.2
2.88	4.4	0	100	95.6
2.89	4.6	0	100	95.4
2.9	5.6	0	100	94.4
2.91	5	0	100	95
2.92	5.4	0	100	94.6
2.93	3.8	0	100	96.2
2.94	5.4	0	100	94.6
2.95	5.2	0	100	94.8
2.96	4.4	0	100	95.6
2.97	5.2	0	100	94.8
2.98	4.8	0	100	95.2
2.99	5.8	0	100	94.2
3	6	0	100	94
