t	FPR	FNR	TRP	TNR
0.01	3.2	95.8	4.2	96.8
0.02	4.2	94.4	5.6	95.8
0.03	4.8	94.6	5.4	95.2
0.04	5.6	93.4	6.6	94.4
0.05	4	91.6	8.4	96
0.06	5.4	89.4	10.6	94.6
0.07	5.6	89.8	10.2	94.4
0.08	2.8	88.6	11.4	97.2
0.09	4.4	88.4	11.6	95.6
0.1	4.4	85.6	14.4	95.6
0.11	5.6	80.6	19.4	94.4
0.12	4.8	79.6	20.4	95.2
0.13	5.6	76.6	23.4	94.4
0.14	5.2	74.2	25.8	94.8
0.15	4.2	66.4	33.6	95.8
0.16	4.2	63	37	95.8
0.17	4.4	62.4	37.6	95.6
0.18	5.6	56.6	43.4	94.4
0.19	6.2	56.8	43.2	93.8
0.2	3.8	47.8	52.2	96.2
0.21	4.4	47.2	52.8	95.6
0.22	3.4	39	61	96.6
0.23	6	38	62	94
0.24	4.8	36	64	95.2
0.25	4.2	33	67	95.8
0.26	4.8	31	69	95.2
0.27	4.6	27.4	72.6	95.4
0.28	4.8	22.2	77.8	95.2
0.29	4.6	21.4	78.6	95.4
0.3	4.2	13.8	86.2	95.8
0.31	2.8	15.6	84.4	97.2
0.32	7.2	14.4	85.6	92.8
0.33	5.4	13.6	86.4	94.6
0.34	5	10.8	89.2	95
0.35	4.4	7.8	92.2	95.6
0.36	4	4.8	95.2	96
0.37	5.2	4.8	95.2	94.8
0.38	5.4	4.2	95.8	94.6
0.39	4.4	3	97	95.6
0.4	4	4.2	95.8	96
0.41	4	3	97	96
0.42	4.8	1.8	98.2	95.2
0.43	5.8	1.4	98.6	94.2
0.44	5.2	0.4	99.6	94.8
0.45	6	1	99	94
0.46	4.8	0.4	99.6	95.2
0.47	5.8	0.4	99.6	94.2
0.48	4.4	0.4	99.6	95.6
0.49	5.2	0.2	99.8	94.8
0.5	4.4	0.2	99.8	95.6
0.51	5.8	0	100	94.2
0.52	4.8	0.2	99.8	95.2
0.53	4.8	0	100	95.2
0.54	4.6	0	100	95.4
0.55	4.4	0	100	95.6
0.56	5.6	0.2	99.8	94.4
0.57	5	0	100	95
0.58	4.8	0	100	95.2
0.59	5	0	100	95
0.6	6	0	100	94
0.61	4.6	0	100	95.4
0.62	5	0	100	95
0.63	4.8	0	100	95.2
0.64	6	0	100	94
0.65	4	0	100	96
0.66	3.6	0	100	96.4
0.67	3.6	0	100	96.4
0.68	4.8	0	100	95.2
0.69	5	0	100	95
0.7	3.8	0	100	96.2
0.71	4.4	0	100	95.6
0.72	5.8	0	100	94.2
0.73	7	0	100	93
0.74	6.4	0	100	93.6
0.75	6	0	100	94
0.76	6.6	0	100	93.4
0.77	5	0	100	95
0.78	6	0	100	94
0.79	3.6	0	100	96.4
0.8	3.4	0	100	96.6
0.81	2.8	0	100	97.2
0.82	5.6	0	100	94.4
0.83	5.6	0	100	94.4
0.84	4.6	0	100	95.4
0.85	7	0	100	93
0.86	4.6	0	100	95.4
0.87	5.6	0	100	94.4
0.88	4.6	0	100	95.4
0.89	4.2	0	100	95.8
0.9	5.2	0	100	94.8
0.91	7.2	0	100	92.8
0.92	7.4	0	100	92.6
0.93	3.2	0	100	96.8
0.94	5	0	100	95
0.95	5.4	0	100	94.6
0.96	5	0	100	95
0.97	7.2	0	100	92.8
0.98	5.6	0	100	94.4
0.99	5.2	0	100	94.8
1	4.4	0	100	95.6
1.01	6.4	0	100	93.6
1.02	6.4	0	100	93.6
1.03	3.2	0	100	96.8
1.04	4.2	0	100	95.8
1.05	6.4	0	100	93.6
1.06	5.4	0	100	94.6
1.07	4	0	100	96
1.08	3.6	0	100	96.4
1.09	5.2	0	100	94.8
1.1	4.2	0	100	95.8
1.11	6	0	100	94
1.12	5	0	100	95
1.13	3.8	0	100	96.2
1.14	6.2	0	100	93.8
1.15	4.4	0	100	95.6
1.16	4.2	0	100	95.8
1.17	6.4	0	100	93.6
1.18	5.4	0	100	94.6
1.19	6.6	0	100	93.4
1.2	4.6	0	100	95.4
1.21	3.4	0	100	96.6
1.22	6.4	0	100	93.6
1.23	5	0	100	95
1.24	4.4	0	100	95.6
1.25	6.6	0	100	93.4
1.26	5.2	0	100	94.8
1.27	5.2	0	100	94.8
1.28	8	0	100	92
1.29	5.4	0	100	94.6
1.3	5.6	0	100	94.4
1.31	4.6	0	100	95.4
1.32	6.2	0	100	93.8
1.33	5.4	0	100	94.6
1.34	6.8	0	100	93.2
1.35	4.6	0	100	95.4
1.36	4.2	0	100	95.8
1.37	4.4	0	100	95.6
1.38	3.4	0	100	96.6
1.39	6.2	0	100	93.8
1.4	6	0	100	94
1.41	4	0	100	96
