t	FPR	FNR	TRP	TNR
1	87	0	100	13
1.01	85	0	100	15
1.02	86.4	0	100	13.6
1.03	83.8	0	100	16.2
1.04	86	0	100	14
1.05	84.4	0	100	15.6
1.06	87	0	100	13
1.07	83.2	0	100	16.8
1.08	84.2	0	100	15.8
1.09	82	0	100	18
1.1	81.4	0	100	18.6
1.11	83	0	100	17
1.12	83.4	0	100	16.6
1.13	79	0	100	21
1.14	79	0	100	21
1.15	76.6	0	100	23.4
1.16	79.4	0	100	20.6
1.17	80.2	0	100	19.8
1.18	77.8	0	100	22.2
1.19	79.2	0	100	20.8
1.2	74.6	0	100	25.4
1.21	76.4	0	100	23.6
1.22	79.4	0	100	20.6
1.23	70.4	0	100	29.6
1.24	75.2	0	100	24.8
1.25	75.4	0	100	24.6
1.26	76.6	0	100	23.4
1.27	73.4	0	100	26.6
1.28	71.2	0	100	28.8
1.29	74.8	0	100	25.2
1.3	70.2	0	100	29.8
1.31	69.6	0	100	30.4
1.32	70.4	0	100	29.6
1.33	71.2	0	100	28.8
1.34	68.6	0	100	31.4
1.35	70.2	0	100	29.8
1.36	70.6	0	100	29.4
1.37	68.6	0	100	31.4
1.38	68.8	0	100	31.2
1.39	64.4	0	100	35.6
1.4	67.8	0	100	32.2
1.41	64.8	0	100	35.2
1.42	70.4	0	100	29.6
1.43	67.2	0	100	32.8
1.44	66.4	0	100	33.6
1.45	66	0	100	34
1.46	67.2	0	100	32.8
1.47	68	0	100	32
1.48	63.8	0	100	36.2
1.49	61.8	0	100	38.2
1.5	62	0	100	38
1.51	63.6	0.2	99.8	36.4
1.52	59.4	0	100	40.6
1.53	63.4	0	100	36.6
1.54	61.8	0.2	99.8	38.2
1.55	58.2	0	100	41.8
1.56	60.6	0	100	39.4
1.57	59.2	0	100	40.8
1.58	59	0	100	41
1.59	59	0.2	99.8	41
1.6	61.2	0.2	99.8	38.8
1.61	61.8	0	100	38.2
1.62	60.4	0	100	39.6
1.63	59.8	0	100	40.2
1.64	59.6	0.2	99.8	40.4
1.65	56.6	0.6	99.4	43.4
1.66	56.8	0.2	99.8	43.2
1.67	55.8	0.2	99.8	44.2
1.68	57	0.4	99.6	43
1.69	64.6	0.4	99.6	35.4
1.7	57.6	0.2	99.8	42.4
1.71	54.8	0.2	99.8	45.2
1.72	54.2	0.2	99.8	45.8
1.73	55.8	0.4	99.6	44.2
1.74	50.2	0.2	99.8	49.8
1.75	52	0	100	48
1.76	52	0	100	48
1.77	52.6	0.4	99.6	47.4
1.78	50.8	0.2	99.8	49.2
1.79	49.4	0.6	99.4	50.6
1.8	52.4	1	99	47.6
1.81	53.4	0.8	99.2	46.6
1.82	51.4	0.2	99.8	48.6
1.83	47.6	0.6	99.4	52.4
1.84	49.2	0.8	99.2	50.8
1.85	52.4	0.6	99.4	47.6
1.86	45.4	1	99	54.6
1.87	47.2	0.8	99.2	52.8
