t	FPR	FNR	TRP	TNR
0.01	5.6	95.6	4.4	94.4
0.02	4.8	95.6	4.4	95.2
0.03	6	95.4	4.6	94
0.04	5.4	94.4	5.6	94.6
0.05	4.2	95	5	95.8
0.06	5.8	95	5	94.2
0.07	4.4	93.6	6.4	95.6
0.08	4.6	93.4	6.6	95.4
0.09	4.8	93.4	6.6	95.2
0.1	4.2	93.6	6.4	95.8
0.11	4.6	93.4	6.6	95.4
0.12	6.2	92.4	7.6	93.8
0.13	6.2	92.2	7.8	93.8
0.14	5	90.2	9.8	95
0.15	5.2	91.4	8.6	94.8
0.16	4.8	89	11	95.2
0.17	7	89.8	10.2	93
0.18	3.6	86	14	96.4
0.19	4	85.8	14.2	96
0.2	6	88.6	11.4	94
0.21	5.8	87.4	12.6	94.2
0.22	5	86.8	13.2	95
0.23	3.4	87.2	12.8	96.6
0.24	4.2	84.6	15.4	95.8
0.25	5.2	83.4	16.6	94.8
0.26	6	79.2	20.8	94
0.27	4.4	80	20	95.6
0.28	6.8	76.6	23.4	93.2
0.29	4.8	78	22	95.2
0.3	5	77	23	95
0.31	5.2	71	29	94.8
0.32	4.4	71.8	28.2	95.6
0.33	4.6	72.6	27.4	95.4
0.34	5	70.2	29.8	95
0.35	3.8	71.8	28.2	96.2
0.36	5.6	67.2	32.8	94.4
0.37	5.4	66.4	33.6	94.6
0.38	6.2	60	40	93.8
0.39	4.8	62.4	37.6	95.2
0.4	5.2	64.2	35.8	94.8
0.41	4.6	59	41	95.4
0.42	5	59.8	40.2	95
0.43	5.6	59	41	94.4
0.44	5.2	58	42	94.8
0.45	4.8	56.6	43.4	95.2
0.46	7	53	47	93
0.47	5.2	52	48	94.8
0.48	6.2	47.6	52.4	93.8
0.49	5	44	56	95
0.5	5	46.4	53.6	95
0.51	4.6	46.8	53.2	95.4
0.52	4.6	45.6	54.4	95.4
0.53	4.2	40.8	59.2	95.8
0.54	5	39.6	60.4	95
0.55	5.4	36.8	63.2	94.6
0.56	4.8	34.8	65.2	95.2
0.57	4.8	30.8	69.2	95.2
0.58	4.8	33.2	66.8	95.2
0.59	6.4	28.6	71.4	93.6
0.6	4.8	29.2	70.8	95.2
0.61	4.2	27.6	72.4	95.8
0.62	5.4	23.8	76.2	94.6
0.63	3.6	23.4	76.6	96.4
0.64	5.6	23.4	76.6	94.4
0.65	5.6	25.4	74.6	94.4
0.66	5	19	81	95
0.67	4	19.8	80.2	96
0.68	6.8	18.4	81.6	93.2
0.69	5	18.6	81.4	95
0.7	7	16.2	83.8	93
0.71	5.6	17.2	82.8	94.4
0.72	4	14.8	85.2	96
0.73	6.2	15.8	84.2	93.8
0.74	4.8	13.4	86.6	95.2
0.75	3.2	17.8	82.2	96.8
0.76	4.6	10.8	89.2	95.4
0.77	4.4	7.6	92.4	95.6
0.78	5.4	10.8	89.2	94.6
0.79	6.4	8.4	91.6	93.6
0.8	6.2	6.6	93.4	93.8
0.81	6	6.8	93.2	94
0.82	4.6	8.4	91.6	95.4
0.83	7	6	94	93
0.84	3.6	5.8	94.2	96.4
0.85	6.4	4.2	95.8	93.6
0.86	5.6	6.2	93.8	94.4
0.87	7.6	5.6	94.4	92.4
0.88	6.2	4	96	93.8
0.89	6.2	5	95	93.8
0.9	5.6	4	96	94.4
0.91	6.6	4.6	95.4	93.4
0.92	4.6	3.2	96.8	95.4
0.93	4.6	3.2	96.8	95.4
0.94	4.4	2.2	97.8	95.6
0.95	6.4	4.6	95.4	93.6
0.96	6	2.2	97.8	94
0.97	4.8	2.2	97.8	95.2
0.98	5.8	1	99	94.2
0.99	5	1.4	98.6	95
1	6.2	1.8	98.2	93.8
1.01	7	2.2	97.8	93
1.02	3.4	1	99	96.6
1.03	5.8	1	99	94.2
1.04	3.8	1	99	96.2
1.05	5.4	0.4	99.6	94.6
1.06	5	0.6	99.4	95
1.07	3.8	1	99	96.2
1.08	5	0.8	99.2	95
1.09	4	0.4	99.6	96
1.1	6	0.4	99.6	94
1.11	5.2	1	99	94.8
1.12	5.4	0	100	94.6
1.13	5.8	0.4	99.6	94.2
1.14	4.2	0.2	99.8	95.8
1.15	5.2	0.2	99.8	94.8
1.16	6	0.2	99.8	94
1.17	4.2	0.2	99.8	95.8
1.18	4.6	0.4	99.6	95.4
1.19	5.2	0	100	94.8
1.2	4.6	0.2	99.8	95.4
1.21	4.6	0.2	99.8	95.4
1.22	4.8	0	100	95.2
1.23	7.4	0	100	92.6
1.24	6	0.2	99.8	94
1.25	4.6	0	100	95.4
1.26	5.8	0	100	94.2
1.27	3.4	0.2	99.8	96.6
1.28	4.2	0	100	95.8
1.29	4.8	0	100	95.2
1.3	5.2	0	100	94.8
1.31	6.6	0.2	99.8	93.4
1.32	4.4	0	100	95.6
1.33	4	0	100	96
1.34	6.6	0	100	93.4
1.35	7	0	100	93
1.36	3	0	100	97
1.37	5	0.2	99.8	95
1.38	4.6	0	100	95.4
1.39	5.8	0	100	94.2
1.4	6.2	0	100	93.8
1.41	6.8	0	100	93.2
1.42	5.8	0	100	94.2
1.43	5.8	0	100	94.2
1.44	5.4	0	100	94.6
1.45	4.6	0	100	95.4
1.46	4.4	0	100	95.6
1.47	6.6	0	100	93.4
1.48	2.6	0	100	97.4
1.49	5.4	0	100	94.6
1.5	5	0	100	95
1.51	7.2	0	100	92.8
1.52	5.6	0	100	94.4
1.53	6	0	100	94
1.54	6.6	0	100	93.4
1.55	5	0	100	95
1.56	5.8	0	100	94.2
1.57	5	0	100	95
1.58	6.2	0	100	93.8
1.59	6.2	0	100	93.8
1.6	6.6	0	100	93.4
1.61	4.8	0	100	95.2
1.62	7	0	100	93
1.63	4.8	0	100	95.2
1.64	8.8	0	100	91.2
1.65	3.4	0	100	96.6
1.66	6.4	0	100	93.6
1.67	5.8	0	100	94.2
1.68	5.4	0	100	94.6
1.69	4	0	100	96
1.7	5	0	100	95
1.71	4.8	0	100	95.2
1.72	6.4	0	100	93.6
1.73	5.2	0	100	94.8
1.74	4.4	0	100	95.6
1.75	5	0	100	95
1.76	5.8	0	100	94.2
1.77	5.4	0	100	94.6
1.78	5.4	0	100	94.6
1.79	4.8	0	100	95.2
1.8	5.8	0	100	94.2
1.81	4	0	100	96
1.82	5.2	0	100	94.8
1.83	5.2	0	100	94.8
1.84	6.6	0	100	93.4
1.85	3.4	0	100	96.6
