t	FPR	FNR	TRP	TNR
1	4	0	100	96
1.01	4.8	0	100	95.2
1.02	4.6	0	100	95.4
1.03	6	0	100	94
1.04	4.2	0	100	95.8
1.05	3.6	0	100	96.4
1.06	5.4	0	100	94.6
1.07	5	0	100	95
1.08	4	0	100	96
1.09	4.2	0	100	95.8
1.1	4.4	0	100	95.6
1.11	4.2	0	100	95.8
1.12	4	0	100	96
1.13	4.8	0	100	95.2
1.14	5.6	0	100	94.4
1.15	2.4	0	100	97.6
1.16	6.4	0	100	93.6
1.17	6.8	0	100	93.2
1.18	7	0	100	93
1.19	5.6	0	100	94.4
1.2	4.8	0	100	95.2
1.21	4	0	100	96
1.22	5.2	0	100	94.8
1.23	5.2	0	100	94.8
1.24	5.2	0	100	94.8
1.25	5.2	0	100	94.8
1.26	5	0	100	95
1.27	5	0	100	95
1.28	7	0	100	93
1.29	4.8	0	100	95.2
1.3	3.6	0	100	96.4
1.31	6.2	0	100	93.8
1.32	5.8	0	100	94.2
1.33	3.6	0	100	96.4
1.34	3	0	100	97
1.35	3.6	0	100	96.4
1.36	5.4	0	100	94.6
1.37	6.6	0	100	93.4
1.38	6.2	0	100	93.8
1.39	4	0	100	96
1.4	5	0	100	95
1.41	4.4	0	100	95.6
1.42	5.6	0	100	94.4
1.43	4.6	0	100	95.4
1.44	5	0	100	95
1.45	4.8	0	100	95.2
1.46	5.2	0	100	94.8
1.47	6.2	0	100	93.8
1.48	6.2	0	100	93.8
1.49	4.8	0	100	95.2
1.5	4.6	0	100	95.4
1.51	4.8	0	100	95.2
1.52	6.2	0	100	93.8
1.53	5.2	0	100	94.8
1.54	3.8	0	100	96.2
1.55	3.6	0	100	96.4
1.56	4.8	0	100	95.2
1.57	4.8	0	100	95.2
1.58	4.2	0	100	95.8
1.59	6.6	0	100	93.4
1.6	4.8	0	100	95.2
1.61	5.6	0	100	94.4
1.62	5.6	0	100	94.4
1.63	5.2	0	100	94.8
1.64	4	0	100	96
1.65	4.2	0	100	95.8
1.66	4.8	0	100	95.2
1.67	6.6	0	100	93.4
1.68	5	0	100	95
1.69	6.2	0	100	93.8
1.7	4.8	0	100	95.2
1.71	4	0	100	96
1.72	4.6	0	100	95.4
1.73	4.4	0	100	95.6
1.74	4.8	0	100	95.2
1.75	3.8	0	100	96.2
1.76	4.4	0	100	95.6
1.77	6	0	100	94
1.78	5.2	0	100	94.8
1.79	6.6	0	100	93.4
1.8	4.2	0	100	95.8
1.81	3.8	0	100	96.2
1.82	5.8	0	100	94.2
1.83	5	0	100	95
1.84	4.8	0	100	95.2
1.85	6	0	100	94
1.86	5.2	0	100	94.8
1.87	5.8	0	100	94.2
1.88	4.8	0	100	95.2
1.89	2.2	0	100	97.8
1.9	4.6	0	100	95.4
1.91	4.6	0	100	95.4
1.92	4.2	0	100	95.8
1.93	3.6	0	100	96.4
1.94	3.6	0	100	96.4
1.95	5.4	0	100	94.6
1.96	5.2	0	100	94.8
1.97	5.4	0	100	94.6
1.98	3.8	0	100	96.2
1.99	4	0	100	96
2	5.4	0	100	94.6
2.01	5.8	0	100	94.2
2.02	4	0	100	96
2.03	6.6	0	100	93.4
2.04	6.6	0	100	93.4
2.05	6.4	0	100	93.6
2.06	6	0	100	94
2.07	4.2	0	100	95.8
2.08	9	0	100	91
2.09	4.6	0	100	95.4
2.1	5.2	0	100	94.8
2.11	4.8	0	100	95.2
2.12	4.2	0	100	95.8
2.13	6.2	0	100	93.8
2.14	6.2	0	100	93.8
2.15	6.8	0	100	93.2
2.16	3.8	0	100	96.2
2.17	4.6	0	100	95.4
2.18	4.4	0	100	95.6
2.19	7.2	0	100	92.8
2.2	4.8	0	100	95.2
2.21	4.2	0	100	95.8
2.22	5.8	0	100	94.2
2.23	5.4	0	100	94.6
2.24	4.4	0	100	95.6
2.25	4.6	0	100	95.4
2.26	5.4	0	100	94.6
2.27	4.8	0	100	95.2
2.28	5.2	0	100	94.8
2.29	4.6	0	100	95.4
2.3	5	0	100	95
2.31	5	0	100	95
2.32	3.8	0	100	96.2
2.33	3.4	0	100	96.6
2.34	4.8	0	100	95.2
2.35	5.6	0	100	94.4
2.36	2.8	0	100	97.2
2.37	6.2	0	100	93.8
2.38	5.4	0	100	94.6
2.39	5.2	0	100	94.8
2.4	5	0	100	95
2.41	6.4	0	100	93.6
2.42	3.8	0	100	96.2
2.43	4	0	100	96
2.44	4.2	0	100	95.8
2.45	4	0	100	96
2.46	5	0	100	95
2.47	4.6	0	100	95.4
2.48	4.4	0	100	95.6
2.49	5.6	0	100	94.4
2.5	4.8	0	100	95.2
2.51	4.6	0	100	95.4
2.52	5.2	0	100	94.8
2.53	4.4	0	100	95.6
2.54	4.2	0	100	95.8
2.55	5.8	0	100	94.2
2.56	5.6	0	100	94.4
2.57	5	0	100	95
2.58	4.4	0	100	95.6
2.59	3.8	0	100	96.2
2.6	5.8	0	100	94.2
2.61	4.6	0	100	95.4
2.62	5.6	0	100	94.4
2.63	6	0	100	94
2.64	6.8	0	100	93.2
2.65	4.2	0	100	95.8
2.66	4.2	0	100	95.8
2.67	6.2	0	100	93.8
2.68	4	0.2	99.8	96
2.69	5.6	0	100	94.4
2.7	4.4	0	100	95.6
2.71	5.4	0	100	94.6
2.72	5.6	0.2	99.8	94.4
2.73	7	0	100	93
2.74	6	0	100	94
2.75	6.2	0	100	93.8
2.76	6	0	100	94
2.77	5.8	0	100	94.2
2.78	4.4	0	100	95.6
2.79	3.8	0.2	99.8	96.2
2.8	4	0	100	96
2.81	4.8	0.4	99.6	95.2
2.82	5.4	0.2	99.8	94.6
2.83	5.6	0.2	99.8	94.4
2.84	5	0	100	95
2.85	5.2	0	100	94.8
2.86	5	0	100	95
2.87	4	0	100	96
2.88	4.4	0	100	95.6
2.89	5.4	0	100	94.6
2.9	3.8	0	100	96.2
2.91	4.6	0	100	95.4
2.92	4	0	100	96
2.93	5	0.2	99.8	95
2.94	6.8	0.4	99.6	93.2
2.95	6	0	100	94
2.96	5.4	0	100	94.6
2.97	5.6	0.2	99.8	94.4
2.98	4.2	0	100	95.8
2.99	4.4	0.4	99.6	95.6
3	5	0.2	99.8	95
