t	FPR	FNR	TRP	TNR
1	3.2	0	100	96.8
1.01	4.8	0	100	95.2
1.02	5.4	0	100	94.6
1.03	4.6	0	100	95.4
1.04	5.6	0	100	94.4
1.05	4	0	100	96
1.06	5.6	0	100	94.4
1.07	3.4	0	100	96.6
1.08	5.2	0	100	94.8
1.09	5.8	0	100	94.2
1.1	2.8	0	100	97.2
1.11	6.2	0	100	93.8
1.12	4.2	0	100	95.8
1.13	4.8	0	100	95.2
1.14	5.8	0	100	94.2
1.15	7.2	0	100	92.8
1.16	4.4	0	100	95.6
1.17	6	0	100	94
1.18	6.4	0	100	93.6
1.19	6	0	100	94
1.2	5	0	100	95
1.21	3.6	0	100	96.4
1.22	5	0	100	95
1.23	4	0	100	96
1.24	6	0	100	94
1.25	7	0	100	93
1.26	4.8	0	100	95.2
1.27	4.6	0	100	95.4
1.28	5.2	0	100	94.8
1.29	4.4	0	100	95.6
1.3	6	0	100	94
1.31	4.2	0	100	95.8
1.32	4.8	0	100	95.2
1.33	4.6	0	100	95.4
1.34	3.4	0	100	96.6
1.35	3.8	0	100	96.2
1.36	3	0	100	97
1.37	4.4	0	100	95.6
1.38	4.4	0	100	95.6
1.39	5.2	0	100	94.8
1.4	5.4	0	100	94.6
1.41	4.2	0	100	95.8
1.42	4.2	0	100	95.8
1.43	4.8	0	100	95.2
1.44	4.4	0	100	95.6
1.45	4.8	0	100	95.2
1.46	5	0	100	95
1.47	3.6	0	100	96.4
1.48	4.8	0	100	95.2
1.49	5.4	0	100	94.6
1.5	3.8	0	100	96.2
1.51	4.8	0	100	95.2
1.52	4	0	100	96
1.53	3.8	0	100	96.2
1.54	5.2	0	100	94.8
1.55	5	0	100	95
1.56	4.6	0	100	95.4
1.57	3.8	0	100	96.2
1.58	3.6	0	100	96.4
1.59	4.2	0	100	95.8
1.6	5	0	100	95
1.61	3.8	0	100	96.2
1.62	4.6	0	100	95.4
1.63	5	0	100	95
1.64	5	0	100	95
1.65	3.2	0	100	96.8
1.66	8	0	100	92
1.67	3.2	0	100	96.8
1.68	5	0	100	95
1.69	4.6	0	100	95.4
1.7	4.2	0	100	95.8
1.71	6.6	0	100	93.4
1.72	4.2	0	100	95.8
1.73	4.4	0	100	95.6
1.74	4.8	0	100	95.2
1.75	6	0	100	94
1.76	6.4	0	100	93.6
1.77	3.8	0	100	96.2
1.78	4.2	0	100	95.8
1.79	3.6	0	100	96.4
1.8	4.2	0	100	95.8
1.81	5	0	100	95
1.82	3.8	0	100	96.2
1.83	3.8	0	100	96.2
1.84	5.2	0	100	94.8
1.85	6.2	0	100	93.8
1.86	6.2	0	100	93.8
1.87	5.4	0	100	94.6
1.88	4.8	0	100	95.2
1.89	6	0	100	94
