t	FPR	FNR	TRP	TNR
1	5.6	0	100	94.4
1.01	4.8	0	100	95.2
1.02	6	0	100	94
1.03	5.6	0	100	94.4
1.04	6.8	0	100	93.2
1.05	4.4	0	100	95.6
1.06	6.2	0	100	93.8
1.07	5.8	0	100	94.2
1.08	5.2	0	100	94.8
1.09	6	0	100	94
1.1	4.4	0	100	95.6
1.11	6	0	100	94
1.12	4.8	0	100	95.2
1.13	4.8	0	100	95.2
1.14	5.4	0	100	94.6
1.15	4.6	0	100	95.4
1.16	4.2	0	100	95.8
1.17	6.2	0	100	93.8
1.18	5	0	100	95
1.19	4	0	100	96
1.2	5.4	0	100	94.6
1.21	5	0	100	95
1.22	2.8	0	100	97.2
1.23	6.6	0	100	93.4
1.24	4.4	0	100	95.6
1.25	5.2	0	100	94.8
1.26	4.4	0	100	95.6
1.27	4.4	0	100	95.6
1.28	4.6	0	100	95.4
1.29	4.6	0	100	95.4
1.3	6	0	100	94
1.31	5.2	0	100	94.8
1.32	4.8	0	100	95.2
1.33	5.4	0	100	94.6
1.34	4.4	0	100	95.6
1.35	6	0	100	94
1.36	5.2	0	100	94.8
1.37	6.4	0	100	93.6
1.38	5.4	0	100	94.6
1.39	7.2	0	100	92.8
1.4	6.6	0	100	93.4
1.41	6.2	0	100	93.8
1.42	5.6	0	100	94.4
1.43	6.6	0	100	93.4
1.44	6.2	0	100	93.8
1.45	5	0	100	95
1.46	6	0	100	94
1.47	4	0	100	96
1.48	5.4	0	100	94.6
1.49	3.2	0	100	96.8
1.5	5.6	0	100	94.4
1.51	4.8	0.2	99.8	95.2
1.52	4.4	0	100	95.6
1.53	5	0	100	95
1.54	5.6	0.2	99.8	94.4
1.55	3.6	0	100	96.4
1.56	6.4	0	100	93.6
1.57	5.8	0	100	94.2
1.58	3.8	0	100	96.2
1.59	5.4	0.2	99.8	94.6
1.6	5	0.2	99.8	95
1.61	5.8	0	100	94.2
1.62	5.6	0	100	94.4
1.63	5.2	0	100	94.8
1.64	4	0.2	99.8	96
1.65	6.4	0.6	99.4	93.6
1.66	3.8	0.2	99.8	96.2
1.67	4	0.2	99.8	96
1.68	5.6	0.4	99.6	94.4
1.69	4.8	0.4	99.6	95.2
1.7	6.8	0.2	99.8	93.2
1.71	4.8	0.2	99.8	95.2
1.72	3.2	0.2	99.8	96.8
1.73	5.6	0.4	99.6	94.4
1.74	5.2	0.2	99.8	94.8
1.75	5.8	0	100	94.2
1.76	5.4	0	100	94.6
1.77	5.6	0.4	99.6	94.4
1.78	5.6	0.2	99.8	94.4
1.79	6.2	0.6	99.4	93.8
1.8	5	1	99	95
1.81	4.4	0.8	99.2	95.6
1.82	5.2	0.2	99.8	94.8
1.83	6	0.6	99.4	94
1.84	4.2	0.8	99.2	95.8
1.85	6	0.6	99.4	94
1.86	6.4	1	99	93.6
1.87	3.8	0.8	99.2	96.2
1.88	6	1.8	98.2	94
1.89	5.8	0.6	99.4	94.2
1.9	5	1.6	98.4	95
1.91	4.8	1	99	95.2
1.92	4.6	0.8	99.2	95.4
1.93	4.8	1.4	98.6	95.2
1.94	6.6	1	99	93.4
1.95	5.8	1.4	98.6	94.2
1.96	8.6	1	99	91.4
1.97	6.2	1	99	93.8
1.98	5.6	1.8	98.2	94.4
1.99	4.8	1.4	98.6	95.2
2	5.4	1.2	98.8	94.6
2.01	4.8	1.6	98.4	95.2
2.02	5.2	1.2	98.8	94.8
2.03	4.4	1.6	98.4	95.6
2.04	4.2	1.6	98.4	95.8
2.05	4.8	3.8	96.2	95.2
2.06	6.8	2	98	93.2
2.07	6.4	1.6	98.4	93.6
2.08	4.2	1.6	98.4	95.8
2.09	4	2.8	97.2	96
2.1	4.8	2.6	97.4	95.2
2.11	5	1	99	95
2.12	4.2	2.8	97.2	95.8
2.13	6.6	3.4	96.6	93.4
2.14	5.2	2	98	94.8
2.15	5	3.2	96.8	95
2.16	7	3	97	93
2.17	4.6	1.2	98.8	95.4
2.18	3.8	4.6	95.4	96.2
2.19	4.8	3.6	96.4	95.2
2.2	5.8	3.4	96.6	94.2
2.21	3.8	3	97	96.2
2.22	5.8	2	98	94.2
2.23	3.2	4.6	95.4	96.8
2.24	5.6	3.6	96.4	94.4
2.25	5.6	3.4	96.6	94.4
2.26	6	4.6	95.4	94
2.27	6.8	5.2	94.8	93.2
2.28	2.8	4.2	95.8	97.2
2.29	3.8	3	97	96.2
2.3	3.6	6.4	93.6	96.4
2.31	5.6	4.8	95.2	94.4
2.32	4.8	7.2	92.8	95.2
2.33	6.2	4.6	95.4	93.8
2.34	6.6	5.2	94.8	93.4
2.35	5.6	6.4	93.6	94.4
2.36	3.4	6.8	93.2	96.6
2.37	5.8	4.6	95.4	94.2
