t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0.2	100	0	99.8
0.03	0.6	99	1	99.4
0.04	0.4	99.4	0.6	99.6
0.05	0.2	100	0	99.8
0.06	0.2	99.4	0.6	99.8
0.07	0.6	99.8	0.2	99.4
0.08	0	99.4	0.6	100
0.09	0.4	99.2	0.8	99.6
0.1	0	99.8	0.2	100
0.11	0	99.4	0.6	100
0.12	0.4	99.2	0.8	99.6
0.13	0.4	98.4	1.6	99.6
0.14	0	99	1	100
0.15	0.2	99.2	0.8	99.8
0.16	0	98.4	1.6	100
0.17	0	99	1	100
0.18	0.8	98	2	99.2
0.19	0	97.6	2.4	100
0.2	0	97.6	2.4	100
0.21	0	98.6	1.4	100
0.22	0.2	97.8	2.2	99.8
0.23	0.2	96.2	3.8	99.8
0.24	0.2	97	3	99.8
0.25	0	96.4	3.6	100
0.26	0	96	4	100
0.27	0	95	5	100
0.28	0	93.6	6.4	100
0.29	0.2	95.6	4.4	99.8
0.3	0	91.8	8.2	100
0.31	0.4	91.8	8.2	99.6
0.32	0.4	91.6	8.4	99.6
0.33	0.2	90	10	99.8
0.34	0.2	86.4	13.6	99.8
0.35	0.4	88.4	11.6	99.6
0.36	0.6	87	13	99.4
0.37	0.4	87.4	12.6	99.6
0.38	0	85	15	100
0.39	0.2	85.6	14.4	99.8
0.4	0	83.4	16.6	100
0.41	0.2	78.8	21.2	99.8
0.42	0.2	77.2	22.8	99.8
0.43	0	77.4	22.6	100
0.44	0.2	78	22	99.8
0.45	0	75.6	24.4	100
0.46	0.6	70.4	29.6	99.4
0.47	0	73	27	100
0.48	0.4	66.4	33.6	99.6
0.49	0.2	68.8	31.2	99.8
0.5	0.2	64.8	35.2	99.8
0.51	0.2	63.8	36.2	99.8
0.52	0.4	60.6	39.4	99.6
0.53	0.2	62.2	37.8	99.8
0.54	0	54.6	45.4	100
0.55	0.4	57.8	42.2	99.6
0.56	0	55.2	44.8	100
0.57	0.2	54.6	45.4	99.8
0.58	0.2	49.2	50.8	99.8
0.59	0.4	47.4	52.6	99.6
0.6	0.2	48.2	51.8	99.8
0.61	0.2	42.6	57.4	99.8
0.62	0.2	43.8	56.2	99.8
0.63	0.2	39.4	60.6	99.8
0.64	0.4	36.4	63.6	99.6
0.65	0	30.6	69.4	100
0.66	0.2	30.2	69.8	99.8
0.67	0.2	29	71	99.8
0.68	0.2	31.2	68.8	99.8
0.69	0	25.8	74.2	100
0.7	0.6	28.6	71.4	99.4
0.71	0	24.2	75.8	100
0.72	0.4	21.4	78.6	99.6
0.73	0.6	21.2	78.8	99.4
0.74	0.2	21.8	78.2	99.8
0.75	0.2	21.2	78.8	99.8
0.76	0	18.2	81.8	100
0.77	0.4	16.4	83.6	99.6
0.78	0.2	16.2	83.8	99.8
0.79	0	13.4	86.6	100
0.8	0.2	14.6	85.4	99.8
0.81	0.2	10.6	89.4	99.8
0.82	0.4	12.2	87.8	99.6
0.83	0	10.8	89.2	100
0.84	0.6	12	88	99.4
0.85	0.4	7.6	92.4	99.6
0.86	0.2	9.4	90.6	99.8
0.87	0.2	7.6	92.4	99.8
0.88	0	5.6	94.4	100
0.89	0.2	4.6	95.4	99.8
