t	FPR	FNR	TRP	TNR
0.01	0	99.6	0.4	100
0.02	0.2	99.6	0.4	99.8
0.03	0.2	99.4	0.6	99.8
0.04	0.4	99.6	0.4	99.6
0.05	0.2	100	0	99.8
0.06	0	99.4	0.6	100
0.07	0	99	1	100
0.08	0.2	99	1	99.8
0.09	0.2	98.8	1.2	99.8
0.1	0	98.4	1.6	100
0.11	0	99.2	0.8	100
0.12	0.2	97.6	2.4	99.8
0.13	0.2	98	2	99.8
0.14	0	97.4	2.6	100
0.15	0.2	96.8	3.2	99.8
0.16	0.2	95.8	4.2	99.8
0.17	0	94.6	5.4	100
0.18	0.4	91.8	8.2	99.6
0.19	0	92.4	7.6	100
0.2	0	91	9	100
0.21	0.2	88.8	11.2	99.8
0.22	0	88.4	11.6	100
0.23	0.6	85.2	14.8	99.4
0.24	0.4	85	15	99.6
0.25	0	81.6	18.4	100
0.26	0	74.8	25.2	100
0.27	0.4	76.2	23.8	99.6
0.28	0.2	74.8	25.2	99.8
0.29	0	73	27	100
0.3	0	62.8	37.2	100
0.31	0.4	70.6	29.4	99.6
0.32	0	65.2	34.8	100
0.33	0	61.8	38.2	100
0.34	0.2	53.4	46.6	99.8
0.35	0.2	52.2	47.8	99.8
0.36	0	50.4	49.6	100
0.37	0.4	43.8	56.2	99.6
0.38	0.2	42.2	57.8	99.8
0.39	0.2	39.6	60.4	99.8
0.4	0	35.8	64.2	100
0.41	0.6	32	68	99.4
0.42	0.2	29.2	70.8	99.8
0.43	0	29.4	70.6	100
0.44	0.4	26.2	73.8	99.6
0.45	0	21.6	78.4	100
0.46	0	22.2	77.8	100
0.47	0.2	17.2	82.8	99.8
0.48	0	17.2	82.8	100
0.49	0.4	14.6	85.4	99.6
0.5	0	12.8	87.2	100
0.51	0.4	12.6	87.4	99.6
0.52	0.2	7	93	99.8
0.53	0.4	10.8	89.2	99.6
0.54	0.2	6.8	93.2	99.8
0.55	0	7.8	92.2	100
0.56	0	6.6	93.4	100
0.57	0.2	7.8	92.2	99.8
0.58	0.4	2.8	97.2	99.6
0.59	0.4	3.8	96.2	99.6
0.6	0.4	2.4	97.6	99.6
0.61	0	2.2	97.8	100
0.62	0	1.8	98.2	100
0.63	0	2	98	100
0.64	0.2	1.8	98.2	99.8
0.65	0	1.8	98.2	100
0.66	0.2	0.6	99.4	99.8
0.67	0.2	0.4	99.6	99.8
0.68	0	0.8	99.2	100
0.69	0.6	0.2	99.8	99.4
0.7	0	0.4	99.6	100
0.71	0.6	0.6	99.4	99.4
0.72	0.4	0.2	99.8	99.6
0.73	0.2	0	100	99.8
0.74	0.4	0.2	99.8	99.6
0.75	0.2	0.2	99.8	99.8
0.76	0.2	0	100	99.8
0.77	0.2	0	100	99.8
0.78	0.2	0.2	99.8	99.8
0.79	0	0	100	100
0.8	0	0	100	100
0.81	0	0	100	100
0.82	0	0	100	100
0.83	0.2	0	100	99.8
0.84	0.2	0	100	99.8
0.85	0.4	0	100	99.6
0.86	0.6	0	100	99.4
0.87	0	0	100	100
0.88	0.4	0	100	99.6
0.89	0.6	0	100	99.4
0.9	0	0	100	100
0.91	0	0	100	100
0.92	0.4	0	100	99.6
0.93	0	0	100	100
0.94	0	0	100	100
0.95	0.2	0	100	99.8
0.96	0.4	0	100	99.6
0.97	0.2	0	100	99.8
0.98	0.4	0	100	99.6
0.99	0	0	100	100
1	0.2	0	100	99.8
1.01	0.6	0	100	99.4
1.02	0.4	0	100	99.6
1.03	0.6	0	100	99.4
1.04	0	0	100	100
1.05	0.4	0	100	99.6
1.06	0.2	0	100	99.8
1.07	0.2	0	100	99.8
1.08	0.2	0	100	99.8
1.09	0.2	0	100	99.8
1.1	0.2	0	100	99.8
1.11	0.6	0	100	99.4
1.12	0	0	100	100
1.13	0.6	0	100	99.4
1.14	0	0	100	100
1.15	0	0	100	100
1.16	0	0	100	100
1.17	0.2	0	100	99.8
1.18	0.2	0	100	99.8
1.19	0.2	0	100	99.8
1.2	0	0	100	100
1.21	0.4	0	100	99.6
1.22	0.4	0	100	99.6
1.23	0.2	0	100	99.8
1.24	0.4	0	100	99.6
1.25	0.4	0	100	99.6
1.26	0.2	0	100	99.8
1.27	0.6	0	100	99.4
1.28	0	0	100	100
1.29	0.2	0	100	99.8
1.3	0.2	0	100	99.8
1.31	0.2	0	100	99.8
1.32	0.2	0	100	99.8
1.33	0	0	100	100
1.34	0	0	100	100
1.35	0	0	100	100
1.36	0.2	0	100	99.8
1.37	0.4	0	100	99.6
1.38	0.2	0	100	99.8
1.39	0.6	0	100	99.4
1.4	0	0	100	100
1.41	0	0	100	100
1.42	0	0	100	100
1.43	0.2	0	100	99.8
1.44	0.2	0	100	99.8
1.45	0.4	0	100	99.6
1.46	0.2	0	100	99.8
1.47	0.2	0	100	99.8
1.48	0.2	0	100	99.8
1.49	0.2	0	100	99.8
1.5	0	0	100	100
1.51	0	0	100	100
1.52	0.2	0	100	99.8
1.53	0.4	0	100	99.6
1.54	0.4	0	100	99.6
1.55	0	0	100	100
1.56	0	0	100	100
1.57	0	0	100	100
1.58	0.4	0	100	99.6
1.59	0.2	0	100	99.8
1.6	0	0	100	100
1.61	0.2	0	100	99.8
1.62	0	0	100	100
1.63	0.4	0	100	99.6
1.64	0.2	0	100	99.8
1.65	0.4	0	100	99.6
1.66	0	0	100	100
1.67	0.2	0	100	99.8
1.68	0	0	100	100
1.69	0.4	0	100	99.6
1.7	0.4	0	100	99.6
1.71	0.2	0	100	99.8
1.72	0	0	100	100
1.73	0.2	0	100	99.8
1.74	0	0	100	100
1.75	0.2	0	100	99.8
1.76	0.2	0	100	99.8
1.77	0.4	0	100	99.6
1.78	0.2	0	100	99.8
1.79	0	0	100	100
1.8	0	0	100	100
1.81	0.2	0	100	99.8
1.82	0.6	0	100	99.4
1.83	0	0	100	100
1.84	0.2	0	100	99.8
1.85	0.4	0	100	99.6
1.86	0	0	100	100
1.87	0.2	0	100	99.8
1.88	0	0	100	100
1.89	0.2	0	100	99.8
1.9	0.2	0	100	99.8
1.91	0	0	100	100
1.92	0	0	100	100
1.93	0.2	0	100	99.8
1.94	0.2	0	100	99.8
1.95	0.2	0	100	99.8
1.96	0.4	0	100	99.6
1.97	0.6	0	100	99.4
1.98	0.2	0	100	99.8
1.99	0	0	100	100
2	0	0	100	100
2.01	0.6	0	100	99.4
2.02	0.2	0	100	99.8
2.03	0	0	100	100
2.04	0	0	100	100
2.05	0.4	0	100	99.6
2.06	0	0	100	100
2.07	0.2	0	100	99.8
2.08	0	0	100	100
2.09	0	0	100	100
2.1	0.2	0	100	99.8
2.11	0.2	0	100	99.8
2.12	0.2	0	100	99.8
2.13	0.2	0	100	99.8
2.14	0.2	0	100	99.8
2.15	0.2	0	100	99.8
2.16	0.2	0	100	99.8
2.17	0	0	100	100
2.18	0.2	0	100	99.8
2.19	0.6	0	100	99.4
2.2	0.2	0	100	99.8
2.21	0	0	100	100
2.22	0	0	100	100
2.23	0	0	100	100
2.24	0.2	0	100	99.8
2.25	0	0	100	100
2.26	0	0	100	100
2.27	0.4	0	100	99.6
2.28	0.4	0	100	99.6
2.29	0.4	0	100	99.6
2.3	0.8	0	100	99.2
2.31	0	0	100	100
2.32	0	0	100	100
2.33	0.4	0	100	99.6
2.34	0	0	100	100
2.35	0.2	0	100	99.8
2.36	0	0	100	100
2.37	0	0	100	100
2.38	0.2	0	100	99.8
2.39	0.2	0	100	99.8
2.4	0	0	100	100
2.41	0.4	0	100	99.6
2.42	0.2	0	100	99.8
2.43	0.4	0	100	99.6
2.44	0	0	100	100
2.45	0.4	0	100	99.6
2.46	0	0	100	100
2.47	0.2	0	100	99.8
2.48	0	0	100	100
2.49	0	0	100	100
2.5	0	0	100	100
2.51	0	0	100	100
2.52	0.2	0	100	99.8
2.53	0.4	0	100	99.6
2.54	0	0	100	100
2.55	0.2	0	100	99.8
2.56	0	0	100	100
2.57	0	0	100	100
2.58	0	0	100	100
2.59	0	0	100	100
2.6	0.2	0	100	99.8
2.61	0	0	100	100
2.62	0.4	0	100	99.6
2.63	0.4	0	100	99.6
2.64	0.4	0	100	99.6
2.65	0	0	100	100
2.66	0.2	0	100	99.8
2.67	0	0	100	100
2.68	0.4	0	100	99.6
2.69	0.6	0	100	99.4
