t	FPR	FNR	TRP	TNR
1	4.6	0	100	95.4
1.01	5.2	0	100	94.8
1.02	7.6	0	100	92.4
1.03	3.8	0	100	96.2
1.04	5.2	0	100	94.8
1.05	4	0	100	96
1.06	6.8	0	100	93.2
1.07	5	0	100	95
1.08	5.8	0	100	94.2
1.09	5.4	0	100	94.6
1.1	5.4	0	100	94.6
1.11	5.4	0	100	94.6
1.12	5	0	100	95
1.13	4	0	100	96
1.14	5.8	0	100	94.2
1.15	5.8	0	100	94.2
1.16	5.4	0	100	94.6
1.17	4.6	0	100	95.4
1.18	6.8	0	100	93.2
1.19	5.2	0	100	94.8
1.2	4.4	0	100	95.6
1.21	4.8	0	100	95.2
1.22	4.6	0	100	95.4
1.23	4.6	0	100	95.4
1.24	5.2	0	100	94.8
1.25	5	0	100	95
1.26	6.8	0	100	93.2
1.27	5	0	100	95
1.28	3.4	0	100	96.6
1.29	4	0	100	96
1.3	5.2	0	100	94.8
1.31	4.8	0	100	95.2
1.32	4	0	100	96
1.33	5	0	100	95
1.34	5.2	0	100	94.8
1.35	4.8	0	100	95.2
1.36	4	0.2	99.8	96
1.37	6.6	0	100	93.4
1.38	4.2	0	100	95.8
1.39	5.4	0	100	94.6
1.4	4.8	0	100	95.2
1.41	4.6	0	100	95.4
1.42	7.2	0	100	92.8
1.43	5.6	0	100	94.4
1.44	4.8	0	100	95.2
1.45	4.8	0	100	95.2
1.46	6	0	100	94
1.47	5.4	0	100	94.6
1.48	4.4	0	100	95.6
1.49	7.2	0	100	92.8
1.5	7.4	0	100	92.6
1.51	5.2	0	100	94.8
1.52	4.6	0	100	95.4
1.53	6.2	0	100	93.8
1.54	5.6	0	100	94.4
1.55	3.6	0	100	96.4
1.56	4	0	100	96
1.57	4.6	0	100	95.4
1.58	4.8	0	100	95.2
1.59	7	0.4	99.6	93
1.6	4.2	0	100	95.8
1.61	5.4	0	100	94.6
1.62	4.2	0	100	95.8
1.63	4	0.4	99.6	96
1.64	3.6	0	100	96.4
1.65	3.8	0.2	99.8	96.2
1.66	5	0	100	95
1.67	6.4	0.4	99.6	93.6
1.68	4.4	0	100	95.6
1.69	3.8	0.2	99.8	96.2
1.7	4	0.2	99.8	96
1.71	4.6	0	100	95.4
1.72	5.2	0.2	99.8	94.8
1.73	3.2	0	100	96.8
1.74	4.2	0.2	99.8	95.8
1.75	5.2	0.6	99.4	94.8
1.76	5.6	0.4	99.6	94.4
1.77	3.4	0.2	99.8	96.6
1.78	4.8	0.2	99.8	95.2
1.79	6	0.4	99.6	94
1.8	6	0.2	99.8	94
1.81	5	0.6	99.4	95
1.82	5.8	0.8	99.2	94.2
1.83	5.6	0.6	99.4	94.4
1.84	4.2	0.4	99.6	95.8
1.85	5.6	0.8	99.2	94.4
1.86	5.4	1.2	98.8	94.6
1.87	4.4	0.6	99.4	95.6
1.88	6	0.8	99.2	94
1.89	4.4	1.6	98.4	95.6
1.9	5	1.2	98.8	95
1.91	5.6	2.2	97.8	94.4
1.92	5.2	1.2	98.8	94.8
