t	FPR	FNR	TRP	TNR
1	3.8	0	100	96.2
1.01	6.6	0	100	93.4
1.02	6.6	0	100	93.4
1.03	3.8	0	100	96.2
1.04	4.8	0	100	95.2
1.05	4.6	0	100	95.4
1.06	5	0	100	95
1.07	6.8	0	100	93.2
1.08	5	0	100	95
1.09	4.8	0	100	95.2
1.1	5.4	0	100	94.6
1.11	5.2	0	100	94.8
1.12	5	0	100	95
1.13	3.6	0	100	96.4
1.14	5	0	100	95
1.15	3.6	0	100	96.4
1.16	6	0	100	94
1.17	4	0	100	96
1.18	4.2	0	100	95.8
1.19	4.2	0	100	95.8
1.2	4.2	0	100	95.8
1.21	5.6	0	100	94.4
1.22	4	0	100	96
1.23	6.6	0	100	93.4
1.24	4.8	0	100	95.2
1.25	4	0	100	96
1.26	5.4	0	100	94.6
1.27	5.2	0	100	94.8
1.28	3.4	0	100	96.6
1.29	4.6	0	100	95.4
1.3	4.2	0	100	95.8
1.31	5.8	0	100	94.2
1.32	4	0	100	96
1.33	4.6	0	100	95.4
1.34	4.6	0	100	95.4
1.35	3.2	0	100	96.8
1.36	5.2	0	100	94.8
1.37	4.2	0	100	95.8
1.38	5.2	0	100	94.8
1.39	5.4	0	100	94.6
1.4	4.6	0	100	95.4
1.41	5.8	0	100	94.2
1.42	4	0	100	96
1.43	4.2	0	100	95.8
1.44	4.4	0	100	95.6
1.45	3.4	0	100	96.6
1.46	4.8	0	100	95.2
1.47	4	0	100	96
1.48	5.2	0	100	94.8
1.49	4.4	0	100	95.6
1.5	3	0	100	97
1.51	3.8	0	100	96.2
1.52	3.8	0	100	96.2
1.53	5.8	0	100	94.2
1.54	5	0	100	95
1.55	4.4	0	100	95.6
1.56	3.8	0	100	96.2
1.57	5.2	0	100	94.8
1.58	4.2	0	100	95.8
1.59	5.2	0	100	94.8
1.6	5.4	0	100	94.6
1.61	3.4	0	100	96.6
1.62	4.6	0	100	95.4
1.63	4.6	0	100	95.4
1.64	6.6	0	100	93.4
1.65	4.4	0	100	95.6
1.66	5.2	0	100	94.8
1.67	4	0	100	96
1.68	6.2	0	100	93.8
1.69	4.4	0	100	95.6
1.7	6	0	100	94
1.71	4.4	0	100	95.6
1.72	4	0	100	96
1.73	5.8	0	100	94.2
1.74	5.2	0	100	94.8
1.75	6.2	0	100	93.8
1.76	5	0	100	95
1.77	5.8	0	100	94.2
1.78	4.2	0	100	95.8
1.79	7.2	0	100	92.8
1.8	4.6	0	100	95.4
1.81	4.4	0	100	95.6
1.82	4.6	0	100	95.4
1.83	3.8	0	100	96.2
1.84	4.8	0	100	95.2
1.85	3.4	0	100	96.6
1.86	4.2	0	100	95.8
1.87	3.8	0	100	96.2
1.88	5	0	100	95
1.89	5.4	0	100	94.6
1.9	4.6	0	100	95.4
1.91	6.2	0	100	93.8
1.92	5.6	0	100	94.4
1.93	4.6	0	100	95.4
1.94	4.4	0	100	95.6
1.95	5.4	0	100	94.6
1.96	5.4	0	100	94.6
1.97	6.2	0	100	93.8
1.98	5.6	0	100	94.4
1.99	4.2	0	100	95.8
2	6.2	0	100	93.8
2.01	6.2	0	100	93.8
2.02	3.6	0	100	96.4
2.03	3.4	0	100	96.6
2.04	5.6	0	100	94.4
2.05	7	0	100	93
2.06	5	0	100	95
2.07	4.8	0	100	95.2
2.08	5	0	100	95
2.09	5.2	0	100	94.8
2.1	5.6	0	100	94.4
2.11	5.4	0	100	94.6
2.12	4.8	0	100	95.2
2.13	4.4	0	100	95.6
