t	FPR	FNR	TRP	TNR
1	3.8	0	100	96.2
1.01	4.4	0	100	95.6
1.02	6	0	100	94
1.03	5.4	0.2	99.8	94.6
1.04	3.6	0.2	99.8	96.4
1.05	3	0.2	99.8	97
1.06	5.4	0.2	99.8	94.6
1.07	3.4	0.2	99.8	96.6
1.08	6.4	0	100	93.6
1.09	5.4	0.2	99.8	94.6
1.1	6	0.6	99.4	94
1.11	4.8	0.2	99.8	95.2
1.12	3.8	0.6	99.4	96.2
1.13	3.4	0	100	96.6
1.14	4.6	0	100	95.4
1.15	4.8	0.8	99.2	95.2
1.16	4.6	0.2	99.8	95.4
1.17	4.4	0.6	99.4	95.6
1.18	3.4	0.4	99.6	96.6
1.19	5	0.8	99.2	95
1.2	5.4	0.4	99.6	94.6
1.21	5.6	0.8	99.2	94.4
1.22	3.4	1.6	98.4	96.6
1.23	4.6	1.4	98.6	95.4
1.24	4.6	1.2	98.8	95.4
1.25	4.6	1	99	95.4
1.26	5.4	2	98	94.6
1.27	4.4	0.6	99.4	95.6
1.28	3.2	1.8	98.2	96.8
1.29	4.6	1.8	98.2	95.4
1.3	3.4	2.2	97.8	96.6
1.31	3.6	2.8	97.2	96.4
1.32	3.4	3.4	96.6	96.6
1.33	4.6	2	98	95.4
1.34	4.4	2.4	97.6	95.6
1.35	3.6	3.2	96.8	96.4
1.36	5.8	3.8	96.2	94.2
1.37	3.8	3.8	96.2	96.2
1.38	4	6.2	93.8	96
1.39	4.6	3.6	96.4	95.4
1.4	2.8	5.6	94.4	97.2
1.41	3.4	5.2	94.8	96.6
1.42	4.2	5.8	94.2	95.8
1.43	2.8	6.6	93.4	97.2
1.44	4.8	5.2	94.8	95.2
1.45	4	3.8	96.2	96
1.46	3.4	6.8	93.2	96.6
1.47	3.6	9	91	96.4
1.48	4.4	7.6	92.4	95.6
1.49	3.2	6	94	96.8
1.5	4.6	8.2	91.8	95.4
1.51	4.2	8.2	91.8	95.8
1.52	3.8	9	91	96.2
1.53	3.8	9	91	96.2
1.54	4.4	10.6	89.4	95.6
1.55	4.6	10.2	89.8	95.4
1.56	4.8	9.8	90.2	95.2
1.57	4.8	14	86	95.2
1.58	4.2	10	90	95.8
1.59	5.2	14.4	85.6	94.8
1.6	1.4	11.8	88.2	98.6
1.61	4	11.6	88.4	96
1.62	3.8	13	87	96.2
1.63	3.4	13.6	86.4	96.6
1.64	2.4	15	85	97.6
1.65	4	16.4	83.6	96
1.66	5.2	13	87	94.8
1.67	2.4	14	86	97.6
1.68	4.4	19.8	80.2	95.6
1.69	4.4	17.4	82.6	95.6
1.7	3	17.6	82.4	97
1.71	3.6	16.8	83.2	96.4
1.72	2.6	20	80	97.4
1.73	3.8	21.4	78.6	96.2
1.74	4.2	19	81	95.8
1.75	3.4	19	81	96.6
1.76	2.4	21.2	78.8	97.6
1.77	3.2	20.2	79.8	96.8
1.78	3.2	18	82	96.8
1.79	2.2	22.6	77.4	97.8
1.8	3	22	78	97
1.81	4	23.8	76.2	96
1.82	4.2	21.8	78.2	95.8
1.83	5	27.2	72.8	95
1.84	2.8	27	73	97.2
1.85	3	27.6	72.4	97
1.86	2.8	26.6	73.4	97.2
1.87	3	28.2	71.8	97
1.88	3.8	28	72	96.2
1.89	2.4	28.4	71.6	97.6
1.9	3.6	27.4	72.6	96.4
1.91	2	29.2	70.8	98
1.92	1.8	31	69	98.2
1.93	2.4	32	68	97.6
1.94	3.4	32.6	67.4	96.6
1.95	2.4	31.8	68.2	97.6
1.96	3.6	33.6	66.4	96.4
1.97	3.8	37.6	62.4	96.2
1.98	3	35.6	64.4	97
1.99	3.2	39	61	96.8
2	3	36.4	63.6	97
2.01	2.4	36.2	63.8	97.6
2.02	2.6	38.2	61.8	97.4
2.03	3.6	35	65	96.4
2.04	2.8	34.6	65.4	97.2
2.05	3	36.2	63.8	97
2.06	4	44.2	55.8	96
2.07	3	36.8	63.2	97
2.08	2.4	44.4	55.6	97.6
2.09	3.6	41.2	58.8	96.4
2.1	2.6	41.8	58.2	97.4
2.11	3.6	42.2	57.8	96.4
2.12	1.2	39.8	60.2	98.8
2.13	2.8	44.4	55.6	97.2
2.14	2	40.6	59.4	98
2.15	3.2	39.6	60.4	96.8
2.16	3	43	57	97
2.17	3	42.2	57.8	97
2.18	1.8	42.8	57.2	98.2
2.19	1.8	45.8	54.2	98.2
2.2	2.6	48.8	51.2	97.4
2.21	2.2	47.6	52.4	97.8
2.22	2.2	50.4	49.6	97.8
2.23	1.8	46.2	53.8	98.2
2.24	2.6	50.8	49.2	97.4
2.25	2.6	51.2	48.8	97.4
2.26	1.4	51.4	48.6	98.6
2.27	3	51.6	48.4	97
2.28	2.8	49.4	50.6	97.2
2.29	2.8	50	50	97.2
2.3	2.8	51.4	48.6	97.2
2.31	1.6	52.2	47.8	98.4
2.32	2.2	55.2	44.8	97.8
2.33	3.2	55.8	44.2	96.8
2.34	2	53	47	98
2.35	2	55.6	44.4	98
2.36	1.8	54	46	98.2
2.37	1.6	55.4	44.6	98.4
2.38	1.8	61	39	98.2
2.39	1.2	55.2	44.8	98.8
2.4	2.8	56	44	97.2
2.41	2.4	57.8	42.2	97.6
2.42	2.2	61.2	38.8	97.8
2.43	2.2	54.8	45.2	97.8
2.44	2.2	58.2	41.8	97.8
2.45	2.4	66	34	97.6
2.46	2.2	59.8	40.2	97.8
2.47	2	61	39	98
2.48	2.8	60.4	39.6	97.2
2.49	2.2	61.4	38.6	97.8
2.5	1.2	63.4	36.6	98.8
2.51	1	60.6	39.4	99
2.52	2.4	66.6	33.4	97.6
2.53	1.2	62.6	37.4	98.8
2.54	1.4	63	37	98.6
2.55	1.6	63	37	98.4
2.56	2.4	61.6	38.4	97.6
2.57	3	62.6	37.4	97
2.58	1.2	66.4	33.6	98.8
2.59	2.4	62.6	37.4	97.6
2.6	1.4	63.8	36.2	98.6
2.61	1.8	63.4	36.6	98.2
2.62	2.4	67.2	32.8	97.6
2.63	1.2	68.8	31.2	98.8
2.64	1.2	68.8	31.2	98.8
2.65	1.2	66.6	33.4	98.8
2.66	2	71.8	28.2	98
2.67	2.4	68.2	31.8	97.6
2.68	0.8	67.2	32.8	99.2
2.69	0.8	69.4	30.6	99.2
2.7	1.8	70.6	29.4	98.2
2.71	1.8	71.4	28.6	98.2
2.72	1.4	70.2	29.8	98.6
2.73	1.2	68.4	31.6	98.8
2.74	2	71.2	28.8	98
2.75	1.6	74	26	98.4
2.76	1.2	69.4	30.6	98.8
2.77	1.6	68.6	31.4	98.4
2.78	2	73.4	26.6	98
2.79	1.6	72.8	27.2	98.4
2.8	2.2	71	29	97.8
2.81	1.6	73.2	26.8	98.4
2.82	1.6	72.8	27.2	98.4
2.83	1.6	72.2	27.8	98.4
2.84	1.4	71.4	28.6	98.6
2.85	1.2	73.4	26.6	98.8
2.86	2	69.8	30.2	98
2.87	2.6	75.2	24.8	97.4
2.88	1.6	75	25	98.4
2.89	0.8	71.4	28.6	99.2
2.9	2	74.4	25.6	98
2.91	1.6	74.4	25.6	98.4
2.92	1	76.2	23.8	99
2.93	1	72.6	27.4	99
2.94	1.4	78.4	21.6	98.6
2.95	1.4	76	24	98.6
2.96	2	76.4	23.6	98
2.97	1.2	75.4	24.6	98.8
2.98	2	74.4	25.6	98
2.99	1.4	73.6	26.4	98.6
3	2	74.4	25.6	98
