t	FPR	FNR	TRP	TNR
0.01	0.2	99.4	0.6	99.8
0.02	0.2	100	0	99.8
0.03	0.4	99.8	0.2	99.6
0.04	0.2	100	0	99.8
0.05	0	99.8	0.2	100
0.06	0	99.4	0.6	100
0.07	0	99.2	0.8	100
0.08	0.4	100	0	99.6
0.09	0	100	0	100
0.1	0	99.6	0.4	100
0.11	0	100	0	100
0.12	0.2	99.8	0.2	99.8
0.13	0.2	99.6	0.4	99.8
0.14	0	99.6	0.4	100
0.15	0	99.8	0.2	100
0.16	0.2	99.4	0.6	99.8
0.17	0.2	99	1	99.8
0.18	0	99.4	0.6	100
0.19	0.2	99.2	0.8	99.8
0.2	0.4	99.6	0.4	99.6
0.21	0.2	99.2	0.8	99.8
0.22	0.2	99.2	0.8	99.8
0.23	0.2	99.6	0.4	99.8
0.24	0	98.4	1.6	100
0.25	0	99	1	100
0.26	0.2	98	2	99.8
0.27	0.4	98.8	1.2	99.6
0.28	0.2	97.8	2.2	99.8
0.29	0	98.6	1.4	100
0.3	0	98.6	1.4	100
0.31	0	97.8	2.2	100
0.32	0.2	97.8	2.2	99.8
0.33	0.2	97.6	2.4	99.8
0.34	0.6	97.8	2.2	99.4
0.35	0.2	96.4	3.6	99.8
0.36	0.4	96.4	3.6	99.6
0.37	0.6	96.4	3.6	99.4
0.38	0	93.6	6.4	100
0.39	0	96.8	3.2	100
0.4	0.2	94.8	5.2	99.8
0.41	0	97.4	2.6	100
0.42	0	96.2	3.8	100
0.43	0	93.2	6.8	100
0.44	0	92.6	7.4	100
0.45	0	93	7	100
0.46	0.2	92.2	7.8	99.8
0.47	0	92	8	100
0.48	0.6	91.8	8.2	99.4
0.49	0	90.4	9.6	100
0.5	0	89.4	10.6	100
0.51	0.2	89.4	10.6	99.8
0.52	0.4	92	8	99.6
0.53	0.4	87	13	99.6
0.54	0.4	87.2	12.8	99.6
0.55	0.6	85	15	99.4
0.56	0.4	87	13	99.6
0.57	0.4	85.8	14.2	99.6
0.58	0	82	18	100
0.59	0.2	82.6	17.4	99.8
0.6	0.2	86.2	13.8	99.8
0.61	0	82.6	17.4	100
0.62	0.2	83.8	16.2	99.8
0.63	0.2	80	20	99.8
0.64	0	82	18	100
0.65	0.2	79.2	20.8	99.8
0.66	0.2	79.4	20.6	99.8
0.67	0.2	77	23	99.8
0.68	0.2	72.6	27.4	99.8
0.69	0.6	79.2	20.8	99.4
0.7	0	73.4	26.6	100
0.71	0.4	70.8	29.2	99.6
0.72	0.4	69.6	30.4	99.6
0.73	0	68.2	31.8	100
0.74	0	70	30	100
0.75	0.4	64.8	35.2	99.6
0.76	0.4	67	33	99.6
0.77	0	63.4	36.6	100
0.78	0.4	62.6	37.4	99.6
0.79	0	61.4	38.6	100
0.8	0.2	61.6	38.4	99.8
0.81	0.2	57.6	42.4	99.8
0.82	0.2	58.4	41.6	99.8
0.83	0	55.6	44.4	100
0.84	0.2	57.6	42.4	99.8
0.85	0	55.8	44.2	100
0.86	0.2	56.8	43.2	99.8
0.87	0.2	52	48	99.8
0.88	0	51.2	48.8	100
0.89	0	48.2	51.8	100
0.9	0.6	46.2	53.8	99.4
0.91	0.2	44.6	55.4	99.8
0.92	0.6	48.8	51.2	99.4
0.93	0.2	43.8	56.2	99.8
0.94	0.2	43.8	56.2	99.8
0.95	0	43	57	100
0.96	0	40.8	59.2	100
0.97	0	39	61	100
0.98	0	40.6	59.4	100
0.99	0.4	39.2	60.8	99.6
1	0.6	39.6	60.4	99.4
1.01	0.4	35.4	64.6	99.6
1.02	0.4	32.2	67.8	99.6
1.03	0	34.4	65.6	100
1.04	0.4	29.6	70.4	99.6
1.05	0	26.6	73.4	100
1.06	0.2	28.6	71.4	99.8
1.07	0	31.2	68.8	100
1.08	0.6	24.8	75.2	99.4
1.09	0	27.8	72.2	100
1.1	0	21.6	78.4	100
1.11	0.4	22	78	99.6
1.12	0	21.8	78.2	100
1.13	0	20.6	79.4	100
1.14	0	20.8	79.2	100
1.15	0	18.8	81.2	100
1.16	0.4	17	83	99.6
1.17	0.4	16.4	83.6	99.6
1.18	0	15.6	84.4	100
1.19	0	14.6	85.4	100
1.2	0	18.4	81.6	100
1.21	0.2	14	86	99.8
1.22	0.2	13.4	86.6	99.8
1.23	0	13.4	86.6	100
1.24	0	12.2	87.8	100
1.25	0.2	14	86	99.8
1.26	0	10	90	100
1.27	0.4	11	89	99.6
1.28	0.4	10	90	99.6
1.29	0	9.6	90.4	100
1.3	0	9.6	90.4	100
1.31	0	6	94	100
1.32	0	7.8	92.2	100
1.33	0.4	5.6	94.4	99.6
1.34	0.4	6.4	93.6	99.6
1.35	0.2	6	94	99.8
1.36	0.6	6.8	93.2	99.4
1.37	0.4	6	94	99.6
1.38	0	5.4	94.6	100
1.39	0.2	5.8	94.2	99.8
1.4	0	4.6	95.4	100
1.41	0	5.2	94.8	100
1.42	0	4.8	95.2	100
1.43	0	4.8	95.2	100
1.44	0	3.2	96.8	100
1.45	0.2	1.4	98.6	99.8
1.46	0.2	2.8	97.2	99.8
1.47	0.2	2.6	97.4	99.8
1.48	0.6	3.4	96.6	99.4
1.49	0.2	3.2	96.8	99.8
1.5	0.4	3.2	96.8	99.6
1.51	0	1.8	98.2	100
1.52	0	2.8	97.2	100
1.53	0	3	97	100
1.54	0.2	2.8	97.2	99.8
1.55	0.2	1.8	98.2	99.8
1.56	0.2	2.2	97.8	99.8
1.57	0.2	1.4	98.6	99.8
1.58	0	1.2	98.8	100
1.59	0	2	98	100
1.6	0.4	0.6	99.4	99.6
1.61	0	1.8	98.2	100
1.62	0.4	1.6	98.4	99.6
1.63	0.4	0.8	99.2	99.6
1.64	0.2	1	99	99.8
1.65	0.2	0.2	99.8	99.8
1.66	0.6	0.8	99.2	99.4
1.67	0	1	99	100
1.68	0.8	1	99	99.2
1.69	0	0.8	99.2	100
1.7	0.4	0.6	99.4	99.6
1.71	0.4	0.2	99.8	99.6
1.72	0.2	0.8	99.2	99.8
1.73	0.2	1	99	99.8
1.74	0.4	0.2	99.8	99.6
1.75	0.4	0.6	99.4	99.6
1.76	0	0.4	99.6	100
1.77	0.2	0.4	99.6	99.8
1.78	0	0.2	99.8	100
1.79	0	0.2	99.8	100
1.8	0.2	0.4	99.6	99.8
1.81	0.2	0	100	99.8
1.82	0.2	0.6	99.4	99.8
1.83	0.2	0	100	99.8
1.84	0.2	0	100	99.8
1.85	0	0.4	99.6	100
1.86	0.4	0	100	99.6
1.87	0	0	100	100
1.88	0	0.4	99.6	100
1.89	0	0.2	99.8	100
1.9	0.2	0	100	99.8
1.91	0.4	0.2	99.8	99.6
1.92	0.2	0	100	99.8
1.93	0	0	100	100
1.94	0.2	0.2	99.8	99.8
1.95	0	0.6	99.4	100
1.96	0	0	100	100
1.97	0.2	0	100	99.8
1.98	0.2	0	100	99.8
1.99	0	0	100	100
2	0.2	0	100	99.8
2.01	0.2	0	100	99.8
2.02	0	0	100	100
2.03	0.2	0	100	99.8
2.04	0.2	0	100	99.8
2.05	0	0	100	100
2.06	0.2	0	100	99.8
2.07	0.2	0	100	99.8
2.08	0.2	0	100	99.8
2.09	0	0	100	100
2.1	0.4	0	100	99.6
2.11	0	0	100	100
2.12	0	0	100	100
2.13	0	0	100	100
2.14	0.4	0	100	99.6
2.15	0.2	0	100	99.8
2.16	0.2	0	100	99.8
2.17	0.2	0	100	99.8
2.18	0.6	0	100	99.4
2.19	0	0	100	100
2.2	0.4	0	100	99.6
2.21	0.2	0	100	99.8
2.22	0	0.2	99.8	100
2.23	0.2	0	100	99.8
2.24	0.2	0	100	99.8
2.25	0	0	100	100
2.26	0.2	0	100	99.8
2.27	0	0	100	100
2.28	0.6	0	100	99.4
2.29	0	0	100	100
2.3	0	0	100	100
2.31	0.2	0	100	99.8
2.32	0.2	0	100	99.8
2.33	0	0	100	100
2.34	0.6	0	100	99.4
2.35	0.4	0	100	99.6
2.36	0.6	0	100	99.4
2.37	0.2	0	100	99.8
2.38	0.2	0	100	99.8
2.39	0.2	0	100	99.8
2.4	0.2	0	100	99.8
2.41	0.2	0	100	99.8
2.42	0.2	0	100	99.8
2.43	0	0	100	100
2.44	0.2	0	100	99.8
2.45	0	0	100	100
2.46	0	0	100	100
2.47	0.4	0	100	99.6
2.48	0.4	0	100	99.6
2.49	0.2	0	100	99.8
2.5	0.4	0	100	99.6
2.51	0.2	0	100	99.8
2.52	0.2	0	100	99.8
2.53	0	0	100	100
2.54	0.6	0	100	99.4
2.55	0	0	100	100
2.56	0	0	100	100
2.57	0	0	100	100
2.58	0.4	0	100	99.6
2.59	0.2	0	100	99.8
2.6	0	0	100	100
2.61	0.2	0	100	99.8
2.62	0.2	0	100	99.8
2.63	0.2	0	100	99.8
2.64	0	0	100	100
2.65	0.2	0	100	99.8
2.66	0	0	100	100
2.67	0.2	0	100	99.8
2.68	0.2	0	100	99.8
2.69	0.4	0	100	99.6
2.7	0	0	100	100
2.71	0.4	0	100	99.6
2.72	0	0	100	100
2.73	0.2	0	100	99.8
2.74	0	0	100	100
2.75	0.2	0	100	99.8
2.76	0.2	0	100	99.8
2.77	0.2	0	100	99.8
2.78	0	0	100	100
2.79	0.4	0	100	99.6
2.8	0.4	0	100	99.6
2.81	0.2	0	100	99.8
2.82	0	0	100	100
2.83	0.2	0	100	99.8
2.84	0	0	100	100
2.85	0.4	0	100	99.6
2.86	0	0	100	100
2.87	0.2	0	100	99.8
2.88	0	0	100	100
2.89	0	0	100	100
2.9	0	0	100	100
2.91	0	0	100	100
2.92	0.2	0	100	99.8
2.93	0	0	100	100
2.94	0	0	100	100
2.95	0	0	100	100
2.96	0.2	0	100	99.8
2.97	0	0	100	100
2.98	0	0	100	100
2.99	0.4	0	100	99.6
3	0.2	0	100	99.8
