t	FPR	FNR	TRP	TNR
1	0.2	0	100	99.8
1.01	0.2	0	100	99.8
1.02	0.4	0	100	99.6
1.03	0.2	0.2	99.8	99.8
1.04	0	0.2	99.8	100
1.05	0	0.2	99.8	100
1.06	0	0.2	99.8	100
1.07	0.4	0.2	99.8	99.6
1.08	0	0	100	100
1.09	0	0.2	99.8	100
1.1	0	0.6	99.4	100
1.11	0.2	0.2	99.8	99.8
1.12	0.2	0.6	99.4	99.8
1.13	0	0	100	100
1.14	0	0	100	100
1.15	0.2	0.8	99.2	99.8
1.16	0.2	0.2	99.8	99.8
1.17	0	0.6	99.4	100
1.18	0.2	0.4	99.6	99.8
1.19	0.4	0.8	99.2	99.6
1.2	0.2	0.4	99.6	99.8
1.21	0.2	0.8	99.2	99.8
1.22	0.2	1.6	98.4	99.8
1.23	0	1.4	98.6	100
1.24	0	1.2	98.8	100
1.25	0.2	1	99	99.8
1.26	0.4	2	98	99.6
1.27	0.2	0.6	99.4	99.8
1.28	0	1.8	98.2	100
1.29	0	1.8	98.2	100
1.3	0	2.2	97.8	100
1.31	0.2	2.8	97.2	99.8
1.32	0.2	3.4	96.6	99.8
1.33	0.6	2	98	99.4
1.34	0.2	2.4	97.6	99.8
1.35	0.4	3.2	96.8	99.6
1.36	0.6	3.8	96.2	99.4
1.37	0	3.8	96.2	100
1.38	0	6.2	93.8	100
1.39	0.2	3.6	96.4	99.8
1.4	0	5.6	94.4	100
1.41	0	5.2	94.8	100
1.42	0	5.8	94.2	100
1.43	0	6.6	93.4	100
1.44	0	5.2	94.8	100
1.45	0.2	3.8	96.2	99.8
1.46	0	6.8	93.2	100
1.47	0.6	9	91	99.4
1.48	0	7.6	92.4	100
1.49	0	6	94	100
1.5	0.2	8.2	91.8	99.8
1.51	0.4	8.2	91.8	99.6
1.52	0.4	9	91	99.6
1.53	0.4	9	91	99.6
1.54	0.6	10.6	89.4	99.4
1.55	0.4	10.2	89.8	99.6
1.56	0.4	9.8	90.2	99.6
1.57	0	14	86	100
1.58	0.2	10	90	99.8
1.59	0.2	14.4	85.6	99.8
1.6	0	11.8	88.2	100
1.61	0.2	11.6	88.4	99.8
1.62	0.2	13	87	99.8
1.63	0	13.6	86.4	100
1.64	0.2	15	85	99.8
1.65	0.2	16.4	83.6	99.8
1.66	0.2	13	87	99.8
