t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	99.8	0.2	100
0.05	0	100	0	100
0.06	0	100	0	100
0.07	0	100	0	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0.2	100	0	99.8
0.11	0	99.8	0.2	100
0.12	0	100	0	100
0.13	0	100	0	100
0.14	0	100	0	100
0.15	0	100	0	100
0.16	0	100	0	100
0.17	0	100	0	100
0.18	0	100	0	100
0.19	0	100	0	100
0.2	0	100	0	100
0.21	0	100	0	100
0.22	0	100	0	100
0.23	0	100	0	100
0.24	0	100	0	100
0.25	0	99.8	0.2	100
0.26	0.2	99.8	0.2	99.8
0.27	0	99.6	0.4	100
0.28	0	100	0	100
0.29	0	100	0	100
0.3	0	100	0	100
0.31	0	100	0	100
0.32	0	100	0	100
0.33	0	100	0	100
0.34	1	100	0	99
0.35	0.2	99.6	0.4	99.8
0.36	0.4	100	0	99.6
0.37	0	97.6	2.4	100
0.38	0	100	0	100
0.39	10.4	99.4	0.6	89.6
0.4	9.2	99.6	0.4	90.8
0.41	9.4	99.4	0.6	90.6
0.42	0.8	84.2	15.8	99.2
0.43	0.8	98.2	1.8	99.2
0.44	0.4	60	40	99.6
0.45	1	98.4	1.6	99
0.46	25.6	97.6	2.4	74.4
0.47	31.4	99	1	68.6
0.48	36.6	98.4	1.6	63.4
0.49	1	57.4	42.6	99
0.5	1.2	60.8	39.2	98.8
0.51	2.2	37.8	62.2	97.8
0.52	2.8	27.6	72.4	97.2
0.53	62.8	98	2	37.2
0.54	56.2	98.6	1.4	43.8
0.55	57	98.2	1.8	43
0.56	61.8	97.6	2.4	38.2
0.57	1	29.8	70.2	99
0.58	2.4	26.4	73.6	97.6
0.59	2.2	34.4	65.6	97.8
0.6	2.4	23	77	97.6
0.61	0.6	16.8	83.2	99.4
0.62	1.2	22.2	77.8	98.8
0.63	84.6	98.2	1.8	15.4
0.64	3.2	10	90	96.8
0.65	84	96.8	3.2	16
0.66	86.2	98.4	1.6	13.8
0.67	86.8	96.6	3.4	13.2
0.68	2	7.6	92.4	98
0.69	94	97.4	2.6	6
0.7	2.2	5.6	94.4	97.8
0.71	92.4	97.6	2.4	7.6
0.72	91.6	97.6	2.4	8.4
0.73	95.4	98.4	1.6	4.6
0.74	96.8	98.4	1.6	3.2
0.75	95.2	98	2	4.8
0.76	2.8	3.8	96.2	97.2
0.77	97.8	98.6	1.4	2.2
0.78	97.6	97.8	2.2	2.4
0.79	97.6	97.6	2.4	2.4
0.8	2	2.6	97.4	98
0.81	97.2	97	3	2.8
0.82	3.2	1.8	98.2	96.8
0.83	2.4	1.8	98.2	97.6
0.84	3.6	1.2	98.8	96.4
0.85	2.6	1.6	98.4	97.4
0.86	98.8	97.6	2.4	1.2
0.87	99.2	97.6	2.4	0.8
0.88	99.4	97.6	2.4	0.6
0.89	2.2	0.4	99.6	97.8
0.9	3.2	0.6	99.4	96.8
0.91	99.4	97.2	2.8	0.6
0.92	99.4	97.6	2.4	0.6
0.93	99.6	97.4	2.6	0.4
0.94	99.6	97.4	2.6	0.4
0.95	3	0.4	99.6	97
0.96	99.8	96.6	3.4	0.2
0.97	99.8	98	2	0.2
0.98	2.2	0.4	99.6	97.8
0.99	99.8	96.6	3.4	0.2
1	2.6	0.2	99.8	97.4
1.01	1.6	0	100	98.4
1.02	100	98	2	0
1.03	2.4	0.2	99.8	97.6
1.04	100	98	2	0
1.05	99.8	98.6	1.4	0.2
1.06	1.6	0	100	98.4
1.07	2.8	0	100	97.2
1.08	2.4	0.4	99.6	97.6
1.09	2.2	0	100	97.8
1.1	100	97.6	2.4	0
1.11	2.8	0.2	99.8	97.2
1.12	100	97.8	2.2	0
1.13	100	98.2	1.8	0
1.14	0.2	0	100	99.8
1.15	3.2	0	100	96.8
1.16	2.8	0	100	97.2
1.17	2.8	0	100	97.2
1.18	1.8	0	100	98.2
1.19	2.8	0	100	97.2
1.2	100	97.2	2.8	0
1.21	100	96.8	3.2	0
1.22	100	96.4	3.6	0
1.23	3	0	100	97
1.24	2.2	0	100	97.8
1.25	100	97.6	2.4	0
1.26	3.8	0	100	96.2
1.27	100	97	3	0
1.28	100	97.6	2.4	0
1.29	100	96.8	3.2	0
1.3	2.4	0	100	97.6
1.31	100	97.2	2.8	0
1.32	1.4	0	100	98.6
1.33	100	97.2	2.8	0
1.34	100	96.4	3.6	0
1.35	100	97.8	2.2	0
1.36	100	97.2	2.8	0
1.37	100	97.2	2.8	0
1.38	2.4	0	100	97.6
1.39	100	97.8	2.2	0
1.4	100	96.8	3.2	0
1.41	100	98	2	0
1.42	100	97.4	2.6	0
1.43	100	96.4	3.6	0
1.44	2.8	0	100	97.2
1.45	2.2	0	100	97.8
1.46	100	97.6	2.4	0
1.47	100	97.4	2.6	0
1.48	100	97	3	0
1.49	100	98.8	1.2	0
1.5	100	97.8	2.2	0
1.51	100	96.6	3.4	0
1.52	2.2	0	100	97.8
1.53	2	0	100	98
1.54	3.6	0	100	96.4
1.55	100	97	3	0
1.56	5	0	100	95
1.57	2.4	0	100	97.6
1.58	100	98.6	1.4	0
1.59	100	97.2	2.8	0
1.6	3.2	0	100	96.8
1.61	3.4	0	100	96.6
1.62	3.8	0	100	96.2
1.63	100	97.2	2.8	0
1.64	100	96.6	3.4	0
1.65	100	98	2	0
1.66	3.4	0	100	96.6
1.67	1.8	0	100	98.2
1.68	3.2	0	100	96.8
1.69	2.2	0	100	97.8
1.7	100	99.6	0.4	0
1.71	2	0	100	98
1.72	100	96	4	0
1.73	1.6	0	100	98.4
1.74	3.4	0	100	96.6
1.75	100	98	2	0
1.76	100	98.2	1.8	0
1.77	100	97.2	2.8	0
1.78	2.8	0	100	97.2
1.79	100	97.4	2.6	0
1.8	100	97	3	0
1.81	1.6	0	100	98.4
1.82	3	0	100	97
1.83	100	96.6	3.4	0
1.84	2.6	0	100	97.4
1.85	100	97.6	2.4	0
1.86	100	98.4	1.6	0
1.87	3	0	100	97
1.88	3.4	0	100	96.6
1.89	100	97.4	2.6	0
1.9	100	97.4	2.6	0
1.91	100	97.2	2.8	0
1.92	2.8	0	100	97.2
1.93	2.6	0	100	97.4
1.94	100	96.6	3.4	0
1.95	100	96	4	0
1.96	2.6	0	100	97.4
1.97	1.2	0	100	98.8
1.98	100	98	2	0
1.99	3.2	0	100	96.8
2	2	0	100	98
2.01	1	0	100	99
2.02	100	95.2	4.8	0
2.03	3.2	0	100	96.8
2.04	100	95.4	4.6	0
2.05	2.8	0	100	97.2
2.06	100	97.2	2.8	0
2.07	2.4	0	100	97.6
2.08	100	96.6	3.4	0
2.09	4	0	100	96
2.1	100	97.4	2.6	0
2.11	2.4	0	100	97.6
2.12	100	96.4	3.6	0
2.13	100	98	2	0
2.14	100	97	3	0
2.15	3	0	100	97
2.16	2.4	0	100	97.6
2.17	100	96.4	3.6	0
2.18	2	0	100	98
2.19	1.8	0	100	98.2
2.2	100	97	3	0
2.21	2.2	0	100	97.8
2.22	100	98.2	1.8	0
2.23	2.4	0	100	97.6
2.24	2	0	100	98
2.25	4.2	0	100	95.8
2.26	100	98.6	1.4	0
2.27	100	98	2	0
2.28	100	97.2	2.8	0
2.29	100	97.2	2.8	0
2.3	2.2	0	100	97.8
2.31	100	98	2	0
2.32	3	0	100	97
2.33	100	97.6	2.4	0
2.34	100	97.6	2.4	0
2.35	2	0	100	98
2.36	3.4	0	100	96.6
2.37	100	97.4	2.6	0
2.38	100	97.6	2.4	0
2.39	2.4	0	100	97.6
2.4	100	96	4	0
2.41	100	97.2	2.8	0
2.42	100	98.4	1.6	0
2.43	100	97.6	2.4	0
2.44	2.4	0	100	97.6
2.45	100	96.6	3.4	0
2.46	2.2	0	100	97.8
2.47	100	97	3	0
2.48	100	97.6	2.4	0
2.49	100	97.4	2.6	0
2.5	2.4	0	100	97.6
2.51	3.2	0	100	96.8
2.52	100	98.4	1.6	0
2.53	3.6	0	100	96.4
2.54	100	97.8	2.2	0
2.55	2.8	0	100	97.2
2.56	100	97.8	2.2	0
2.57	100	96	4	0
2.58	100	98	2	0
2.59	100	98.6	1.4	0
2.6	2.4	0	100	97.6
2.61	100	97.8	2.2	0
2.62	100	98.4	1.6	0
2.63	100	98	2	0
2.64	2.6	0	100	97.4
2.65	5.4	0	100	94.6
2.66	100	96.8	3.2	0
2.67	2.6	0	100	97.4
2.68	3.2	0	100	96.8
2.69	3	0	100	97
2.7	2.8	0	100	97.2
2.71	2.2	0	100	97.8
2.72	100	98	2	0
2.73	1.8	0	100	98.2
2.74	100	97.8	2.2	0
2.75	2	0	100	98
2.76	1.8	0	100	98.2
2.77	100	97.4	2.6	0
2.78	2.8	0	100	97.2
2.79	100	95.8	4.2	0
2.8	2	0	100	98
2.81	3.8	0	100	96.2
2.82	2	0	100	98
2.83	2.6	0	100	97.4
2.84	100	97.6	2.4	0
2.85	4.4	0	100	95.6
2.86	2.6	0	100	97.4
2.87	2.4	0	100	97.6
2.88	100	98	2	0
2.89	100	97.2	2.8	0
2.9	100	97.2	2.8	0
2.91	100	98.4	1.6	0
2.92	1.2	0	100	98.8
2.93	100	96.4	3.6	0
2.94	2.4	0	100	97.6
2.95	100	96	4	0
2.96	100	97.4	2.6	0
2.97	2.4	0	100	97.6
2.98	100	96.6	3.4	0
2.99	3	0	100	97
3	100	96	4	0
