t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	99.8	0.2	100
0.05	0.4	99.8	0.2	99.6
0.06	0	100	0	100
0.07	0	100	0	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0	100	0	100
0.11	0	100	0	100
0.12	0	100	0	100
0.13	0	100	0	100
0.14	0	99.8	0.2	100
0.15	0	100	0	100
0.16	0	99.8	0.2	100
0.17	0	100	0	100
0.18	0.4	100	0	99.6
0.19	0.2	99.8	0.2	99.8
0.2	0	99.8	0.2	100
0.21	0	100	0	100
0.22	0.6	99.8	0.2	99.4
0.23	0	100	0	100
0.24	0.2	99	1	99.8
0.25	1.2	100	0	98.8
0.26	0	96	4	100
0.27	0	100	0	100
0.28	0	99.6	0.4	100
0.29	0	88.6	11.4	100
0.3	3.4	99.6	0.4	96.6
0.31	29.6	99.8	0.2	70.4
0.32	0.4	99.8	0.2	99.6
0.33	33.8	99	1	66.2
0.34	45.2	99.2	0.8	54.8
0.35	44.8	99.6	0.4	55.2
0.36	42	99	1	58
0.37	16.6	98	2	83.4
0.38	52.4	98.8	1.2	47.6
0.39	0.6	36	64	99.4
0.4	62	98.4	1.6	38
0.41	2.2	42	58	97.8
0.42	72	98.2	1.8	28
0.43	65.2	97.8	2.2	34.8
0.44	75.8	98.2	1.8	24.2
0.45	71.8	97.4	2.6	28.2
0.46	81.8	97.4	2.6	18.2
0.47	75	98.2	1.8	25
0.48	79.4	98.2	1.8	20.6
0.49	1	14.6	85.4	99
0.5	86.2	97.8	2.2	13.8
0.51	90.2	98.2	1.8	9.8
0.52	89.6	98	2	10.4
0.53	92.8	98.2	1.8	7.2
0.54	92.6	98.2	1.8	7.4
0.55	3.6	5.4	94.6	96.4
0.56	92.6	98	2	7.4
0.57	96	97.6	2.4	4
0.58	2	6.6	93.4	98
0.59	3	4.4	95.6	97
0.6	97.6	96.6	3.4	2.4
0.61	2.4	2	98	97.6
0.62	1.8	2.6	97.4	98.2
0.63	1.4	0.8	99.2	98.6
0.64	98	97.8	2.2	2
0.65	99.4	98	2	0.6
0.66	99	97.2	2.8	1
0.67	99.4	97.8	2.2	0.6
0.68	1.8	0.6	99.4	98.2
0.69	99.2	98	2	0.8
0.7	99.8	97.8	2.2	0.2
0.71	100	98.4	1.6	0
0.72	2.2	0	100	97.8
0.73	99.2	97.2	2.8	0.8
0.74	100	97	3	0
0.75	99.8	97.2	2.8	0.2
0.76	2.8	0	100	97.2
0.77	1.6	0	100	98.4
0.78	100	96.4	3.6	0
0.79	100	99.2	0.8	0
0.8	2	0.2	99.8	98
0.81	3	0	100	97
0.82	2.4	0	100	97.6
0.83	100	96.8	3.2	0
0.84	100	97.8	2.2	0
0.85	100	96.8	3.2	0
0.86	3	0	100	97
0.87	2.6	0	100	97.4
0.88	100	96	4	0
0.89	100	98.6	1.4	0
0.9	2.6	0	100	97.4
0.91	2.8	0	100	97.2
0.92	2	0	100	98
0.93	100	97	3	0
0.94	100	98	2	0
0.95	100	97.8	2.2	0
0.96	100	96.8	3.2	0
0.97	1.8	0	100	98.2
0.98	1.4	0	100	98.6
0.99	100	96	4	0
1	100	96.4	3.6	0
1.01	1.4	0	100	98.6
1.02	100	96.8	3.2	0
1.03	1.6	0	100	98.4
1.04	4	0	100	96
1.05	2.8	0	100	97.2
1.06	100	96.6	3.4	0
1.07	100	97.6	2.4	0
1.08	100	97.2	2.8	0
1.09	3.8	0	100	96.2
1.1	100	97.4	2.6	0
1.11	2.8	0	100	97.2
1.12	1.4	0	100	98.6
1.13	100	96.8	3.2	0
1.14	100	96.8	3.2	0
1.15	100	97	3	0
1.16	3.4	0	100	96.6
1.17	2.2	0	100	97.8
1.18	100	97	3	0
1.19	3	0	100	97
1.2	100	97.6	2.4	0
1.21	100	97	3	0
1.22	3.4	0	100	96.6
1.23	100	98	2	0
1.24	3	0	100	97
1.25	100	98	2	0
1.26	2.4	0	100	97.6
1.27	100	97	3	0
1.28	3.6	0	100	96.4
1.29	2.4	0	100	97.6
1.3	1.2	0	100	98.8
1.31	100	98	2	0
1.32	100	97.4	2.6	0
1.33	3.6	0	100	96.4
1.34	4	0	100	96
1.35	3.6	0	100	96.4
1.36	100	97.4	2.6	0
1.37	100	97.2	2.8	0
1.38	2.6	0	100	97.4
1.39	100	96.2	3.8	0
1.4	100	96.4	3.6	0
1.41	3	0	100	97
1.42	100	96.4	3.6	0
1.43	2.6	0	100	97.4
1.44	100	96.6	3.4	0
1.45	100	97.8	2.2	0
1.46	3	0	100	97
1.47	100	99.2	0.8	0
1.48	100	98.2	1.8	0
1.49	100	97.4	2.6	0
1.5	3.6	0	100	96.4
1.51	3	0	100	97
1.52	2.4	0	100	97.6
1.53	2.4	0	100	97.6
1.54	3.6	0	100	96.4
1.55	100	97.2	2.8	0
1.56	100	96.8	3.2	0
1.57	100	97	3	0
1.58	3.2	0	100	96.8
1.59	100	97	3	0
1.6	100	97.4	2.6	0
1.61	100	98	2	0
1.62	100	97.8	2.2	0
1.63	100	96.8	3.2	0
1.64	100	95.4	4.6	0
1.65	100	97.6	2.4	0
1.66	2.4	0	100	97.6
1.67	100	97.6	2.4	0
1.68	2.6	0	100	97.4
1.69	100	98	2	0
1.7	100	97.8	2.2	0
1.71	100	96.6	3.4	0
1.72	100	97	3	0
1.73	100	98	2	0
1.74	100	98.2	1.8	0
1.75	100	97.8	2.2	0
1.76	100	97.4	2.6	0
1.77	100	95.6	4.4	0
1.78	100	97.4	2.6	0
1.79	3.6	0	100	96.4
1.8	100	98	2	0
1.81	3.6	0	100	96.4
1.82	100	98.8	1.2	0
1.83	100	97.8	2.2	0
1.84	100	96.8	3.2	0
1.85	3.6	0	100	96.4
1.86	3.4	0	100	96.6
1.87	100	97.2	2.8	0
1.88	100	95.8	4.2	0
1.89	100	96	4	0
1.9	100	97.4	2.6	0
1.91	100	97.6	2.4	0
1.92	100	96	4	0
1.93	100	97	3	0
1.94	100	96.8	3.2	0
1.95	2.8	0	100	97.2
1.96	1.8	0	100	98.2
1.97	100	96.8	3.2	0
1.98	1.8	0	100	98.2
1.99	100	97.6	2.4	0
2	3	0	100	97
2.01	2	0	100	98
2.02	100	98.2	1.8	0
2.03	2.2	0	100	97.8
2.04	100	97.2	2.8	0
2.05	100	97.8	2.2	0
2.06	100	97.2	2.8	0
2.07	4.2	0	100	95.8
2.08	2.2	0	100	97.8
2.09	4.2	0	100	95.8
2.1	2	0	100	98
2.11	2	0	100	98
2.12	3.2	0	100	96.8
2.13	100	97.8	2.2	0
2.14	100	98.4	1.6	0
2.15	2.4	0	100	97.6
2.16	2.6	0	100	97.4
2.17	100	98.4	1.6	0
2.18	100	97.6	2.4	0
2.19	100	96	4	0
2.2	100	97.2	2.8	0
2.21	2.8	0	100	97.2
2.22	3	0	100	97
2.23	100	97.6	2.4	0
2.24	100	97	3	0
2.25	2.8	0	100	97.2
2.26	2.6	0	100	97.4
2.27	100	97.2	2.8	0
2.28	3.4	0	100	96.6
2.29	3	0	100	97
2.3	1.6	0	100	98.4
2.31	100	97	3	0
2.32	1.4	0	100	98.6
2.33	100	96.4	3.6	0
2.34	100	97	3	0
2.35	100	98	2	0
2.36	2	0	100	98
2.37	100	98.4	1.6	0
2.38	2.4	0	100	97.6
2.39	2	0	100	98
2.4	2.4	0	100	97.6
2.41	2.4	0	100	97.6
2.42	2.8	0	100	97.2
2.43	100	97.6	2.4	0
2.44	1.2	0	100	98.8
2.45	100	97.6	2.4	0
2.46	100	96.6	3.4	0
2.47	1.6	0	100	98.4
2.48	100	97.8	2.2	0
2.49	3	0	100	97
2.5	3.2	0	100	96.8
2.51	2.6	0	100	97.4
2.52	2.6	0	100	97.4
2.53	2.8	0	100	97.2
2.54	100	97.8	2.2	0
2.55	3.2	0	100	96.8
2.56	3.8	0	100	96.2
2.57	2.2	0	100	97.8
2.58	100	97	3	0
2.59	100	98.8	1.2	0
2.6	2.2	0	100	97.8
2.61	100	97.4	2.6	0
2.62	2	0	100	98
2.63	3.4	0	100	96.6
2.64	100	98	2	0
2.65	1.6	0	100	98.4
2.66	100	97.8	2.2	0
2.67	2.2	0	100	97.8
2.68	100	97.8	2.2	0
2.69	100	97.8	2.2	0
2.7	100	97.8	2.2	0
2.71	100	98.2	1.8	0
2.72	100	97.4	2.6	0
2.73	3.8	0	100	96.2
2.74	100	98.4	1.6	0
2.75	2.4	0	100	97.6
2.76	100	97.6	2.4	0
2.77	100	97.6	2.4	0
2.78	100	98	2	0
2.79	100	97.4	2.6	0
2.8	2.2	0	100	97.8
2.81	2.8	0	100	97.2
2.82	100	97.4	2.6	0
2.83	100	97.6	2.4	0
2.84	4.4	0	100	95.6
2.85	100	97	3	0
2.86	100	96.4	3.6	0
2.87	100	98.2	1.8	0
2.88	100	96.8	3.2	0
2.89	2.4	0	100	97.6
2.9	100	97.4	2.6	0
2.91	100	97.4	2.6	0
2.92	4	0	100	96
2.93	100	98.2	1.8	0
2.94	100	95.2	4.8	0
2.95	100	97.4	2.6	0
2.96	3.8	0	100	96.2
2.97	3.8	0	100	96.2
2.98	2.6	0	100	97.4
2.99	100	97.4	2.6	0
3	100	98.2	1.8	0
