t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	99.8	0.2	100
0.03	0.2	100	0	99.8
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	100	0	100
0.07	0	99.8	0.2	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0	100	0	100
0.11	0	100	0	100
0.12	0	100	0	100
0.13	0	100	0	100
0.14	0	100	0	100
0.15	0	100	0	100
0.16	0	100	0	100
0.17	0	100	0	100
0.18	0	100	0	100
0.19	0	100	0	100
0.2	0	100	0	100
0.21	0	100	0	100
0.22	0	100	0	100
0.23	0	100	0	100
0.24	0	100	0	100
0.25	0	100	0	100
0.26	0	100	0	100
0.27	0	100	0	100
0.28	0	100	0	100
0.29	0	100	0	100
0.3	0	100	0	100
0.31	0	100	0	100
0.32	0	100	0	100
0.33	0.4	100	0	99.6
0.34	0	100	0	100
0.35	0	100	0	100
0.36	0	100	0	100
0.37	0	100	0	100
0.38	0	100	0	100
0.39	0.2	100	0	99.8
0.4	0	100	0	100
0.41	0	100	0	100
0.42	0.2	100	0	99.8
0.43	0.4	100	0	99.6
0.44	0	100	0	100
0.45	0	100	0	100
0.46	0	100	0	100
0.47	0	100	0	100
0.48	0	99.8	0.2	100
0.49	0	100	0	100
0.5	0	100	0	100
0.51	0	100	0	100
0.52	1	99.8	0.2	99
0.53	0	100	0	100
0.54	0.6	100	0	99.4
0.55	0	100	0	100
0.56	0	100	0	100
0.57	0	100	0	100
0.58	0.2	99.8	0.2	99.8
0.59	0	100	0	100
0.6	0.4	99.8	0.2	99.6
0.61	0	100	0	100
0.62	0.4	99	1	99.6
0.63	0	100	0	100
0.64	0	100	0	100
0.65	0.2	98.8	1.2	99.8
0.66	0.6	97.2	2.8	99.4
0.67	0.6	100	0	99.4
0.68	0	99.6	0.4	100
0.69	4.6	100	0	95.4
0.7	0.4	99.6	0.4	99.6
0.71	3	100	0	97
0.72	2	100	0	98
0.73	0.6	77.8	22.2	99.4
0.74	0	100	0	100
0.75	0	97.6	2.4	100
0.76	1.4	66	34	98.6
0.77	0.4	99.6	0.4	99.6
0.78	1	75	25	99
0.79	0.6	82.4	17.6	99.4
0.8	22.6	99.8	0.2	77.4
0.81	1.4	79.8	20.2	98.6
0.82	0.8	92.6	7.4	99.2
0.83	1.4	58	42	98.6
0.84	1.6	97.2	2.8	98.4
0.85	1.2	55.2	44.8	98.8
0.86	26.6	98.8	1.2	73.4
0.87	1.2	40	60	98.8
0.88	0.6	76.8	23.2	99.4
0.89	1.8	52.2	47.8	98.2
0.9	56.4	98.8	1.2	43.6
0.91	47.4	99	1	52.6
0.92	1	62.6	37.4	99
0.93	1.2	49.2	50.8	98.8
0.94	1.4	38.6	61.4	98.6
0.95	1.8	45.6	54.4	98.2
0.96	67	99.4	0.6	33
0.97	60.8	98.8	1.2	39.2
0.98	1.2	32.8	67.2	98.8
0.99	1.8	35.6	64.4	98.2
1	2	32.4	67.6	98
1.01	1.6	29	71	98.4
1.02	1.8	27.2	72.8	98.2
1.03	1.6	26.8	73.2	98.4
1.04	73	97.8	2.2	27
1.05	2.2	23.6	76.4	97.8
1.06	1.8	20.2	79.8	98.2
1.07	72.2	97.6	2.4	27.8
1.08	1.8	17	83	98.2
1.09	3.2	21.2	78.8	96.8
1.1	76.8	97.2	2.8	23.2
1.11	1.6	16.8	83.2	98.4
1.12	77.2	98	2	22.8
1.13	2.4	12.4	87.6	97.6
1.14	0.4	26.6	73.4	99.6
1.15	2.2	18.6	81.4	97.8
1.16	86.2	97	3	13.8
1.17	81.4	96.6	3.4	18.6
1.18	2.4	14.2	85.8	97.6
1.19	2.2	19	81	97.8
1.2	1.8	13.8	86.2	98.2
1.21	2	10.4	89.6	98
1.22	87	99.2	0.8	13
1.23	1.2	9.8	90.2	98.8
1.24	2.6	10	90	97.4
1.25	93.4	96	4	6.6
1.26	2.6	6.4	93.6	97.4
1.27	1.6	9.4	90.6	98.4
1.28	2.6	4.4	95.6	97.4
1.29	94.8	98	2	5.2
1.3	91.8	96.8	3.2	8.2
1.31	1.8	6.8	93.2	98.2
1.32	2.8	5.2	94.8	97.2
1.33	2.6	5.8	94.2	97.4
1.34	92	96.2	3.8	8
1.35	94	97.6	2.4	6
1.36	95.8	96.8	3.2	4.2
1.37	96.4	97.6	2.4	3.6
