t	FPR	FNR	TRP	TNR
1	0.6	0	100	99.4
1.01	100	98.4	1.6	0
1.02	3	0	100	97
1.03	1.6	0	100	98.4
1.04	2.8	0	100	97.2
1.05	3.6	0	100	96.4
1.06	3.4	0	100	96.6
1.07	3.8	0	100	96.2
1.08	3.2	0	100	96.8
1.09	100	97.4	2.6	0
1.1	100	98.2	1.8	0
1.11	3.4	0	100	96.6
1.12	2	0	100	98
1.13	100	96.4	3.6	0
1.14	100	97.6	2.4	0
1.15	100	95.8	4.2	0
1.16	100	95.2	4.8	0
1.17	100	97.8	2.2	0
1.18	100	95.2	4.8	0
1.19	100	98	2	0
1.2	1.2	0	100	98.8
1.21	1.8	0	100	98.2
1.22	2.4	0	100	97.6
1.23	100	98.6	1.4	0
1.24	2	0	100	98
1.25	2.8	0	100	97.2
1.26	2.4	0	100	97.6
1.27	100	98.2	1.8	0
1.28	100	97.2	2.8	0
1.29	1.6	0	100	98.4
1.3	100	98	2	0
1.31	3.8	0	100	96.2
1.32	1.8	0	100	98.2
1.33	3.2	0	100	96.8
1.34	3.6	0	100	96.4
1.35	100	97.8	2.2	0
1.36	100	96.2	3.8	0
1.37	100	97.6	2.4	0
1.38	3.4	0	100	96.6
1.39	100	96.8	3.2	0
1.4	3.4	0	100	96.6
1.41	3	0	100	97
1.42	100	97.6	2.4	0
1.43	2.2	0	100	97.8
1.44	100	98	2	0
1.45	100	95.8	4.2	0
1.46	2.6	0	100	97.4
1.47	100	97.2	2.8	0
1.48	1.2	0	100	98.8
1.49	2	0	100	98
1.5	100	98	2	0
1.51	4.2	0	100	95.8
1.52	3.4	0	100	96.6
1.53	2.4	0	100	97.6
1.54	3.2	0	100	96.8
1.55	3.6	0	100	96.4
1.56	2.2	0	100	97.8
1.57	100	97.8	2.2	0
1.58	2.4	0	100	97.6
1.59	3	0	100	97
1.6	1.6	0	100	98.4
1.61	1.6	0	100	98.4
1.62	100	97.8	2.2	0
1.63	3.4	0	100	96.6
1.64	3.8	0	100	96.2
1.65	100	98.4	1.6	0
1.66	100	96.4	3.6	0
1.67	100	96.8	3.2	0
1.68	100	97.4	2.6	0
1.69	2.2	0	100	97.8
1.7	100	97.6	2.4	0
1.71	1.8	0	100	98.2
1.72	100	98.6	1.4	0
1.73	100	98.4	1.6	0
1.74	100	97.8	2.2	0
1.75	3	0	100	97
