t	FPR	FNR	TRP	TNR
1	100	97.6	2.4	0
1.01	100	96.8	3.2	0
1.02	2.6	0	100	97.4
1.03	3.4	0	100	96.6
1.04	3.2	0	100	96.8
1.05	100	98.4	1.6	0
1.06	100	96.8	3.2	0
1.07	2.8	0	100	97.2
1.08	2.6	0	100	97.4
1.09	2.6	0	100	97.4
1.1	4.2	0	100	95.8
1.11	100	94.8	5.2	0
1.12	100	96	4	0
1.13	2.8	0	100	97.2
1.14	2.8	0	100	97.2
1.15	3	0	100	97
1.16	100	97	3	0
1.17	3.2	0	100	96.8
1.18	3.2	0	100	96.8
1.19	2.6	0	100	97.4
1.2	100	96.8	3.2	0
1.21	3.8	0	100	96.2
1.22	100	98	2	0
1.23	100	96.8	3.2	0
1.24	3.4	0	100	96.6
1.25	3	0	100	97
1.26	100	98.8	1.2	0
1.27	3.2	0	100	96.8
1.28	100	96.6	3.4	0
1.29	100	98	2	0
1.3	100	98.2	1.8	0
1.31	100	98.6	1.4	0
1.32	2.4	0	100	97.6
1.33	100	97.6	2.4	0
1.34	3.2	0	100	96.8
1.35	100	96.8	3.2	0
1.36	100	97.6	2.4	0
1.37	100	98.4	1.6	0
1.38	100	97.2	2.8	0
1.39	100	97.2	2.8	0
1.4	2.2	0	100	97.8
1.41	100	97.2	2.8	0
1.42	100	97.6	2.4	0
1.43	100	97.2	2.8	0
1.44	100	96.8	3.2	0
1.45	2.6	0	100	97.4
1.46	100	97.6	2.4	0
1.47	3.4	0	100	96.6
1.48	1.8	0	100	98.2
1.49	100	97.2	2.8	0
1.5	2.4	0	100	97.6
1.51	100	97.8	2.2	0
1.52	100	98.2	1.8	0
1.53	100	97.8	2.2	0
1.54	100	97.4	2.6	0
1.55	100	98.6	1.4	0
1.56	3.4	0	100	96.6
1.57	100	94.6	5.4	0
1.58	100	95.6	4.4	0
1.59	2.6	0	100	97.4
1.6	100	97.2	2.8	0
1.61	2.4	0	100	97.6
1.62	100	98.2	1.8	0
1.63	100	97.8	2.2	0
1.64	4	0	100	96
1.65	100	97.2	2.8	0
1.66	3.4	0	100	96.6
1.67	100	97.8	2.2	0
1.68	100	98	2	0
1.69	100	97.8	2.2	0
1.7	100	98.4	1.6	0
