t	FPR	FNR	TRP	TNR
1	100	97.2	2.8	0
1.01	100	96.8	3.2	0
1.02	99.8	96.4	3.6	0.2
1.03	1.8	0.2	99.8	98.2
1.04	99.8	96.6	3.4	0.2
1.05	2.2	0.2	99.8	97.8
1.06	100	96.2	3.8	0
1.07	1.6	0	100	98.4
1.08	100	97.2	2.8	0
1.09	99.8	98	2	0.2
1.1	100	97.2	2.8	0
1.11	99.8	96.4	3.6	0.2
1.12	100	97.4	2.6	0
1.13	100	97.6	2.4	0
1.14	2.4	0.2	99.8	97.6
1.15	99.4	98.8	1.2	0.6
1.16	99.8	98.2	1.8	0.2
1.17	2.2	0.2	99.8	97.8
1.18	3.8	0.4	99.6	96.2
1.19	99.4	96.4	3.6	0.6
1.2	99.6	97.2	2.8	0.4
1.21	3.4	0.8	99.2	96.6
1.22	99.4	98.6	1.4	0.6
1.23	99.2	97.6	2.4	0.8
1.24	99.8	97.8	2.2	0.2
1.25	99	99	1	1
1.26	3.8	0.8	99.2	96.2
1.27	99.2	98.2	1.8	0.8
1.28	99.6	97.4	2.6	0.4
1.29	3.4	2.2	97.8	96.6
1.3	97.8	98.2	1.8	2.2
1.31	98.4	96.8	3.2	1.6
1.32	98.6	97.8	2.2	1.4
1.33	1.6	1	99	98.4
1.34	97.4	97.4	2.6	2.6
1.35	97.6	97.4	2.6	2.4
1.36	97	97.2	2.8	3
1.37	98.8	98.4	1.6	1.2
1.38	96.8	97.8	2.2	3.2
1.39	96.4	98.2	1.8	3.6
1.4	98.2	98	2	1.8
1.41	95	97.8	2.2	5
1.42	96.4	97.4	2.6	3.6
1.43	94.2	98.2	1.8	5.8
1.44	94.4	96.8	3.2	5.6
1.45	2.6	6.2	93.8	97.4
1.46	95	96.4	3.6	5
1.47	2.4	2.8	97.2	97.6
1.48	94.4	97	3	5.6
1.49	95	98.2	1.8	5
1.5	93	98.4	1.6	7
1.51	2.4	6	94	97.6
1.52	92.4	97.4	2.6	7.6
1.53	94	97.8	2.2	6
1.54	93.8	97.8	2.2	6.2
1.55	2	7.6	92.4	98
1.56	94.2	98.4	1.6	5.8
1.57	2.8	7.6	92.4	97.2
1.58	3.2	7	93	96.8
1.59	93.2	98	2	6.8
1.6	90.6	96.4	3.6	9.4
1.61	89.8	97.2	2.8	10.2
1.62	88.6	97.2	2.8	11.4
1.63	2	12.6	87.4	98
1.64	88.2	98.2	1.8	11.8
1.65	89.4	98	2	10.6
1.66	84	97	3	16
1.67	1.4	13.2	86.8	98.6
1.68	82.6	98.4	1.6	17.4
1.69	85.2	97.6	2.4	14.8
1.7	85.8	98.2	1.8	14.2
1.71	2	14.4	85.6	98
1.72	2	11.4	88.6	98
1.73	84.8	98.2	1.8	15.2
1.74	89.4	98	2	10.6
1.75	2.2	14.6	85.4	97.8
1.76	84	98.2	1.8	16
1.77	2.8	13.2	86.8	97.2
1.78	81	97.8	2.2	19
1.79	77.6	99	1	22.4
1.8	2	24.4	75.6	98
1.81	2.2	23.2	76.8	97.8
1.82	1.6	20.4	79.6	98.4
1.83	80.4	98.4	1.6	19.6
1.84	2.2	23.8	76.2	97.8
1.85	3	24.8	75.2	97
1.86	2.4	13.6	86.4	97.6
1.87	83.2	97.6	2.4	16.8
1.88	2.8	25.4	74.6	97.2
1.89	2.2	26	74	97.8
1.9	68.4	98.6	1.4	31.6
1.91	1.2	35	65	98.8
1.92	1.4	31.8	68.2	98.6
1.93	2	28	72	98
1.94	2.2	31.6	68.4	97.8
1.95	76.6	99.4	0.6	23.4
1.96	70	98.2	1.8	30
1.97	1.2	29.8	70.2	98.8
1.98	63	98.2	1.8	37
1.99	2	31.2	68.8	98
2	1.4	30.4	69.6	98.6
2.01	1.8	29.4	70.6	98.2
2.02	1.6	32	68	98.4
2.03	65.8	97.8	2.2	34.2
2.04	1.4	34.6	65.4	98.6
2.05	1.4	31.8	68.2	98.6
2.06	57.8	98	2	42.2
2.07	1.6	32.8	67.2	98.4
2.08	3	40	60	97
2.09	56	98	2	44
2.1	1.4	35.2	64.8	98.6
2.11	53.6	98	2	46.4
2.12	2	32.8	67.2	98
2.13	0.2	63.6	36.4	99.8
2.14	1.6	44.2	55.8	98.4
2.15	61	98	2	39
2.16	1	54.6	45.4	99
2.17	1.6	57.6	42.4	98.4
2.18	63.2	97.4	2.6	36.8
2.19	48.8	99	1	51.2
2.2	1.8	35.6	64.4	98.2
2.21	40.4	99.8	0.2	59.6
2.22	0.8	46.2	53.8	99.2
2.23	1.2	50.6	49.4	98.8
2.24	58	97.2	2.8	42
2.25	48	98.8	1.2	52
2.26	30.8	98.8	1.2	69.2
2.27	1	35.2	64.8	99
2.28	1.2	50	50	98.8
2.29	20.8	98.4	1.6	79.2
2.3	0.4	69.8	30.2	99.6
2.31	1	51.2	48.8	99
2.32	1.2	56.2	43.8	98.8
2.33	20.8	98.4	1.6	79.2
2.34	1.4	69.6	30.4	98.6
2.35	40.8	98.8	1.2	59.2
2.36	0.8	64.8	35.2	99.2
2.37	30	99.4	0.6	70
2.38	41.4	98.8	1.2	58.6
2.39	26.8	99	1	73.2
2.4	30.4	98.6	1.4	69.6
2.41	34.4	98.8	1.2	65.6
2.42	42.2	98.8	1.2	57.8
2.43	33.2	99.6	0.4	66.8
2.44	22.2	99.2	0.8	77.8
