t	FPR	FNR	TRP	TNR
0.01	1	99	1	99
0.02	1.2	99.2	0.8	98.8
0.03	0.6	98.6	1.4	99.4
0.04	0.4	98.4	1.6	99.6
0.05	1.2	99.2	0.8	98.8
0.06	0.8	98.8	1.2	99.2
0.07	0.8	98.8	1.2	99.2
0.08	1.2	99.2	0.8	98.8
0.09	0.6	98.6	1.4	99.4
0.1	0.6	98.6	1.4	99.4
0.11	1.4	99.4	0.6	98.6
0.12	1.2	99.2	0.8	98.8
0.13	0.4	98.4	1.6	99.6
0.14	0.8	98.8	1.2	99.2
0.15	1.2	99.2	0.8	98.8
0.16	0.6	98.6	1.4	99.4
0.17	1.2	99.2	0.8	98.8
0.18	0.4	98.4	1.6	99.6
0.19	1.2	99.2	0.8	98.8
0.2	1	99	1	99
0.21	1	99	1	99
0.22	1.2	99.2	0.8	98.8
0.23	1	99	1	99
0.24	1.4	99.4	0.6	98.6
0.25	0.6	98.6	1.4	99.4
0.26	0.6	98.6	1.4	99.4
0.27	1.2	99.2	0.8	98.8
0.28	0.6	98.6	1.4	99.4
0.29	0.8	98.8	1.2	99.2
0.3	0.6	98.6	1.4	99.4
0.31	1.6	99.6	0.4	98.4
0.32	0.8	98.8	1.2	99.2
0.33	0.6	98.6	1.4	99.4
0.34	0.8	98.8	1.2	99.2
0.35	1.6	99.6	0.4	98.4
0.36	0.6	98.6	1.4	99.4
0.37	1.4	99.4	0.6	98.6
0.38	0.6	98.6	1.4	99.4
0.39	1	99	1	99
0.4	1	99	1	99
0.41	1	99	1	99
0.42	1	99	1	99
0.43	0.8	98.8	1.2	99.2
0.44	1.6	99.6	0.4	98.4
0.45	0.4	98.4	1.6	99.6
0.46	1	99	1	99
0.47	0.8	98.8	1.2	99.2
0.48	1	99	1	99
0.49	0.6	98.6	1.4	99.4
0.5	0.8	98.8	1.2	99.2
0.51	0.6	98.6	1.4	99.4
0.52	1.2	99.2	0.8	98.8
0.53	0.6	98.6	1.4	99.4
0.54	1	99	1	99
0.55	0.6	98.6	1.4	99.4
0.56	1.2	99.2	0.8	98.8
0.57	0.4	98.4	1.6	99.6
0.58	1.2	99.2	0.8	98.8
0.59	1	99	1	99
0.6	0.4	98.4	1.6	99.6
0.61	0.8	98.8	1.2	99.2
0.62	1.6	99.6	0.4	98.4
0.63	0.2	98.2	1.8	99.8
0.64	0.6	98.6	1.4	99.4
0.65	1.4	99.4	0.6	98.6
0.66	1	99	1	99
0.67	0.8	98.8	1.2	99.2
0.68	1	99	1	99
0.69	0.4	98.4	1.6	99.6
0.7	0.6	98.6	1.4	99.4
0.71	1.4	99.4	0.6	98.6
0.72	0.8	98.8	1.2	99.2
0.73	1	99	1	99
0.74	1	99	1	99
0.75	0.8	98.8	1.2	99.2
0.76	1.2	99.2	0.8	98.8
0.77	0.6	98.6	1.4	99.4
0.78	1	99	1	99
0.79	0.8	98.8	1.2	99.2
0.8	0.6	98.6	1.4	99.4
0.81	1.2	99.2	0.8	98.8
0.82	0.4	98.4	1.6	99.6
0.83	0.8	98.8	1.2	99.2
0.84	0.6	98.6	1.4	99.4
0.85	0.4	98.4	1.6	99.6
0.86	0.6	98.6	1.4	99.4
0.87	0.8	98.8	1.2	99.2
0.88	1.2	99.2	0.8	98.8
0.89	1.2	99.2	0.8	98.8
0.9	1	99	1	99
0.91	1.2	99.2	0.8	98.8
0.92	0.4	98.4	1.6	99.6
0.93	1	99	1	99
0.94	1.2	99.2	0.8	98.8
0.95	0.6	98.6	1.4	99.4
0.96	1	99	1	99
0.97	1	99	1	99
0.98	1.4	99.4	0.6	98.6
0.99	0.8	98.8	1.2	99.2
1	0.6	98.6	1.4	99.4
1.01	1	99	1	99
1.02	0.4	98.4	1.6	99.6
1.03	0.8	98.8	1.2	99.2
1.04	1	99	1	99
1.05	0.6	98.6	1.4	99.4
1.06	0.8	98.8	1.2	99.2
1.07	1.6	99.6	0.4	98.4
1.08	0.8	98.8	1.2	99.2
1.09	1	99	1	99
1.1	1.2	99.2	0.8	98.8
1.11	0.6	98.6	1.4	99.4
1.12	0.8	98.8	1.2	99.2
1.13	1.2	99.2	0.8	98.8
1.14	0.8	98.8	1.2	99.2
1.15	0.6	98.6	1.4	99.4
1.16	0.8	98.8	1.2	99.2
1.17	0.6	98.6	1.4	99.4
1.18	0.8	98.8	1.2	99.2
1.19	1.2	99.2	0.8	98.8
1.2	1.2	99.2	0.8	98.8
1.21	0.8	98.8	1.2	99.2
1.22	0.8	98.8	1.2	99.2
1.23	1	99	1	99
1.24	0.8	98.8	1.2	99.2
1.25	1	99	1	99
1.26	0.6	98.6	1.4	99.4
1.27	1.2	99.2	0.8	98.8
1.28	1	99	1	99
1.29	0.8	98.8	1.2	99.2
1.3	0.8	98.8	1.2	99.2
1.31	1	99	1	99
1.32	0.2	98.2	1.8	99.8
1.33	0.6	98.6	1.4	99.4
1.34	0.4	98.4	1.6	99.6
1.35	0.2	98.2	1.8	99.8
1.36	0.8	98.8	1.2	99.2
1.37	0.6	98.6	1.4	99.4
1.38	0.6	98.6	1.4	99.4
1.39	0.6	98.6	1.4	99.4
1.4	1	99	1	99
1.41	0.6	98.6	1.4	99.4
1.42	0.2	98.2	1.8	99.8
1.43	0.4	98.4	1.6	99.6
1.44	1.2	99.2	0.8	98.8
1.45	0.6	98.6	1.4	99.4
1.46	0.8	98.8	1.2	99.2
1.47	1.2	99.2	0.8	98.8
1.48	1.6	99.6	0.4	98.4
1.49	0.4	98.4	1.6	99.6
1.5	0.6	98.6	1.4	99.4
1.51	1	99	1	99
1.52	0.8	98.8	1.2	99.2
1.53	1	99	1	99
1.54	0.8	98.8	1.2	99.2
1.55	0.6	98.6	1.4	99.4
1.56	0.8	98.8	1.2	99.2
1.57	0.8	98.8	1.2	99.2
1.58	1	99	1	99
1.59	0.6	98.6	1.4	99.4
1.6	0.6	98.6	1.4	99.4
1.61	0.6	98.6	1.4	99.4
1.62	0.4	98.4	1.6	99.6
1.63	1.4	99.4	0.6	98.6
1.64	0.6	98.6	1.4	99.4
1.65	1.2	99.2	0.8	98.8
1.66	0.4	98.4	1.6	99.6
1.67	1	99	1	99
1.68	0.8	98.8	1.2	99.2
1.69	0.6	98.6	1.4	99.4
1.7	0.6	98.6	1.4	99.4
1.71	0.6	98.6	1.4	99.4
1.72	0.8	98.8	1.2	99.2
1.73	1	99	1	99
1.74	0.6	98.6	1.4	99.4
1.75	0.8	98.8	1.2	99.2
1.76	1	99	1	99
1.77	0.8	98.8	1.2	99.2
1.78	1	99	1	99
1.79	1.2	99.2	0.8	98.8
1.8	1	99	1	99
1.81	1.4	99.4	0.6	98.6
1.82	0.8	98.8	1.2	99.2
1.83	1	99	1	99
1.84	0.8	98.8	1.2	99.2
1.85	1	99	1	99
1.86	0.8	98.8	1.2	99.2
1.87	0.6	98.6	1.4	99.4
1.88	1	99	1	99
1.89	0.8	98.8	1.2	99.2
1.9	0.4	98.4	1.6	99.6
1.91	0.8	98.8	1.2	99.2
1.92	1	99	1	99
1.93	0.6	98.6	1.4	99.4
1.94	1	99	1	99
1.95	0.6	98.6	1.4	99.4
1.96	0.8	98.8	1.2	99.2
1.97	1.2	99.2	0.8	98.8
1.98	1.4	99.4	0.6	98.6
1.99	1	99	1	99
2	1	99	1	99
