t	FPR	FNR	TRP	TNR
0.01	0.8	98.8	1.2	99.2
0.02	1	99	1	99
0.03	1.4	99.4	0.6	98.6
0.04	0.8	98.8	1.2	99.2
0.05	0.6	98.6	1.4	99.4
0.06	0.4	98.4	1.6	99.6
0.07	0.4	98.4	1.6	99.6
0.08	0.4	98.4	1.6	99.6
0.09	1	99	1	99
0.1	1.2	99.2	0.8	98.8
0.11	0.8	98.8	1.2	99.2
0.12	1	99	1	99
0.13	1	99	1	99
0.14	1	99	1	99
0.15	0.6	98.6	1.4	99.4
0.16	1	99	1	99
0.17	0.8	98.8	1.2	99.2
0.18	0.8	98.8	1.2	99.2
0.19	1	99	1	99
0.2	1	99	1	99
0.21	1.2	99.2	0.8	98.8
0.22	1.2	99.2	0.8	98.8
0.23	0.4	98.4	1.6	99.6
0.24	0	98	2	100
0.25	0.6	98.6	1.4	99.4
0.26	1.2	99.2	0.8	98.8
0.27	0.4	98.4	1.6	99.6
0.28	1	99	1	99
0.29	0.2	98.2	1.8	99.8
0.3	0.8	98.8	1.2	99.2
0.31	0.8	98.8	1.2	99.2
0.32	0.8	98.8	1.2	99.2
0.33	1.2	99.2	0.8	98.8
0.34	1	99	1	99
0.35	1	99	1	99
0.36	1.6	99.6	0.4	98.4
0.37	0.8	98.8	1.2	99.2
0.38	0.6	98.6	1.4	99.4
0.39	0.6	98.6	1.4	99.4
0.4	1	99	1	99
0.41	0	98	2	100
0.42	0.6	98.6	1.4	99.4
0.43	0.8	98.8	1.2	99.2
0.44	1	99	1	99
0.45	0.8	98.8	1.2	99.2
0.46	0.6	98.6	1.4	99.4
0.47	0.2	98.2	1.8	99.8
0.48	1.8	99.8	0.2	98.2
0.49	1.2	99.2	0.8	98.8
0.5	0.8	98.8	1.2	99.2
0.51	1.8	99.8	0.2	98.2
0.52	0.6	98.6	1.4	99.4
0.53	1	99	1	99
0.54	0.6	98.6	1.4	99.4
0.55	1	99	1	99
0.56	0.6	98.6	1.4	99.4
0.57	1	99	1	99
0.58	1.2	99.2	0.8	98.8
0.59	0.4	98.4	1.6	99.6
0.6	1	99	1	99
0.61	0.6	98.6	1.4	99.4
0.62	0.8	98.8	1.2	99.2
0.63	0.8	98.8	1.2	99.2
0.64	1.2	99.2	0.8	98.8
0.65	0.2	98.2	1.8	99.8
0.66	1	99	1	99
0.67	0.6	98.6	1.4	99.4
0.68	0.6	98.6	1.4	99.4
0.69	0.8	98.8	1.2	99.2
0.7	0.6	98.6	1.4	99.4
0.71	0.6	98.6	1.4	99.4
0.72	0.4	98.4	1.6	99.6
0.73	0.8	98.8	1.2	99.2
0.74	0.8	98.8	1.2	99.2
0.75	1.4	99.4	0.6	98.6
0.76	0.4	98.4	1.6	99.6
0.77	0.8	98.8	1.2	99.2
0.78	0.8	98.8	1.2	99.2
0.79	0.8	98.8	1.2	99.2
0.8	0.8	98.8	1.2	99.2
0.81	1.2	99.2	0.8	98.8
0.82	0.6	98.6	1.4	99.4
0.83	1.2	99.2	0.8	98.8
0.84	1.2	99.2	0.8	98.8
0.85	0.8	98.8	1.2	99.2
0.86	0.8	98.8	1.2	99.2
0.87	0.4	98.4	1.6	99.6
0.88	0.8	98.8	1.2	99.2
0.89	0.6	98.6	1.4	99.4
0.9	1	99	1	99
0.91	0.8	98.8	1.2	99.2
0.92	0.8	98.8	1.2	99.2
0.93	0.8	98.8	1.2	99.2
0.94	0.8	98.8	1.2	99.2
0.95	0.4	98.4	1.6	99.6
0.96	1.2	99.2	0.8	98.8
0.97	0.4	98.4	1.6	99.6
0.98	0.6	98.6	1.4	99.4
0.99	0.8	98.8	1.2	99.2
1	0.8	98.8	1.2	99.2
1.01	0.6	98.6	1.4	99.4
1.02	0.8	98.8	1.2	99.2
1.03	0.8	98.8	1.2	99.2
1.04	1.2	99.2	0.8	98.8
1.05	0.6	98.6	1.4	99.4
1.06	1	99	1	99
1.07	0.4	98.4	1.6	99.6
1.08	0.8	98.8	1.2	99.2
1.09	1.6	99.6	0.4	98.4
1.1	1.2	99.2	0.8	98.8
1.11	1	99	1	99
1.12	1	99	1	99
1.13	1.2	99.2	0.8	98.8
1.14	1	99	1	99
1.15	0.8	98.8	1.2	99.2
1.16	0.6	98.6	1.4	99.4
1.17	0.6	98.6	1.4	99.4
1.18	0.8	98.8	1.2	99.2
1.19	1	99	1	99
1.2	0.6	98.6	1.4	99.4
1.21	0.8	98.8	1.2	99.2
1.22	0.6	98.6	1.4	99.4
1.23	1.2	99.2	0.8	98.8
1.24	0.6	98.6	1.4	99.4
1.25	1.4	99.4	0.6	98.6
1.26	1	99	1	99
1.27	0.6	98.6	1.4	99.4
1.28	0.8	98.8	1.2	99.2
1.29	0.6	98.6	1.4	99.4
1.3	0.8	98.8	1.2	99.2
1.31	0.8	98.8	1.2	99.2
1.32	0.4	98.4	1.6	99.6
1.33	1.2	99.2	0.8	98.8
1.34	1	99	1	99
1.35	0.6	98.6	1.4	99.4
1.36	0.6	98.6	1.4	99.4
1.37	0.8	98.8	1.2	99.2
1.38	0.6	98.6	1.4	99.4
1.39	0.8	98.8	1.2	99.2
1.4	0.6	98.6	1.4	99.4
1.41	0.2	98.2	1.8	99.8
1.42	0.6	98.6	1.4	99.4
1.43	0.8	98.8	1.2	99.2
1.44	1.2	99.2	0.8	98.8
1.45	0.6	98.6	1.4	99.4
1.46	0.8	98.8	1.2	99.2
1.47	0.2	98.2	1.8	99.8
1.48	0.4	98.4	1.6	99.6
1.49	1.2	99.2	0.8	98.8
1.5	0.8	98.8	1.2	99.2
1.51	0.4	98.4	1.6	99.6
1.52	0.4	98.4	1.6	99.6
1.53	0.6	98.6	1.4	99.4
1.54	0.2	98.2	1.8	99.8
1.55	1	99	1	99
1.56	0.4	98.4	1.6	99.6
1.57	1.2	99.2	0.8	98.8
1.58	0.6	98.6	1.4	99.4
1.59	0.6	98.6	1.4	99.4
1.6	1	99	1	99
1.61	0.8	98.8	1.2	99.2
1.62	0.8	98.8	1.2	99.2
1.63	1.2	99.2	0.8	98.8
1.64	0.2	98.2	1.8	99.8
1.65	0.6	98.6	1.4	99.4
1.66	0.6	98.6	1.4	99.4
1.67	1	99	1	99
1.68	0.8	98.8	1.2	99.2
1.69	0.8	98.8	1.2	99.2
1.7	1.2	99.2	0.8	98.8
1.71	0.6	98.6	1.4	99.4
1.72	0.8	98.8	1.2	99.2
1.73	0.6	98.6	1.4	99.4
1.74	0.6	98.6	1.4	99.4
1.75	0.4	98.4	1.6	99.6
1.76	1.2	99.2	0.8	98.8
1.77	0.4	98.4	1.6	99.6
1.78	0.8	98.8	1.2	99.2
1.79	0.4	98.4	1.6	99.6
1.8	0.6	98.6	1.4	99.4
1.81	0.2	98.2	1.8	99.8
1.82	0.4	98.4	1.6	99.6
1.83	0.6	98.6	1.4	99.4
1.84	1	99	1	99
1.85	0.2	98.2	1.8	99.8
1.86	1.2	99.2	0.8	98.8
1.87	0.2	98.2	1.8	99.8
1.88	0.2	98.2	1.8	99.8
1.89	0.6	98.6	1.4	99.4
1.9	0.4	98.4	1.6	99.6
1.91	1	99	1	99
1.92	1	99	1	99
1.93	0.8	98.8	1.2	99.2
1.94	0.6	98.6	1.4	99.4
1.95	1	99	1	99
1.96	0.8	98.8	1.2	99.2
1.97	0.6	98.6	1.4	99.4
1.98	1	99	1	99
1.99	0.4	98.4	1.6	99.6
2	0.6	98.6	1.4	99.4
2.01	0.4	98.4	1.6	99.6
2.02	1.2	99.2	0.8	98.8
2.03	0.6	98.6	1.4	99.4
2.04	0.6	98.6	1.4	99.4
2.05	0.6	98.6	1.4	99.4
2.06	0.4	98.4	1.6	99.6
2.07	0.6	98.6	1.4	99.4
2.08	0.6	98.6	1.4	99.4
2.09	1.2	99.2	0.8	98.8
2.1	0.4	98.4	1.6	99.6
