t	FPR	FNR	TRP	TNR
1	1	99	1	99
1.01	0.4	98.4	1.6	99.6
1.02	0.6	98.6	1.4	99.4
1.03	0.6	98.6	1.4	99.4
1.04	0.2	98.2	1.8	99.8
1.05	1.2	99.2	0.8	98.8
1.06	1.4	99.4	0.6	98.6
1.07	0.8	98.8	1.2	99.2
1.08	0.8	98.8	1.2	99.2
1.09	0.6	98.6	1.4	99.4
1.1	0.2	98.2	1.8	99.8
1.11	0.6	98.6	1.4	99.4
1.12	0.6	98.6	1.4	99.4
1.13	0.2	98.2	1.8	99.8
1.14	1	99	1	99
1.15	0	98	2	100
1.16	0.6	98.6	1.4	99.4
1.17	0.6	98.6	1.4	99.4
1.18	0.8	98.8	1.2	99.2
1.19	0.8	98.8	1.2	99.2
1.2	1	99	1	99
1.21	0.8	98.8	1.2	99.2
1.22	0.8	98.8	1.2	99.2
1.23	0	98	2	100
1.24	0.8	98.8	1.2	99.2
1.25	0.6	98.6	1.4	99.4
1.26	0.4	98.4	1.6	99.6
1.27	0.8	98.8	1.2	99.2
1.28	0.8	98.8	1.2	99.2
1.29	1	99	1	99
1.3	0.8	98.8	1.2	99.2
1.31	0.8	98.8	1.2	99.2
1.32	0.8	98.8	1.2	99.2
1.33	1	99	1	99
1.34	0.8	98.8	1.2	99.2
1.35	1.2	99.2	0.8	98.8
1.36	0.4	98.4	1.6	99.6
1.37	0.4	98.4	1.6	99.6
1.38	0.4	98.4	1.6	99.6
1.39	1.4	99.4	0.6	98.6
1.4	1	99	1	99
1.41	0.6	98.6	1.4	99.4
1.42	1	99	1	99
1.43	0.6	98.6	1.4	99.4
1.44	0.6	98.6	1.4	99.4
1.45	0.4	98.4	1.6	99.6
1.46	1.4	99.4	0.6	98.6
1.47	1	99	1	99
1.48	1.6	99.6	0.4	98.4
1.49	1.4	99.4	0.6	98.6
1.5	1.4	99.4	0.6	98.6
1.51	0.6	98.6	1.4	99.4
1.52	0.8	98.8	1.2	99.2
1.53	0.6	98.6	1.4	99.4
1.54	1	99	1	99
1.55	0.6	98.6	1.4	99.4
1.56	1	99	1	99
1.57	0.6	98.6	1.4	99.4
1.58	0.4	98.4	1.6	99.6
1.59	0.2	98.2	1.8	99.8
1.6	1	99	1	99
1.61	0.8	98.8	1.2	99.2
1.62	0.8	98.8	1.2	99.2
1.63	1.2	99.2	0.8	98.8
1.64	1.2	99.2	0.8	98.8
1.65	0.4	98.4	1.6	99.6
1.66	1	99	1	99
1.67	0.8	98.8	1.2	99.2
1.68	1.6	99.6	0.4	98.4
1.69	1.4	99.4	0.6	98.6
1.7	0.6	98.6	1.4	99.4
1.71	1.2	99.2	0.8	98.8
1.72	0.8	98.8	1.2	99.2
1.73	0.4	98.4	1.6	99.6
1.74	1	99	1	99
1.75	1.6	99.6	0.4	98.4
1.76	1	99	1	99
1.77	0.8	98.8	1.2	99.2
1.78	2	100	0	98
1.79	0.2	98.2	1.8	99.8
1.8	1	99	1	99
1.81	1.2	99.2	0.8	98.8
1.82	0.6	98.6	1.4	99.4
1.83	0.6	98.6	1.4	99.4
1.84	1	99	1	99
1.85	1.4	99.4	0.6	98.6
1.86	1.2	99.2	0.8	98.8
1.87	1.2	99.2	0.8	98.8
1.88	1	99	1	99
1.89	1.4	99.4	0.6	98.6
1.9	1.4	99.4	0.6	98.6
1.91	0.8	98.8	1.2	99.2
1.92	0.6	98.6	1.4	99.4
1.93	0.8	98.8	1.2	99.2
1.94	0.8	98.8	1.2	99.2
1.95	1.2	99.2	0.8	98.8
1.96	1	99	1	99
1.97	1.2	99.2	0.8	98.8
1.98	0.8	98.8	1.2	99.2
1.99	1.6	99.6	0.4	98.4
2	0.8	98.8	1.2	99.2
2.01	1	99	1	99
2.02	1.4	99.4	0.6	98.6
2.03	1	99	1	99
2.04	0.8	98.8	1.2	99.2
2.05	1	99	1	99
2.06	0.8	98.8	1.2	99.2
2.07	0.4	98.4	1.6	99.6
2.08	1	99	1	99
2.09	1.2	99.2	0.8	98.8
2.1	1	99	1	99
2.11	0.8	98.8	1.2	99.2
2.12	0.4	98.4	1.6	99.6
2.13	0.4	98.4	1.6	99.6
2.14	0.4	98.4	1.6	99.6
2.15	1.4	99.4	0.6	98.6
2.16	1.4	99.4	0.6	98.6
2.17	1.2	99.2	0.8	98.8
2.18	1.4	99.4	0.6	98.6
2.19	0.6	98.6	1.4	99.4
2.2	0.6	98.6	1.4	99.4
2.21	0.8	98.8	1.2	99.2
2.22	0.8	98.8	1.2	99.2
2.23	0.6	98.6	1.4	99.4
2.24	1.4	99.4	0.6	98.6
2.25	0.6	98.6	1.4	99.4
2.26	1.2	99.2	0.8	98.8
2.27	0.6	98.6	1.4	99.4
2.28	0.8	98.8	1.2	99.2
2.29	0.8	98.8	1.2	99.2
2.3	0.8	98.8	1.2	99.2
2.31	1.4	99.4	0.6	98.6
2.32	0.8	98.8	1.2	99.2
2.33	1	99	1	99
2.34	0.4	98.4	1.6	99.6
2.35	0.8	98.8	1.2	99.2
2.36	0.8	98.8	1.2	99.2
2.37	1.2	99.2	0.8	98.8
2.38	1	99	1	99
2.39	1.4	99.4	0.6	98.6
2.4	1	99	1	99
2.41	1	99	1	99
2.42	0.8	98.8	1.2	99.2
2.43	1.2	99.2	0.8	98.8
2.44	1.2	99.2	0.8	98.8
2.45	1	99	1	99
2.46	1	99	1	99
2.47	1	99	1	99
2.48	0.8	98.8	1.2	99.2
2.49	0.2	98.2	1.8	99.8
2.5	0.8	98.8	1.2	99.2
2.51	1	99	1	99
2.52	0.8	98.8	1.2	99.2
2.53	0.8	98.8	1.2	99.2
2.54	1	99	1	99
2.55	1.6	99.6	0.4	98.4
2.56	0.8	98.8	1.2	99.2
2.57	1	99	1	99
2.58	0.6	98.6	1.4	99.4
2.59	1.2	99.2	0.8	98.8
2.6	1	99	1	99
2.61	0.8	98.8	1.2	99.2
2.62	1.2	99.2	0.8	98.8
2.63	0.8	98.8	1.2	99.2
2.64	0.6	98.6	1.4	99.4
2.65	0.8	98.8	1.2	99.2
2.66	0.6	98.6	1.4	99.4
2.67	1	99	1	99
2.68	1	99	1	99
2.69	1	99	1	99
2.7	1.2	99.2	0.8	98.8
2.71	0.6	98.6	1.4	99.4
2.72	1.2	99.2	0.8	98.8
2.73	1	99	1	99
2.74	0.8	98.8	1.2	99.2
2.75	1	99	1	99
2.76	0.6	98.6	1.4	99.4
2.77	1.2	99.2	0.8	98.8
2.78	1	99	1	99
2.79	1	99	1	99
2.8	1	99	1	99
2.81	0.6	98.6	1.4	99.4
2.82	0.4	98.4	1.6	99.6
2.83	0.6	98.6	1.4	99.4
2.84	1.2	99.2	0.8	98.8
2.85	1	99	1	99
2.86	0.8	98.8	1.2	99.2
2.87	1	99	1	99
2.88	0.6	98.6	1.4	99.4
2.89	1.4	99.4	0.6	98.6
2.9	1	99	1	99
2.91	1	99	1	99
2.92	0.4	98.4	1.6	99.6
2.93	1.4	99.4	0.6	98.6
2.94	1	99	1	99
2.95	1.4	99.4	0.6	98.6
2.96	1.2	99.2	0.8	98.8
2.97	0.6	98.6	1.4	99.4
2.98	1.2	99.2	0.8	98.8
2.99	1	99	1	99
3	1	99	1	99
