t	FPR	FNR	TRP	TNR
1	0.2	98.2	1.8	99.8
1.01	0.6	98.6	1.4	99.4
1.02	0.2	98.2	1.8	99.8
1.03	0.6	98.6	1.4	99.4
1.04	0	98	2	100
1.05	0.6	98.6	1.4	99.4
1.06	0.4	98.4	1.6	99.6
1.07	0.6	98.6	1.4	99.4
1.08	0.2	98.2	1.8	99.8
1.09	0.4	98.4	1.6	99.6
1.1	0.2	98.2	1.8	99.8
1.11	0.2	98.2	1.8	99.8
1.12	0.2	98.2	1.8	99.8
1.13	0.6	98.6	1.4	99.4
1.14	0.8	98.8	1.2	99.2
1.15	0.8	98.8	1.2	99.2
1.16	0.6	98.6	1.4	99.4
1.17	0.6	98.6	1.4	99.4
1.18	0.2	98.2	1.8	99.8
1.19	0.8	98.8	1.2	99.2
1.2	0.2	98.2	1.8	99.8
1.21	0.6	98.6	1.4	99.4
1.22	0.6	98.6	1.4	99.4
1.23	0.6	98.6	1.4	99.4
1.24	0.8	98.8	1.2	99.2
1.25	0.6	98.6	1.4	99.4
1.26	0.4	98.4	1.6	99.6
1.27	1.2	99.2	0.8	98.8
1.28	0.2	98.2	1.8	99.8
1.29	1	99	1	99
1.3	0.6	98.6	1.4	99.4
1.31	0.6	98.6	1.4	99.4
1.32	1	99	1	99
1.33	1	99	1	99
1.34	0.6	98.6	1.4	99.4
1.35	0.2	98.2	1.8	99.8
1.36	1.6	99.6	0.4	98.4
1.37	0.6	98.6	1.4	99.4
1.38	0.6	98.6	1.4	99.4
1.39	0.8	98.8	1.2	99.2
1.4	0.6	98.6	1.4	99.4
1.41	1	99	1	99
1.42	0	98	2	100
1.43	0.6	98.6	1.4	99.4
1.44	1.4	99.4	0.6	98.6
1.45	1	99	1	99
1.46	0.6	98.6	1.4	99.4
1.47	0.4	98.4	1.6	99.6
1.48	0.8	98.8	1.2	99.2
1.49	0.8	98.8	1.2	99.2
1.5	0.2	98.2	1.8	99.8
1.51	1.2	99.2	0.8	98.8
1.52	1.2	99.2	0.8	98.8
1.53	0.8	98.8	1.2	99.2
1.54	0.2	98.2	1.8	99.8
1.55	0.2	98.2	1.8	99.8
1.56	0.8	98.8	1.2	99.2
1.57	0.4	98.4	1.6	99.6
1.58	1.8	99.8	0.2	98.2
1.59	0.8	98.8	1.2	99.2
1.6	0.6	98.6	1.4	99.4
1.61	0.8	98.8	1.2	99.2
1.62	1	99	1	99
1.63	1.2	99.2	0.8	98.8
1.64	1.2	99.2	0.8	98.8
1.65	0.6	98.6	1.4	99.4
1.66	1.2	99.2	0.8	98.8
1.67	0.8	98.8	1.2	99.2
1.68	0.6	98.6	1.4	99.4
1.69	0.6	98.6	1.4	99.4
1.7	1.2	99.2	0.8	98.8
1.71	0.8	98.8	1.2	99.2
1.72	0.8	98.8	1.2	99.2
1.73	1	99	1	99
1.74	1.2	99.2	0.8	98.8
1.75	1	99	1	99
1.76	0.8	98.8	1.2	99.2
1.77	1	99	1	99
1.78	0.6	98.6	1.4	99.4
1.79	0.6	98.6	1.4	99.4
1.8	1.2	99.2	0.8	98.8
1.81	1	99	1	99
1.82	1.6	99.6	0.4	98.4
1.83	0.8	98.8	1.2	99.2
1.84	0.8	98.8	1.2	99.2
1.85	0.8	98.8	1.2	99.2
1.86	0.4	98.4	1.6	99.6
1.87	0.8	98.8	1.2	99.2
