t	FPR	FNR	TRP	TNR
1	0.4	98.4	1.6	99.6
1.01	0.8	98.8	1.2	99.2
1.02	0.2	98.2	1.8	99.8
1.03	1	99	1	99
1.04	0.6	98.6	1.4	99.4
1.05	0.4	98.4	1.6	99.6
1.06	0.4	98.4	1.6	99.6
1.07	1	99	1	99
1.08	0.4	98.4	1.6	99.6
1.09	1	99	1	99
1.1	0.6	98.6	1.4	99.4
1.11	0.6	98.6	1.4	99.4
1.12	0.2	98.2	1.8	99.8
1.13	0.6	98.6	1.4	99.4
1.14	0.6	98.6	1.4	99.4
1.15	0.6	98.6	1.4	99.4
1.16	1	99	1	99
1.17	0.8	98.8	1.2	99.2
1.18	1.2	99.2	0.8	98.8
1.19	0.6	98.6	1.4	99.4
1.2	0.6	98.6	1.4	99.4
1.21	1	99	1	99
1.22	0.8	98.8	1.2	99.2
1.23	1	99	1	99
1.24	0.6	98.6	1.4	99.4
1.25	0.6	98.6	1.4	99.4
1.26	0.2	98.2	1.8	99.8
1.27	1.4	99.4	0.6	98.6
1.28	0.4	98.4	1.6	99.6
1.29	0.8	98.8	1.2	99.2
1.3	0.4	98.4	1.6	99.6
1.31	0.4	98.4	1.6	99.6
1.32	1	99	1	99
1.33	0.8	98.8	1.2	99.2
1.34	0.8	98.8	1.2	99.2
1.35	0.8	98.8	1.2	99.2
1.36	0.6	98.6	1.4	99.4
1.37	0.4	98.4	1.6	99.6
1.38	1	99	1	99
1.39	0.4	98.4	1.6	99.6
1.4	1	99	1	99
1.41	1.4	99.4	0.6	98.6
1.42	1.2	99.2	0.8	98.8
1.43	1	99	1	99
1.44	1	99	1	99
1.45	1.2	99.2	0.8	98.8
1.46	0.6	98.6	1.4	99.4
1.47	0.8	98.8	1.2	99.2
1.48	0.8	98.8	1.2	99.2
1.49	1.4	99.4	0.6	98.6
1.5	1	99	1	99
1.51	0.8	98.8	1.2	99.2
1.52	1.4	99.4	0.6	98.6
1.53	0.6	98.6	1.4	99.4
1.54	0.6	98.6	1.4	99.4
1.55	0.8	98.8	1.2	99.2
1.56	0.6	98.6	1.4	99.4
1.57	1	99	1	99
1.58	1.2	99.2	0.8	98.8
1.59	0.8	98.8	1.2	99.2
1.6	1	99	1	99
1.61	1	99	1	99
1.62	1.2	99.2	0.8	98.8
1.63	1	99	1	99
1.64	1.2	99.2	0.8	98.8
1.65	1.2	99.2	0.8	98.8
1.66	1.2	99.2	0.8	98.8
1.67	1.2	99.2	0.8	98.8
1.68	1.4	99.4	0.6	98.6
1.69	1.2	99.2	0.8	98.8
