t	FPR	FNR	TRP	TNR
0.01	1.6	99.6	0.4	98.4
0.02	1.2	99.2	0.8	98.8
0.03	1	99	1	99
0.04	1	99	1	99
0.05	1	99	1	99
0.06	1.2	99.2	0.8	98.8
0.07	0.6	98.6	1.4	99.4
0.08	0.6	98.6	1.4	99.4
0.09	0.6	98.6	1.4	99.4
0.1	1	99	1	99
0.11	0.8	98.8	1.2	99.2
0.12	0.6	98.6	1.4	99.4
0.13	1.2	99.2	0.8	98.8
0.14	1	99	1	99
0.15	0.6	98.6	1.4	99.4
0.16	1.4	99.4	0.6	98.6
0.17	1	99	1	99
0.18	0.4	98.4	1.6	99.6
0.19	1.6	99.6	0.4	98.4
0.2	1.6	99.6	0.4	98.4
0.21	0.6	98.6	1.4	99.4
0.22	0.6	98.6	1.4	99.4
0.23	1.2	99.2	0.8	98.8
0.24	0.8	98.8	1.2	99.2
0.25	1	99	1	99
0.26	1.2	99.2	0.8	98.8
0.27	1.2	99.2	0.8	98.8
0.28	1.6	99.6	0.4	98.4
0.29	0.6	98.6	1.4	99.4
0.3	0.8	98.8	1.2	99.2
0.31	0.8	98.8	1.2	99.2
0.32	0.6	98.6	1.4	99.4
0.33	1	99	1	99
0.34	1.2	99.2	0.8	98.8
0.35	0.8	98.8	1.2	99.2
0.36	0.8	98.8	1.2	99.2
0.37	0.8	98.8	1.2	99.2
0.38	0.8	98.8	1.2	99.2
0.39	1.2	99.2	0.8	98.8
0.4	1.4	99.4	0.6	98.6
0.41	1.4	99.4	0.6	98.6
0.42	0.2	98.2	1.8	99.8
0.43	1.2	99.2	0.8	98.8
0.44	1	99	1	99
0.45	0.8	98.8	1.2	99.2
0.46	1	99	1	99
0.47	0.8	98.8	1.2	99.2
0.48	1.4	99.4	0.6	98.6
0.49	0.6	98.6	1.4	99.4
0.5	1	99	1	99
0.51	0.2	98.2	1.8	99.8
0.52	1	99	1	99
0.53	0.6	98.6	1.4	99.4
0.54	0.6	98.6	1.4	99.4
0.55	1	99	1	99
0.56	1	99	1	99
0.57	1	99	1	99
0.58	1	99	1	99
0.59	0.6	98.6	1.4	99.4
0.6	1	99	1	99
0.61	0.6	98.6	1.4	99.4
0.62	1	99	1	99
0.63	1.4	99.4	0.6	98.6
0.64	1	99	1	99
0.65	1.6	99.6	0.4	98.4
0.66	1	99	1	99
0.67	0.8	98.8	1.2	99.2
0.68	0.8	98.8	1.2	99.2
0.69	1.2	99.2	0.8	98.8
0.7	0.8	98.8	1.2	99.2
0.71	1.2	99.2	0.8	98.8
0.72	1.2	99.2	0.8	98.8
0.73	1.6	99.6	0.4	98.4
0.74	1.4	99.4	0.6	98.6
0.75	1.4	99.4	0.6	98.6
0.76	1.2	99.2	0.8	98.8
0.77	0.8	98.8	1.2	99.2
0.78	1.4	99.4	0.6	98.6
0.79	1.2	99.2	0.8	98.8
0.8	1	99	1	99
0.81	1	99	1	99
0.82	1.2	99.2	0.8	98.8
0.83	0.8	98.8	1.2	99.2
0.84	0.8	98.8	1.2	99.2
0.85	1	99	1	99
0.86	1.2	99.2	0.8	98.8
0.87	1.2	99.2	0.8	98.8
0.88	1.4	99.4	0.6	98.6
0.89	0.8	98.8	1.2	99.2
0.9	1	99	1	99
0.91	0.8	98.8	1.2	99.2
0.92	1.4	99.4	0.6	98.6
0.93	1	99	1	99
0.94	1	99	1	99
0.95	0.6	98.6	1.4	99.4
0.96	0.2	98.2	1.8	99.8
0.97	0.6	98.6	1.4	99.4
0.98	1	99	1	99
0.99	0.6	98.6	1.4	99.4
1	0.8	98.8	1.2	99.2
1.01	1	99	1	99
1.02	0.8	98.8	1.2	99.2
1.03	0.6	98.6	1.4	99.4
1.04	1	99	1	99
1.05	0.8	98.8	1.2	99.2
1.06	1.2	99.2	0.8	98.8
1.07	0.8	98.8	1.2	99.2
1.08	0.8	98.8	1.2	99.2
1.09	0.6	98.6	1.4	99.4
1.1	1.2	99.2	0.8	98.8
1.11	1	99	1	99
1.12	0.4	98.4	1.6	99.6
1.13	1.2	99.2	0.8	98.8
1.14	1	99	1	99
1.15	0.8	98.8	1.2	99.2
1.16	0.6	98.6	1.4	99.4
1.17	1	99	1	99
1.18	1	99	1	99
1.19	1.4	99.4	0.6	98.6
1.2	0.8	98.8	1.2	99.2
1.21	0.4	98.4	1.6	99.6
1.22	0.8	98.8	1.2	99.2
1.23	1.4	99.4	0.6	98.6
1.24	1.2	99.2	0.8	98.8
1.25	0.6	98.6	1.4	99.4
1.26	1.2	99.2	0.8	98.8
1.27	0.8	98.8	1.2	99.2
1.28	0.2	98.2	1.8	99.8
1.29	0.8	98.8	1.2	99.2
1.3	1	99	1	99
1.31	0.8	98.8	1.2	99.2
1.32	0.8	98.8	1.2	99.2
1.33	1.2	99.2	0.8	98.8
1.34	1.2	99.2	0.8	98.8
1.35	0.8	98.8	1.2	99.2
1.36	1.4	99.4	0.6	98.6
1.37	1.4	99.4	0.6	98.6
1.38	0.8	98.8	1.2	99.2
1.39	1.2	99.2	0.8	98.8
1.4	1.4	99.4	0.6	98.6
1.41	1.2	99.2	0.8	98.8
1.42	1.2	99.2	0.8	98.8
1.43	0.8	98.8	1.2	99.2
1.44	1	99	1	99
1.45	0.6	98.6	1.4	99.4
1.46	1.4	99.4	0.6	98.6
1.47	1.2	99.2	0.8	98.8
1.48	0.8	98.8	1.2	99.2
1.49	0.6	98.6	1.4	99.4
1.5	0.6	98.6	1.4	99.4
1.51	0.6	98.6	1.4	99.4
1.52	0.6	98.6	1.4	99.4
1.53	1.2	99.2	0.8	98.8
1.54	1	99	1	99
1.55	1	99	1	99
1.56	1.2	99.2	0.8	98.8
1.57	0.6	98.6	1.4	99.4
1.58	1.2	99.2	0.8	98.8
1.59	1	99	1	99
1.6	0.8	98.8	1.2	99.2
1.61	1	99	1	99
1.62	1.2	99.2	0.8	98.8
1.63	1	99	1	99
1.64	1	99	1	99
1.65	1.2	99.2	0.8	98.8
1.66	0.2	98.2	1.8	99.8
1.67	0.8	98.8	1.2	99.2
1.68	1.6	99.6	0.4	98.4
1.69	1	99	1	99
1.7	1	99	1	99
1.71	0.2	98.2	1.8	99.8
1.72	0.8	98.8	1.2	99.2
1.73	1.2	99.2	0.8	98.8
1.74	1.2	99.2	0.8	98.8
1.75	0.8	98.8	1.2	99.2
1.76	0.6	98.6	1.4	99.4
1.77	0.8	98.8	1.2	99.2
1.78	0.8	98.8	1.2	99.2
1.79	0.8	98.8	1.2	99.2
1.8	0.6	98.6	1.4	99.4
1.81	1	99	1	99
1.82	0.6	98.6	1.4	99.4
1.83	0.8	98.8	1.2	99.2
1.84	0.8	98.8	1.2	99.2
1.85	1.4	99.4	0.6	98.6
1.86	0.8	98.8	1.2	99.2
1.87	1	99	1	99
1.88	1	99	1	99
1.89	1.2	99.2	0.8	98.8
1.9	1.2	99.2	0.8	98.8
1.91	1.2	99.2	0.8	98.8
1.92	1	99	1	99
1.93	1	99	1	99
1.94	0.6	98.6	1.4	99.4
1.95	1	99	1	99
1.96	1	99	1	99
1.97	1	99	1	99
1.98	0.8	98.8	1.2	99.2
1.99	1.4	99.4	0.6	98.6
2	1.2	99.2	0.8	98.8
2.01	1	99	1	99
2.02	1.4	99.4	0.6	98.6
2.03	0.4	98.4	1.6	99.6
2.04	0.8	98.8	1.2	99.2
2.05	0.6	98.6	1.4	99.4
2.06	1	99	1	99
2.07	0.8	98.8	1.2	99.2
2.08	1.6	99.6	0.4	98.4
2.09	0.8	98.8	1.2	99.2
2.1	0.8	98.8	1.2	99.2
2.11	0.8	98.8	1.2	99.2
2.12	0.4	98.4	1.6	99.6
2.13	0.8	98.8	1.2	99.2
2.14	0.6	98.6	1.4	99.4
2.15	0.8	98.8	1.2	99.2
2.16	0.8	98.8	1.2	99.2
2.17	0.6	98.6	1.4	99.4
2.18	0.8	98.8	1.2	99.2
2.19	1	99	1	99
2.2	1.4	99.4	0.6	98.6
2.21	1.2	99.2	0.8	98.8
2.22	1	99	1	99
2.23	0.8	98.8	1.2	99.2
2.24	0.8	98.8	1.2	99.2
2.25	0.6	98.6	1.4	99.4
2.26	1.6	99.6	0.4	98.4
2.27	0.8	98.8	1.2	99.2
2.28	0.6	98.6	1.4	99.4
2.29	1	99	1	99
2.3	1.6	99.6	0.4	98.4
2.31	1.6	99.6	0.4	98.4
2.32	1.4	99.4	0.6	98.6
2.33	1	99	1	99
2.34	0.4	98.4	1.6	99.6
2.35	1	99	1	99
2.36	0.6	98.6	1.4	99.4
2.37	0.6	98.6	1.4	99.4
2.38	0.4	98.4	1.6	99.6
2.39	1	99	1	99
2.4	0.6	98.6	1.4	99.4
2.41	1	99	1	99
2.42	1.2	99.2	0.8	98.8
2.43	1.2	99.2	0.8	98.8
2.44	0.8	98.8	1.2	99.2
2.45	1	99	1	99
2.46	1.6	99.6	0.4	98.4
2.47	0.8	98.8	1.2	99.2
2.48	1	99	1	99
2.49	1	99	1	99
2.5	1.2	99.2	0.8	98.8
2.51	0.8	98.8	1.2	99.2
2.52	0.6	98.6	1.4	99.4
2.53	0.6	98.6	1.4	99.4
2.54	1	99	1	99
2.55	1.2	99.2	0.8	98.8
2.56	1	99	1	99
2.57	0.8	98.8	1.2	99.2
2.58	1	99	1	99
2.59	0.6	98.6	1.4	99.4
2.6	0.8	98.8	1.2	99.2
2.61	1.2	99.2	0.8	98.8
2.62	0.8	98.8	1.2	99.2
2.63	0.8	98.8	1.2	99.2
2.64	1.2	99.2	0.8	98.8
2.65	0.6	98.6	1.4	99.4
2.66	0.6	98.6	1.4	99.4
2.67	0.6	98.6	1.4	99.4
2.68	0.8	98.8	1.2	99.2
2.69	1.6	99.6	0.4	98.4
2.7	0.8	98.8	1.2	99.2
2.71	1.2	99.2	0.8	98.8
2.72	1	99	1	99
2.73	0.8	98.8	1.2	99.2
2.74	1.4	99.4	0.6	98.6
2.75	1.2	99.2	0.8	98.8
2.76	0.8	98.8	1.2	99.2
2.77	1	99	1	99
2.78	0.8	98.8	1.2	99.2
2.79	0.8	98.8	1.2	99.2
2.8	0.2	98.2	1.8	99.8
2.81	0.8	98.8	1.2	99.2
2.82	1.2	99.2	0.8	98.8
2.83	1	99	1	99
2.84	0.4	98.4	1.6	99.6
2.85	0.8	98.8	1.2	99.2
2.86	1.4	99.4	0.6	98.6
2.87	1	99	1	99
2.88	0.6	98.6	1.4	99.4
2.89	0.8	98.8	1.2	99.2
2.9	1	99	1	99
2.91	0.4	98.4	1.6	99.6
2.92	0.8	98.8	1.2	99.2
2.93	0.6	98.6	1.4	99.4
2.94	1.6	99.6	0.4	98.4
2.95	0.4	98.4	1.6	99.6
2.96	1.2	99.2	0.8	98.8
2.97	0.8	98.8	1.2	99.2
2.98	0.8	98.8	1.2	99.2
2.99	1	99	1	99
3	1.2	99.2	0.8	98.8
