t	FPR	FNR	TRP	TNR
1	0.6	98.6	1.4	99.4
1.01	1.4	99.4	0.6	98.6
1.02	0.4	98.4	1.6	99.6
1.03	0.8	98.8	1.2	99.2
1.04	1.4	99.4	0.6	98.6
1.05	0.4	98.4	1.6	99.6
1.06	0.8	98.8	1.2	99.2
1.07	0.8	98.8	1.2	99.2
1.08	0.2	98.2	1.8	99.8
1.09	0	98	2	100
1.1	0.4	98.4	1.6	99.6
1.11	0.8	98.8	1.2	99.2
1.12	0.8	98.8	1.2	99.2
1.13	1	99	1	99
1.14	0.8	98.8	1.2	99.2
1.15	0.6	98.6	1.4	99.4
1.16	0.4	98.4	1.6	99.6
1.17	0.6	98.6	1.4	99.4
1.18	0.6	98.6	1.4	99.4
1.19	1.2	99.2	0.8	98.8
1.2	0.8	98.8	1.2	99.2
1.21	0.8	98.8	1.2	99.2
1.22	0.8	98.8	1.2	99.2
1.23	0.8	98.8	1.2	99.2
1.24	0.6	98.6	1.4	99.4
1.25	1.2	99.2	0.8	98.8
1.26	1.6	99.6	0.4	98.4
1.27	0.6	98.6	1.4	99.4
1.28	0.6	98.6	1.4	99.4
1.29	1.2	99.2	0.8	98.8
1.3	1	99	1	99
1.31	1.4	99.4	0.6	98.6
1.32	0.6	98.6	1.4	99.4
1.33	0.8	98.8	1.2	99.2
1.34	1.4	99.4	0.6	98.6
1.35	0.8	98.8	1.2	99.2
1.36	1.4	99.4	0.6	98.6
1.37	0.8	98.8	1.2	99.2
1.38	1.2	99.2	0.8	98.8
1.39	1	99	1	99
1.4	0.6	98.6	1.4	99.4
1.41	1	99	1	99
1.42	1.2	99.2	0.8	98.8
1.43	1.2	99.2	0.8	98.8
1.44	0.4	98.4	1.6	99.6
1.45	1.2	99.2	0.8	98.8
1.46	0.8	98.8	1.2	99.2
1.47	0.8	98.8	1.2	99.2
1.48	1	99	1	99
1.49	1	99	1	99
1.5	1	99	1	99
1.51	1.2	99.2	0.8	98.8
1.52	0.8	98.8	1.2	99.2
1.53	1	99	1	99
1.54	1	99	1	99
1.55	1	99	1	99
1.56	1	99	1	99
1.57	1.4	99.4	0.6	98.6
1.58	0.2	98.2	1.8	99.8
