t	FPR	FNR	TRP	TNR
1	1	99	1	99
1.01	0.8	98.8	1.2	99.2
1.02	0.4	98.4	1.6	99.6
1.03	0.4	98.4	1.6	99.6
1.04	0.6	98.6	1.4	99.4
1.05	0.8	98.8	1.2	99.2
1.06	1	99	1	99
1.07	0.4	98.4	1.6	99.6
1.08	0.6	98.6	1.4	99.4
1.09	1	99	1	99
1.1	0.8	98.8	1.2	99.2
1.11	0.2	98.2	1.8	99.8
1.12	1	99	1	99
1.13	0.8	98.8	1.2	99.2
1.14	0.8	98.8	1.2	99.2
1.15	1	99	1	99
1.16	0.8	98.8	1.2	99.2
1.17	0.4	98.4	1.6	99.6
1.18	0.4	98.4	1.6	99.6
1.19	1	99	1	99
1.2	1.2	99.2	0.8	98.8
1.21	0.8	98.8	1.2	99.2
1.22	1	99	1	99
1.23	1	99	1	99
1.24	0.6	98.6	1.4	99.4
1.25	0.8	98.8	1.2	99.2
1.26	0.8	98.8	1.2	99.2
1.27	0.8	98.8	1.2	99.2
1.28	0.8	98.8	1.2	99.2
1.29	0.4	98.4	1.6	99.6
1.3	0.8	98.8	1.2	99.2
1.31	0.8	98.8	1.2	99.2
1.32	0.4	98.4	1.6	99.6
1.33	1.4	99.4	0.6	98.6
1.34	0.6	98.6	1.4	99.4
1.35	0.8	98.8	1.2	99.2
1.36	1	99	1	99
1.37	0.4	98.4	1.6	99.6
1.38	1	99	1	99
1.39	0.2	98.2	1.8	99.8
1.4	0.8	98.8	1.2	99.2
1.41	0.4	98.4	1.6	99.6
1.42	0.6	98.6	1.4	99.4
1.43	1.2	99.2	0.8	98.8
1.44	0.6	98.6	1.4	99.4
1.45	0.2	98.2	1.8	99.8
1.46	0.6	98.6	1.4	99.4
1.47	0.4	98.4	1.6	99.6
1.48	0.6	98.6	1.4	99.4
1.49	0.8	98.8	1.2	99.2
1.5	0.6	98.6	1.4	99.4
1.51	0.8	98.8	1.2	99.2
1.52	0.6	98.6	1.4	99.4
1.53	1	99	1	99
1.54	1.2	99.2	0.8	98.8
1.55	0.4	98.4	1.6	99.6
1.56	0.2	98.2	1.8	99.8
1.57	0.4	98.4	1.6	99.6
1.58	0.6	98.6	1.4	99.4
1.59	0.6	98.6	1.4	99.4
1.6	1.4	99.4	0.6	98.6
1.61	0.8	98.8	1.2	99.2
1.62	0.4	98.4	1.6	99.6
1.63	1.2	99.2	0.8	98.8
1.64	0.8	98.8	1.2	99.2
1.65	0.6	98.6	1.4	99.4
