t	FPR	FNR	TRP	TNR
1	1.2	99.2	0.8	98.8
1.01	1.2	99.2	0.8	98.8
1.02	1.4	99.4	0.6	98.6
1.03	1.2	99.2	0.8	98.8
1.04	0.8	98.8	1.2	99.2
1.05	1.2	99.2	0.8	98.8
1.06	0.8	98.8	1.2	99.2
1.07	1.6	99.6	0.4	98.4
1.08	1.4	99.4	0.6	98.6
1.09	1	99	1	99
1.1	0.4	98.4	1.6	99.6
1.11	1.2	99.2	0.8	98.8
1.12	1	99	1	99
1.13	1	99	1	99
1.14	1.2	99.2	0.8	98.8
1.15	1.6	99.6	0.4	98.4
1.16	1.2	99.2	0.8	98.8
1.17	0.6	98.6	1.4	99.4
1.18	1	99	1	99
1.19	0.6	98.6	1.4	99.4
1.2	0.6	98.6	1.4	99.4
1.21	1.2	99.2	0.8	98.8
1.22	0.8	98.8	1.2	99.2
1.23	1.2	99.2	0.8	98.8
1.24	1.4	99.4	0.6	98.6
1.25	0.4	98.4	1.6	99.6
1.26	1	99	1	99
1.27	0.8	98.8	1.2	99.2
1.28	1.4	99.4	0.6	98.6
1.29	1	99	1	99
1.3	0.8	98.8	1.2	99.2
1.31	0.8	98.8	1.2	99.2
1.32	1	99	1	99
1.33	1	99	1	99
1.34	0.6	98.6	1.4	99.4
1.35	1.2	99.2	0.8	98.8
1.36	1.4	99.4	0.6	98.6
1.37	1.2	99.2	0.8	98.8
1.38	1.8	99.8	0.2	98.2
1.39	0.4	98.4	1.6	99.6
1.4	1.2	99.2	0.8	98.8
1.41	1	99	1	99
1.42	1	99	1	99
1.43	0.6	98.6	1.4	99.4
1.44	0.8	98.8	1.2	99.2
1.45	2	100	0	98
1.46	1.2	99.2	0.8	98.8
1.47	1	99	1	99
1.48	1.2	99.2	0.8	98.8
1.49	1.4	99.4	0.6	98.6
1.5	1	99	1	99
1.51	1.2	99.2	0.8	98.8
1.52	0.6	98.6	1.4	99.4
1.53	0.8	98.8	1.2	99.2
1.54	1	99	1	99
1.55	1.2	99.2	0.8	98.8
1.56	1	99	1	99
1.57	0.4	98.4	1.6	99.6
1.58	1.2	99.2	0.8	98.8
1.59	1.2	99.2	0.8	98.8
1.6	0.6	98.6	1.4	99.4
1.61	1	99	1	99
1.62	1.2	99.2	0.8	98.8
1.63	1.2	99.2	0.8	98.8
1.64	0.8	98.8	1.2	99.2
1.65	1.8	99.8	0.2	98.2
1.66	1.4	99.4	0.6	98.6
1.67	0.8	98.8	1.2	99.2
1.68	1.4	99.4	0.6	98.6
1.69	0.6	98.6	1.4	99.4
1.7	1	99	1	99
1.71	1	99	1	99
1.72	1	99	1	99
1.73	0.4	98.4	1.6	99.6
1.74	1.8	99.8	0.2	98.2
1.75	1	99	1	99
1.76	1.6	99.6	0.4	98.4
1.77	1.2	99.2	0.8	98.8
1.78	0.6	98.6	1.4	99.4
1.79	0.8	98.8	1.2	99.2
1.8	1.4	99.4	0.6	98.6
1.81	0.8	98.8	1.2	99.2
1.82	0.8	98.8	1.2	99.2
1.83	0.8	98.8	1.2	99.2
1.84	1.4	99.4	0.6	98.6
1.85	1.2	99.2	0.8	98.8
1.86	1	99	1	99
1.87	1.2	99.2	0.8	98.8
1.88	1.2	99.2	0.8	98.8
1.89	1.2	99.2	0.8	98.8
1.9	1	99	1	99
1.91	1	99	1	99
1.92	0.8	98.8	1.2	99.2
1.93	0.6	98.6	1.4	99.4
1.94	1	99	1	99
1.95	0.8	98.8	1.2	99.2
1.96	0.8	98.8	1.2	99.2
1.97	0.8	98.8	1.2	99.2
1.98	1.2	99.2	0.8	98.8
1.99	1	99	1	99
2	0.4	98.4	1.6	99.6
2.01	0.8	98.8	1.2	99.2
2.02	1	99	1	99
2.03	0.8	98.8	1.2	99.2
2.04	1.2	99.2	0.8	98.8
2.05	0.6	98.6	1.4	99.4
2.06	1	99	1	99
2.07	1.4	99.4	0.6	98.6
2.08	1	99	1	99
2.09	0.6	98.6	1.4	99.4
2.1	0.4	98.4	1.6	99.6
2.11	0.6	98.6	1.4	99.4
2.12	1	99	1	99
2.13	1.4	99.4	0.6	98.6
2.14	1.2	99.2	0.8	98.8
2.15	0.8	98.8	1.2	99.2
2.16	1.4	99.4	0.6	98.6
2.17	1.2	99.2	0.8	98.8
2.18	1.2	99.2	0.8	98.8
2.19	1	99	1	99
2.2	0.8	98.8	1.2	99.2
2.21	0.6	98.6	1.4	99.4
2.22	0.8	98.8	1.2	99.2
2.23	0.4	98.4	1.6	99.6
2.24	0.8	98.8	1.2	99.2
2.25	0.8	98.8	1.2	99.2
2.26	0.6	98.6	1.4	99.4
2.27	1	99	1	99
2.28	0.6	98.6	1.4	99.4
2.29	1	99	1	99
2.3	0.8	98.8	1.2	99.2
2.31	0.6	98.6	1.4	99.4
2.32	0.6	98.6	1.4	99.4
2.33	0.8	98.8	1.2	99.2
2.34	1.2	99.2	0.8	98.8
2.35	0.4	98.4	1.6	99.6
2.36	1	99	1	99
2.37	0.6	98.6	1.4	99.4
2.38	1.2	99.2	0.8	98.8
2.39	1	99	1	99
2.4	1.2	99.2	0.8	98.8
2.41	0.6	98.6	1.4	99.4
2.42	0.8	98.8	1.2	99.2
2.43	1	99	1	99
2.44	0.6	98.6	1.4	99.4
2.45	0.8	98.8	1.2	99.2
2.46	1.4	99.4	0.6	98.6
2.47	1.2	99.2	0.8	98.8
2.48	1	99	1	99
2.49	0.8	98.8	1.2	99.2
2.5	0.8	98.8	1.2	99.2
2.51	1.4	99.4	0.6	98.6
2.52	1.2	99.2	0.8	98.8
2.53	1	99	1	99
2.54	0.6	98.6	1.4	99.4
2.55	0.6	98.6	1.4	99.4
2.56	1	99	1	99
