t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	100	0	100
0.07	0	100	0	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0	100	0	100
0.11	0	99.6	0.4	100
0.12	0	100	0	100
0.13	0	100	0	100
0.14	0	99.6	0.4	100
0.15	0	100	0	100
0.16	0	100	0	100
0.17	0	98.4	1.6	100
0.18	0	99.4	0.6	100
0.19	0	98.2	1.8	100
0.2	0	99.6	0.4	100
0.21	0	97	3	100
0.22	0.4	94.8	5.2	99.6
0.23	0.2	92.4	7.6	99.8
0.24	0.4	87.6	12.4	99.6
0.25	0.6	86.2	13.8	99.4
0.26	0.4	81.4	18.6	99.6
0.27	0.4	84	16	99.6
0.28	0.2	77	23	99.8
0.29	1.2	68.4	31.6	98.8
0.3	1.2	63.8	36.2	98.8
0.31	0.6	63.4	36.6	99.4
0.32	0.8	58.6	41.4	99.2
0.33	1	51.8	48.2	99
0.34	0.8	49.4	50.6	99.2
0.35	1.4	50	50	98.6
0.36	2.2	40.8	59.2	97.8
0.37	1	41.8	58.2	99
0.38	2	35.8	64.2	98
0.39	2.2	34.2	65.8	97.8
0.4	2.2	28.2	71.8	97.8
0.41	2	27	73	98
0.42	2.8	20.6	79.4	97.2
0.43	1	21	79	99
0.44	1.6	18.8	81.2	98.4
0.45	2.4	18	82	97.6
0.46	2.8	14.6	85.4	97.2
0.47	2.4	12.6	87.4	97.6
0.48	2.4	15.4	84.6	97.6
0.49	2	11.2	88.8	98
0.5	3.4	8.2	91.8	96.6
0.51	2.4	5.6	94.4	97.6
0.52	2.8	6.8	93.2	97.2
0.53	2.2	5	95	97.8
0.54	1.2	5	95	98.8
0.55	1.6	3	97	98.4
0.56	4.2	1.8	98.2	95.8
0.57	2.6	2.6	97.4	97.4
0.58	3.6	2	98	96.4
0.59	2	1.8	98.2	98
0.6	3.6	2.4	97.6	96.4
0.61	1.8	1.4	98.6	98.2
0.62	1.8	1.4	98.6	98.2
0.63	4	0.4	99.6	96
0.64	2.8	0	100	97.2
0.65	3.2	1.4	98.6	96.8
0.66	2.2	0.2	99.8	97.8
0.67	3.2	1.2	98.8	96.8
0.68	2.8	0.4	99.6	97.2
0.69	2.6	0.4	99.6	97.4
0.7	3.2	0.2	99.8	96.8
0.71	3	0	100	97
0.72	2	0.2	99.8	98
0.73	1.4	0.2	99.8	98.6
0.74	2	0	100	98
0.75	2.4	0.2	99.8	97.6
0.76	2.6	0	100	97.4
0.77	2.4	0	100	97.6
0.78	2.8	0	100	97.2
0.79	1.8	0	100	98.2
0.8	3.2	0	100	96.8
0.81	1.6	0	100	98.4
0.82	1.4	0.2	99.8	98.6
0.83	2	0	100	98
0.84	2	0	100	98
0.85	3.2	0	100	96.8
0.86	2.6	0	100	97.4
0.87	1.8	0.2	99.8	98.2
0.88	3.2	0	100	96.8
0.89	2	0	100	98
0.9	2.2	0	100	97.8
0.91	1	0	100	99
0.92	2	0	100	98
0.93	2.6	0	100	97.4
0.94	2.2	0	100	97.8
0.95	3.6	0	100	96.4
0.96	2.6	0	100	97.4
0.97	3.2	0	100	96.8
0.98	2.6	0	100	97.4
0.99	2.6	0	100	97.4
1	2.2	0	100	97.8
1.01	2	0	100	98
1.02	2.2	0	100	97.8
1.03	2.4	0	100	97.6
1.04	2.6	0	100	97.4
1.05	2.6	0	100	97.4
1.06	1.8	0	100	98.2
1.07	2	0	100	98
1.08	2	0	100	98
1.09	2	0	100	98
1.1	1.8	0	100	98.2
1.11	2.4	0	100	97.6
1.12	2.4	0	100	97.6
1.13	1.8	0	100	98.2
1.14	1.6	0	100	98.4
1.15	2.2	0	100	97.8
1.16	1.8	0	100	98.2
1.17	2.6	0	100	97.4
1.18	1.6	0	100	98.4
1.19	2.2	0	100	97.8
1.2	1.4	0	100	98.6
1.21	3.2	0	100	96.8
1.22	2.4	0	100	97.6
1.23	3.2	0	100	96.8
1.24	2.8	0	100	97.2
1.25	3.2	0	100	96.8
1.26	2.2	0	100	97.8
1.27	3.4	0	100	96.6
1.28	2.2	0	100	97.8
1.29	2.6	0	100	97.4
1.3	1.6	0	100	98.4
1.31	2.8	0	100	97.2
1.32	2.8	0	100	97.2
1.33	3.8	0	100	96.2
1.34	2.4	0	100	97.6
1.35	3.4	0	100	96.6
1.36	4	0	100	96
1.37	2.2	0	100	97.8
1.38	1	0	100	99
1.39	1.6	0	100	98.4
1.4	2.2	0	100	97.8
1.41	2.4	0	100	97.6
1.42	1.8	0	100	98.2
1.43	2.8	0	100	97.2
1.44	1.6	0	100	98.4
1.45	2.4	0	100	97.6
1.46	2.6	0	100	97.4
1.47	2.2	0	100	97.8
1.48	3	0	100	97
1.49	2	0	100	98
1.5	3.8	0	100	96.2
1.51	1.6	0	100	98.4
1.52	2.4	0	100	97.6
1.53	3	0	100	97
1.54	2.6	0	100	97.4
1.55	2.4	0	100	97.6
1.56	3	0	100	97
1.57	2.8	0	100	97.2
1.58	2.6	0	100	97.4
1.59	1	0	100	99
1.6	2.2	0	100	97.8
1.61	3	0	100	97
1.62	3	0	100	97
1.63	3.6	0	100	96.4
1.64	2	0	100	98
1.65	2.4	0	100	97.6
1.66	3.8	0	100	96.2
1.67	2	0	100	98
1.68	2.6	0	100	97.4
1.69	3.2	0	100	96.8
1.7	1.2	0	100	98.8
1.71	1.8	0	100	98.2
1.72	3	0	100	97
1.73	2.6	0	100	97.4
1.74	3	0	100	97
1.75	4.2	0	100	95.8
1.76	1.8	0	100	98.2
1.77	3.2	0	100	96.8
1.78	2.6	0	100	97.4
1.79	2.8	0	100	97.2
1.8	2.6	0	100	97.4
1.81	2.2	0	100	97.8
1.82	2	0	100	98
1.83	3.6	0	100	96.4
1.84	1.8	0	100	98.2
1.85	1.8	0	100	98.2
1.86	2.6	0	100	97.4
1.87	3.2	0	100	96.8
1.88	2	0	100	98
1.89	2.8	0	100	97.2
1.9	2.4	0	100	97.6
1.91	3	0	100	97
1.92	3.2	0	100	96.8
1.93	2.4	0	100	97.6
1.94	2.6	0	100	97.4
1.95	2.8	0	100	97.2
1.96	3.6	0	100	96.4
1.97	2.8	0	100	97.2
1.98	2.6	0	100	97.4
1.99	1.2	0	100	98.8
2	2	0	100	98
2.01	2.4	0	100	97.6
2.02	3.2	0	100	96.8
2.03	1.8	0	100	98.2
2.04	2.2	0	100	97.8
2.05	1.6	0	100	98.4
2.06	3.4	0	100	96.6
2.07	3.2	0	100	96.8
2.08	2.4	0	100	97.6
2.09	2	0	100	98
2.1	2.6	0	100	97.4
2.11	2.6	0	100	97.4
2.12	2	0	100	98
2.13	1.8	0	100	98.2
2.14	2	0	100	98
2.15	3.4	0	100	96.6
2.16	1.8	0	100	98.2
2.17	2.2	0	100	97.8
2.18	2	0	100	98
2.19	2.2	0	100	97.8
2.2	1.6	0	100	98.4
2.21	2.6	0	100	97.4
2.22	2.6	0	100	97.4
2.23	2.2	0	100	97.8
2.24	2	0	100	98
2.25	3	0	100	97
2.26	3.4	0	100	96.6
2.27	3.6	0	100	96.4
2.28	1.6	0	100	98.4
2.29	2	0	100	98
2.3	1.8	0	100	98.2
2.31	2.6	0	100	97.4
2.32	2.4	0	100	97.6
2.33	2.2	0	100	97.8
2.34	3.4	0	100	96.6
2.35	2.8	0	100	97.2
2.36	3	0	100	97
2.37	2.2	0	100	97.8
2.38	2	0	100	98
2.39	2.6	0	100	97.4
2.4	2.6	0	100	97.4
2.41	2.4	0	100	97.6
2.42	2.2	0	100	97.8
2.43	3.4	0	100	96.6
2.44	3.6	0	100	96.4
2.45	3	0	100	97
2.46	2	0	100	98
2.47	3.2	0	100	96.8
2.48	3.2	0	100	96.8
2.49	4.4	0	100	95.6
2.5	3.2	0	100	96.8
2.51	2.4	0	100	97.6
2.52	2.8	0	100	97.2
2.53	1.2	0	100	98.8
2.54	3	0	100	97
2.55	4	0	100	96
2.56	1.6	0	100	98.4
2.57	3.2	0	100	96.8
2.58	1.8	0	100	98.2
2.59	3	0	100	97
2.6	2.8	0	100	97.2
2.61	3.2	0	100	96.8
2.62	3.8	0	100	96.2
2.63	2.8	0	100	97.2
2.64	3.4	0	100	96.6
2.65	2.4	0	100	97.6
2.66	2.2	0	100	97.8
2.67	2.8	0	100	97.2
2.68	2	0	100	98
2.69	1.6	0	100	98.4
2.7	2.2	0	100	97.8
2.71	3.8	0	100	96.2
2.72	1.6	0	100	98.4
2.73	1.6	0	100	98.4
2.74	2.2	0	100	97.8
2.75	2	0	100	98
2.76	2	0	100	98
2.77	3	0	100	97
2.78	3.6	0	100	96.4
2.79	2.2	0	100	97.8
2.8	2.6	0	100	97.4
2.81	2.2	0	100	97.8
2.82	2	0	100	98
2.83	2.4	0	100	97.6
2.84	3.2	0	100	96.8
2.85	4	0	100	96
2.86	2.4	0	100	97.6
2.87	2.2	0	100	97.8
2.88	2.4	0	100	97.6
2.89	2.2	0	100	97.8
2.9	2	0	100	98
2.91	1.8	0	100	98.2
2.92	1.4	0	100	98.6
2.93	2	0	100	98
2.94	2	0	100	98
2.95	2.6	0	100	97.4
2.96	1	0	100	99
2.97	2.8	0	100	97.2
2.98	4.4	0	100	95.6
2.99	2.4	0	100	97.6
3	2.8	0	100	97.2
