t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	100	0	100
0.03	0	100	0	100
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	100	0	100
0.07	0	99.6	0.4	100
0.08	0.2	99.2	0.8	99.8
0.09	0	100	0	100
0.1	0	99.6	0.4	100
0.11	0	100	0	100
0.12	0	96.8	3.2	100
0.13	0	100	0	100
0.14	0	98.8	1.2	100
0.15	0	97	3	100
0.16	0	94.4	5.6	100
0.17	0.2	96.2	3.8	99.8
0.18	0	91.6	8.4	100
0.19	0.2	84.6	15.4	99.8
0.2	1	80.2	19.8	99
0.21	0.8	77	23	99.2
0.22	0.6	75.8	24.2	99.4
0.23	0.6	74.8	25.2	99.4
0.24	1.8	58.2	41.8	98.2
0.25	0.2	53.2	46.8	99.8
0.26	0.2	55	45	99.8
0.27	1.2	43	57	98.8
0.28	1	42.6	57.4	99
0.29	1.2	29.8	70.2	98.8
0.3	1.6	37.4	62.6	98.4
0.31	3.6	25.2	74.8	96.4
0.32	1	23.2	76.8	99
0.33	1.8	20.2	79.8	98.2
0.34	4.4	17.8	82.2	95.6
0.35	1.6	19.4	80.6	98.4
0.36	3.2	12.2	87.8	96.8
0.37	3.4	12.4	87.6	96.6
0.38	1.2	10	90	98.8
0.39	1.6	5.2	94.8	98.4
0.4	1.8	7.2	92.8	98.2
0.41	1.6	6.2	93.8	98.4
0.42	1.6	2.6	97.4	98.4
0.43	3.6	1	99	96.4
0.44	2.6	3.2	96.8	97.4
0.45	2.6	2.6	97.4	97.4
0.46	1.6	1.8	98.2	98.4
0.47	2.2	2.4	97.6	97.8
0.48	2.8	1.2	98.8	97.2
0.49	3.4	0.8	99.2	96.6
0.5	3.6	0	100	96.4
0.51	2.8	0.8	99.2	97.2
0.52	1.8	0.2	99.8	98.2
0.53	3.8	0	100	96.2
0.54	2.8	0	100	97.2
0.55	2.4	0.2	99.8	97.6
0.56	2.6	0	100	97.4
0.57	2	0	100	98
0.58	1.8	0	100	98.2
0.59	2.4	0.2	99.8	97.6
0.6	1.2	0.4	99.6	98.8
0.61	2.2	0	100	97.8
0.62	1.4	0	100	98.6
0.63	2.4	0	100	97.6
0.64	3	0	100	97
0.65	3.6	0	100	96.4
0.66	1.8	0	100	98.2
0.67	2.6	0	100	97.4
0.68	1.8	0	100	98.2
0.69	3.2	0	100	96.8
0.7	2.4	0	100	97.6
0.71	2.8	0	100	97.2
0.72	2	0	100	98
0.73	2.4	0	100	97.6
0.74	3.2	0	100	96.8
0.75	2	0	100	98
0.76	3	0	100	97
0.77	1.2	0	100	98.8
0.78	2	0	100	98
0.79	4.2	0	100	95.8
0.8	2.4	0	100	97.6
0.81	2.4	0	100	97.6
0.82	2	0	100	98
0.83	2.2	0	100	97.8
0.84	3	0	100	97
0.85	2.6	0	100	97.4
0.86	1.8	0	100	98.2
0.87	4.2	0	100	95.8
0.88	2.4	0	100	97.6
0.89	2	0	100	98
0.9	2.6	0	100	97.4
0.91	3	0	100	97
0.92	3.6	0	100	96.4
0.93	2	0	100	98
0.94	2.2	0	100	97.8
0.95	4.2	0	100	95.8
0.96	3.8	0	100	96.2
0.97	2.8	0	100	97.2
0.98	1.2	0	100	98.8
0.99	2.2	0	100	97.8
1	3.6	0	100	96.4
1.01	2.4	0	100	97.6
1.02	3	0	100	97
1.03	2.8	0	100	97.2
1.04	1.4	0	100	98.6
1.05	3	0	100	97
1.06	1.8	0	100	98.2
1.07	2.6	0	100	97.4
1.08	2.4	0	100	97.6
1.09	2.2	0	100	97.8
1.1	2	0	100	98
1.11	2.2	0	100	97.8
1.12	2.8	0	100	97.2
1.13	1.6	0	100	98.4
1.14	0.6	0	100	99.4
1.15	2.8	0	100	97.2
1.16	1.6	0	100	98.4
1.17	2.2	0	100	97.8
1.18	2.8	0	100	97.2
1.19	2.4	0	100	97.6
1.2	2.8	0	100	97.2
1.21	3.8	0	100	96.2
1.22	2.6	0	100	97.4
1.23	3.2	0	100	96.8
1.24	2.8	0	100	97.2
1.25	1.6	0	100	98.4
1.26	3.2	0	100	96.8
1.27	2	0	100	98
1.28	2.2	0	100	97.8
1.29	2.8	0	100	97.2
1.3	1.8	0	100	98.2
1.31	3	0	100	97
1.32	3.2	0	100	96.8
1.33	1.8	0	100	98.2
1.34	2.2	0	100	97.8
1.35	2.2	0	100	97.8
1.36	3.2	0	100	96.8
1.37	2.8	0	100	97.2
1.38	3	0	100	97
1.39	1.2	0	100	98.8
1.4	3.6	0	100	96.4
1.41	2.8	0	100	97.2
1.42	4	0	100	96
1.43	2.4	0	100	97.6
1.44	3.2	0	100	96.8
1.45	1.6	0	100	98.4
1.46	3	0	100	97
1.47	3.2	0	100	96.8
1.48	1.2	0	100	98.8
1.49	2.8	0	100	97.2
1.5	2.8	0	100	97.2
1.51	1.8	0	100	98.2
1.52	2	0	100	98
1.53	3	0	100	97
1.54	2.4	0	100	97.6
1.55	2.6	0	100	97.4
1.56	2.8	0	100	97.2
1.57	3.4	0	100	96.6
1.58	4.4	0	100	95.6
1.59	2.6	0	100	97.4
1.6	2.2	0	100	97.8
1.61	1.8	0	100	98.2
1.62	1.6	0	100	98.4
1.63	4.2	0	100	95.8
1.64	3	0	100	97
1.65	2.6	0	100	97.4
1.66	3.4	0	100	96.6
1.67	1.6	0	100	98.4
1.68	0.6	0	100	99.4
1.69	2.4	0	100	97.6
1.7	1.6	0	100	98.4
1.71	2.4	0	100	97.6
1.72	2.6	0	100	97.4
1.73	2.4	0	100	97.6
1.74	3.8	0	100	96.2
1.75	2.2	0	100	97.8
1.76	4.4	0	100	95.6
1.77	3.4	0	100	96.6
1.78	2.4	0	100	97.6
1.79	2.4	0	100	97.6
1.8	3.6	0	100	96.4
1.81	2.4	0	100	97.6
1.82	2.2	0	100	97.8
1.83	2.6	0	100	97.4
1.84	1.8	0	100	98.2
1.85	2.6	0	100	97.4
1.86	1.2	0	100	98.8
1.87	2	0	100	98
1.88	3	0	100	97
1.89	2.8	0	100	97.2
1.9	2.2	0	100	97.8
1.91	2	0	100	98
1.92	3.8	0	100	96.2
1.93	4.2	0	100	95.8
1.94	2.4	0	100	97.6
1.95	1.2	0	100	98.8
1.96	3	0	100	97
1.97	3.2	0	100	96.8
1.98	2.4	0	100	97.6
1.99	3	0	100	97
2	3	0	100	97
2.01	2.4	0	100	97.6
2.02	3	0	100	97
2.03	2.2	0	100	97.8
2.04	2.6	0	100	97.4
2.05	3.4	0	100	96.6
2.06	2.4	0	100	97.6
2.07	1.8	0	100	98.2
2.08	2.2	0	100	97.8
2.09	2.8	0	100	97.2
2.1	1.2	0	100	98.8
2.11	1.6	0	100	98.4
2.12	3.4	0	100	96.6
2.13	1.6	0	100	98.4
2.14	2	0	100	98
2.15	2.4	0	100	97.6
2.16	2.2	0	100	97.8
2.17	3.4	0	100	96.6
2.18	2.6	0	100	97.4
2.19	1.4	0	100	98.6
2.2	2.2	0	100	97.8
2.21	3.4	0	100	96.6
2.22	3	0	100	97
2.23	2.8	0	100	97.2
2.24	2.2	0	100	97.8
2.25	3.8	0	100	96.2
2.26	3.2	0	100	96.8
2.27	2.8	0	100	97.2
2.28	3.6	0	100	96.4
2.29	2.2	0	100	97.8
2.3	1	0	100	99
2.31	1.6	0	100	98.4
2.32	3	0	100	97
2.33	2	0	100	98
2.34	3.8	0	100	96.2
2.35	1.4	0	100	98.6
2.36	2.2	0	100	97.8
2.37	2.6	0	100	97.4
2.38	3	0	100	97
2.39	2.4	0	100	97.6
2.4	2.4	0	100	97.6
2.41	1.2	0	100	98.8
2.42	2.4	0	100	97.6
2.43	3.4	0	100	96.6
2.44	3.4	0	100	96.6
2.45	2.2	0	100	97.8
2.46	2.8	0	100	97.2
2.47	2.2	0	100	97.8
2.48	1.6	0	100	98.4
2.49	1.4	0	100	98.6
2.5	2.2	0	100	97.8
2.51	1.8	0	100	98.2
2.52	3.4	0	100	96.6
2.53	1.8	0	100	98.2
2.54	3.8	0	100	96.2
2.55	2.4	0	100	97.6
2.56	2.8	0	100	97.2
2.57	3.2	0	100	96.8
2.58	2.6	0	100	97.4
2.59	1.8	0	100	98.2
2.6	2	0	100	98
2.61	2.4	0	100	97.6
2.62	2.2	0	100	97.8
2.63	2.2	0	100	97.8
2.64	3.4	0	100	96.6
2.65	1.8	0	100	98.2
2.66	2	0	100	98
2.67	3.4	0	100	96.6
2.68	3.8	0	100	96.2
2.69	2.8	0	100	97.2
2.7	3.4	0	100	96.6
2.71	2.8	0	100	97.2
2.72	1.4	0	100	98.6
2.73	2.4	0	100	97.6
2.74	1.6	0	100	98.4
2.75	2.4	0	100	97.6
2.76	1.8	0	100	98.2
2.77	2.4	0	100	97.6
2.78	2	0	100	98
2.79	3.2	0	100	96.8
2.8	3.2	0	100	96.8
2.81	1.6	0	100	98.4
2.82	2.4	0	100	97.6
2.83	1.8	0	100	98.2
2.84	3.4	0	100	96.6
2.85	2.4	0	100	97.6
2.86	2.2	0	100	97.8
2.87	2.2	0	100	97.8
2.88	2.6	0	100	97.4
2.89	2.2	0	100	97.8
2.9	4	0	100	96
2.91	2.4	0	100	97.6
2.92	3	0	100	97
2.93	2.6	0	100	97.4
2.94	1.6	0	100	98.4
2.95	1.8	0	100	98.2
2.96	3.4	0	100	96.6
2.97	5	0	100	95
2.98	1.6	0	100	98.4
2.99	2.4	0	100	97.6
3	1.6	0	100	98.4
