t	FPR	FNR	TRP	TNR
1	99.8	0	100	0.2
1.01	99.8	0	100	0.2
1.02	99.6	0	100	0.4
1.03	99.4	0	100	0.6
1.04	99.6	0	100	0.4
1.05	99	0	100	1
1.06	99	0	100	1
1.07	99.6	0	100	0.4
1.08	99.2	0	100	0.8
1.09	99.2	0	100	0.8
1.1	99.2	0	100	0.8
1.11	98.8	0	100	1.2
1.12	99.8	0	100	0.2
1.13	99.6	0	100	0.4
1.14	99.2	0	100	0.8
1.15	98.4	0	100	1.6
1.16	97.2	0	100	2.8
1.17	98.4	0	100	1.6
1.18	98.2	0	100	1.8
1.19	98.2	0	100	1.8
1.2	98.6	0	100	1.4
1.21	97.4	0	100	2.6
1.22	97.2	0	100	2.8
1.23	98.2	0	100	1.8
1.24	96.4	0	100	3.6
1.25	97.6	0	100	2.4
1.26	97.2	0	100	2.8
1.27	96	0	100	4
1.28	96.8	0	100	3.2
1.29	96.2	0	100	3.8
1.3	96	0	100	4
1.31	97.2	0	100	2.8
1.32	94.8	0	100	5.2
1.33	94.6	0	100	5.4
1.34	92.2	0	100	7.8
1.35	93.4	0	100	6.6
1.36	94.2	0	100	5.8
1.37	92.6	0	100	7.4
1.38	96	0	100	4
1.39	96	0	100	4
1.4	91.2	0	100	8.8
1.41	94.8	0	100	5.2
1.42	93.2	0	100	6.8
1.43	91.4	0	100	8.6
1.44	90.4	0	100	9.6
1.45	89.8	0	100	10.2
1.46	89.2	0	100	10.8
1.47	91.8	0	100	8.2
1.48	90.6	0	100	9.4
1.49	90	0	100	10
1.5	86.2	0	100	13.8
1.51	88.6	0	100	11.4
1.52	87.8	0	100	12.2
1.53	87.4	0	100	12.6
1.54	88.2	0	100	11.8
1.55	85.6	0	100	14.4
1.56	87	0	100	13
1.57	85.4	0	100	14.6
1.58	87	0	100	13
1.59	86.2	0	100	13.8
1.6	82.8	0	100	17.2
1.61	83	0	100	17
1.62	85.4	0	100	14.6
1.63	81.4	0	100	18.6
1.64	83.4	0	100	16.6
1.65	85	0	100	15
1.66	83.8	0	100	16.2
1.67	79.2	0	100	20.8
1.68	82.4	0	100	17.6
1.69	83.2	0	100	16.8
1.7	79	0	100	21
1.71	82.2	0	100	17.8
1.72	81.2	0	100	18.8
1.73	78.6	0	100	21.4
1.74	79.8	0	100	20.2
1.75	79	0	100	21
1.76	82	0	100	18
1.77	75	0	100	25
1.78	75	0	100	25
1.79	74.2	0	100	25.8
1.8	71	0	100	29
1.81	73.2	0	100	26.8
1.82	71.8	0	100	28.2
1.83	71.6	0	100	28.4
1.84	76.6	0	100	23.4
1.85	73.4	0	100	26.6
1.86	71.2	0	100	28.8
1.87	72.6	0	100	27.4
1.88	69.8	0	100	30.2
1.89	71.6	0.2	99.8	28.4
1.9	71	0	100	29
1.91	67.2	0	100	32.8
1.92	64.2	0	100	35.8
1.93	67	0	100	33
1.94	64.8	0	100	35.2
1.95	65.2	0	100	34.8
1.96	63	0.2	99.8	37
1.97	65.8	0	100	34.2
1.98	67	0	100	33
1.99	66	0.2	99.8	34
2	68.2	0	100	31.8
2.01	67.2	0.2	99.8	32.8
2.02	65.2	0	100	34.8
2.03	63.8	0.6	99.4	36.2
2.04	56.8	0.2	99.8	43.2
2.05	63.8	0.2	99.8	36.2
2.06	61	0.2	99.8	39
2.07	59	0	100	41
2.08	63	0.4	99.6	37
2.09	56.8	0.4	99.6	43.2
2.1	55.2	0.6	99.4	44.8
2.11	59.8	0.2	99.8	40.2
2.12	64.2	0.2	99.8	35.8
2.13	56.2	0.4	99.6	43.8
2.14	54	0.2	99.8	46
2.15	58.2	0.4	99.6	41.8
2.16	55	0.4	99.6	45
2.17	54.2	1.6	98.4	45.8
2.18	56.4	0.8	99.2	43.6
2.19	55.2	0.2	99.8	44.8
2.2	56.2	0.2	99.8	43.8
2.21	52.4	1.2	98.8	47.6
2.22	54.6	0.6	99.4	45.4
2.23	52.6	1.2	98.8	47.4
2.24	54	0.4	99.6	46
2.25	56.4	1	99	43.6
2.26	50.2	0.6	99.4	49.8
2.27	47.4	1.4	98.6	52.6
2.28	49.6	2.2	97.8	50.4
2.29	48.8	0.4	99.6	51.2
2.3	50.4	2.4	97.6	49.6
2.31	49.2	1.4	98.6	50.8
2.32	51.4	1	99	48.6
2.33	48.2	2.4	97.6	51.8
2.34	48.6	2	98	51.4
2.35	51.8	0.6	99.4	48.2
2.36	48.8	1.4	98.6	51.2
2.37	45.2	1.6	98.4	54.8
2.38	47.8	2.4	97.6	52.2
2.39	45.4	2.4	97.6	54.6
2.4	43.6	4.4	95.6	56.4
2.41	49.4	2.4	97.6	50.6
2.42	44.4	3.2	96.8	55.6
2.43	43.2	2.8	97.2	56.8
2.44	45.6	3.2	96.8	54.4
2.45	43.8	3.2	96.8	56.2
2.46	39.4	3	97	60.6
2.47	44.4	3.2	96.8	55.6
2.48	40.4	3	97	59.6
2.49	43.2	4.8	95.2	56.8
2.5	39.2	2.6	97.4	60.8
2.51	41	3.2	96.8	59
2.52	39.2	4.6	95.4	60.8
2.53	40	3.4	96.6	60
2.54	38.2	3	97	61.8
2.55	33.2	4	96	66.8
2.56	39.2	4.4	95.6	60.8
2.57	39.8	4.8	95.2	60.2
2.58	36.6	5	95	63.4
2.59	37.6	5.2	94.8	62.4
2.6	42.2	5	95	57.8
2.61	40.4	7	93	59.6
2.62	37.8	6	94	62.2
2.63	38.6	5.6	94.4	61.4
2.64	33.4	6.2	93.8	66.6
2.65	37.2	7.6	92.4	62.8
2.66	39.2	7.8	92.2	60.8
2.67	31.4	8.8	91.2	68.6
2.68	34.6	9.2	90.8	65.4
2.69	36.2	7.2	92.8	63.8
2.7	33	8.6	91.4	67
2.71	34.8	9.8	90.2	65.2
2.72	39.2	6.2	93.8	60.8
2.73	33.4	8.6	91.4	66.6
2.74	33.2	9.4	90.6	66.8
2.75	32.6	10.6	89.4	67.4
2.76	38.8	11.2	88.8	61.2
2.77	33	9	91	67
2.78	28.8	10.8	89.2	71.2
2.79	36.4	10.6	89.4	63.6
2.8	33.8	13.4	86.6	66.2
2.81	32.2	13.2	86.8	67.8
2.82	28.8	9.2	90.8	71.2
2.83	30.8	13	87	69.2
2.84	26.4	16	84	73.6
2.85	33.2	11.2	88.8	66.8
2.86	30	11.2	88.8	70
2.87	25.4	15.8	84.2	74.6
2.88	26.6	14.6	85.4	73.4
2.89	28.6	12.2	87.8	71.4
2.9	27.2	16.4	83.6	72.8
2.91	29.8	15	85	70.2
2.92	26.4	15.6	84.4	73.6
2.93	28.6	16.2	83.8	71.4
2.94	31.6	13.2	86.8	68.4
2.95	25.2	14.6	85.4	74.8
2.96	27.4	16.6	83.4	72.6
2.97	24.8	19.8	80.2	75.2
2.98	24.8	16.8	83.2	75.2
2.99	27.4	16.2	83.8	72.6
3	25.2	15.8	84.2	74.8
