t	FPR	FNR	TRP	TNR
1	83.8	0	100	16.2
1.01	79.8	0	100	20.2
1.02	82.2	0	100	17.8
1.03	78.4	0	100	21.6
1.04	84	0	100	16
1.05	83.2	0	100	16.8
1.06	78	0	100	22
1.07	77.6	0	100	22.4
1.08	70	0	100	30
1.09	75.4	0	100	24.6
1.1	79.2	0	100	20.8
1.11	79.8	0	100	20.2
1.12	77.8	0	100	22.2
1.13	78.6	0	100	21.4
1.14	76.2	0	100	23.8
1.15	73	0	100	27
1.16	74	0	100	26
1.17	68.8	0	100	31.2
1.18	75.2	0	100	24.8
1.19	72.4	0.2	99.8	27.6
1.2	69.2	0.2	99.8	30.8
1.21	67	0	100	33
1.22	67.8	0	100	32.2
1.23	66.4	0.2	99.8	33.6
1.24	70	0	100	30
1.25	68.4	0	100	31.6
1.26	62	0	100	38
1.27	63.6	0	100	36.4
1.28	63.8	0.2	99.8	36.2
1.29	55.6	0	100	44.4
1.3	60.8	0.2	99.8	39.2
1.31	59.6	0	100	40.4
1.32	61	0	100	39
1.33	64.6	0.4	99.6	35.4
1.34	56.4	0.2	99.8	43.6
1.35	60.4	0.2	99.8	39.6
1.36	59.2	0.2	99.8	40.8
1.37	61.2	0	100	38.8
1.38	53.8	0.8	99.2	46.2
1.39	58.2	0.2	99.8	41.8
1.4	57.6	0.2	99.8	42.4
1.41	52	0.6	99.4	48
1.42	57.8	0.4	99.6	42.2
1.43	52.6	0.4	99.6	47.4
1.44	56.6	1	99	43.4
1.45	51.4	0.8	99.2	48.6
1.46	48.6	0.6	99.4	51.4
1.47	51.4	0.4	99.6	48.6
1.48	48.4	0.8	99.2	51.6
1.49	51.2	1	99	48.8
1.5	47	0.6	99.4	53
1.51	45.6	0.6	99.4	54.4
1.52	49.6	1	99	50.4
1.53	52.6	0.6	99.4	47.4
1.54	49.8	0.6	99.4	50.2
1.55	42.4	1.8	98.2	57.6
1.56	42.8	1.6	98.4	57.2
1.57	45.6	1	99	54.4
1.58	42.8	2.4	97.6	57.2
1.59	43	1.4	98.6	57
1.6	46.4	1.6	98.4	53.6
1.61	46.8	1.2	98.8	53.2
1.62	39.6	3.2	96.8	60.4
1.63	46.2	2	98	53.8
1.64	45	0.8	99.2	55
1.65	35	3	97	65
1.66	43.6	1.2	98.8	56.4
1.67	40.8	3.4	96.6	59.2
1.68	39	3.2	96.8	61
1.69	41.8	2.2	97.8	58.2
1.7	35	2.8	97.2	65
1.71	38.8	3.8	96.2	61.2
1.72	36.8	4.8	95.2	63.2
1.73	39.6	4.8	95.2	60.4
1.74	37.8	6.6	93.4	62.2
1.75	32.2	4.6	95.4	67.8
1.76	37.8	6.4	93.6	62.2
1.77	34.2	3.6	96.4	65.8
1.78	32.2	5.8	94.2	67.8
1.79	34	6	94	66
1.8	39.4	5.4	94.6	60.6
1.81	35	7	93	65
1.82	36	5.8	94.2	64
1.83	33.2	6.6	93.4	66.8
1.84	29	8.6	91.4	71
1.85	31.8	10.4	89.6	68.2
1.86	35	7.6	92.4	65
1.87	33.8	6	94	66.2
1.88	37.6	8.6	91.4	62.4
1.89	30.8	9.8	90.2	69.2
1.9	30.6	10.6	89.4	69.4
1.91	34.2	9.4	90.6	65.8
1.92	30.2	9.4	90.6	69.8
1.93	28.8	11	89	71.2
1.94	33	10.8	89.2	67
1.95	28.6	8.8	91.2	71.4
1.96	27	8.4	91.6	73
1.97	27	13	87	73
1.98	28.2	15.8	84.2	71.8
1.99	25.6	13	87	74.4
2	26.2	12	88	73.8
2.01	28.4	10.8	89.2	71.6
2.02	24.4	16.2	83.8	75.6
2.03	24	16.8	83.2	76
2.04	25.4	11.4	88.6	74.6
2.05	24.8	17.2	82.8	75.2
2.06	30.6	11.6	88.4	69.4
2.07	23.6	20	80	76.4
2.08	22	17.4	82.6	78
2.09	22.4	14.4	85.6	77.6
2.1	20.4	17.2	82.8	79.6
2.11	23.8	20.4	79.6	76.2
2.12	22	20.8	79.2	78
2.13	24	19	81	76
2.14	22.8	20.2	79.8	77.2
2.15	22.4	18.6	81.4	77.6
2.16	27.2	19.2	80.8	72.8
2.17	18.2	22	78	81.8
2.18	21.4	24.2	75.8	78.6
2.19	23	21.2	78.8	77
2.2	21.6	21.6	78.4	78.4
2.21	20.6	25.2	74.8	79.4
2.22	19.4	25.4	74.6	80.6
2.23	17.2	28.8	71.2	82.8
2.24	19.6	25.2	74.8	80.4
2.25	15.2	30.8	69.2	84.8
2.26	19.4	25.2	74.8	80.6
2.27	11	27.4	72.6	89
2.28	15.4	32.4	67.6	84.6
2.29	18.6	31	69	81.4
2.3	17	27.2	72.8	83
2.31	16.4	30.8	69.2	83.6
2.32	17	30.4	69.6	83
2.33	15.6	33.2	66.8	84.4
2.34	17	37.4	62.6	83
2.35	16.6	35.8	64.2	83.4
2.36	16.6	35.8	64.2	83.4
2.37	15.6	34.8	65.2	84.4
2.38	17	33.6	66.4	83
2.39	17.2	34.4	65.6	82.8
2.4	18.4	34.4	65.6	81.6
2.41	15	36.8	63.2	85
2.42	17.8	40.4	59.6	82.2
2.43	16.2	35	65	83.8
2.44	14	38.6	61.4	86
2.45	15.8	35.8	64.2	84.2
2.46	18	35.6	64.4	82
2.47	12.4	40	60	87.6
2.48	11.2	43.8	56.2	88.8
2.49	16.8	39.2	60.8	83.2
2.5	11.6	42.2	57.8	88.4
2.51	10.6	46.2	53.8	89.4
