t	FPR	FNR	TRP	TNR
0.01	0	100	0	100
0.02	0	99.8	0.2	100
0.03	0	100	0	100
0.04	0	100	0	100
0.05	0	100	0	100
0.06	0	100	0	100
0.07	0	100	0	100
0.08	0	100	0	100
0.09	0	100	0	100
0.1	0	100	0	100
0.11	0	100	0	100
0.12	0	100	0	100
0.13	0	100	0	100
0.14	0.2	100	0	99.8
0.15	0	100	0	100
0.16	0.2	100	0	99.8
0.17	0	100	0	100
0.18	0	100	0	100
0.19	0	100	0	100
0.2	0	99.8	0.2	100
0.21	0	100	0	100
0.22	0.2	99.8	0.2	99.8
0.23	0	100	0	100
0.24	0.2	99.6	0.4	99.8
0.25	0	100	0	100
0.26	0	100	0	100
0.27	0.2	99	1	99.8
0.28	0	100	0	100
0.29	0	99.4	0.6	100
0.3	0	100	0	100
0.31	0	100	0	100
0.32	0	98.4	1.6	100
0.33	0.4	94.8	5.2	99.6
0.34	0	100	0	100
0.35	0	98.8	1.2	100
0.36	0	100	0	100
0.37	0	99.6	0.4	100
0.38	0	100	0	100
0.39	0.2	95.6	4.4	99.8
0.4	0.4	96.4	3.6	99.6
0.41	0	96.2	3.8	100
0.42	0	99.4	0.6	100
0.43	0.2	91.6	8.4	99.8
0.44	0.2	93.2	6.8	99.8
0.45	0.2	96.2	3.8	99.8
0.46	0.4	86.2	13.8	99.6
0.47	0.2	87.8	12.2	99.8
0.48	0.2	88.6	11.4	99.8
0.49	0.4	92.8	7.2	99.6
0.5	0	76.2	23.8	100
0.51	0.6	82.6	17.4	99.4
0.52	0.6	77.6	22.4	99.4
0.53	1.2	71.4	28.6	98.8
0.54	0.8	71.6	28.4	99.2
0.55	1.2	68.2	31.8	98.8
0.56	0.4	67.8	32.2	99.6
0.57	0.2	64.2	35.8	99.8
0.58	2	62	38	98
0.59	1.2	57.6	42.4	98.8
0.6	0.6	55.8	44.2	99.4
0.61	1.4	51.2	48.8	98.6
0.62	1.4	55.6	44.4	98.6
0.63	1.4	54.6	45.4	98.6
0.64	0.8	48	52	99.2
0.65	2.4	40.4	59.6	97.6
0.66	1.2	46.4	53.6	98.8
0.67	1.8	47.6	52.4	98.2
0.68	0.4	40.4	59.6	99.6
0.69	2.6	39	61	97.4
0.7	1.8	35	65	98.2
0.71	1.8	34	66	98.2
0.72	1	35.4	64.6	99
0.73	1.6	35.2	64.8	98.4
0.74	1.6	29.8	70.2	98.4
0.75	2	26.6	73.4	98
0.76	1.6	25	75	98.4
0.77	1.6	27.2	72.8	98.4
0.78	1.2	21.8	78.2	98.8
0.79	3.2	22.6	77.4	96.8
0.8	1.8	22	78	98.2
0.81	2	17.8	82.2	98
0.82	3.4	18	82	96.6
0.83	0.8	18.4	81.6	99.2
0.84	2	14.8	85.2	98
0.85	1.8	15.2	84.8	98.2
0.86	2.6	16.4	83.6	97.4
0.87	1.2	11	89	98.8
0.88	2.8	9.6	90.4	97.2
0.89	3	10.6	89.4	97
0.9	1.6	10.6	89.4	98.4
0.91	1.8	8.6	91.4	98.2
0.92	2.6	8.2	91.8	97.4
0.93	2.4	7.8	92.2	97.6
0.94	3.2	8.4	91.6	96.8
0.95	2.6	6.8	93.2	97.4
0.96	2.4	4.6	95.4	97.6
0.97	1.4	4.2	95.8	98.6
0.98	1.6	7	93	98.4
0.99	2.4	6.2	93.8	97.6
1	4	4.8	95.2	96
1.01	1.8	3.4	96.6	98.2
1.02	2.6	4.4	95.6	97.4
1.03	1.2	3.4	96.6	98.8
1.04	3.2	3.8	96.2	96.8
1.05	2.8	1.6	98.4	97.2
1.06	1.4	4	96	98.6
1.07	2.2	1.6	98.4	97.8
1.08	3.6	2.8	97.2	96.4
1.09	3	2.2	97.8	97
1.1	2.6	0.8	99.2	97.4
1.11	2.2	2.8	97.2	97.8
1.12	2.2	2.8	97.2	97.8
1.13	2.8	1.4	98.6	97.2
1.14	1.6	2	98	98.4
1.15	3	1.2	98.8	97
1.16	3.6	0.4	99.6	96.4
1.17	3.4	0.6	99.4	96.6
1.18	2.6	0.8	99.2	97.4
1.19	4.2	0.8	99.2	95.8
1.2	1.4	1.2	98.8	98.6
1.21	1.8	0.4	99.6	98.2
1.22	4	0.4	99.6	96
1.23	2.2	0.4	99.6	97.8
1.24	3	0.6	99.4	97
1.25	1.6	0	100	98.4
1.26	3	0.4	99.6	97
