t	FPR	FNR	TRP	TNR
1	2.6	0	100	97.4
1.01	1.2	0	100	98.8
1.02	2.8	0	100	97.2
1.03	1.8	0	100	98.2
1.04	2	0	100	98
1.05	3	0	100	97
1.06	3.6	0	100	96.4
1.07	3.4	0	100	96.6
1.08	3.6	0	100	96.4
1.09	2.8	0	100	97.2
1.1	1.8	0	100	98.2
1.11	2.6	0	100	97.4
1.12	2.8	0	100	97.2
1.13	2.8	0	100	97.2
1.14	3.8	0	100	96.2
1.15	1.4	0	100	98.6
1.16	2.2	0	100	97.8
1.17	1.8	0	100	98.2
1.18	2.4	0	100	97.6
1.19	3	0	100	97
1.2	2	0	100	98
1.21	2.8	0	100	97.2
1.22	2.8	0	100	97.2
1.23	2.6	0	100	97.4
1.24	2.6	0	100	97.4
1.25	1.8	0	100	98.2
1.26	2.2	0	100	97.8
1.27	2.2	0	100	97.8
1.28	3	0	100	97
1.29	2.8	0	100	97.2
1.3	2.2	0	100	97.8
1.31	2.6	0	100	97.4
1.32	4	0	100	96
1.33	1.6	0	100	98.4
1.34	2.4	0	100	97.6
1.35	1.2	0	100	98.8
1.36	2.6	0	100	97.4
1.37	2.8	0	100	97.2
1.38	2.8	0	100	97.2
1.39	2	0	100	98
1.4	3	0	100	97
1.41	3.6	0	100	96.4
1.42	3.4	0	100	96.6
1.43	3.2	0	100	96.8
1.44	3.4	0	100	96.6
1.45	1.8	0	100	98.2
1.46	2.6	0	100	97.4
1.47	5.6	0	100	94.4
1.48	2.6	0	100	97.4
1.49	3.6	0	100	96.4
1.5	2.4	0	100	97.6
1.51	1.8	0	100	98.2
1.52	1.8	0	100	98.2
1.53	1.8	0	100	98.2
1.54	3.6	0	100	96.4
1.55	2.6	0	100	97.4
1.56	2.2	0	100	97.8
1.57	2.6	0	100	97.4
1.58	2.2	0	100	97.8
1.59	1.8	0	100	98.2
1.6	3.2	0	100	96.8
1.61	3.8	0	100	96.2
1.62	3.4	0	100	96.6
1.63	3	0	100	97
1.64	2.6	0	100	97.4
1.65	2.4	0	100	97.6
1.66	1.6	0	100	98.4
1.67	4	0	100	96
1.68	2.4	0	100	97.6
1.69	3.4	0	100	96.6
1.7	3.4	0	100	96.6
1.71	2.4	0	100	97.6
1.72	1.8	0	100	98.2
1.73	2.6	0	100	97.4
1.74	3.4	0	100	96.6
1.75	2.6	0	100	97.4
1.76	1.8	0	100	98.2
1.77	2.6	0	100	97.4
1.78	2.4	0	100	97.6
1.79	3.4	0	100	96.6
1.8	2.4	0	100	97.6
1.81	2.2	0	100	97.8
1.82	3.6	0	100	96.4
1.83	3	0	100	97
1.84	2	0	100	98
1.85	1.8	0	100	98.2
1.86	2.2	0	100	97.8
1.87	1.8	0	100	98.2
1.88	2.2	0	100	97.8
1.89	2.6	0	100	97.4
1.9	2.8	0	100	97.2
1.91	2.2	0	100	97.8
1.92	1.6	0	100	98.4
1.93	2.8	0	100	97.2
1.94	1.6	0	100	98.4
1.95	1.6	0	100	98.4
1.96	2.6	0	100	97.4
1.97	3.8	0	100	96.2
1.98	2	0	100	98
1.99	2.8	0	100	97.2
2	1.4	0	100	98.6
2.01	1.6	0	100	98.4
2.02	2.6	0	100	97.4
2.03	3.2	0	100	96.8
2.04	2.8	0	100	97.2
2.05	2.6	0	100	97.4
2.06	2.6	0	100	97.4
2.07	3	0	100	97
2.08	1.6	0	100	98.4
2.09	1.8	0	100	98.2
2.1	2.2	0	100	97.8
2.11	2.4	0	100	97.6
2.12	2.8	0	100	97.2
2.13	2.8	0	100	97.2
2.14	2	0	100	98
2.15	2.8	0	100	97.2
2.16	3.6	0	100	96.4
2.17	4	0	100	96
2.18	2.4	0	100	97.6
2.19	2.8	0	100	97.2
2.2	2.2	0	100	97.8
2.21	3	0	100	97
2.22	2.2	0	100	97.8
2.23	2.4	0	100	97.6
2.24	3.2	0	100	96.8
2.25	2.6	0	100	97.4
2.26	1.8	0	100	98.2
2.27	3.4	0	100	96.6
2.28	3.4	0	100	96.6
2.29	2.6	0	100	97.4
2.3	3.2	0	100	96.8
2.31	2.6	0	100	97.4
2.32	3.2	0	100	96.8
2.33	3	0.2	99.8	97
2.34	2.6	0	100	97.4
2.35	2.4	0	100	97.6
2.36	3	0	100	97
2.37	2.4	0	100	97.6
2.38	2.4	0	100	97.6
2.39	2.4	0	100	97.6
2.4	2.6	0	100	97.4
2.41	2.4	0	100	97.6
2.42	2.6	0	100	97.4
2.43	1.6	0	100	98.4
2.44	2.2	0	100	97.8
2.45	4.2	0	100	95.8
2.46	3.2	0	100	96.8
2.47	1.4	0.2	99.8	98.6
2.48	2.6	0	100	97.4
2.49	2.8	0	100	97.2
2.5	2.6	0	100	97.4
2.51	2.4	0	100	97.6
2.52	2.8	0	100	97.2
2.53	3	0.2	99.8	97
2.54	3.6	0	100	96.4
2.55	2.2	0	100	97.8
2.56	2.6	0	100	97.4
2.57	2.6	0	100	97.4
2.58	3.2	0.4	99.6	96.8
2.59	3.2	0	100	96.8
2.6	3	0.2	99.8	97
2.61	3	0	100	97
2.62	3	0	100	97
2.63	1.6	0.6	99.4	98.4
2.64	1.8	0.4	99.6	98.2
2.65	1.6	0	100	98.4
2.66	3.2	0	100	96.8
2.67	2.2	0.6	99.4	97.8
2.68	2.6	0.2	99.8	97.4
2.69	1.8	0.4	99.6	98.2
2.7	3.8	0.2	99.8	96.2
2.71	3.8	1	99	96.2
2.72	2.6	0.8	99.2	97.4
2.73	2	0.2	99.8	98
2.74	1.4	0.6	99.4	98.6
2.75	2.4	0.6	99.4	97.6
2.76	2.4	0.4	99.6	97.6
2.77	2.4	1	99	97.6
2.78	1.8	0.4	99.6	98.2
2.79	1.8	0.4	99.6	98.2
2.8	2.6	0.6	99.4	97.4
2.81	1.8	0.4	99.6	98.2
2.82	1.8	1.4	98.6	98.2
2.83	3.6	0.6	99.4	96.4
2.84	1.6	0.4	99.6	98.4
2.85	1.8	0.6	99.4	98.2
2.86	2.6	1.2	98.8	97.4
2.87	2	0.6	99.4	98
2.88	2.6	0.8	99.2	97.4
2.89	2.2	0.2	99.8	97.8
2.9	2.6	0.8	99.2	97.4
2.91	0.8	1.4	98.6	99.2
2.92	2.4	2	98	97.6
2.93	2.2	0.4	99.6	97.8
2.94	2.4	1.6	98.4	97.6
2.95	2.8	1.6	98.4	97.2
2.96	1.4	1.2	98.8	98.6
2.97	2.4	0.8	99.2	97.6
2.98	3.2	0.6	99.4	96.8
2.99	1.6	2	98	98.4
3	2.6	2	98	97.4
