t	FPR	FNR	TRP	TNR
1	1.4	0	100	98.6
1.01	1.8	0	100	98.2
1.02	2	0	100	98
1.03	2	0	100	98
1.04	2.6	0	100	97.4
1.05	2.2	0	100	97.8
1.06	2.4	0	100	97.6
1.07	3	0	100	97
1.08	1.8	0	100	98.2
1.09	3.6	0	100	96.4
1.1	2.8	0	100	97.2
1.11	2.6	0	100	97.4
1.12	3.6	0	100	96.4
1.13	3.2	0	100	96.8
1.14	2.6	0	100	97.4
1.15	1.8	0	100	98.2
1.16	2.8	0	100	97.2
1.17	3.4	0	100	96.6
1.18	2	0	100	98
1.19	3.4	0	100	96.6
1.2	2.4	0	100	97.6
1.21	2.8	0	100	97.2
1.22	3.6	0	100	96.4
1.23	2.8	0	100	97.2
1.24	2.6	0	100	97.4
1.25	0.8	0	100	99.2
1.26	1.6	0	100	98.4
1.27	2.6	0	100	97.4
1.28	2.2	0	100	97.8
1.29	2.4	0	100	97.6
1.3	4.4	0	100	95.6
1.31	1.6	0	100	98.4
1.32	2.6	0	100	97.4
1.33	5.4	0	100	94.6
1.34	1.6	0	100	98.4
1.35	3.4	0	100	96.6
1.36	3.4	0	100	96.6
1.37	1.6	0	100	98.4
1.38	1.8	0	100	98.2
1.39	2.2	0	100	97.8
1.4	1.4	0	100	98.6
1.41	1.6	0	100	98.4
1.42	4	0	100	96
1.43	2.6	0	100	97.4
1.44	3	0	100	97
1.45	1.8	0	100	98.2
1.46	2	0	100	98
1.47	2.6	0	100	97.4
1.48	3	0	100	97
1.49	3.4	0	100	96.6
1.5	2.4	0	100	97.6
1.51	1.6	0	100	98.4
1.52	3.6	0	100	96.4
1.53	2.6	0	100	97.4
1.54	2	0	100	98
1.55	3	0	100	97
1.56	2.4	0	100	97.6
1.57	1.8	0	100	98.2
1.58	1.8	0	100	98.2
1.59	1.2	0	100	98.8
1.6	2.2	0	100	97.8
1.61	1.4	0	100	98.6
1.62	2.4	0	100	97.6
1.63	2.4	0	100	97.6
1.64	4	0	100	96
1.65	2	0	100	98
1.66	2.8	0	100	97.2
1.67	1.4	0	100	98.6
1.68	3.6	0	100	96.4
1.69	2.4	0	100	97.6
1.7	2	0	100	98
1.71	1.8	0	100	98.2
1.72	2.2	0	100	97.8
1.73	3.2	0	100	96.8
1.74	2	0	100	98
1.75	3.4	0	100	96.6
1.76	1.2	0	100	98.8
1.77	2	0	100	98
1.78	4.4	0	100	95.6
1.79	2.4	0	100	97.6
1.8	3.6	0	100	96.4
1.81	2.4	0	100	97.6
1.82	2.8	0	100	97.2
1.83	3.4	0	100	96.6
1.84	2.8	0	100	97.2
1.85	1.8	0	100	98.2
1.86	4	0	100	96
1.87	2.4	0	100	97.6
1.88	2.6	0	100	97.4
1.89	3	0	100	97
1.9	3	0	100	97
1.91	2.6	0	100	97.4
1.92	3	0	100	97
1.93	1.8	0	100	98.2
1.94	5	0	100	95
1.95	4	0	100	96
1.96	2.2	0	100	97.8
1.97	2	0	100	98
1.98	2.6	0	100	97.4
1.99	2.8	0	100	97.2
2	2.4	0	100	97.6
2.01	3	0	100	97
2.02	3	0	100	97
2.03	1.4	0	100	98.6
2.04	3.6	0	100	96.4
2.05	1.8	0	100	98.2
2.06	2.8	0	100	97.2
2.07	3.2	0	100	96.8
2.08	2.8	0	100	97.2
2.09	2.4	0	100	97.6
2.1	2	0	100	98
2.11	3.2	0	100	96.8
2.12	1.8	0	100	98.2
2.13	0.6	0	100	99.4
2.14	3.6	0	100	96.4
2.15	1.8	0	100	98.2
2.16	3.4	0	100	96.6
2.17	2.6	0	100	97.4
2.18	2.2	0	100	97.8
2.19	2.6	0	100	97.4
2.2	3.6	0	100	96.4
2.21	2.6	0	100	97.4
2.22	3.4	0	100	96.6
2.23	3	0	100	97
2.24	1.4	0	100	98.6
2.25	3.2	0	100	96.8
2.26	2.6	0	100	97.4
2.27	1.8	0	100	98.2
2.28	2.4	0	100	97.6
2.29	2.4	0	100	97.6
2.3	3.4	0	100	96.6
2.31	3.4	0	100	96.6
2.32	2.2	0	100	97.8
2.33	1.6	0	100	98.4
2.34	2.6	0	100	97.4
2.35	3.6	0	100	96.4
2.36	3	0	100	97
2.37	2.6	0	100	97.4
2.38	1.8	0	100	98.2
2.39	2.8	0	100	97.2
2.4	2.8	0	100	97.2
2.41	2.6	0	100	97.4
2.42	1.8	0	100	98.2
2.43	2.8	0	100	97.2
2.44	2	0	100	98
2.45	2.2	0	100	97.8
2.46	2.2	0	100	97.8
2.47	1.6	0	100	98.4
2.48	2.2	0	100	97.8
2.49	2.2	0	100	97.8
2.5	2.4	0	100	97.6
2.51	2.2	0	100	97.8
2.52	3.8	0	100	96.2
2.53	2	0	100	98
2.54	1.8	0	100	98.2
2.55	1.4	0	100	98.6
2.56	4	0	100	96
2.57	3.4	0	100	96.6
2.58	1.8	0	100	98.2
2.59	2.6	0	100	97.4
2.6	2.8	0	100	97.2
2.61	1	0	100	99
2.62	4	0	100	96
2.63	2.4	0	100	97.6
2.64	2	0	100	98
2.65	3	0.2	99.8	97
2.66	1.6	0	100	98.4
2.67	0.8	0.2	99.8	99.2
2.68	3.2	0	100	96.8
2.69	2.6	0	100	97.4
2.7	1.6	0	100	98.4
2.71	2.6	0	100	97.4
2.72	2.4	0.2	99.8	97.6
2.73	3.4	0.2	99.8	96.6
2.74	1.8	0	100	98.2
2.75	4.2	0.2	99.8	95.8
2.76	3	0	100	97
2.77	1.8	0	100	98.2
2.78	3.4	0	100	96.6
2.79	2.4	0	100	97.6
2.8	3.2	0	100	96.8
2.81	2.2	0.2	99.8	97.8
2.82	3.4	0	100	96.6
2.83	2.2	0	100	97.8
2.84	3.6	0	100	96.4
2.85	2.8	0.2	99.8	97.2
2.86	2.4	0.2	99.8	97.6
2.87	2.6	0.4	99.6	97.4
2.88	3.2	0	100	96.8
2.89	3	0.4	99.6	97
2.9	3	0	100	97
2.91	4.2	0	100	95.8
2.92	3.2	0	100	96.8
2.93	1.4	0.2	99.8	98.6
2.94	1.6	0	100	98.4
2.95	3.4	0.6	99.4	96.6
2.96	3.6	0.2	99.8	96.4
2.97	1.6	0.4	99.6	98.4
2.98	3.2	0.8	99.2	96.8
2.99	3.6	0.2	99.8	96.4
3	3.8	0.4	99.6	96.2
