t	FPR	FNR	TRP	TNR
1	3.6	0	100	96.4
1.01	3.4	0.2	99.8	96.6
1.02	3.2	0	100	96.8
1.03	2.2	0	100	97.8
1.04	3	0	100	97
1.05	2.8	0	100	97.2
1.06	2.6	0	100	97.4
1.07	1.4	0	100	98.6
1.08	3.6	0	100	96.4
1.09	3	0.2	99.8	97
1.1	2.6	0	100	97.4
1.11	3	0	100	97
1.12	2.6	0	100	97.4
1.13	2.6	0	100	97.4
1.14	2.4	0	100	97.6
1.15	2.2	0.2	99.8	97.8
1.16	2.4	0	100	97.6
1.17	2.6	0	100	97.4
1.18	2.6	0	100	97.4
1.19	3.4	0.4	99.6	96.6
1.2	2.8	0.2	99.8	97.2
1.21	2	0	100	98
1.22	2.2	0.4	99.6	97.8
1.23	2.8	0.4	99.6	97.2
1.24	2.2	0	100	97.8
1.25	2.2	0	100	97.8
1.26	3.6	0.2	99.8	96.4
1.27	3.8	0.4	99.6	96.2
1.28	1.6	0.4	99.6	98.4
1.29	3	0	100	97
1.3	1.8	0.4	99.6	98.2
1.31	4.8	0	100	95.2
1.32	4.4	0.2	99.8	95.6
1.33	3.8	0.6	99.4	96.2
1.34	3.6	0.8	99.2	96.4
1.35	3.6	0.4	99.6	96.4
1.36	2.8	0.4	99.6	97.2
1.37	3	0.6	99.4	97
1.38	2.8	1.2	98.8	97.2
1.39	3.6	0.2	99.8	96.4
1.4	3	0.4	99.6	97
1.41	1.8	1.6	98.4	98.2
1.42	1.6	1	99	98.4
1.43	2.8	1.4	98.6	97.2
1.44	1.6	1.2	98.8	98.4
1.45	2.2	1.4	98.6	97.8
1.46	1.6	1.6	98.4	98.4
1.47	1.6	0.6	99.4	98.4
1.48	2.2	1.2	98.8	97.8
1.49	2	1.6	98.4	98
1.5	2.6	1.6	98.4	97.4
1.51	1.8	2	98	98.2
1.52	3.8	1.8	98.2	96.2
1.53	3.4	1.6	98.4	96.6
1.54	2.6	2.4	97.6	97.4
1.55	2.2	3	97	97.8
1.56	1.2	2	98	98.8
1.57	3	3	97	97
1.58	3	4	96	97
1.59	2.8	2.4	97.6	97.2
1.6	3.4	3.2	96.8	96.6
1.61	2.8	3	97	97.2
1.62	2.2	5.2	94.8	97.8
1.63	1.8	3.2	96.8	98.2
1.64	3.8	3.6	96.4	96.2
1.65	1.6	4.6	95.4	98.4
1.66	2.2	2.8	97.2	97.8
1.67	2.4	5.4	94.6	97.6
1.68	2.8	5.4	94.6	97.2
1.69	3.2	4.8	95.2	96.8
1.7	2	5	95	98
1.71	1.6	6	94	98.4
1.72	2	7.6	92.4	98
1.73	2.2	7.8	92.2	97.8
1.74	2.8	9.4	90.6	97.2
1.75	2.2	7.8	92.2	97.8
1.76	2.4	8.4	91.6	97.6
1.77	1.6	6.2	93.8	98.4
1.78	3.8	8.6	91.4	96.2
1.79	2	9.4	90.6	98
