t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0.2	100	0	99.8
9	0	100	0	100
10	0	100	0	100
11	0	100	0	100
12	0	99	1	100
13	0	100	0	100
14	0	98.4	1.6	100
15	0.2	98	2	99.8
16	0.2	98.2	1.8	99.8
17	0	95.2	4.8	100
18	0.2	94.6	5.4	99.8
19	0	92.4	7.6	100
20	0.2	92.6	7.4	99.8
21	0.4	83.8	16.2	99.6
22	0.6	81.8	18.2	99.4
23	0.8	76.2	23.8	99.2
24	1.4	70.8	29.2	98.6
25	1	70.2	29.8	99
26	0.6	59	41	99.4
27	1.2	55.2	44.8	98.8
28	1.2	52.4	47.6	98.8
29	0.2	48.6	51.4	99.8
30	0.8	45	55	99.2
31	1.6	38.4	61.6	98.4
32	1.6	38.6	61.4	98.4
33	1.8	28	72	98.2
34	4	27.6	72.4	96
35	0.8	23	77	99.2
36	1.8	23.2	76.8	98.2
37	2.8	17.4	82.6	97.2
38	2	17.4	82.6	98
39	1.8	12.2	87.8	98.2
40	1.8	11.2	88.8	98.2
41	2.2	12.4	87.6	97.8
42	2.4	8.4	91.6	97.6
43	2.2	7	93	97.8
44	3.2	5.8	94.2	96.8
45	2.8	5.2	94.8	97.2
46	3	4.2	95.8	97
47	1.8	3.2	96.8	98.2
48	3	1.6	98.4	97
49	3.4	1.8	98.2	96.6
50	2.2	2	98	97.8
51	3	1.2	98.8	97
52	2	1	99	98
53	1.6	0.6	99.4	98.4
54	2.4	0.2	99.8	97.6
55	2.4	0.6	99.4	97.6
56	2	0.8	99.2	98
57	2	0.2	99.8	98
58	2.2	0.2	99.8	97.8
59	2.8	0.6	99.4	97.2
60	3.4	0.2	99.8	96.6
61	2.2	0.4	99.6	97.8
62	2.6	0.4	99.6	97.4
63	2.4	0	100	97.6
64	2.6	0	100	97.4
65	2.8	0	100	97.2
66	2.8	0	100	97.2
67	2	0	100	98
68	2	0	100	98
69	3.4	0	100	96.6
70	1.8	0	100	98.2
71	2.6	0	100	97.4
72	2.8	0	100	97.2
73	2.2	0	100	97.8
74	4.4	0	100	95.6
75	3.4	0	100	96.6
76	3	0	100	97
77	3.2	0	100	96.8
78	2.6	0	100	97.4
79	3	0	100	97
80	4.2	0	100	95.8
81	2.8	0	100	97.2
82	4.2	0	100	95.8
83	1.8	0	100	98.2
84	3.2	0	100	96.8
85	2.4	0	100	97.6
86	2.8	0	100	97.2
87	1.4	0	100	98.6
88	2.6	0	100	97.4
89	3.6	0	100	96.4
90	2.4	0	100	97.6
91	2.6	0	100	97.4
92	1.6	0	100	98.4
93	2.4	0	100	97.6
94	1.6	0	100	98.4
95	2.2	0	100	97.8
96	2.6	0	100	97.4
97	2.4	0	100	97.6
98	2.4	0	100	97.6
99	2.6	0	100	97.4
100	4.2	0	100	95.8
101	2.4	0	100	97.6
102	2.8	0	100	97.2
103	2.6	0	100	97.4
104	3.6	0	100	96.4
105	1.6	0	100	98.4
106	3	0	100	97
107	3.6	0	100	96.4
108	3	0	100	97
109	2.4	0	100	97.6
110	3	0	100	97
111	4	0	100	96
112	3.2	0	100	96.8
113	3	0	100	97
114	1.6	0	100	98.4
115	3	0	100	97
116	3.4	0	100	96.6
117	2.8	0	100	97.2
118	3.6	0	100	96.4
119	2.6	0	100	97.4
120	2.8	0	100	97.2
121	6	0	100	94
122	3	0	100	97
123	4.4	0	100	95.6
124	2.4	0	100	97.6
125	2.4	0	100	97.6
126	2.6	0	100	97.4
127	3	0	100	97
128	2	0	100	98
129	1.4	0	100	98.6
130	2.8	0	100	97.2
131	3	0	100	97
132	2	0	100	98
133	3.2	0	100	96.8
134	3	0	100	97
135	3.6	0	100	96.4
136	2.4	0	100	97.6
137	3	0	100	97
138	3.8	0	100	96.2
139	2.8	0	100	97.2
140	2.4	0	100	97.6
141	2	0	100	98
142	3	0	100	97
143	1.6	0	100	98.4
144	2.8	0	100	97.2
145	2.8	0	100	97.2
146	2.8	0	100	97.2
147	3.8	0	100	96.2
148	2.2	0	100	97.8
149	3.2	0	100	96.8
150	2	0	100	98
