t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0	100	0	100
11	0	99.8	0.2	100
12	0	99	1	100
13	0	98.8	1.2	100
14	0.2	98.4	1.6	99.8
15	0.2	92.8	7.2	99.8
16	0.6	93.4	6.6	99.4
17	0.2	93.6	6.4	99.8
18	0.8	84.6	15.4	99.2
19	0.4	82.6	17.4	99.6
20	1.2	75.6	24.4	98.8
21	1	72.6	27.4	99
22	0.8	70	30	99.2
23	1.4	58.6	41.4	98.6
24	0.6	55.2	44.8	99.4
25	1.2	56.4	43.6	98.8
26	0.8	49.4	50.6	99.2
27	2.2	45.4	54.6	97.8
28	3.2	31.2	68.8	96.8
29	1.6	29.6	70.4	98.4
30	2.2	20	80	97.8
31	2.2	20.2	79.8	97.8
32	2.8	20	80	97.2
33	1.4	15.2	84.8	98.6
34	3.2	16	84	96.8
35	2.6	11.2	88.8	97.4
36	3.8	8.8	91.2	96.2
37	3	6	94	97
38	2.2	7.6	92.4	97.8
39	2	5.6	94.4	98
40	2.4	3.8	96.2	97.6
41	2.8	4.4	95.6	97.2
42	1.2	2.6	97.4	98.8
43	2.2	2.8	97.2	97.8
44	2.4	1.4	98.6	97.6
45	4.6	1.4	98.6	95.4
46	1.6	1.6	98.4	98.4
47	2.8	1.2	98.8	97.2
48	3	0.6	99.4	97
49	3.8	0.6	99.4	96.2
50	1.6	0.2	99.8	98.4
51	4.4	0	100	95.6
52	3.4	0.6	99.4	96.6
53	2	0.4	99.6	98
54	3.2	0	100	96.8
55	2.8	0	100	97.2
56	2.8	0	100	97.2
57	2.6	0	100	97.4
58	1	0.2	99.8	99
59	3.6	0	100	96.4
60	4.6	0	100	95.4
61	2	0	100	98
62	3.8	0	100	96.2
63	3.6	0	100	96.4
64	2.4	0	100	97.6
65	3	0	100	97
66	2	0	100	98
67	2.4	0	100	97.6
68	3	0	100	97
69	3	0	100	97
70	2.8	0	100	97.2
71	2.8	0	100	97.2
72	1.8	0	100	98.2
73	3.6	0	100	96.4
74	2.8	0	100	97.2
75	2	0	100	98
76	2.6	0	100	97.4
77	2.6	0	100	97.4
78	3	0	100	97
79	3.4	0	100	96.6
80	2.6	0	100	97.4
81	1.6	0	100	98.4
82	2.2	0	100	97.8
83	3.2	0	100	96.8
84	2	0	100	98
85	3.6	0	100	96.4
86	3.6	0	100	96.4
87	3.6	0	100	96.4
88	2.8	0	100	97.2
89	3.2	0	100	96.8
90	1.8	0	100	98.2
91	3.8	0	100	96.2
92	4	0	100	96
93	3.2	0	100	96.8
94	2.4	0	100	97.6
95	3	0	100	97
96	3.8	0	100	96.2
97	4.2	0	100	95.8
98	3.8	0	100	96.2
99	3.6	0	100	96.4
100	3.2	0	100	96.8
101	3.2	0	100	96.8
102	2.2	0	100	97.8
103	2	0	100	98
104	2.8	0	100	97.2
105	1.2	0	100	98.8
106	3.6	0	100	96.4
107	2	0	100	98
108	1.4	0	100	98.6
109	3.2	0	100	96.8
110	2.2	0	100	97.8
111	2.8	0	100	97.2
112	3.2	0	100	96.8
113	2.6	0	100	97.4
114	3.4	0	100	96.6
115	2.8	0	100	97.2
116	4.4	0	100	95.6
117	1.6	0	100	98.4
118	3.4	0	100	96.6
119	3.4	0	100	96.6
120	3	0	100	97
121	2.6	0	100	97.4
122	2.8	0	100	97.2
123	2.6	0	100	97.4
124	2.6	0	100	97.4
125	3.6	0	100	96.4
126	2.4	0	100	97.6
127	3	0	100	97
128	1.2	0	100	98.8
129	2.2	0	100	97.8
130	2.4	0	100	97.6
131	2.8	0	100	97.2
132	3.2	0	100	96.8
133	2.4	0	100	97.6
134	3	0	100	97
135	2.4	0	100	97.6
136	2	0	100	98
137	3.4	0	100	96.6
138	2.4	0	100	97.6
139	3	0	100	97
140	4.6	0	100	95.4
141	2.8	0	100	97.2
142	3.6	0	100	96.4
143	2.8	0	100	97.2
144	3.6	0	100	96.4
145	2.2	0	100	97.8
146	2.2	0	100	97.8
147	3.2	0	100	96.8
148	3	0	100	97
149	2.4	0	100	97.6
150	3.2	0	100	96.8
