t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	100	0	100
7	0	100	0	100
8	0	100	0	100
9	0	99.8	0.2	100
10	0	100	0	100
11	0	100	0	100
12	0	100	0	100
13	0	100	0	100
14	0	100	0	100
15	0	100	0	100
16	0.2	100	0	99.8
17	0	100	0	100
18	0	100	0	100
19	0	100	0	100
20	0	99.8	0.2	100
21	0	100	0	100
22	0	100	0	100
23	0	100	0	100
24	0	99.8	0.2	100
25	0	99.6	0.4	100
26	0.2	99.8	0.2	99.8
27	0	100	0	100
28	0	99.6	0.4	100
29	0	100	0	100
30	0	99.2	0.8	100
31	0	99.6	0.4	100
32	0	96.8	3.2	100
33	0	99.4	0.6	100
34	0	99.2	0.8	100
35	0	98.6	1.4	100
36	0	99.4	0.6	100
37	0.2	98.6	1.4	99.8
38	0	100	0	100
39	0	96.8	3.2	100
40	0	96.2	3.8	100
41	0	96.6	3.4	100
42	0.2	92.4	7.6	99.8
43	0	87.4	12.6	100
44	0	92.6	7.4	100
45	0.2	88.2	11.8	99.8
46	0.2	88.6	11.4	99.8
47	0.4	86.8	13.2	99.6
48	0.6	83	17	99.4
49	1	78.4	21.6	99
50	0.6	80.6	19.4	99.4
51	0.6	79	21	99.4
52	0.8	70	30	99.2
53	0.8	69.6	30.4	99.2
54	1.8	71.4	28.6	98.2
55	0.6	66.8	33.2	99.4
56	0.2	54.2	45.8	99.8
57	0.6	60.8	39.2	99.4
58	0.8	53.8	46.2	99.2
59	1.8	49.2	50.8	98.2
60	0.8	51.8	48.2	99.2
61	1.8	46.6	53.4	98.2
62	2.6	45	55	97.4
63	1.6	43.4	56.6	98.4
64	2	46.8	53.2	98
65	0.8	41.2	58.8	99.2
66	1.6	35.6	64.4	98.4
67	2.4	35.4	64.6	97.6
68	2.2	27.6	72.4	97.8
69	1.4	27.6	72.4	98.6
70	1.4	32.8	67.2	98.6
71	1.4	28.8	71.2	98.6
72	2.6	20.6	79.4	97.4
73	2.2	22.4	77.6	97.8
74	1.8	23	77	98.2
75	3.2	21.4	78.6	96.8
76	2.6	15.6	84.4	97.4
77	1.6	15.6	84.4	98.4
78	1.6	16.2	83.8	98.4
79	2	15.6	84.4	98
80	1.6	14.2	85.8	98.4
81	2.6	15.2	84.8	97.4
82	2.8	13.6	86.4	97.2
83	3	12.6	87.4	97
84	2.8	16.6	83.4	97.2
85	2.2	9	91	97.8
86	3.4	10	90	96.6
87	2.4	8	92	97.6
88	1.8	5.2	94.8	98.2
89	2.6	7.8	92.2	97.4
90	3	5.6	94.4	97
91	2.8	5.8	94.2	97.2
92	1.6	6.6	93.4	98.4
93	2.8	5.8	94.2	97.2
94	2.6	4.6	95.4	97.4
95	2.2	4.8	95.2	97.8
96	4	5.6	94.4	96
97	2.6	4.4	95.6	97.4
98	2.2	2.4	97.6	97.8
99	3.4	3	97	96.6
100	1.8	2.6	97.4	98.2
101	3.6	2.6	97.4	96.4
102	2.6	2.2	97.8	97.4
103	1.4	4.4	95.6	98.6
104	3.2	1.4	98.6	96.8
105	2.6	1	99	97.4
106	2.2	1.2	98.8	97.8
107	3.6	2.4	97.6	96.4
108	2.4	0.6	99.4	97.6
109	3.4	1.6	98.4	96.6
110	2.6	1.2	98.8	97.4
111	3.4	0.6	99.4	96.6
112	4.8	0.8	99.2	95.2
113	2.2	0.6	99.4	97.8
114	2.2	0	100	97.8
115	3.4	0.8	99.2	96.6
116	3.6	1	99	96.4
117	1.6	0.4	99.6	98.4
118	0.8	0	100	99.2
119	3	0.4	99.6	97
120	2.6	0	100	97.4
121	3	0	100	97
122	1.6	0.4	99.6	98.4
123	3.2	0.2	99.8	96.8
124	3	0.2	99.8	97
125	2.2	0.2	99.8	97.8
126	2.8	0	100	97.2
127	2.6	0.2	99.8	97.4
128	3.6	0	100	96.4
129	3.2	0	100	96.8
130	3.4	0.2	99.8	96.6
131	3.4	0.2	99.8	96.6
132	2.8	0.2	99.8	97.2
133	1.8	0.2	99.8	98.2
134	4	0.2	99.8	96
135	2.4	0	100	97.6
136	2.8	0.2	99.8	97.2
137	2.6	0	100	97.4
138	2.4	0	100	97.6
139	2.4	0	100	97.6
140	2.6	0	100	97.4
141	3.2	0	100	96.8
142	2.2	0	100	97.8
143	2.2	0	100	97.8
144	3.4	0	100	96.6
145	2	0	100	98
146	3.2	0	100	96.8
147	3.2	0	100	96.8
148	3	0	100	97
149	2.2	0	100	97.8
150	2.6	0	100	97.4
