t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	100	0	100	0
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	100	0	100	0
390	100	0	100	0
400	100	0	100	0
410	100	0	100	0
420	100	0	100	0
430	100	0	100	0
440	100	0	100	0
450	100	0	100	0
460	100	0	100	0
470	100	0	100	0
480	100	0	100	0
490	100	0	100	0
500	100	0	100	0
510	100	0	100	0
520	100	0	100	0
530	100	0	100	0
540	100	0	100	0
550	100	0	100	0
560	100	0	100	0
570	100	0	100	0
580	100	0	100	0
590	100	0	100	0
600	100	0	100	0
610	100	0	100	0
620	100	0	100	0
630	100	0	100	0
640	100	0	100	0
650	100	0	100	0
660	100	0	100	0
670	100	0	100	0
680	100	0	100	0
690	100	0	100	0
700	99.8	0	100	0.2
710	100	0	100	0
720	99.8	0	100	0.2
730	99.8	0	100	0.2
740	99.8	0	100	0.2
750	99.8	0	100	0.2
760	100	0	100	0
770	100	0	100	0
780	99.8	0	100	0.2
790	99.4	0	100	0.6
800	99.4	0	100	0.6
810	100	0	100	0
820	99.2	0	100	0.8
830	99.6	0	100	0.4
840	99	0	100	1
850	99.8	0	100	0.2
860	98.8	0	100	1.2
870	98.6	0	100	1.4
880	98	0	100	2
890	97.2	0	100	2.8
900	99.2	0	100	0.8
910	98.6	0	100	1.4
920	98	0	100	2
930	97.4	0	100	2.6
940	97	0	100	3
950	96.8	0	100	3.2
960	97.4	0	100	2.6
970	96.6	0	100	3.4
980	95.8	0	100	4.2
990	96	0	100	4
1000	94.8	0	100	5.2
1010	96	0	100	4
1020	93.8	0	100	6.2
1030	94.8	0	100	5.2
1040	95.6	0	100	4.4
1050	93	0	100	7
1060	94.2	0	100	5.8
1070	95	0	100	5
1080	93.2	0	100	6.8
1090	92.2	0	100	7.8
1100	91.4	0	100	8.6
1110	88.4	0	100	11.6
1120	90.8	0	100	9.2
1130	90	0	100	10
1140	87.4	0	100	12.6
1150	89.8	0	100	10.2
1160	88.2	0	100	11.8
1170	88.6	0	100	11.4
1180	86	0	100	14
1190	86	0	100	14
1200	86	0	100	14
1210	83.4	0	100	16.6
1220	86.2	0	100	13.8
1230	86	0	100	14
1240	81.8	0.2	99.8	18.2
1250	82	0	100	18
1260	83	0	100	17
1270	78.2	0	100	21.8
1280	82	0	100	18
1290	82.6	0	100	17.4
1300	78.4	0	100	21.6
1310	79.8	0	100	20.2
1320	80.2	0.2	99.8	19.8
1330	78.8	0	100	21.2
1340	74.8	0	100	25.2
1350	79.4	0	100	20.6
1360	75	0	100	25
1370	78.2	0	100	21.8
1380	74.2	0.2	99.8	25.8
1390	77	0	100	23
1400	73.2	0	100	26.8
1410	75.4	0.2	99.8	24.6
1420	70.6	0.2	99.8	29.4
1430	70.6	0	100	29.4
1440	69	0	100	31
1450	70	0	100	30
1460	68	0.4	99.6	32
1470	68.8	0	100	31.2
1480	70.2	0	100	29.8
1490	62.4	0	100	37.6
1500	66.8	0.4	99.6	33.2
1510	67.4	0.2	99.8	32.6
1520	67.2	0.2	99.8	32.8
1530	65	0	100	35
1540	63.8	0.4	99.6	36.2
1550	63.6	0.2	99.8	36.4
1560	65.2	0.6	99.4	34.8
1570	63.8	1	99	36.2
1580	64	0	100	36
1590	59.6	0.6	99.4	40.4
1600	62.2	0.6	99.4	37.8
1610	56.6	1.4	98.6	43.4
1620	57.4	0.4	99.6	42.6
1630	60.6	1	99	39.4
1640	58.6	1.4	98.6	41.4
1650	59	0.2	99.8	41
1660	56.2	0.6	99.4	43.8
1670	60	0.8	99.2	40
1680	58.4	0.8	99.2	41.6
1690	57.6	1.2	98.8	42.4
1700	52.8	1	99	47.2
1710	55.6	0.8	99.2	44.4
1720	59.2	0.6	99.4	40.8
1730	51.4	1.6	98.4	48.6
1740	55	1.4	98.6	45
1750	49.8	0.8	99.2	50.2
1760	53.8	1.2	98.8	46.2
1770	59	1.2	98.8	41
1780	46	2.8	97.2	54
1790	51	1.6	98.4	49
1800	51.2	1.6	98.4	48.8
1810	50.8	2.2	97.8	49.2
1820	51.8	2	98	48.2
1830	50.8	1.4	98.6	49.2
1840	48.2	2.2	97.8	51.8
1850	49.2	2.8	97.2	50.8
1860	46	4	96	54
1870	49	4.2	95.8	51
1880	43.6	3.2	96.8	56.4
1890	39.6	2.6	97.4	60.4
1900	47.4	4	96	52.6
1910	46.4	3.6	96.4	53.6
1920	45	5.4	94.6	55
1930	41.2	5.6	94.4	58.8
1940	44	4.6	95.4	56
1950	39.4	4.4	95.6	60.6
1960	42.4	4.6	95.4	57.6
1970	41.8	4.8	95.2	58.2
1980	41.8	6.4	93.6	58.2
1990	41.6	6.2	93.8	58.4
2000	41.8	4.2	95.8	58.2
2010	41.4	6.4	93.6	58.6
2020	40.2	4.4	95.6	59.8
2030	39.8	8.4	91.6	60.2
2040	38.8	7	93	61.2
2050	0	100	0	100
