t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	100	0	100	0
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	100	0	100	0
390	100	0	100	0
400	100	0	100	0
410	100	0	100	0
420	100	0	100	0
430	100	0	100	0
440	100	0	100	0
450	100	0	100	0
460	100	0	100	0
470	100	0	100	0
480	100	0	100	0
490	100	0	100	0
500	100	0	100	0
510	100	0	100	0
520	100	0	100	0
530	100	0	100	0
540	100	0	100	0
550	100	0	100	0
560	100	0	100	0
570	100	0	100	0
580	100	0	100	0
590	100	0	100	0
600	100	0	100	0
610	100	0	100	0
620	100	0	100	0
630	100	0	100	0
640	100	0	100	0
650	100	0	100	0
660	100	0	100	0
670	100	0	100	0
680	100	0	100	0
690	100	0	100	0
700	100	0	100	0
710	100	0	100	0
720	100	0	100	0
730	100	0	100	0
740	100	0	100	0
750	100	0	100	0
760	100	0	100	0
770	100	0	100	0
780	100	0	100	0
790	100	0	100	0
800	100	0	100	0
810	100	0	100	0
820	100	0	100	0
830	100	0	100	0
840	100	0	100	0
850	100	0	100	0
860	100	0	100	0
870	100	0	100	0
880	100	0	100	0
890	100	0	100	0
900	100	0	100	0
910	100	0	100	0
920	100	0	100	0
930	100	0	100	0
940	100	0	100	0
950	100	0	100	0
960	99.8	0	100	0.2
970	100	0	100	0
980	100	0	100	0
990	100	0	100	0
1000	100	0	100	0
1010	100	0	100	0
1020	100	0	100	0
1030	100	0	100	0
1040	99.8	0.2	99.8	0.2
1050	0	100	0	100
1060	100	0	100	0
1070	100	0	100	0
1080	100	0	100	0
1090	100	0	100	0
1100	100	0	100	0
1110	100	0	100	0
1120	100	0	100	0
1130	98.6	0.8	99.2	1.4
1140	100	0	100	0
1150	100	0	100	0
1160	100	0	100	0
1170	100	0	100	0
1180	100	0	100	0
1190	100	0	100	0
1200	99.8	0	100	0.2
1210	98.8	1	99	1.2
1220	97.4	1.6	98.4	2.6
1230	100	0	100	0
1240	100	0	100	0
1250	100	0	100	0
1260	99.6	0	100	0.4
1270	100	0	100	0
1280	100	0	100	0
1290	97.8	1.6	98.4	2.2
1300	100	0	100	0
1310	100	0	100	0
1320	100	0	100	0
1330	100	0	100	0
1340	0	100	0	100
1350	100	0	100	0
1360	98.8	0.2	99.8	1.2
1370	100	0	100	0
1380	100	0	100	0
1390	100	0	100	0
1400	100	0	100	0
1410	100	0	100	0
1420	0	100	0	100
1430	100	0	100	0
1440	100	0	100	0
1450	100	0	100	0
1460	100	0	100	0
1470	98.4	2.2	97.8	1.6
1480	100	0	100	0
1490	0	100	0	100
1500	100	0	100	0
1510	100	0	100	0
1520	100	0	100	0
1530	0	100	0	100
1540	99.2	0.8	99.2	0.8
1550	100	0	100	0
1560	100	0.2	99.8	0
1570	99.6	0.6	99.4	0.4
1580	0	100	0	100
1590	100	0	100	0
1600	0	100	0	100
1610	99	1.4	98.6	1
1620	100	0.4	99.6	0
1630	100	0	100	0
1640	0	100	0	100
1650	0	100	0	100
1660	0	100	0	100
1670	0	100	0	100
1680	0	100	0	100
1690	0	100	0	100
1700	98.2	2.4	97.6	1.8
1710	100	0	100	0
1720	100	0	100	0
1730	100	0	100	0
1740	0	100	0	100
1750	0	100	0	100
1760	0	100	0	100
1770	0	100	0	100
1780	0	100	0	100
1790	0	100	0	100
1800	0	100	0	100
1810	100	0	100	0
1820	100	0	100	0
1830	100	0	100	0
1840	100	0	100	0
1850	100	0	100	0
1860	99.8	0.6	99.4	0.2
1870	0	100	0	100
1880	100	0	100	0
1890	99	0.4	99.6	1
1900	0	100	0	100
1910	0	100	0	100
1920	0	100	0	100
1930	0	100	0	100
1940	97.2	2.8	97.2	2.8
1950	0	100	0	100
1960	99.4	0	100	0.6
1970	0	100	0	100
1980	100	0	100	0
1990	100	0	100	0
2000	0	100	0	100
2010	0	100	0	100
2020	0	100	0	100
2030	0	100	0	100
2040	99.6	0.2	99.8	0.4
2050	0	100	0	100
