t	FPR	FNR	TRP	TNR
100	100	0	100	0
110	100	0	100	0
120	100	0	100	0
130	100	0	100	0
140	100	0	100	0
150	100	0	100	0
160	100	0	100	0
170	100	0	100	0
180	100	0	100	0
190	100	0	100	0
200	100	0	100	0
210	100	0	100	0
220	100	0	100	0
230	100	0	100	0
240	100	0	100	0
250	100	0	100	0
260	100	0	100	0
270	100	0	100	0
280	100	0	100	0
290	100	0	100	0
300	100	0	100	0
310	100	0	100	0
320	100	0	100	0
330	100	0	100	0
340	100	0	100	0
350	100	0	100	0
360	100	0	100	0
370	100	0	100	0
380	100	0	100	0
390	100	0	100	0
400	100	0	100	0
410	100	0	100	0
420	100	0	100	0
430	100	0	100	0
440	100	0	100	0
450	99.2	0.8	99.2	0.8
460	100	0	100	0
470	100	0	100	0
480	0	100	0	100
490	100	0	100	0
500	98.6	1.4	98.6	1.4
510	100	0	100	0
520	100	0	100	0
530	100	0	100	0
540	100	0	100	0
550	100	0	100	0
560	100	0	100	0
570	100	0	100	0
580	100	0	100	0
590	0	100	0	100
600	99.8	0	100	0.2
610	100	0	100	0
620	100	0	100	0
630	0	100	0	100
640	97.2	2.2	97.8	2.8
650	100	0	100	0
660	100	0	100	0
670	100	0	100	0
680	0	100	0	100
690	100	0	100	0
700	100	0	100	0
710	97.4	0.4	99.6	2.6
720	100	0	100	0
730	99	0.8	99.2	1
740	99.6	0	100	0.4
750	0	100	0	100
760	100	0	100	0
770	0	100	0	100
780	0	100	0	100
790	100	0	100	0
800	0	100	0	100
810	0	100	0	100
820	100	0	100	0
830	98.4	0.6	99.4	1.6
840	100	0	100	0
850	0	100	0	100
860	0	100	0	100
870	98	0.6	99.4	2
880	100	0	100	0
890	100	0	100	0
900	0	100	0	100
910	0	100	0	100
920	100	0	100	0
930	0	100	0	100
940	0	100	0	100
950	0	100	0	100
960	97.2	3.4	96.6	2.8
970	0	100	0	100
980	0	100	0	100
990	100	0	100	0
1000	100	0	100	0
1010	0	100	0	100
1020	0	100	0	100
1030	97.8	1	99	2.2
1040	0	100	0	100
1050	100	0	100	0
1060	0	100	0	100
1070	100	0	100	0
1080	0	100	0	100
1090	0	100	0	100
1100	99	0.4	99.6	1
1110	0	100	0	100
1120	0	100	0	100
1130	0	100	0	100
1140	100	0	100	0
1150	99.8	0.2	99.8	0.2
1160	0	100	0	100
1170	100	0	100	0
1180	0	100	0	100
1190	100	0	100	0
1200	0	100	0	100
1210	0	100	0	100
1220	0	100	0	100
1230	0	100	0	100
1240	97.6	2.6	97.4	2.4
1250	0	100	0	100
1260	0	100	0	100
1270	99.6	0	100	0.4
1280	0	100	0	100
1290	99.8	0	100	0.2
1300	0	100	0	100
1310	99.8	0	100	0.2
1320	0	100	0	100
1330	97.8	2	98	2.2
1340	0	100	0	100
1350	0	100	0	100
1360	0	100	0	100
1370	0	100	0	100
1380	0	100	0	100
1390	100	0	100	0
1400	0	100	0	100
1410	0	100	0	100
1420	0	100	0	100
1430	100	0	100	0
1440	0	100	0	100
1450	93	4.4	95.6	7
1460	0	100	0	100
1470	0	100	0	100
1480	0	100	0	100
1490	0	100	0	100
1500	0	100	0	100
1510	0	100	0	100
1520	100	0	100	0
1530	0	100	0	100
1540	91.6	3.6	96.4	8.4
1550	0	100	0	100
1560	100	0	100	0
1570	100	0	100	0
1580	0	100	0	100
1590	0	100	0	100
1600	0	100	0	100
1610	0	100	0	100
1620	0	100	0	100
1630	0	100	0	100
1640	0	100	0	100
1650	0	100	0	100
1660	0	100	0	100
1670	0	100	0	100
1680	0	100	0	100
1690	0	100	0	100
1700	0	100	0	100
1710	100	0	100	0
1720	0	100	0	100
1730	0	100	0	100
1740	100	0	100	0
1750	100	0	100	0
1760	0	100	0	100
1770	0	100	0	100
1780	0	100	0	100
1790	97.6	4.4	95.6	2.4
1800	0	100	0	100
1810	0	100	0	100
1820	0	100	0	100
1830	0	100	0	100
1840	0	100	0	100
1850	0	100	0	100
1860	0	100	0	100
1870	0	100	0	100
1880	0	100	0	100
1890	0	100	0	100
1900	0	100	0	100
1910	0	100	0	100
1920	100	0	100	0
1930	0	100	0	100
1940	0	100	0	100
1950	0	100	0	100
1960	0	100	0	100
1970	0	100	0	100
1980	0	100	0	100
1990	0	100	0	100
2000	0	100	0	100
2010	0	100	0	100
2020	0	100	0	100
2030	0	100	0	100
2040	100	0	100	0
2050	99.6	0.2	99.8	0.4
