t	FPR	FNR	TRP	TNR
100	1.8	0	100	98.2
110	1.8	0	100	98.2
120	2.8	0	100	97.2
130	1.2	0	100	98.8
140	1.8	0	100	98.2
150	2.6	0	100	97.4
160	3.4	0	100	96.6
170	2.6	0	100	97.4
180	2.6	0	100	97.4
190	3	0	100	97
200	2	0	100	98
210	1	0	100	99
220	2.4	0	100	97.6
230	3	0	100	97
240	1.8	0	100	98.2
250	2.6	0	100	97.4
260	4.8	0	100	95.2
270	3	0	100	97
280	3.2	0	100	96.8
290	3	0	100	97
300	2.4	0	100	97.6
310	2.2	0	100	97.8
320	1.8	0	100	98.2
330	2	0	100	98
340	2.6	0	100	97.4
350	3.6	0	100	96.4
360	3.6	0	100	96.4
370	2.6	0	100	97.4
380	3.6	0	100	96.4
390	2.2	0	100	97.8
400	2.8	0	100	97.2
410	3.2	0	100	96.8
420	2.4	0	100	97.6
430	3.2	0	100	96.8
440	3	0	100	97
450	3.6	0	100	96.4
460	2	0	100	98
470	1.8	0	100	98.2
480	2.4	0	100	97.6
490	3.8	0	100	96.2
500	2.2	0	100	97.8
510	2.8	0	100	97.2
520	3.4	0	100	96.6
530	1.6	0	100	98.4
540	4.6	0	100	95.4
550	3.2	0	100	96.8
560	2.6	0	100	97.4
570	2.8	0	100	97.2
580	2.6	0	100	97.4
590	3.8	0	100	96.2
600	2.8	0	100	97.2
610	3.8	0	100	96.2
620	2.2	0	100	97.8
630	2.8	0	100	97.2
640	2.8	0	100	97.2
650	2.4	0	100	97.6
660	2.4	0	100	97.6
670	3.2	0	100	96.8
680	3	0	100	97
690	2.2	0	100	97.8
700	1.2	0	100	98.8
710	1.6	0	100	98.4
720	3.2	0	100	96.8
730	4	0	100	96
740	2.4	0	100	97.6
750	2	0	100	98
760	3.6	0	100	96.4
770	2.4	0	100	97.6
780	3.4	0	100	96.6
790	3.4	0	100	96.6
800	2.6	0	100	97.4
810	3.4	0	100	96.6
820	3.4	0	100	96.6
830	2.8	0	100	97.2
840	2.4	0	100	97.6
850	3	0	100	97
860	1.6	0	100	98.4
870	2.2	0	100	97.8
880	2.4	0	100	97.6
890	2.6	0	100	97.4
900	3.4	0	100	96.6
910	2.4	0	100	97.6
920	2.2	0	100	97.8
930	4.6	0	100	95.4
940	2.8	0	100	97.2
950	2.8	0	100	97.2
960	3.6	0	100	96.4
970	1	0	100	99
980	2	0	100	98
990	3.8	0	100	96.2
1000	2.6	0	100	97.4
1010	4	0	100	96
1020	1.2	0	100	98.8
1030	3.2	0	100	96.8
1040	3.4	0	100	96.6
1050	1.6	0	100	98.4
1060	2.4	0	100	97.6
1070	2.8	0	100	97.2
1080	3	0	100	97
1090	4.2	0	100	95.8
1100	2	0.2	99.8	98
1110	2.4	0.2	99.8	97.6
1120	3	0	100	97
1130	2	0.2	99.8	98
1140	3.8	0	100	96.2
1150	3.2	0.4	99.6	96.8
1160	1.6	0.4	99.6	98.4
1170	3.2	0.2	99.8	96.8
1180	2.2	0.2	99.8	97.8
1190	3.4	0	100	96.6
1200	2.4	0.2	99.8	97.6
1210	2.6	0.2	99.8	97.4
1220	2.8	0	100	97.2
1230	2.6	0	100	97.4
1240	5	0.8	99.2	95
1250	1.8	0.4	99.6	98.2
1260	1.8	0.4	99.6	98.2
1270	3.2	0.6	99.4	96.8
1280	3.2	0.8	99.2	96.8
1290	3.2	0.8	99.2	96.8
1300	3	0.2	99.8	97
1310	1.8	0.6	99.4	98.2
1320	3	0.6	99.4	97
1330	3.4	1	99	96.6
1340	3.2	1.2	98.8	96.8
1350	2.4	1.2	98.8	97.6
1360	4	1	99	96
1370	3.4	1.8	98.2	96.6
1380	3.2	1.6	98.4	96.8
1390	1.6	0.6	99.4	98.4
1400	4	2.4	97.6	96
1410	3.8	1.2	98.8	96.2
1420	4.4	2	98	95.6
1430	3.6	2.8	97.2	96.4
1440	3.6	2.4	97.6	96.4
1450	2.8	2.2	97.8	97.2
1460	3	2.4	97.6	97
1470	2.8	2.4	97.6	97.2
1480	3.4	2.2	97.8	96.6
1490	4.2	3.2	96.8	95.8
1500	2	4.2	95.8	98
1510	2.4	4.4	95.6	97.6
1520	2.8	4.2	95.8	97.2
1530	3.8	5.8	94.2	96.2
1540	2.8	4.2	95.8	97.2
1550	4	3	97	96
1560	4	6	94	96
1570	2.6	6	94	97.4
1580	2.2	7.2	92.8	97.8
1590	2.6	6.2	93.8	97.4
1600	1.8	7.2	92.8	98.2
1610	3.2	8	92	96.8
1620	2.8	5.2	94.8	97.2
1630	2.8	6.6	93.4	97.2
1640	3.8	6.6	93.4	96.2
1650	4.4	8.4	91.6	95.6
1660	2.6	9.4	90.6	97.4
1670	3.4	10.4	89.6	96.6
1680	2.6	10.8	89.2	97.4
1690	2.2	9	91	97.8
1700	4	8	92	96
1710	1.8	12.2	87.8	98.2
1720	3.8	10	90	96.2
1730	3.4	9.8	90.2	96.6
1740	2.8	9	91	97.2
