t	FPR	FNR	TRP	TNR
1	0	100	0	100
2	0	100	0	100
3	0	100	0	100
4	0	100	0	100
5	0	100	0	100
6	0	99.8	0.2	100
7	0	100	0	100
8	0	100	0	100
9	0	100	0	100
10	0.2	99.8	0.2	99.8
11	0	99.8	0.2	100
12	0	100	0	100
13	0	100	0	100
14	0	100	0	100
15	0.2	100	0	99.8
16	0	100	0	100
17	0.6	100	0	99.4
18	0.4	100	0	99.6
19	0	99.8	0.2	100
20	0.2	100	0	99.8
21	0.4	99.8	0.2	99.6
22	0.2	99.8	0.2	99.8
23	0.4	100	0	99.6
24	0.8	100	0	99.2
25	0.2	100	0	99.8
26	0.4	99.8	0.2	99.6
27	0.4	100	0	99.6
28	0	99	1	100
29	1	99.8	0.2	99
30	0.8	99.8	0.2	99.2
31	0	99.8	0.2	100
32	1	99.8	0.2	99
33	0.8	98.8	1.2	99.2
34	0.2	99.4	0.6	99.8
35	0.2	99.2	0.8	99.8
36	0.2	99.4	0.6	99.8
37	0.4	98.8	1.2	99.6
38	1	99.4	0.6	99
39	1.6	99.6	0.4	98.4
40	0.8	99	1	99.2
41	1.2	99	1	98.8
42	0.2	97.6	2.4	99.8
43	2.4	98.8	1.2	97.6
44	2	99.2	0.8	98
45	2.8	98.8	1.2	97.2
46	2	99	1	98
47	2	98.2	1.8	98
48	3	96.8	3.2	97
49	3.6	98.4	1.6	96.4
50	2	98.2	1.8	98
51	3.2	98.2	1.8	96.8
52	3.6	96.6	3.4	96.4
53	3.8	97	3	96.2
54	5.2	97.6	2.4	94.8
55	3.6	95.8	4.2	96.4
56	2.2	93.6	6.4	97.8
57	3	94.4	5.6	97
58	4.2	95	5	95.8
59	4.8	93.8	6.2	95.2
60	5.8	94.8	5.2	94.2
61	6.8	92.8	7.2	93.2
62	7.8	94.2	5.8	92.2
63	7.6	93	7	92.4
64	8.6	93.2	6.8	91.4
65	7.8	91.6	8.4	92.2
66	7.8	88	12	92.2
67	10.2	89	11	89.8
68	16	93	7	84
69	15	87.8	12.2	85
70	11	86.4	13.6	89
71	13.2	89.8	10.2	86.8
72	9.6	78.6	21.4	90.4
73	17.4	87.6	12.4	82.6
74	17.8	84.6	15.4	82.2
75	17.2	77.8	22.2	82.8
76	10.4	73.6	26.4	89.6
77	19.8	84.6	15.4	80.2
78	17.2	78.4	21.6	82.8
79	20.2	74	26	79.8
80	23.2	75.2	24.8	76.8
81	16.2	60	40	83.8
82	18.6	69.8	30.2	81.4
83	24.4	73.2	26.8	75.6
84	24.2	73.6	26.4	75.8
85	24.8	63.6	36.4	75.2
86	32.2	74.6	25.4	67.8
87	28.2	67	33	71.8
88	28.4	60	40	71.6
89	27.8	55	45	72.2
90	22	49.2	50.8	78
91	31.4	50	50	68.6
92	31.4	49.8	50.2	68.6
93	38.2	57.6	42.4	61.8
94	31.2	45.4	54.6	68.8
95	30.6	42	58	69.4
96	41	46.8	53.2	59
97	29.4	33.4	66.6	70.6
98	41.6	46.2	53.8	58.4
99	37.2	34.4	65.6	62.8
100	42	36.2	63.8	58
101	40.2	30.4	69.6	59.8
102	40	30.8	69.2	60
103	49.4	39.4	60.6	50.6
104	44.2	23.8	76.2	55.8
105	40.8	24.2	75.8	59.2
106	48.8	22.4	77.6	51.2
107	51.2	22.6	77.4	48.8
108	49.6	19.6	80.4	50.4
109	56.6	24.2	75.8	43.4
110	57.6	12.8	87.2	42.4
111	55.6	14.6	85.4	44.4
112	62.2	22	78	37.8
113	50	9	91	50
114	61.2	13	87	38.8
115	70.6	13	87	29.4
116	65.6	16.2	83.8	34.4
117	63.6	8.8	91.2	36.4
118	70.4	11.2	88.8	29.6
119	79	7.6	92.4	21
120	74	9.2	90.8	26
121	78.4	4.6	95.4	21.6
122	68.2	4.4	95.6	31.8
123	80.6	7	93	19.4
124	83	3.6	96.4	17
125	90	4	96	10
126	80.4	6	94	19.6
127	84.6	1	99	15.4
128	91.2	3	97	8.8
129	90.6	1.4	98.6	9.4
130	93	1.2	98.8	7
131	96.8	4	96	3.2
132	96	1.4	98.6	4
133	95.2	0.2	99.8	4.8
134	100	0	100	0
135	97.2	0.6	99.4	2.8
136	100	0	100	0
137	99.6	0.8	99.2	0.4
138	100	0	100	0
139	98.4	0.6	99.4	1.6
140	98.4	0	100	1.6
141	99.4	0.4	99.6	0.6
142	100	0	100	0
143	100	0	100	0
144	97.8	0	100	2.2
145	100	0	100	0
146	100	0	100	0
147	100	0	100	0
148	100	0	100	0
149	100	0	100	0
150	100	0	100	0
